frame,DetObj#,x,y,z,v,snr,noise
0,36,-0.07903,1.84857,1.48866,0.00566,19.26148,1.24874
0,36,0.13004,1.68438,1.38832,0.01795,12.0197,2.38353
0,36,-0.02246,1.64542,1.4521,0.09798,10.78136,1.85973
0,36,-0.02808,1.84822,1.60467,0.00806,8.40796,3.14078
0,36,-0.08851,1.81742,1.49747,0.01409,15.29997,2.78364
0,36,-0.03767,1.71601,1.30855,0.07516,14.01804,1.48788
0,36,0.06572,1.93057,1.68353,-0.07138,12.34339,1.49439
0,36,-0.07992,1.76851,1.72174,0.10978,14.08973,3.18414
0,36,-0.14927,1.84777,1.5413,-0.1082,14.24381,1.35132
0,36,0.03679,1.72091,1.14469,0.03895,12.97583,2.20681
0,36,-0.05713,1.82839,1.4911,0.00604,11.70372,2.03862
0,36,0.08837,1.68551,1.44859,0.03455,14.52587,2.19283
0,36,-0.16854,1.5301,1.49619,-0.04263,7.9526,3.28629
0,36,-0.07605,1.61296,1.719,-0.00362,9.99577,2.48952
0,36,0.00059,1.7117,1.40817,-0.03184,13.28568,2.34268
0,36,-0.18024,1.96625,1.20668,0.039,24.8952,1.12705
0,36,-0.0997,1.82908,1.85811,-0.12487,13.2228,1.86289
0,36,0.02485,1.90929,1.39771,0.07429,7.26725,2.2223
0,36,-0.08698,1.78588,1.49443,0.05915,10.89642,1.98137
0,36,-0.08705,1.84239,1.23922,0.09714,14.41063,2.76626
0,36,-0.122,1.65581,1.53575,-0.05946,19.28562,3.14626
0,36,0.17757,2.06724,1.57341,0.00255,15.70287,3.15797
0,36,-0.21645,1.72958,1.62222,-0.02091,13.67636,1.77921
0,36,0.08683,2.09152,1.39452,-0.03951,11.61443,1.97207
0,36,0.03722,1.87365,1.44748,-0.03465,16.91525,2.03707
0,36,0.11336,1.73904,1.62165,-0.02929,14.25037,1.50668
0,36,-0.1555,1.54495,1.65939,-0.04188,16.44152,2.57265
0,36,-0.23695,1.658,1.51262,0.03786,14.65163,2.83854
0,36,0.08443,1.82646,1.47022,0.05857,18.32856,2.75656
0,36,-0.0343,1.67233,1.66023,0.05467,13.52002,2.0093
0,36,0.04829,1.87309,1.7361,-0.09103,18.11565,2.65498
0,36,-0.11301,1.56209,1.64848,-0.11799,10.74034,1.52844
0,36,0.03177,1.91811,1.5172,-0.04138,10.23572,1.7315
0,36,-0.15392,1.9171,1.52928,0.02742,10.91979,1.59572
0,36,-0.13845,1.8396,1.31834,0.02476,15.08234,3.30222
0,36,0.08535,1.82595,1.44779,0.00114,17.15747,3.0975
1,23,-0.08643,1.8303,1.59089,-0.03087,8.78944,2.46606
1,23,-0.00238,1.83536,1.62193,-0.02102,13.08171,2.13634
1,23,0.10203,1.96272,1.60711,-0.09382,16.45891,2.89908
1,23,-0.28323,1.7369,1.56575,-0.00538,13.61072,2.31099
1,23,-0.03889,1.82756,1.27623,0.00948,16.65808,2.37024
1,23,0.02416,1.9107,1.62419,-0.00302,13.96093,2.71606
1,23,-0.15013,1.80305,1.26043,-0.10231,5.1296,1.93022
1,23,0.12308,1.87879,1.71397,-0.03986,16.16751,2.70203
1,23,-0.16546,1.80286,1.44082,0.00677,16.52257,1.50234
1,23,-0.01072,1.55118,1.60339,0.04323,17.31918,1.76413
1,23,0.01413,1.68261,1.56103,0.07321,17.35463,2.75373
1,23,-0.14767,1.86957,1.58557,0.10966,12.61617,2.24704
1,23,0.02061,1.75744,1.24666,-0.04526,15.62193,2.92742
1,23,0.03583,1.99427,1.33825,-0.15736,15.42987,2.33328
1,23,-0.13711,1.62225,1.34682,0.07231,13.6981,2.99132
1,23,-0.13033,1.85771,1.63244,0.11174,11.11122,2.08507
1,23,0.07116,1.55292,1.35509,0.08773,16.92904,1.71483
1,23,-0.1855,1.77729,1.29919,0.0612,15.27308,1.32598
1,23,-0.27395,1.52819,1.24134,-0.00534,17.21679,2.11205
1,23,0.06398,1.89149,1.22731,0.03684,24.31691,1.77807
1,23,0.02808,1.9009,1.40744,-0.06348,14.29149,3.09792
