frame,DetObj#,x,y,z,v,snr,noise
0,20,-0.27763,1.37311,1.51839,0.0496,13.14811,4.0397
0,20,-0.3626,1.39156,1.5643,-0.08299,13.67721,2.52735
0,20,-0.37422,1.35598,1.38908,0.06279,10.2204,2.62487
0,20,-0.50104,1.45298,0.92833,-0.0507,19.80524,2.91118
0,20,-0.34145,1.22391,1.12381,-0.11104,15.28586,3.32056
0,20,-0.41348,1.41587,1.4225,0.10855,18.12376,1.28923
0,20,-0.38214,1.54261,1.3779,0.1063,17.2451,2.77359
0,20,-0.29836,1.54985,1.51139,-0.12979,13.58093,2.78439
0,20,-0.43754,1.51065,1.18818,-0.15325,11.96124,2.22945
0,20,-0.53183,1.61413,1.35848,-0.05293,16.51312,1.1567
0,20,-0.48805,1.63648,1.25072,0.00995,12.6901,2.19874
0,20,-0.5565,1.31523,1.33223,0.0115,11.55715,2.44302
0,20,-0.44547,1.67047,1.19906,-0.10817,15.08485,1.96179
0,20,-0.36683,1.35036,1.291,-0.00844,13.45037,4.03786
0,20,-0.1756,1.55358,1.55276,0.04464,9.89305,4.32483
0,20,-0.38808,1.36683,1.63422,-0.03906,10.87088,2.208
0,20,-0.50726,1.48285,1.27137,0.05607,20.3331,2.5922
0,20,-0.43709,1.47313,1.52094,0.08554,14.54093,1.54699
0,20,-0.21704,1.18801,1.36102,0.00674,10.89229,2.47867
0,20,-0.43777,1.36785,1.48733,-0.04458,9.97047,3.18844
1,36,-0.28407,1.4599,1.4826,-0.05001,9.9913,2.20319
1,36,-0.18805,1.53145,1.27559,0.10973,10.85024,1.10279
1,36,-0.38332,1.26091,1.50842,0.22425,12.82278,2.84122
1,36,-0.46852,1.4565,1.5537,0.0742,15.48314,1.88889
1,36,-0.22548,1.50175,1.4085,-0.17011,12.75505,2.47737
1,36,-0.3388,1.28938,1.21237,-0.04062,17.90472,2.17662
1,36,-0.26782,1.43962,1.38302,-0.1261,12.78771,2.07726
1,36,-0.48558,1.42532,1.46801,-0.04652,14.95776,3.41189
1,36,-0.28562,1.31697,1.1693,-0.06635,8.71637,2.1178
1,36,-0.2848,1.32274,1.33487,-0.13337,14.06801,2.60382
1,36,-0.25912,1.50703,1.13842,0.22006,17.01149,2.26685
1,36,-0.43827,1.4101,1.61233,-0.03969,15.204,2.13186
1,36,-0.29183,1.42807,1.79214,0.02117,8.96604,2.04809
1,36,-0.40807,1.3375,1.39175,-0.13841,12.41858,2.024
1,36,-0.47283,1.24262,1.4897,0.03237,8.84244,3.19415
1,36,-0.39131,1.5202,1.33697,-0.08578,12.81452,1.47308
1,36,-0.19753,1.39405,1.30461,0.15421,11.79467,2.02971
1,36,-0.34244,1.38944,1.2438,-0.14084,6.20392,1.80603
1,36,-0.40819,1.36837,1.2784,-0.11501,10.20824,3.04171
1,36,-0.35493,1.36195,1.15874,0.18667,12.76033,1.88549
1,36,-0.4778,1.30914,1.63695,-0.11639,14.05906,2.179
1,36,-0.22027,1.30379,1.25662,-0.06878,10.41341,2.80332
1,36,-0.29751,1.50195,1.49794,0.05172,15.51883,1.65726
1,36,-0.56257,1.28967,1.10971,0.14435,16.03744,2.61888
1,36,-0.31868,1.65461,1.23456,0.12311,17.11896,2.34962
1,36,-0.16674,1.40153,1.33014,0.07259,20.04072,2.69497
1,36,-0.42148,1.57029,1.44174,-0.01428,13.92138,3.24318
1,36,-0.45442,1.3214,1.20891,0.15793,8.92787,3.21183
1,36,-0.40609,1.47191,1.38482,0.13421,12.78077,3.24433
1,36,-0.18823,1.13906,1.2071,-0.10562,16.9034,2.37461
1,36,-0.35155,1.63661,0.97119,-0.00793,13.09869,2.76178
1,36,-0.45334,1.39443,1.65856,0.10241,9.12985,0.178
1,36,-0.31813,1.4738,1.2138,0.13967,18.29594,2.99305
1,36,-0.24614,1.59822,1.38554,0.11709,6.61947,4.28302
1,36,-0.24142,1.55924,1.24644,-0.11834,10.70011,2.42122
1,36,-0.63974,1.40464,1.64432,-0.06178,13.12882,2.4892
2,37,-0.3836,1.20156,1.27349,-0.07462,17.86229,2.98834
2,37,-0.46954,1.47372,1.17695,0.21806,18.37917,0.7904
2,37,-0.39672,1.32009,1.42973,0.1173,8.39152,2.09515
2,37,-0.27225,1.59459,1.40068,0.10242,16.58566,2.87699
2,37,-0.24201,1.54839,1.50377,0.13317,16.56503,2.89175
2,37,-0.3903,1.41794,1.31125,0.06269,15.20783,1.93564
2,37,-0.19456,1.48121,1.25939,-0.16038,16.46862,1.07455
2,37,-0.31903,1.32427,1.46244,-0.14477,11.60026,3.22384
2,37,-0.36438,1.39485,1.26016,-0.07393,17.22846,2.11797
2,37,-0.24805,1.58041,1.04059,-0.11774,14.61669,2.29878
2,37,-0.37781,1.36731,1.16598,-0.15608,7.77961,2.57621
2,37,-0.2579,1.40503,1.5837,0.17718,16.76404,2.58753
2,37,-0.45162,1.43454,1.25764,0.01978,17.20948,2.03365
2,37,-0.23773,1.40317,1.5651,-0.09555,17.01274,2.54607
2,37,-0.3176,1.46391,1.22784,-0.10552,26.88056,3.19403
2,37,-0.26137,1.19059,1.33385,-0.09708,16.57747,2.16753
2,37,-0.46923,1.25374,1.16954,0.10021,19.78436,2.76663
2,37,-0.42802,1.62526,1.13325,0.12799,10.5372,2.66646
2,37,-0.22296,1.58425,1.55478,0.17528,19.27682,2.21033
2,37,-0.34089,1.43899,1.50641,-0.04124,16.36053,1.97886
2,37,-0.17555,1.178,1.45066,0.08549,15.21186,2.82481
2,37,-0.42367,1.57289,1.16762,-0.003,12.71309,2.18361
2,37,-0.31072,1.6067,1.35383,-0.15609,20.11648,3.63636
2,37,-0.41813,1.26308,1.38599,-0.06392,10.07008,1.80165
2,37,-0.34737,1.49724,1.36788,0.04718,16.09803,2.82715
2,37,-0.20764,1.29133,1.47524,0.1423,22.17391,2.55928
2,37,-0.62344,1.46699,1.13968,0.17913,13.35009,1.86419
2,37,-0.37575,1.51179,1.37874,-0.06118,10.24179,1.70814
2,37,-0.29369,1.60141,1.34477,0.1622,7.3309,2.58395
2,37,-0.30379,1.43637,1.54706,-0.14163,15.72577,2.54616
2,37,-0.35138,1.42774,1.38769,0.09754,20.30248,2.31734
2,37,-0.21573,1.43009,1.45439,-0.18046,15.05865,2.66356
2,37,-0.35134,1.35252,1.35199,0.12836,17.29997,2.00748
2,37,-0.62315,1.32408,1.35839,-0.07135,12.74524,2.83019
2,37,-0.38781,1.51,1.49725,-0.12726,18.02286,3.20914
2,37,-0.33662,1.40554,1.4096,-0.0961,15.48943,3.51698
2,37,-0.46462,1.43066,1.41392,-0.10711,9.82425,2.8335
3,25,-0.2542,1.34819,1.4213,0.14557,9.68633,2.85069
3,25,-0.47478,1.35562,1.44258,-0.14661,10.59114,2.8032
3,25,-0.30892,1.28143,1.55443,-0.04782,15.63258,2.53836
3,25,-0.12877,1.58231,1.34753,-0.10372,17.38413,1.3563
3,25,-0.28103,1.47179,1.78355,0.15541,14.41841,2.36889
3,25,-0.42521,1.49342,1.45264,0.05568,9.73313,3.58969
3,25,-0.13501,1.23196,1.45158,-0.01663,10.10314,1.25052
3,25,-0.41519,1.53577,1.53035,-0.09663,20.24412,1.74246
3,25,-0.11048,1.58051,1.54332,-0.11467,12.10335,2.53026
3,25,-0.61848,1.19933,1.2345,-0.11116,16.38763,2.50176
3,25,-0.33358,1.43298,1.12599,0.0782,8.58969,2.509
3,25,-0.44205,1.43633,1.20579,0.28237,15.21181,1.48572
3,25,-0.28002,1.70511,1.08975,-0.08209,8.29441,1.74907
3,25,-0.34108,1.57299,1.50485,-0.23931,12.88396,1.71056
3,25,-0.38078,1.45027,1.61293,-0.06068,9.71496,1.70243
3,25,-0.48559,1.38875,1.49164,-0.09233,6.39529,3.26786
3,25,-0.31012,1.44083,1.19628,-0.11663,12.64257,1.46206
3,25,-0.21029,1.35171,1.22238,0.09127,14.56266,3.80666
3,25,-0.38859,1.50626,1.52428,-0.11267,12.16729,1.98004
3,25,-0.25242,1.29227,1.19132,0.11009,8.28825,2.00502
3,25,-0.25474,1.64746,1.25481,-0.08409,12.00995,3.4229
3,25,-0.26849,1.53523,1.51824,-0.05329,10.80019,2.47065
3,25,-0.5117,1.682,1.48548,0.05482,14.92455,2.40373
3,25,-0.24776,1.32181,1.2917,0.02314,6.82352,2.74736
3,25,-0.29261,1.29814,1.53653,-0.01316,13.64949,1.95827
4,23,-0.35984,1.52809,1.33513,-0.16229,14.05138,1.96596
4,23,-0.3474,1.45159,1.30991,0.20427,12.7098,2.6423
4,23,-0.43068,1.54454,1.22128,0.11364,11.72834,2.52685
4,23,-0.28263,1.48169,1.59921,0.07686,20.52671,2.41451
4,23,-0.34689,1.68476,1.41324,0.05327,9.31538,1.40571
4,23,-0.38617,1.48848,1.3284,0.1303,18.42132,1.5497
4,23,-0.25474,1.59232,1.46998,0.12377,8.62201,4.40267
4,23,-0.1913,1.5342,1.34394,-0.1232,16.11244,1.68843
4,23,-0.44028,1.51851,1.26563,0.1735,13.2165,2.52354
4,23,-0.1504,1.52422,1.20789,-0.1103,21.21583,2.17362
4,23,-0.17742,1.34929,1.07316,-0.15299,7.42365,2.89489
4,23,-0.41107,1.56913,1.44522,0.14218,15.33688,2.52487
4,23,-0.2167,1.62664,1.16811,0.14016,17.99448,3.01698
4,23,-0.21803,1.3545,1.61881,0.06573,18.58773,3.12129
4,23,-0.27281,1.39613,1.16482,0.01699,7.44046,2.13701
4,23,-0.28549,1.39607,1.33137,-0.19587,12.32803,3.03942
4,23,-0.25938,1.54744,1.22775,0.13072,16.37555,1.84392
4,23,-0.31286,1.44521,1.50329,0.17352,12.51905,2.60619
4,23,-0.37208,1.41086,1.44679,-0.11961,10.63197,2.75206
4,23,-0.27254,1.53232,1.32845,-0.07583,11.69444,3.10768
4,23,-0.18682,1.6165,1.72866,0.08191,16.19502,2.17497
4,23,-0.37404,1.70099,1.32984,0.03269,10.5363,2.94945
4,23,-0.33953,1.36818,1.18916,-0.14519,7.99239,3.60753
5,23,-0.45067,1.3891,1.46527,-0.07628,12.2438,3.01265
5,23,-0.49415,1.29888,1.5462,0.15458,9.17223,3.05852
5,23,-0.40016,1.51772,1.54583,0.1111,11.39074,2.51364
5,23,-0.57951,1.4247,1.24253,0.13155,17.37186,1.74038
5,23,-0.16971,1.40977,1.09325,0.10447,13.7002,2.42497
5,23,-0.51237,1.35187,1.05877,-0.1339,12.60348,2.38742
5,23,-0.45343,1.6197,1.57747,-0.0933,19.32294,2.93832
5,23,-0.59041,1.53933,1.16922,-0.04895,15.79722,2.95408
5,23,-0.58377,1.65853,1.60627,-0.11814,13.28314,1.8206
5,23,-0.47692,1.34706,1.26205,-0.12488,12.60649,2.65261
5,23,-0.34253,1.52352,1.20608,-0.17046,14.71914,2.67649
5,23,-0.27547,1.42654,1.46627,-0.15362,11.50299,2.30539
5,23,-0.17394,1.31028,1.10885,0.11786,8.16653,2.42314
5,23,-0.25649,1.55594,1.3934,0.00089,16.87159,1.82999
5,23,-0.30032,1.51491,1.25188,-0.00526,15.41738,2.99456
5,23,-0.34507,1.33945,1.53839,-0.17531,16.09672,4.20581
5,23,-0.24843,1.29978,1.60447,-0.17507,13.99338,2.41733
5,23,-0.38667,1.47503,1.38947,0.14444,18.27382,1.30195
5,23,-0.48068,1.22964,1.3586,-0.10732,9.27903,1.69109
5,23,-0.32582,1.2943,1.32101,-0.16649,20.81522,2.73824
5,23,-0.24726,1.21985,1.51774,-0.29108,10.45239,2.9443
5,23,-0.4025,1.69966,1.25685,-0.08723,13.08584,3.27348
5,23,-0.52062,1.3416,1.02338,-0.19367,14.99293,1.7827
6,23,-0.36548,1.65184,1.37583,-0.13309,13.62274,1.28026
6,23,-0.27424,1.50443,1.12036,0.08407,16.44394,2.24924
6,23,-0.36449,1.64688,1.29722,-0.08936,15.13666,2.13761
6,23,-0.1874,1.5196,1.11783,0.0133,13.95357,3.18847
6,23,-0.38729,1.37374,1.18643,0.17628,12.19754,2.95763
6,23,-0.24588,1.39697,1.50038,0.02694,13.88543,1.97314
6,23,-0.46931,1.43192,1.48933,-0.06703,20.1805,2.62448
6,23,-0.28775,1.41656,1.40001,0.0091,15.77139,1.4805
6,23,-0.32897,1.56862,1.45354,0.13203,12.60241,2.72715
6,23,-0.42484,1.52946,1.24182,0.10346,16.86698,2.4917
6,23,-0.49908,1.82555,1.48767,-0.19589,12.39977,3.02491
6,23,-0.30069,1.58147,1.36241,-0.0701,10.81524,0.93316
6,23,-0.32662,1.6919,1.20042,0.10473,14.03586,1.8414
6,23,-0.58488,1.3382,1.24146,-0.14355,12.9017,2.64837
6,23,-0.35112,1.40606,1.39916,0.20504,17.20331,3.34868
6,23,-0.2546,1.39986,1.49904,0.102,15.79008,3.40265
6,23,-0.37885,1.6915,1.4246,-0.04254,18.8446,1.02576
6,23,-0.25993,1.53952,1.38538,0.17326,13.80374,3.46272
6,23,-0.1317,1.45396,1.11025,-0.13002,12.42292,2.13023
6,23,-0.35292,1.49928,1.32413,0.147,16.5816,2.72758
6,23,-0.62963,1.46613,1.45877,-0.11423,15.23949,1.91617
6,23,-0.55978,1.48854,1.40596,-0.04893,13.51567,2.96757
6,23,-0.19885,1.57306,1.28769,0.16213,9.96623,2.77459
7,30,-0.33089,1.57824,1.39394,0.15921,15.24452,2.54792
7,30,-0.26582,1.7862,1.54437,-0.01857,13.794,2.19196
7,30,-0.24101,1.71331,1.43973,0.00282,15.84784,3.30312
7,30,-0.37945,1.53643,1.39129,-0.02458,9.59939,1.94074
7,30,-0.31222,1.80329,1.27994,0.06973,14.24722,3.59212
7,30,-0.30365,1.28652,1.12165,-0.14485,7.46431,1.89207
7,30,-0.48627,1.51847,1.22859,0.07915,16.48653,1.22484
7,30,-0.15818,1.49321,0.97573,-0.11252,11.83076,3.9119
7,30,-0.50685,1.46683,1.22837,0.18412,15.45127,2.35092
7,30,-0.24893,1.48121,1.27882,0.24953,13.22214,1.06813
7,30,-0.45656,1.64252,1.03932,0.08327,16.46959,1.81397
7,30,-0.36968,1.63893,1.41898,0.03227,14.53322,3.15915
7,30,-0.38192,1.53248,1.35832,0.12705,12.0589,2.2589
7,30,-0.34829,1.62831,1.35382,-0.00068,8.64006,3.41554
7,30,-0.07424,1.56519,1.31332,-0.0447,15.73516,1.85449
7,30,-0.32474,1.44746,1.30677,-0.06031,17.55952,2.33286
7,30,-0.31869,1.6148,1.41522,0.16873,16.69101,2.10875
7,30,-0.32788,1.5236,1.24442,0.15457,14.97686,2.20078
7,30,-0.49703,1.63806,1.30333,0.13574,18.74932,3.70901
7,30,-0.21888,1.45285,1.13234,-0.09451,18.94903,1.14441
