frame,DetObj#,x,y,z,v,snr,noise
0,20,-0.10118,1.72065,1.34049,-0.05187,14.43331,1.69692
0,20,-0.12648,1.57147,1.72059,0.02583,16.83544,2.88344
0,20,-0.20929,1.6937,1.71545,0.03606,16.99758,1.93582
0,20,-0.08531,1.79568,1.79954,-0.03034,13.57107,2.86985
0,20,-0.08985,1.64055,1.53054,-0.00985,10.68637,1.74233
0,20,0.06712,1.71516,1.5393,0.08017,15.28871,1.91347
0,20,0.10471,1.57719,1.57561,0.02802,12.56025,2.23077
0,20,0.00521,1.68214,1.22267,0.05028,18.81322,3.38607
0,20,0.01801,1.39334,1.38092,-0.05632,4.19996,3.48617
0,20,-0.14701,1.61624,1.59864,0.05516,13.36842,1.9568
0,20,-0.2512,1.7849,1.54386,0.00739,12.06168,2.79147
0,20,-0.15363,1.76462,1.63315,-0.06837,13.49826,2.81391
0,20,-0.11544,1.7451,1.18812,0.08636,9.45488,1.63583
0,20,-0.1331,1.70314,1.62539,-0.08427,12.00834,2.74812
0,20,-0.14469,1.59628,1.58968,0.08544,7.79929,2.5788
0,20,0.02468,1.71398,1.25316,0.00418,11.94371,2.58688
0,20,-0.26879,1.62514,1.18016,-0.05627,14.59255,2.73624
0,20,-0.08374,1.71083,1.62019,-0.01173,11.55977,1.95862
0,20,-0.12684,1.6986,1.61384,-0.02582,10.91755,2.41932
0,20,-0.00353,1.49016,1.44127,0.00793,14.50408,1.92856
1,32,0.07145,1.66338,1.51145,-0.00488,18.04847,2.59862
1,32,0.02172,1.67572,1.46611,-0.03645,11.65282,2.62327
1,32,-0.16263,1.81673,1.53017,0.02421,12.84203,2.4084
1,32,0.02758,1.70235,1.4933,0.05932,8.89166,3.14719
1,32,0.05706,1.75494,1.67904,-0.03022,13.67501,2.22132
1,32,-0.06498,1.68862,1.28883,0.08023,16.666,2.66552
1,32,-0.46023,1.5392,1.62922,-0.03942,17.32729,3.58208
1,32,-0.14021,1.63681,1.80961,0.02886,20.14184,2.85826
1,32,0.02202,1.57252,1.56449,-0.04955,13.06653,2.34563
1,32,-0.16744,1.72812,1.55096,-0.00511,18.54667,3.64104
1,32,-0.03924,1.7619,1.54098,0.0511,18.4776,2.19723
1,32,-0.14873,1.58106,1.51935,0.13765,12.92976,2.38752
1,32,-0.28626,1.54567,1.4273,0.00167,16.29117,1.23734
1,32,-0.0253,1.65111,1.63133,-0.11545,17.38274,4.87898
1,32,-0.12306,1.61279,1.54279,-0.03729,16.62365,2.47586
1,32,-0.09066,1.55834,1.30828,0.06946,10.51387,2.22746
1,32,-0.1931,1.73351,1.5263,-0.00047,13.07011,1.84368
1,32,-0.16499,1.735,1.40515,0.04025,12.59162,3.09526
1,32,-0.10228,1.76124,1.44131,-0.01572,14.66541,2.72345
1,32,-0.27797,1.46961,1.71153,0.02904,17.27651,2.36471
1,32,-0.1628,1.59808,1.36616,0.03082,10.81866,1.46409
1,32,-0.04611,1.59335,1.29922,0.04071,8.76896,3.34368
1,32,-0.2176,1.83539,1.7627,0.04936,14.85614,2.56474
1,32,-0.28034,1.68644,1.76452,-0.07665,17.81814,2.91599
1,32,-0.12305,1.63816,1.83024,0.04107,12.01525,2.35562
1,32,-0.33627,1.49214,1.67562,-0.05051,16.69308,2.49542
1,32,0.13292,1.6819,1.63132,-0.06076,6.85432,2.78623
1,32,-0.08152,1.58882,1.46789,-0.02271,9.61937,2.47571
1,32,-0.13914,1.68378,1.44946,-0.00328,12.85147,2.67793
1,32,-0.04226,1.60663,1.68726,-0.13073,9.18721,2.52547
1,32,-0.05382,1.58793,1.47003,0.044,12.13,3.1882
1,32,-0.19839,1.64985,1.41174,0.07622,16.37746,1.8559
2,21,-0.03871,1.83288,1.65663,0.00524,11.09322,1.89853
2,21,-0.33505,1.51788,1.5472,0.01325,14.00882,1.88184
2,21,-0.04442,1.60579,1.60669,0.01009,14.19146,2.66964
2,21,0.07803,1.56842,1.60323,0.02888,16.78025,2.83373
2,21,-0.16399,1.75937,1.59371,0.09431,10.50741,2.10484
2,21,-0.26749,1.56166,1.65736,-0.00828,14.82607,2.06219
2,21,0.12745,1.72844,1.53068,-0.10079,16.51668,2.99201
2,21,-0.11063,1.61938,1.47226,0.08747,11.83359,2.94032
2,21,-0.03716,1.62696,1.56903,0.02418,15.16376,2.39197
