frame,DetObj#,x,y,z,v,snr,noise
0,15,0.05633,1.21725,1.60898,-0.01231,11.78034,4.01567
0,15,0.0762,1.17873,1.46331,-0.02764,9.48319,2.68415
0,15,0.05087,1.14925,1.70654,0.11383,15.59707,3.35357
0,15,0.16494,1.31507,1.40466,0.09601,6.1363,2.42148
0,15,0.07662,1.08541,1.52036,-0.02533,21.00816,2.12136
0,15,0.27898,1.1507,1.41215,-0.05378,16.27756,2.36381
0,15,0.02402,1.21881,1.62694,-0.07579,11.18976,0.84745
0,15,0.40284,1.19052,1.52151,0.11113,11.1336,2.28593
0,15,0.23855,1.18647,1.49109,-0.06132,13.42372,1.6627
0,15,0.2185,1.34204,1.39136,0.16242,10.00206,1.4868
0,15,0.09922,1.25467,1.55046,0.04326,18.19065,2.60011
0,15,0.09752,1.41618,1.4821,0.009,10.10076,4.24346
0,15,-0.01333,1.14141,1.49988,0.00855,19.38931,1.43013
0,15,0.21954,1.29429,1.43986,-0.0059,8.52879,2.78287
0,15,0.28039,1.36654,1.39735,0.01046,18.43668,3.65615
1,21,0.14655,1.40076,1.30374,-0.10371,14.19191,2.15765
1,21,0.19102,1.05865,1.51148,-0.01489,14.33841,2.35153
1,21,-0.00549,1.2089,1.34289,0.03128,21.77795,2.02514
1,21,0.2072,0.91007,1.82589,-0.02425,14.50379,2.50294
1,21,-0.0564,1.44676,1.55697,0.02736,14.29298,3.03893
1,21,0.19258,1.38006,1.77048,-0.04608,18.41234,2.90521
1,21,-0.06596,1.35352,1.57055,-0.00066,16.02713,2.82253
1,21,-0.03018,1.04639,1.38015,0.06746,11.42263,3.33754
1,21,-0.11014,1.36684,1.58603,-0.06433,14.42312,1.56428
1,21,0.19667,1.47959,1.22908,-0.06532,12.86731,2.83168
1,21,0.37642,1.30129,1.67185,0.06432,10.9399,0.58348
1,21,0.14632,1.23039,1.42828,-0.01112,14.95069,3.00729
1,21,0.19237,1.22998,1.41643,0.12472,10.68326,2.87125
1,21,0.01939,1.36881,1.59725,0.09182,13.83726,3.44444
1,21,0.00031,1.17244,1.67778,0.04285,17.40753,1.15501
1,21,0.18265,1.21148,1.42045,0.05479,14.847,2.18608
1,21,0.20184,1.15144,1.5392,0.03145,13.03915,2.60174
1,21,-0.02415,1.22687,1.81157,-0.0837,16.29388,3.29692
1,21,0.07894,1.32574,1.52035,0.03538,18.00203,2.38757
1,21,0.06032,1.13744,1.27141,0.00049,12.59913,2.54308
1,21,0.23839,1.31361,1.30634,0.02187,6.49806,2.21473
2,19,0.00623,1.10363,1.42429,0.0398,13.53784,2.87542
2,19,0.20031,1.11676,1.32321,0.00236,15.3206,2.89793
2,19,-0.03237,1.17551,1.455,0.08242,11.77391,1.91117
2,19,0.16511,1.33416,1.39352,0.12296,15.58465,1.28791
2,19,-0.03487,1.23313,1.42141,-0.01171,16.07714,1.88425
2,19,0.15713,1.3222,1.65902,-0.07332,14.0318,1.88213
2,19,0.14355,1.49955,1.70199,0.014,15.45567,3.0107
2,19,-0.03971,1.42054,1.73487,0.04577,13.76766,1.61734
2,19,0.16231,1.33179,1.5218,0.04318,17.60893,2.65221
2,19,0.17165,1.30223,1.55159,0.01007,14.3581,1.62913
2,19,0.03977,1.24722,1.57413,0.05098,13.93618,2.31313
2,19,0.10562,1.4676,1.65578,0.00482,15.32324,2.02441
2,19,0.1285,1.09965,1.29472,0.04937,14.46801,3.4263
2,19,0.33551,1.00399,1.38629,0.08732,13.34031,1.98732
2,19,0.17401,1.25785,1.65588,-0.09408,19.25182,1.47578
2,19,0.03135,1.35381,1.1612,-0.03689,15.18111,4.11938
2,19,0.19559,1.15671,1.40007,0.04655,17.11863,3.20079
2,19,0.1424,1.21873,1.50606,0.147,15.79084,2.92281
2,19,0.08203,1.17888,1.56388,-0.04188,10.73259,2.02802
3,28,-0.09709,1.32919,1.3918,0.05198,18.39609,2.61198
3,28,0.07312,1.36263,1.4524,-0.00516,17.8285,1.84919
3,28,-0.11377,1.35049,1.44065,-0.02335,14.3304,3.26674
3,28,0.09982,1.36009,1.70652,0.01646,17.70596,2.45069
