frame,DetObj#,x,y,z,v,snr,noise
0,30,-0.09552,1.46974,1.491,-0.02106,11.95788,1.89563
0,30,-0.04813,1.77139,1.06986,0.05771,10.40296,2.52871
0,30,0.10175,1.31433,1.48378,-0.03085,12.95926,1.98634
0,30,-0.08787,1.43575,1.23104,-0.00668,12.62618,3.21063
0,30,-0.17578,1.40842,1.45071,-0.00422,12.02034,1.88891
0,30,-0.12503,1.48567,1.44096,0.01758,14.09657,1.44939
0,30,0.0229,1.45123,1.29225,0.0885,18.7472,2.12263
0,30,0.04547,1.34003,1.37737,-0.06973,11.2959,1.98121
0,30,0.05366,1.42556,1.30374,0.11532,15.67665,1.32056
0,30,-0.0725,1.45891,1.34701,-0.05969,10.07324,2.22614
0,30,0.09185,1.6321,1.10651,0.01721,14.10213,1.61666
0,30,0.15168,1.63718,1.39841,-0.03226,17.19554,1.0879
0,30,0.18553,1.6414,1.4705,0.036,20.29612,3.22581
0,30,0.15778,1.67651,1.4988,-0.0542,22.805,3.31458
0,30,0.16781,1.48814,1.39897,0.01333,10.17012,1.7278
0,30,0.12433,1.6511,1.25069,0.14178,16.46468,1.82015
0,30,0.08404,1.61922,1.28409,0.09619,17.04686,3.22392
0,30,-0.09732,1.49158,1.59828,-0.03665,13.27993,2.6879
0,30,-0.12783,1.5702,1.56997,-0.04022,18.53319,2.83732
0,30,-0.20479,1.54094,1.65674,-0.04118,11.04647,2.95234
0,30,0.00879,1.69115,1.15287,-0.04646,15.2239,2.09109
0,30,0.02054,1.44763,1.45216,-0.12281,10.7663,2.7191
0,30,-0.06153,1.33323,1.20836,-0.07204,14.01721,1.86765
0,30,0.06276,1.33402,1.16313,-0.03612,18.84774,2.29614
0,30,-0.03055,1.43025,1.53037,0.03731,19.38076,1.08443
0,30,-0.00807,1.33079,1.44141,0.06997,15.88651,1.15474
0,30,-0.00037,1.4559,1.46777,0.06075,11.10019,1.81358
0,30,-0.08771,1.35888,1.33648,-0.0529,18.0536,3.68831
0,30,-0.01374,1.48755,1.15702,0.08996,17.99848,3.24221
0,30,0.2401,1.38364,1.52092,0.08916,12.72356,2.45893
1,27,-0.0107,1.30375,1.50858,0.0931,14.7081,2.79061
1,27,0.07746,1.37707,1.55582,-0.04569,14.44578,3.07978
1,27,0.0393,1.49322,1.31833,0.04088,6.9161,2.23435
1,27,0.14677,1.50278,1.4295,-0.12772,13.54019,3.30829
1,27,-0.14979,1.43969,1.55869,0.02478,19.65021,2.06997
1,27,0.04286,1.24567,1.55469,0.08474,13.28425,1.36394
1,27,-0.08797,1.53061,1.4102,-0.04089,19.79037,2.56649
1,27,-0.15139,1.28354,1.24975,-0.03196,11.27534,1.12143
1,27,-0.12661,1.4231,1.26984,0.04863,13.37971,2.57964
1,27,0.14079,1.49765,1.62085,0.15031,9.00051,2.14062
1,27,0.07881,1.39297,1.36357,-0.00877,16.11896,2.72457
1,27,-0.01755,1.4875,1.54863,-0.07198,10.55033,2.30831
1,27,-0.07437,1.47407,1.44121,-0.04047,15.42426,1.24116
1,27,0.14006,1.48119,1.50153,0.0113,11.98061,1.78035
1,27,0.1846,1.43614,1.07617,0.05066,19.6288,2.35866
1,27,0.17949,1.48406,1.4256,-0.12439,14.66713,2.04112
1,27,0.06526,1.41648,1.54651,0.0288,17.23231,2.63523
1,27,-0.05166,1.22962,1.22229,-0.00973,13.02841,3.50886
1,27,-0.00939,1.31018,1.44524,-0.12643,10.18469,2.30717
1,27,0.03685,1.41894,1.45057,-0.07624,13.53726,1.59142
1,27,0.03725,1.38502,1.52364,0.06322,9.73822,2.66519
1,27,0.08948,1.34339,1.71494,-0.02161,23.25765,2.15174
1,27,0.13968,1.23762,1.38713,-0.04752,16.636,3.06201
1,27,-0.05652,1.52556,1.50499,0.04612,17.63731,1.42412
1,27,-0.151,1.35549,1.55007,0.00608,19.69008,3.12694
1,27,-0.07032,1.2585,1.34972,0.00714,13.09334,1.52824
1,27,-0.00088,1.40985,1.33235,-0.06135,16.574,2.68136
2,34,0.02932,1.62508,1.43439,0.08836,14.67903,2.3515
2,34,-0.04419,1.47503,1.45038,0.02655,12.20811,2.79367
2,34,-0.07872,1.50142,0.98834,0.11931,14.38829,2.3759
2,34,-0.19191,1.50645,1.33631,0.07294,12.08852,3.85663
2,34,0.06972,1.35141,1.58608,-0.05676,9.06311,2.53968
2,34,0.19909,1.61682,1.5219,0.05924,17.94589,2.94475
2,34,0.1069,1.2658,1.35945,-0.02367,14.78347,3.22522
2,34,-0.21003,1.33334,1.36743,-0.00789,9.0974,1.68378
2,34,-0.02213,1.43392,1.35198,-0.00887,22.94651,2.06413
2,34,0.00688,1.53088,1.27158,-0.00199,8.05662,3.09746
2,34,0.17082,1.40199,1.39245,-0.03731,11.788,2.27012
2,34,-0.0136,1.67759,1.59544,-0.10227,14.12631,1.91506
2,34,-0.04945,1.49886,1.82826,0.00512,10.49491,1.41268
2,34,0.03782,1.52645,1.44713,-0.05469,14.71143,2.05742
2,34,-0.13934,1.60169,1.25942,-0.01318,17.69801,1.95051
2,34,-0.06361,1.30785,1.45088,0.05149,19.42976,2.39001
2,34,0.08232,1.22344,1.35767,-0.03219,13.14636,1.32552
2,34,-0.1649,1.41389,1.27279,-0.16933,18.74482,2.75315
2,34,-0.01057,1.67583,1.73761,-0.09683,13.72776,3.86492
2,34,-0.12708,1.55039,1.26528,-0.05639,16.24769,2.36439
2,34,-0.11085,1.50275,1.12068,0.02572,12.82135,2.34461
2,34,-0.20404,1.33678,1.16981,0.0359,17.72411,1.70443
2,34,-0.04436,1.53967,1.2887,-0.03016,15.02857,2.64424
2,34,0.05708,1.53193,1.46201,-0.00385,11.40274,1.94562
2,34,0.00358,1.52225,1.494,-0.01163,15.6097,3.06362
2,34,0.16234,1.33023,1.36076,-0.11362,10.50876,3.29966
2,34,-0.08009,1.57502,1.35992,-0.12107,8.41122,2.46499
2,34,-0.05971,1.55389,1.36775,-0.01581,12.02918,1.3457
2,34,-0.01276,1.41103,1.49626,0.06986,9.00187,1.8638
