frame,DetObj#,x,y,z,v,snr,noise
0,25,0.48872,1.53099,0.79842,-0.01611,18.05636,3.46546
0,25,0.08284,1.62044,1.00256,0.03948,12.92355,3.09086
0,25,-0.02081,1.61237,0.95387,0.04466,18.74978,2.87961
0,25,-0.00299,1.56331,0.96318,0.11101,10.93373,2.77028
0,25,0.17459,1.48887,0.85706,0.09935,10.84579,0.7626
0,25,-0.01894,1.71972,0.55833,-0.02176,18.32189,3.22653
0,25,-0.00576,1.26892,0.98284,0.00342,12.60304,1.92386
0,25,0.18225,1.59478,0.65156,-0.08483,12.32879,1.05751
0,25,0.12581,1.47337,0.88709,0.07015,20.918,2.79134
0,25,0.64473,1.31509,0.55379,-0.06283,13.8662,2.41122
0,25,-0.06249,1.30795,0.45184,-0.07967,12.80328,3.24379
0,25,0.11445,1.4436,0.59785,0.01637,16.57145,2.65628
0,25,0.11308,1.28288,0.88996,0.15364,12.67012,3.35338
0,25,0.22848,1.66523,0.68238,-0.09371,17.0089,3.04325
0,25,-0.04587,1.58201,0.89693,0.09615,15.62237,2.46515
0,25,-0.48131,1.12265,0.77587,0.05969,13.84639,2.16138
0,25,0.04713,1.58011,0.75178,0.08768,17.79475,2.0917
0,25,0.11895,1.68611,0.84055,0.05879,17.04928,3.69569
0,25,0.06451,1.44214,0.50583,0.06268,15.98709,1.89244
0,25,0.25828,1.48022,1.16261,0.03841,16.14707,2.27538
0,25,-0.05207,1.36943,0.76229,0.10143,13.79134,1.86544
0,25,0.1425,1.30777,0.8698,-0.03642,12.29402,3.63937
0,25,0.33933,1.50807,0.36155,-0.00351,13.99562,2.17541
0,25,0.17627,1.26789,1.03692,0.03763,15.04606,2.73546
0,25,0.01138,1.33522,0.97472,-0.0438,15.78779,2.74022
1,29,0.29188,1.54145,0.77197,-0.05769,11.55117,1.63474
1,29,-0.42254,1.07972,0.9373,0.00332,10.91577,3.05565
1,29,0.2203,1.25381,1.11094,0.09955,16.71236,2.22938
1,29,0.24105,1.31472,0.83438,-0.01771,16.40202,3.2687
1,29,0.23128,1.54575,0.79703,0.17633,16.99954,2.68163
1,29,0.18218,1.37188,0.6388,0.00921,13.07718,2.67123
1,29,-0.00819,1.48052,0.71087,-0.07484,14.31537,1.97042
1,29,0.22137,1.32665,1.06491,0.03226,16.45965,2.63452
1,29,0.42905,1.2899,0.85336,-0.05268,11.84272,3.65131
1,29,-0.01964,1.45543,0.63577,0.04006,18.65397,1.81791
1,29,-0.00541,1.69023,0.79278,0.01139,17.44109,2.56019
