frame,DetObj#,x,y,z,v,snr,noise
0,21,0.03252,1.4648,0.72099,0.12555,14.91382,1.90817
0,21,0.08974,1.61687,1.12213,0.05244,15.23751,2.92821
0,21,-0.01418,1.31199,0.60846,-0.12825,12.73971,1.13194
0,21,-0.1025,1.70131,1.03764,-0.08719,14.95319,1.92219
0,21,-0.06044,1.39469,0.91356,-0.06557,12.28588,2.64379
0,21,-0.11359,1.51979,1.18054,0.0916,14.79678,2.6585
0,21,0.08399,1.39427,1.26433,0.09726,11.5648,2.51841
0,21,-0.11325,1.35435,1.13569,0.02158,16.70313,3.43647
0,21,-0.3513,1.40512,0.80879,-0.00356,19.00313,1.90585
0,21,-0.21332,1.61048,1.46541,-0.03489,16.52306,3.17311
0,21,-0.03092,1.35899,1.31685,0.0072,9.29484,2.71278
0,21,0.09286,1.19752,1.08384,0.05786,18.60815,1.04159
0,21,-0.40818,1.30045,1.09484,0.08144,4.4087,1.85266
0,21,-0.35815,1.31181,0.83991,-0.06934,13.79399,2.57162
0,21,-0.08446,1.45785,0.74643,-0.07895,10.83662,2.38539
0,21,0.13262,1.18933,1.00631,0.03726,17.01695,1.87485
0,21,-0.42002,1.28455,1.18668,-0.03147,7.41029,3.17296
0,21,-0.18598,1.51,1.03611,-0.03923,11.98016,3.08275
0,21,0.0872,1.37517,0.8119,0.03904,19.38303,2.88954
0,21,-0.03084,1.45219,1.19759,-0.05833,11.56417,3.3662
0,21,-0.27798,1.42408,0.871,-0.05039,15.48553,1.93684
1,25,-0.16521,1.29484,0.73216,0.08416,9.76337,2.82592
1,25,0.01149,1.23216,0.98359,0.01256,16.13717,3.54472
1,25,0.05984,1.42144,1.17858,-0.0726,10.19937,2.31112
1,25,-0.07846,1.01546,1.12211,0.00403,6.20781,1.99492
1,25,-0.10733,1.35316,1.07849,-0.01064,9.78016,3.10308
1,25,0.09104,1.22859,1.21217,0.07305,16.29187,2.81589
1,25,-0.03673,1.14542,0.9994,-0.04079,13.33866,1.93042
1,25,-0.10296,1.29338,1.04171,-0.03948,16.09185,3.21661
1,25,0.13898,1.49061,1.15785,-0.07447,18.14552,2.57682
1,25,0.0745,1.1207,1.01487,-0.10554,12.29162,2.36495
1,25,-0.3218,1.73106,0.94386,0.01385,13.32149,1.90794
1,25,-0.24999,1.31642,1.10974,-0.06694,14.69987,2.4998
1,25,-0.32946,1.45213,0.68318,-0.07315,16.88562,1.13119
1,25,-0.29859,1.24084,1.14834,0.0763,17.63048,3.15249
1,25,0.08382,1.12225,0.98644,-0.05188,13.35969,1.83161
1,25,-0.26016,1.69706,0.98687,-0.05367,9.83738,2.33394
1,25,-0.0747,1.43756,0.92812,-0.04764,11.17761,2.388
1,25,0.0384,1.35499,1.27893,0.0945,10.38944,1.68495
1,25,0.06447,1.15985,0.98947,-0.03895,20.0736,2.53886
1,25,-0.09296,1.36596,0.92819,-0.02452,19.46808,3.039
1,25,0.17857,1.52151,1.27045,0.03971,17.45936,2.38844
1,25,-0.07054,1.15232,1.2144,0.0612,13.60052,2.51604
1,25,0.15564,1.46149,0.97774,-0.12942,12.54569,2.37048
1,25,-0.1694,1.24787,0.9862,0.05166,5.02166,3.74661
1,25,-0.35092,1.33848,1.01496,-0.06456,15.54078,2.06121
2,30,-0.01803,1.27174,0.94433,-0.07825,12.41831,3.1632
2,30,-0.06853,1.2099,1.01548,-0.0819,11.62535,1.82636
2,30,-0.35251,1.18501,1.12351,-0.03265,15.91733,2.11104
2,30,-0.20152,1.35301,1.13087,-0.01809,16.81913,3.11884
2,30,-0.09563,1.34225,0.97028,-0.08815,11.12363,2.60123
2,30,0.20619,1.26862,0.99939,0.12509,15.22137,3.32123
2,30,0.03634,1.19718,0.93225,0.03885,12.92807,2.37757
2,30,-0.17421,1.6746,0.90879,-0.08708,10.43184,2.13343
2,30,-0.01711,1.31436,1.21006,0.0534,12.24933,2.50134
2,30,0.01879,1.34197,1.15431,-0.03985,21.37177,2.12168
2,30,0.01155,1.4503,1.17721,-0.09712,11.24544,2.47936
2,30,0.03745,1.41063,0.85067,0.00938,13.84167,2.08419
2,30,-0.26288,1.27044,1.12076,0.10246,9.22213,3.08179
2,30,-0.09981,1.50048,0.963,-0.11573,11.78513,3.0767
2,30,-0.04406,1.56067,1.23306,-0.11152,12.48885,2.88654
2,30,-0.15804,1.36911,0.89597,0.07333,14.99725,3.43941
2,30,-0.07377,1.47234,1.11149,-0.03908,15.52609,1.65541
2,30,-0.17067,1.27169,0.90906,-0.05868,17.52427,1.86711
2,30,-0.50724,1.56462,1.18428,0.05053,12.29255,2.43195
2,30,0.05161,1.2842,1.14721,0.03204,18.58919,2.38887
2,30,-0.29206,1.18918,1.17133,-0.05658,17.48488,3.73687
2,30,-0.1513,1.38286,1.08682,-0.11472,18.66151,2.96627
2,30,-0.19273,1.15568,1.25829,-0.01984,15.13658,3.07295
2,30,-0.40367,1.44898,1.0104,0.00245,12.02194,4.1713
2,30,-0.17601,1.438,1.24195,-0.03366,11.25604,1.55731
2,30,0.09721,1.30403,1.28367,0.06111,12.57653,3.01137
2,30,-0.02638,1.53416,1.02658,-0.09927,12.24669,2.80724
2,30,0.09173,1.41045,0.7628,-0.00719,13.69729,2.88178
2,30,-0.35892,1.35897,0.81939,0.00317,15.6013,2.19408
2,30,0.00558,1.5013,0.77021,0.01119,15.95795,3.67432
3,34,-0.34402,1.48197,1.00961,0.09679,14.79633,2.99783
3,34,-0.01022,1.46733,1.06122,0.01368,13.81386,2.72291
3,34,0.17964,1.56519,1.08565,-0.05215,15.12625,1.32119
3,34,-0.24873,1.04061,1.40913,0.11091,16.19039,1.71926
3,34,-0.15371,1.1317,0.96001,0.10001,18.18036,2.63069
3,34,0.20826,1.53028,1.26915,0.13852,8.17772,3.10456
3,34,-0.0827,1.24021,1.14702,0.02444,12.85223,3.47912
3,34,-0.07273,1.3657,1.071,0.10001,16.12337,2.46024
3,34,-0.24576,1.21223,1.40321,-0.02115,9.83809,2.65979
3,34,-0.0666,1.36743,1.17146,-0.02052,19.88017,2.37067
3,34,-0.0148,1.42684,1.0204,0.07589,16.22597,0.91389
3,34,-0.22025,1.78441,1.09316,0.05474,15.90278,1.79686
3,34,-0.25608,1.07423,1.31033,-0.11981,16.75932,3.04728
3,34,0.24634,1.37728,1.27181,0.01524,19.94932,2.05229
3,34,0.07655,1.3299,1.01797,-0.04343,13.43203,2.52805
3,34,-0.01383,1.397,0.96531,0.00719,16.81462,3.10883
3,34,-0.2326,1.29129,1.05329,-0.1162,16.77381,2.0832
3,34,-0.15626,1.41722,1.13903,-0.05236,15.58041,3.40833
3,34,-0.29473,1.26734,1.02441,0.07135,11.50456,2.67094
3,34,0.19141,1.42334,1.22475,0.06297,16.77464,3.29576
3,34,-0.07084,1.19026,1.18078,-0.02617,10.9366,3.55552
3,34,0.0972,1.3697,1.14576,0.00398,11.11127,2.76118
3,34,-0.28184,1.36795,1.03666,-0.13324,7.09369,3.04242
3,34,-0.47377,1.55329,1.10812,-0.03913,11.34816,3.09793
3,34,-0.00866,1.47073,1.13023,-0.01287,10.49547,2.71323
3,34,-0.45969,1.39955,1.06304,-0.02602,11.39807,2.40115
3,34,0.09682,1.48213,0.91105,-0.0364,17.00799,2.18397
3,34,-0.24989,1.25112,0.97276,-0.04546,15.1456,1.98543
3,34,0.07587,1.40961,1.19173,0.02895,10.52021,2.75335
3,34,-0.26407,1.42807,1.18283,-0.02736,11.70077,3.76085
3,34,-0.19301,1.37544,1.03473,0.05404,13.55027,1.71287
3,34,0.13079,1.57547,1.00994,0.07946,12.1999,2.54613
3,34,-0.23647,1.40102,1.18576,0.16411,9.2671,2.10512
3,34,-0.21113,1.4163,1.06013,-0.07039,19.52299,2.46001
4,15,-0.09887,1.33759,1.24546,0.0808,23.71524,3.38056
4,15,-0.35679,1.49425,1.03839,-0.03908,12.23218,1.20939
4,15,-0.02949,1.31547,1.27996,-0.02174,9.68607,2.46115
4,15,0.06458,1.21063,1.10032,0.00276,9.88094,1.08219
4,15,-0.15236,1.51892,1.10159,0.00289,12.07257,2.48533
4,15,-0.37419,1.06885,1.19661,0.02229,12.01362,1.54221
4,15,-0.01318,1.52419,1.16182,0.19466,16.88045,2.76245
4,15,-0.04369,1.2528,0.97427,-0.02188,15.76798,2.94574
4,15,-0.16305,1.53096,1.2704,-0.09898,21.33683,1.92717
4,15,-0.05452,1.24806,1.04188,0.11598,12.20106,3.43715
4,15,0.09094,1.40063,1.07089,-0.07969,9.58003,1.50815
4,15,-0.2004,1.26639,1.12578,0.0071,10.64153,2.4887
4,15,-0.17116,1.53476,1.1342,0.21815,11.96777,1.4657
4,15,-0.022,1.58166,1.27377,-0.03941,9.7878,3.63718
4,15,0.08849,1.459,1.1642,-0.11704,12.05601,2.7788
5,26,0.02799,1.12313,0.91922,0.14603,11.1628,1.96944
5,26,0.00715,1.58522,1.19345,-0.02799,10.81885,1.90182
5,26,-0.32176,1.60973,1.16558,-0.0069,15.32097,1.54372
5,26,-0.16084,1.28565,1.00816,0.01967,16.4869,3.48086
5,26,-0.07501,1.5301,0.99193,0.04613,14.87329,1.64643
5,26,0.02865,1.21199,0.84114,0.01427,17.22421,2.12974
5,26,-0.11864,1.38503,0.71301,-0.00542,14.49386,1.58853
5,26,-0.20931,1.23102,1.38418,-0.08611,7.97247,2.06192
5,26,0.13007,1.34087,1.13717,-0.09642,4.2302,3.03854
5,26,-0.05226,1.11825,1.00979,0.01105,16.35263,3.07255
5,26,-0.25003,1.34903,1.03692,0.02998,13.95474,2.21856
5,26,0.1832,1.40657,1.21079,-0.02633,14.84918,2.82168
5,26,0.12536,1.18101,1.05437,-0.01683,11.35696,2.28731
5,26,-0.1638,1.26345,1.35455,-0.04494,6.13286,1.69457
5,26,-0.14505,1.59755,1.32207,-0.06868,14.4749,2.91562
5,26,-0.2467,1.12306,0.98226,-0.10299,17.62623,2.93295
5,26,-0.07704,1.5361,0.96122,0.06698,15.13987,2.62136
5,26,0.1329,1.63221,1.01234,0.01042,11.7801,2.60253
5,26,-0.00513,1.55959,1.29075,-0.10852,15.01798,1.07616
5,26,0.1548,1.28008,1.41262,-0.02989,12.8632,3.05691
5,26,-0.34863,1.25947,1.21104,-0.09395,11.501,2.00198
5,26,-0.06809,1.44758,0.80277,0.03478,15.12336,2.93612
5,26,0.05955,1.15178,1.12153,0.00162,13.03925,2.9116
5,26,-0.3141,1.06592,1.16303,-0.08429,15.10496,0.44324
5,26,-0.15131,1.47849,1.08088,0.00551,13.07933,3.11677
5,26,-0.02045,1.24826,1.22251,0.06862,13.80093,1.99458
6,36,0.07491,1.66185,1.03369,0.0483,17.65982,2.33213
6,36,0.02273,1.71041,1.09554,-0.1031,14.83731,1.69195
6,36,-0.01793,1.57224,0.94654,-0.1008,16.2979,2.97396
6,36,-0.14893,1.51697,1.08733,-0.06701,14.24343,2.60597
6,36,0.14639,1.61763,1.07121,-0.01363,14.79848,2.24004
6,36,-0.34149,1.12457,1.11381,0.13445,12.80488,1.48706
6,36,-0.04566,1.46367,0.84837,-0.06259,12.02311,1.82039
6,36,-0.18995,1.29653,0.8198,-0.02404,14.88933,2.42205
6,36,-0.22096,1.33421,1.13143,-0.0991,13.86007,3.03988
6,36,-0.4049,1.31435,0.96716,-0.02132,10.76033,2.49012
6,36,0.09903,1.51951,1.0517,0.03567,20.02986,1.61032
6,36,-0.16016,1.58638,0.99159,0.02369,11.08129,1.65871
6,36,-0.09136,1.46439,1.20327,0.0381,12.32211,2.58259
6,36,0.15316,1.3157,1.11374,0.02716,21.61126,1.57925
6,36,-0.02978,1.43775,1.26223,0.02827,11.94366,1.66006
6,36,-0.02157,1.23828,0.99383,0.02222,17.5207,1.32722
6,36,0.06014,1.14884,1.31149,0.02827,14.98709,2.26296
6,36,-0.1414,1.52391,0.86648,-0.0392,12.46487,1.17386
6,36,0.12699,1.52729,1.4489,0.14375,14.35402,1.91619
6,36,-0.13881,1.41149,1.09205,0.02412,14.98749,2.30006
6,36,-0.22212,1.51167,1.25265,-0.12739,13.8541,1.74696
6,36,0.11321,1.17005,1.19997,-0.06225,15.03735,3.22068
6,36,-0.34518,1.44173,1.11705,0.00489,18.57484,2.76827
6,36,0.10216,1.24375,0.99401,-0.04103,11.68352,2.11366
6,36,-0.51891,1.47332,1.30567,0.06245,10.93872,1.79758
6,36,-0.0475,1.38455,1.09255,-0.05507,14.18192,1.77117
6,36,-0.04298,1.20656,1.34333,0.02391,10.41513,2.27516
6,36,-0.26984,1.02874,0.90167,-0.01214,12.29303,1.89927
6,36,-0.39952,1.44383,1.18239,0.06039,13.13077,3.21956
6,36,-0.14489,1.09421,1.11996,0.00646,14.34571,1.50845
6,36,0.1115,1.78168,1.10903,-0.05927,14.28179,2.783
