frame,DetObj#,x,y,z,v,snr,noise
0,18,0.03531,1.65512,1.11245,-0.04434,16.23449,2.19471
0,18,0.14188,1.93951,0.98605,0.02223,14.51225,2.03225
0,18,-0.36362,1.94568,0.73505,-0.0522,12.55475,2.20928
0,18,0.26855,1.68404,1.28365,-0.0052,10.96722,1.80998
0,18,0.10864,1.98855,1.0073,-0.01329,7.12587,1.20194
0,18,0.11578,1.88453,0.77668,-0.09493,13.02863,1.96925
0,18,0.13447,1.96407,0.85787,0.077,9.9243,1.57179
0,18,0.11749,2.09662,0.96829,-0.07677,7.52064,2.06436
0,18,0.02392,1.73109,0.72717,0.0333,20.00289,2.27875
0,18,0.36049,1.80045,0.93347,0.03199,13.3449,2.09685
0,18,-0.13091,1.89419,1.17469,0.00405,15.24515,2.27253
0,18,0.17586,1.69538,0.77496,-0.00397,18.63516,2.84059
0,18,0.31175,2.09841,1.09746,0.03904,14.82813,2.49449
0,18,0.22502,1.58006,1.07041,0.07727,16.79345,1.74466
0,18,-0.43265,1.85003,0.95073,0.00193,19.72653,2.81927
0,18,-0.11673,1.70771,0.96784,0.16403,11.07422,3.45745
0,18,0.29523,2.11946,0.97424,-0.04032,9.72385,2.2847
0,18,-0.04167,1.80974,1.10049,0.04805,18.71565,1.49481
1,31,-0.05851,2.06322,0.72754,0.04433,20.96191,1.35868
1,31,0.21203,2.23335,0.84491,-0.07059,16.21843,2.67925
1,31,0.08063,1.38804,0.82832,-0.02355,10.14381,2.59539
1,31,0.06995,1.79974,0.96879,-0.02776,12.06161,3.18003
1,31,0.2467,1.75021,1.13917,-0.1447,21.23244,1.12649
1,31,0.04177,2.09859,1.2141,-0.00561,23.33984,2.57581
1,31,-0.01886,1.75387,0.88348,-0.03258,13.88179,1.42653
1,31,-0.00137,2.0019,1.22433,0.12813,11.74259,2.56193
1,31,-0.01969,1.68341,0.94364,0.10819,19.64269,1.47039
1,31,0.27623,1.67556,0.67814,-0.17423,13.22231,1.9119
1,31,-0.10059,1.84024,0.83234,0.02077,13.73054,2.35704
1,31,-0.12199,1.69823,1.1297,0.00445,13.50966,3.19684
1,31,-0.01878,1.6482,0.86225,-0.06456,13.36609,2.59709
1,31,0.15512,1.7086,1.09597,0.07553,12.81994,3.90615
1,31,0.34318,1.99961,1.41648,-0.01656,11.378,2.35728
1,31,-0.02935,1.83222,0.84173,0.03825,13.7371,1.38337
1,31,0.03579,1.65051,1.10108,-0.1792,18.14942,1.23962
1,31,0.07725,1.95461,1.13656,0.07897,17.77951,2.10199
1,31,0.05409,1.98812,1.11768,0.00554,13.34044,1.79076
1,31,-0.30589,1.54999,1.16043,-0.04062,8.12439,3.39039
1,31,-0.09758,2.15611,0.60013,-0.0163,8.24818,2.16712
1,31,0.15767,1.79445,1.08692,0.04483,13.63171,1.78847
1,31,0.11,1.71428,1.05956,-0.0783,14.34327,2.44337
1,31,-0.22268,1.56967,0.86173,-0.00974,12.89688,2.24033
1,31,-0.64427,2.21257,0.84751,-0.0331,16.03023,2.95806
1,31,-0.28751,2.09642,1.18441,-0.06939,13.88661,3.04495
1,31,0.15413,1.78579,1.21995,-0.06879,14.77029,1.92734
1,31,-0.12919,1.62347,1.15752,0.10325,14.1626,2.53133
1,31,0.03059,1.98868,1.08196,0.08783,17.59947,2.8814
1,31,-0.13037,1.83421,0.9502,0.09228,11.17478,2.89275
1,31,0.0964,1.99857,0.99172,-0.02487,7.05149,3.16633
2,35,0.5046,1.72951,0.96205,0.04338,9.30726,2.193
2,35,0.43997,2.06577,1.28122,-0.06635,18.72718,1.34418
2,35,0.08612,1.83334,0.83507,-0.07231,10.60052,2.58117
2,35,0.34843,2.01993,0.81207,0.10955,10.32667,2.50924
2,35,0.20252,1.88613,0.88976,0.04447,11.18666,2.21769
2,35,0.03734,1.74573,1.02827,0.01796,18.9981,1.94088
2,35,0.30735,2.10185,1.18212,0.04546,11.62454,2.40649
2,35,-0.18746,1.70835,0.88084,0.06689,16.64351,2.40279
2,35,-0.24816,1.63423,1.35274,0.11174,12.08821,3.17009
2,35,0.26058,1.7922,1.01469,-0.04973,6.15047,2.72261
2,35,-0.011,2.09706,1.29058,0.10477,17.26863,1.56238
2,35,-0.11311,1.86416,0.82896,-0.07098,8.78622,2.20038
2,35,0.07513,1.96391,1.02768,0.08114,15.9832,1.31478
2,35,-0.00677,1.90575,1.01201,0.14083,13.0951,2.8697
2,35,-0.16664,1.95822,1.14448,-0.01922,9.56502,2.45312
2,35,-0.00267,1.91335,0.88284,0.09351,20.4149,1.35119
2,35,-0.09798,1.96679,0.95606,-0.0109,12.8227,3.77473
2,35,0.22284,1.88959,1.02325,0.11921,9.49908,2.70872
2,35,0.26291,1.85998,1.18385,-0.01551,21.16076,2.74261
2,35,-0.04262,1.9167,0.93925,0.01216,13.60062,3.02306
2,35,-0.05977,1.88869,0.68831,0.03549,15.41839,1.41022
2,35,0.32502,1.71909,0.86934,-0.09388,8.0587,2.12196
2,35,-0.44847,1.86562,0.8385,0.03565,14.34268,1.03742
2,35,0.01559,1.98341,0.94126,0.08443,16.69512,2.57575
2,35,0.13011,1.70075,1.02751,0.10052,15.87178,3.39088
2,35,0.1548,1.96699,1.17085,-0.05905,11.59682,1.72507
2,35,0.27324,1.68154,0.98125,0.0244,12.82296,1.63318
2,35,0.11697,2.04155,1.16357,0.06605,7.06961,2.46065
2,35,0.1478,1.58556,0.83223,-0.12206,14.50438,2.82633
2,35,0.22127,1.92197,1.02924,0.00539,12.19379,1.0772
2,35,0.20698,1.85689,1.12309,-0.02239,16.87242,3.0839
2,35,0.29381,1.67671,1.05211,0.04635,16.48014,2.15818
2,35,-0.00073,1.90756,0.80053,0.00279,12.73427,3.02886
2,35,0.18241,1.80991,1.09516,0.11435,16.60466,2.42174
2,35,0.19553,1.98371,1.02907,-0.06044,14.58141,1.92039
3,22,0.03529,2.02189,1.03272,-0.04069,21.44031,2.68094
3,22,0.28848,1.68778,1.03329,0.04449,6.01312,1.61523
3,22,-0.10392,2.10646,1.10992,0.02177,17.52168,2.9145
3,22,-0.15139,1.78637,0.94034,0.07724,11.4063,1.91474
3,22,-0.21028,2.16541,0.91463,-0.02938,9.86307,3.67478
3,22,-0.10531,1.69033,1.06646,0.01781,6.67057,2.70176
3,22,0.33735,1.70483,1.06931,0.02345,21.26631,3.22221
3,22,0.24715,2.12024,1.08718,-0.10007,19.90983,3.46549
3,22,-0.13622,1.58399,1.00737,-0.00617,11.76146,2.93859
3,22,0.03059,1.91408,1.12941,-0.08092,17.99557,3.75617
3,22,-0.18234,1.77846,0.93117,0.01542,8.91043,2.33146
3,22,0.03839,2.10748,1.08065,0.08995,7.97203,1.96152
3,22,0.27101,1.91776,1.01227,-0.01702,19.64904,1.72276
3,22,-0.13066,1.8059,1.01917,-0.08885,13.74251,3.39964
3,22,-0.206,1.61214,0.95461,0.11765,8.40251,2.18901
3,22,-0.23931,1.82756,0.83955,0.03038,15.85536,2.95996
3,22,0.27229,1.95188,1.07788,0.11094,12.50438,1.15226
3,22,-0.16224,1.51799,0.85942,-0.04241,17.18486,3.28994
3,22,0.24271,2.01158,1.09017,0.05799,15.31862,2.24648
3,22,0.10226,2.1209,0.74501,-0.0228,18.07878,3.1693
3,22,0.03025,1.87786,1.085,-0.12942,12.42742,3.34579
3,22,0.06589,1.68484,0.95091,-0.00123,13.07901,2.67959
4,37,0.17301,1.85119,0.9726,0.01957,12.94568,2.18395
4,37,-0.09927,2.11964,0.81469,0.00115,18.78044,2.04422
4,37,0.1792,2.05798,1.03177,0.07406,13.81127,2.80332
4,37,0.08701,1.71497,1.06944,0.0215,14.43814,1.39368
