frame,DetObj#,x,y,z,v,snr,noise
0,15,0.05933,1.52772,1.33382,0.0059,6.69172,2.81045
0,15,-0.10061,1.21092,1.64688,0.02955,12.66434,2.3533
0,15,-0.06016,1.47512,1.35596,-0.01526,13.70435,2.45423
0,15,-0.25416,1.32131,1.51707,0.00708,14.18027,2.99985
0,15,-0.32032,1.27108,1.70832,-0.08544,14.46163,2.06702
0,15,0.04502,1.29453,1.95087,-0.06217,17.44211,2.63844
0,15,-0.08487,1.24465,1.50179,0.0742,14.50055,3.03522
0,15,-0.04401,1.25951,1.71947,-0.0266,11.47483,1.65266
0,15,-0.07611,1.48575,1.42934,-0.00948,20.10057,2.88194
0,15,-0.15321,1.53364,1.76525,-0.03238,10.22801,2.51055
0,15,0.03475,1.17563,1.42838,-0.13365,16.87287,2.10616
0,15,-0.03704,1.47884,1.49777,-0.07614,13.91916,2.53176
0,15,0.07284,1.35232,1.4417,0.03556,12.93191,2.36278
0,15,-0.20308,1.38069,1.49009,-0.05878,20.40737,2.85394
0,15,-0.185,1.12506,1.62016,0.06032,12.07437,3.09163
1,17,-0.14948,1.51665,1.59853,-0.03391,12.94147,1.18128
1,17,-0.22359,1.48039,1.73106,-0.13832,12.44175,1.652
1,17,-0.07546,1.36536,1.30091,-0.06373,16.82534,2.89576
1,17,-0.10914,1.00499,1.42239,0.00352,16.80729,2.56535
1,17,-0.14816,1.37185,1.53543,-0.0052,12.02277,2.65139
1,17,-0.19889,1.31547,1.61315,0.08115,5.34071,2.84658
1,17,-0.221,0.94431,1.26171,0.08586,15.79457,2.22327
1,17,0.09365,1.14302,1.30978,0.05398,18.5149,2.77902
1,17,-0.23205,1.36696,1.60121,-0.02224,20.3386,2.73083
1,17,-0.10029,1.42814,1.57135,0.07036,12.62406,2.32787
1,17,-0.13487,1.21132,1.72538,0.02237,13.53676,2.51846
1,17,-0.47094,1.22439,1.67112,0.12732,16.75992,3.77644
1,17,-0.0259,1.27256,1.64172,-0.0379,13.50489,1.66919
1,17,-0.133,1.47689,1.72207,-0.00158,15.72639,1.38515
1,17,-0.15153,1.29062,1.32907,-0.03638,6.69981,3.04568
1,17,-0.15665,1.23728,1.58318,0.06306,14.39609,2.23878
1,17,-0.16536,1.49437,1.38225,0.01213,13.68859,2.2662
2,21,-0.31504,1.48483,1.50639,-0.0891,14.43771,2.74213
2,21,-0.19696,1.45336,1.53496,0.06739,20.47412,2.28078
2,21,-0.10153,1.27515,1.71183,-0.08062,21.2441,2.8963
2,21,-0.10796,1.62902,1.3366,-0.17178,9.85045,3.15928
2,21,0.12704,1.38357,1.55978,-0.07214,8.5558,2.50309
2,21,0.04814,1.35799,1.38205,-0.0196,13.44324,1.79177
2,21,-0.11522,1.33142,1.75321,0.06156,16.94004,2.34125
2,21,-0.07546,1.37795,1.4677,0.10732,12.24204,3.46385
2,21,-0.01931,1.33082,1.72259,0.00765,17.5404,2.61701
2,21,-0.04573,1.5847,1.68018,0.11864,7.91521,2.94888
2,21,-0.32138,1.39864,1.67426,0.02669,13.41391,2.80636
2,21,-0.18219,1.28085,1.65837,-0.01818,19.15719,3.62548
2,21,0.13753,1.35959,1.41948,-0.12021,15.27763,2.25802
2,21,-0.11108,1.44153,1.57591,0.10198,12.24939,3.17616
2,21,0.03155,1.31302,1.75457,0.04257,14.25359,2.30805
2,21,-0.06419,1.57187,1.67827,0.02233,10.67915,1.93173
2,21,-0.19281,1.36505,1.69794,0.02693,15.24958,2.28167
2,21,0.08914,1.39245,1.48806,0.07545,9.95508,1.94873
2,21,-0.21251,1.53023,1.63826,0.05907,17.14964,2.41633
2,21,-0.12068,1.46718,1.64159,-0.06179,13.71069,2.20201
2,21,-0.18549,1.50296,1.92746,0.03555,15.65249,2.5017
3,23,-0.03388,1.56702,1.57606,-0.02131,10.91184,0.92467
3,23,-0.15107,1.18483,1.77014,-0.02101,12.12809,3.25751
3,23,-0.13657,1.61551,1.47802,0.01237,13.75405,2.68236
3,23,0.00171,1.56499,1.45307,-0.01664,11.17202,1.55777
3,23,-0.08645,1.34037,1.67389,-0.00457,14.67941,2.15705
3,23,-0.14618,1.37904,1.53978,0.01695,22.80072,3.39096
