frame,DetObj#,x,y,z,v,snr,noise
0,15,0.00826,0.99588,1.34829,-0.07294,13.32012,2.89451
0,15,-0.20621,1.00742,1.19816,0.01331,14.44558,2.96784
0,15,-0.01157,0.86129,1.46308,0.12787,14.21389,3.18336
0,15,-0.15326,0.96568,2.00205,-0.01577,13.78042,1.37893
0,15,-0.08396,0.78231,1.27489,0.06202,10.09242,2.84451
0,15,-0.01668,0.87851,1.46152,0.00344,17.23051,2.89726
0,15,-0.0073,0.86932,1.31063,-0.0234,14.48027,2.49005
0,15,-0.06683,0.57231,1.67143,-0.01659,17.13582,1.60717
0,15,-0.16457,0.59728,1.33134,0.00669,12.65221,2.93964
0,15,-0.16389,0.8776,1.15695,-0.0448,11.92057,3.27496
0,15,0.0234,0.68162,1.52526,0.0222,13.08355,2.22898
0,15,-0.07877,0.76104,1.36131,0.06792,11.86824,3.1091
0,15,-0.08976,0.80986,1.43669,0.00533,15.08582,1.95783
0,15,0.06672,0.65398,1.42075,0.00295,18.85071,1.64725
0,15,-0.04029,0.9396,1.23967,0.01553,19.79893,3.01582
1,31,-0.15713,0.78427,1.27654,-0.00469,15.74309,2.16573
1,31,-0.20542,0.81388,1.58025,0.00665,15.21072,2.23654
1,31,-0.12562,0.82275,1.62007,0.05677,12.22124,2.39544
1,31,-0.14978,1.03648,1.31366,0.10411,14.9236,3.18034
1,31,-0.18606,0.7021,1.64698,0.03809,14.24136,2.84069
1,31,-0.08602,0.75722,1.57861,0.02181,12.94035,3.03523
1,31,0.00717,0.69521,1.24771,-0.00878,7.64539,1.89016
1,31,-0.0016,0.84817,1.84191,-0.04298,16.73381,2.23339
1,31,0.00891,0.97185,1.5546,-0.04161,11.92692,2.65612
1,31,-0.15441,0.84833,1.75612,-0.04512,11.2877,2.55898
1,31,-0.02998,0.76434,1.43895,0.09387,16.03641,2.49307
1,31,-0.26828,0.72792,1.50269,-0.09659,18.98674,1.67297
1,31,-0.17449,0.79734,1.55758,0.02863,11.30468,2.51187
1,31,0.02153,0.94455,1.28258,0.00314,9.64807,1.35227
1,31,-0.14744,0.90994,1.3816,0.01554,10.32377,2.12756
1,31,-0.22029,1.04876,1.45152,0.08213,14.66006,2.81831
1,31,-0.15748,0.98502,1.55861,0.06606,13.74772,2.92211
1,31,-0.11512,0.79251,1.5333,-0.07303,11.24789,1.89806
1,31,-0.16518,0.70955,1.41758,0.01305,14.88924,2.99874
1,31,0.06117,1.03635,1.49357,0.00927,11.8448,2.23165
1,31,0.03645,0.85086,1.75392,-0.00314,19.73646,1.10813
1,31,-0.15699,0.78556,1.61588,0.11858,17.3158,1.75115
1,31,-0.01369,1.11145,1.22977,-0.02866,16.87775,1.10208
1,31,-0.48063,1.07377,1.68436,-0.00022,15.9896,3.3846
1,31,-0.13502,0.62608,1.42102,0.16784,9.96585,1.84507
