frame,DetObj#,x,y,z,v,snr,noise
0,24,-0.15162,1.61136,1.64233,0.02621,13.17803,2.58588
0,24,-0.17199,1.54855,1.51699,0.02025,12.47541,1.33026
0,24,-0.24279,1.7523,1.53773,-0.12357,15.6569,3.56939
0,24,0.10442,1.62699,1.69476,0.00993,11.99318,2.90389
0,24,-0.32214,1.86074,1.55504,-0.0974,15.94291,3.13862
0,24,-0.29511,1.66039,1.48425,0.01312,16.12045,2.77663
0,24,-0.00369,1.69223,1.56711,0.07274,18.24608,2.22057
0,24,-0.26628,1.8051,1.53812,-0.02243,12.2956,3.58945
0,24,-0.34758,1.53657,1.73898,0.04261,16.92985,2.84761
0,24,-0.31385,1.80595,1.44767,0.00362,11.31842,2.99971
0,24,-0.14489,1.64407,1.6812,0.13313,16.90959,1.36559
0,24,-0.0147,1.73872,1.68001,-0.08301,14.54783,1.82762
0,24,-0.268,1.65184,1.6702,-0.04842,11.40553,3.12996
0,24,-0.26605,1.54257,1.43151,-0.09275,15.35402,2.94861
0,24,-0.02194,1.76576,1.64019,-0.03731,14.53791,2.76489
0,24,-0.02475,1.50664,1.4756,-0.14209,5.24515,2.44508
0,24,-0.35161,1.64143,1.66654,0.11961,14.17331,3.26409
0,24,-0.18023,1.71108,1.32166,-0.05566,11.02044,2.30492
0,24,-0.35433,1.523,1.59691,-0.01411,19.66086,2.61712
0,24,-0.37007,1.50426,1.6869,0.13909,16.88886,2.23372
0,24,-0.25809,1.73222,1.55711,-0.12374,12.09081,2.60539
0,24,-0.087,1.65196,1.82766,-0.04249,11.03965,2.31787
0,24,-0.36022,1.23577,1.8777,-0.04827,18.54019,1.91247
0,24,-0.12245,1.87046,1.38805,0.04258,13.90937,3.08195
1,14,-0.33278,1.53934,1.59637,0.05275,11.8169,2.39001
1,14,-0.39209,1.52288,1.63755,-0.04238,16.33636,4.09923
1,14,-0.1274,1.45719,1.28388,0.00251,16.60178,2.38345
1,14,-0.09386,1.5695,1.47283,-0.10427,13.25996,1.56887
1,14,-0.07969,1.46292,1.36331,-0.04676,11.84935,3.12764
1,14,-0.11435,1.48604,1.34862,-0.05241,15.99445,3.011
1,14,-0.35645,1.66502,1.85748,0.00191,12.46826,2.64388
1,14,-0.27909,1.71314,1.66503,0.07127,12.63718,2.82404
1,14,-0.2541,1.84625,1.31191,-0.00404,10.90691,2.47128
1,14,-0.3985,1.74261,1.38611,0.1119,17.66013,2.47007
1,14,-0.32231,1.85743,1.71104,-0.03809,19.98811,1.40482
1,14,-0.19177,1.4429,1.59984,0.06059,17.50034,2.32098
1,14,-0.39738,1.44968,1.50098,0.05411,9.37163,2.04159
1,14,-0.35033,1.595,1.52241,0.05053,13.59437,1.79718
2,27,-0.33459,1.49271,1.60447,0.10765,17.53259,2.18395
2,27,-0.25386,1.93807,1.25475,0.03562,11.64914,2.33489
2,27,-0.20276,1.78488,1.33733,0.005,10.73703,2.26753
2,27,-0.20941,1.57321,1.74514,0.09824,6.4594,3.04204
2,27,-0.08395,1.46106,1.48599,0.13233,12.2596,3.32032
2,27,-0.36599,1.65775,1.79109,-0.16015,15.45232,2.79465
2,27,-0.22292,1.66894,1.56974,-0.04221,12.46711,1.97259
2,27,-0.50655,1.69477,1.46528,-0.08942,14.73241,2.79368
2,27,-0.36498,1.6709,1.408,0.13737,19.65809,1.50822
2,27,-0.48976,1.41303,1.57577,0.03174,18.62683,2.98556
2,27,-0.35895,1.65775,1.48668,-0.04967,11.01391,2.87633
2,27,-0.12064,1.63311,1.42717,0.05155,15.41049,0.74249
2,27,-0.30239,1.45672,1.43211,-0.08177,11.2683,2.73337
2,27,-0.46715,1.63449,1.57288,-0.02576,13.49439,1.96879
2,27,-0.1923,1.59774,1.5354,0.14436,11.4022,3.7252
2,27,-0.35639,1.80226,1.47297,0.05452,22.84295,1.96951
2,27,-0.11945,1.79454,1.37005,-0.09247,16.47574,1.91409
2,27,-0.00063,1.50578,1.44743,-0.02118,19.36142,1.55866
2,27,-0.27868,1.67682,1.52073,-0.06433,14.27699,1.74161
2,27,-0.03751,1.60118,1.52927,0.10155,14.95458,3.89554
2,27,-0.35544,1.56543,1.51669,0.06789,13.94324,3.35095
2,27,-0.37955,1.76686,1.38654,0.03346,9.84462,3.2565
2,27,-0.18259,1.67014,1.43413,0.04845,14.05713,1.62531
2,27,-0.2264,1.73233,1.69024,0.02074,17.07748,2.76718
2,27,-0.45399,1.47358,1.81174,-0.00933,15.17347,2.39617
2,27,-0.39877,1.73276,1.58902,0.02633,6.83208,3.34863
2,27,-0.48571,1.59992,1.56932,0.03022,12.63201,2.85734
3,30,-0.31676,1.83613,1.50387,-0.1137,10.88906,2.57076
3,30,-0.23906,1.79052,1.3176,-0.07695,12.30042,3.57262
3,30,-0.14631,1.46903,1.44283,-0.13013,19.10339,2.62927
3,30,-0.42285,1.87786,1.52801,0.04783,15.14556,2.77589
3,30,-0.00328,1.88151,1.67995,-0.01492,8.78916,1.62384
3,30,-0.57849,1.89672,1.44784,0.00188,13.75303,1.29267
3,30,-0.4895,1.6058,1.40137,0.06044,9.11999,2.65363
3,30,-0.1395,1.53892,1.53122,-0.0038,15.80916,2.43831
3,30,-0.22129,1.92546,1.78441,0.07206,15.11365,1.83489
3,30,-0.14915,1.59837,1.63682,-0.05175,11.97089,3.13444
3,30,-0.38423,1.67869,1.84385,-0.03712,11.64289,2.25869
3,30,-0.16697,1.84979,1.7891,0.03038,16.13509,2.08192
3,30,-0.48621,1.76331,1.36306,-0.0754,11.92718,2.34325
3,30,-0.38968,1.74157,1.47932,-0.01533,11.02121,1.19398
3,30,-0.11208,1.82585,1.64483,-0.01284,9.59144,3.31146
3,30,-0.27301,1.89357,1.26978,-0.11639,13.99519,2.92767
3,30,-0.31072,1.81105,1.63,0.02063,18.31596,2.34647
3,30,-0.44299,1.65202,1.55607,0.00024,3.35496,2.39831
3,30,-0.26452,1.49494,1.35794,0.00352,7.44181,2.65625
3,30,-0.12805,1.59489,1.6651,0.07602,16.77391,2.65779
3,30,-0.17963,1.82392,1.47708,0.07927,12.53691,2.37946
3,30,-0.15825,1.83389,1.57712,0.09261,17.47705,3.6826
3,30,-0.29113,1.51629,1.58238,0.0175,19.05111,2.21346
3,30,-0.03952,1.80358,1.32327,-0.03874,15.78435,2.41259
3,30,-0.26853,1.73576,1.56651,-0.00812,14.08017,1.50821
3,30,-0.2238,1.69082,1.51834,-0.03557,13.85906,2.06674
3,30,-0.27052,1.91475,1.55461,-0.05898,12.43438,3.37914
3,30,-0.29339,1.57015,1.34919,-0.05082,16.00835,1.079
3,30,-0.1793,1.97251,1.25976,0.0715,11.8022,1.93649
3,30,-0.19362,1.40391,1.36478,0.01916,12.31037,2.10631
4,25,-0.33966,1.61833,1.67275,0.02861,16.75667,1.516
4,25,-0.15376,1.45181,1.60252,0.14678,8.19226,1.87551
4,25,-0.27883,1.6294,1.55304,-0.06458,16.31984,2.54367
4,25,-0.06569,1.69631,1.36063,-0.0054,14.77279,2.10216
4,25,-0.29316,1.57233,1.57775,0.00491,15.61356,2.36932
4,25,-0.04481,1.47627,1.44301,0.07491,12.63746,1.76585
4,25,-0.15851,1.85133,1.19508,0.01945,11.42818,2.72049
4,25,-0.26806,1.80744,1.37269,0.07017,9.66766,1.30788
4,25,-0.27976,1.73323,1.27195,-0.01109,17.4257,3.47193
4,25,-0.06506,1.44693,1.43722,-0.00989,13.67714,2.92069
4,25,-0.32734,1.84657,1.42477,0.12305,11.49889,2.4268
4,25,-0.33641,1.81993,1.70513,-0.05536,15.97808,1.9932
4,25,-0.06632,1.70054,1.53508,-0.09513,11.62803,3.14451
4,25,-0.35826,1.50205,1.23068,-0.05716,20.16544,1.92597
4,25,-0.20416,1.84676,1.40369,0.04459,15.26511,3.63581
4,25,-0.14456,1.46203,1.3243,-0.11001,13.55342,2.11242
4,25,-0.31597,1.56489,1.74655,0.08017,14.29955,2.18886
4,25,-0.34597,1.69485,1.41421,0.05966,13.26116,2.19153
4,25,-0.02905,1.67039,1.54819,0.01422,12.07925,2.09835
4,25,-0.26617,1.595,1.27096,0.0657,15.32986,2.65611
4,25,-0.25833,1.32886,1.53618,-0.00318,13.16789,1.97335
4,25,-0.38645,1.73085,1.40996,-0.14709,9.7122,3.34976
4,25,-0.20037,1.46843,1.7306,-0.0321,14.52635,3.58207
4,25,-0.21044,1.53252,1.65325,0.08592,21.66591,3.3607
4,25,-0.1355,1.79425,1.43765,-0.14669,19.42335,2.26251
5,31,-0.19674,1.6488,1.61248,-0.01739,14.92437,2.50667
5,31,-0.26245,1.59032,1.33002,-0.00198,11.82192,2.0827
5,31,-0.22802,1.6579,1.30991,0.16226,12.34373,2.1188
5,31,-0.41288,1.64228,1.47181,-0.03256,12.77166,2.13583
5,31,-0.37532,1.68263,1.3936,-0.10819,12.0274,3.00523
5,31,-0.1793,1.45749,1.49579,-0.07511,17.8627,3.15355
5,31,-0.17158,1.7561,1.56867,0.00495,18.69528,2.96641
5,31,-0.19633,1.72286,1.57388,-0.01238,11.09098,1.80807
5,31,-0.07102,1.64903,1.49644,0.01175,13.56922,1.30741
5,31,-0.2861,1.6084,1.5009,-0.03633,17.82089,2.80966
5,31,-0.07427,1.56881,1.45664,-0.03399,17.2933,2.32817
5,31,-0.14812,1.80294,1.84276,-0.05687,15.88007,2.4417
5,31,-0.19756,1.55609,1.62812,-0.00404,13.19623,3.62697
5,31,-0.25924,1.71235,1.30278,0.1192,12.69196,2.77184
5,31,-0.38368,1.80411,1.33139,0.04161,16.2192,1.7427
5,31,-0.27898,1.64605,1.49267,-0.01753,11.15288,3.15138
5,31,-0.02354,1.77447,1.44247,-0.13259,13.20653,2.63569
5,31,-0.13678,1.84431,1.68278,-0.05477,11.86578,3.57657
5,31,-0.3243,1.5257,1.6124,-0.10934,18.384,1.75779
5,31,-0.19016,1.64724,1.30858,-0.03911,18.2958,2.68332
