frame,DetObj#,x,y,z,v,snr,noise
0,17,0.02557,1.74829,1.57858,-0.01929,16.1861,1.41458
0,17,0.13006,1.74165,1.25546,-0.08666,13.41327,1.51814
0,17,0.00661,1.60344,1.88091,0.01862,11.92041,2.59647
0,17,-0.01293,1.81953,1.87734,0.07614,18.36545,2.35152
0,17,-0.12721,1.67411,1.75706,-0.11176,19.53681,3.46511
0,17,0.01025,1.75491,1.46052,-0.07749,13.56187,2.78317
0,17,0.00508,1.78493,1.68873,-0.03059,14.98948,2.73587
0,17,0.16369,2.01133,1.55268,0.03485,8.09829,3.5603
0,17,0.10788,1.75447,1.47923,0.04481,14.78198,2.61382
0,17,0.11697,1.61823,1.40726,-0.0719,20.30613,1.83341
0,17,0.24938,1.81524,1.53799,-0.06279,12.14689,2.77367
0,17,0.11927,1.63688,1.38731,-0.02439,12.33669,2.98322
0,17,0.0298,1.72424,1.6671,0.08167,11.54843,2.60277
0,17,0.22401,1.78787,1.87632,-0.03691,10.25782,1.62564
0,17,0.119,1.67698,1.41757,-0.10064,13.04972,1.72225
0,17,0.25195,1.45138,1.537,0.06666,13.34286,1.36943
0,17,-0.04233,1.76733,1.6169,-0.05366,18.23826,2.82987
1,37,0.43232,1.50852,1.6016,-0.01506,18.89166,1.86156
1,37,0.18047,1.79344,1.75941,-0.02795,10.54103,1.60034
1,37,0.05419,1.80114,1.80885,0.08723,14.50546,1.50587
1,37,0.10004,1.80701,1.36672,-0.07969,17.64074,1.19086
1,37,-0.03238,1.76055,1.55945,0.06614,16.40517,1.89506
1,37,-0.19674,1.82366,1.60335,-0.02454,10.96134,3.16764
1,37,0.25344,1.6512,1.83033,0.00249,17.89467,2.16706
1,37,0.02314,1.68624,1.58068,0.02934,15.74827,2.53129
1,37,0.14618,1.70046,1.2941,0.06408,8.07426,1.74511
1,37,-0.03197,1.65377,1.60102,-0.06943,15.48374,2.29561
1,37,0.13835,1.50277,1.44986,0.05172,10.56452,2.19451
1,37,0.17286,1.7379,1.60934,0.09358,8.8691,2.32722
1,37,0.15464,1.74211,1.50537,0.03629,14.84789,2.68454
1,37,0.23738,1.72406,1.6599,0.16807,9.88288,2.57614
1,37,0.21561,1.84498,1.70504,-0.02247,14.78189,2.39567
1,37,0.16062,1.52605,1.45563,0.07308,11.75256,3.62894
1,37,-0.18377,1.34694,1.56181,0.10568,13.44989,3.11057
1,37,0.10818,1.46355,1.85474,-0.03952,15.65161,2.9508
1,37,0.17812,1.93432,1.76211,-0.09767,13.2331,2.54423
1,37,0.05298,1.69855,1.58964,-0.04059,8.83617,3.08673
1,37,0.09538,1.71898,1.63644,-0.09065,11.89734,2.19183
1,37,-0.00977,1.80984,1.70679,0.02665,13.76064,2.73756
1,37,0.03871,1.93954,1.86339,0.11811,16.88526,1.70947
1,37,0.11966,1.66895,1.48501,-0.09348,9.86541,2.9645
1,37,0.30089,1.65383,1.82667,0.015,15.82844,1.42895
1,37,0.22202,1.91837,1.4401,-0.08682,11.85696,2.23496
1,37,-0.01796,1.65861,1.55971,0.03299,17.45856,1.60602
1,37,0.15574,1.76221,1.49381,-0.05284,11.13639,1.45856
1,37,0.09658,1.79484,1.92041,0.00195,13.91277,2.80016
1,37,-0.03942,1.85971,1.91888,-0.12147,15.61434,2.10144
1,37,0.45301,1.69265,1.73535,0.02721,15.24205,2.20384
1,37,0.25688,1.52173,1.65034,-0.09079,15.40088,1.84474
1,37,0.19638,1.96705,1.61357,0.09162,15.76951,2.53316
1,37,0.07167,1.79407,1.52264,-0.04797,14.38217,1.76908
1,37,0.13365,1.96871,1.46699,-0.02233,21.33984,1.55576
1,37,0.14598,1.76785,1.51806,-0.02222,18.27684,2.95147
1,37,0.07168,1.59125,1.47932,0.08266,17.75917,1.51569
2,21,0.08878,1.9553,1.60905,0.00592,16.12332,2.37105
2,21,0.0359,1.73634,1.58449,-0.0504,19.67306,1.97028
2,21,0.0846,1.84363,1.62449,-0.02404,19.85483,2.30834
2,21,0.05917,1.77626,1.6996,-0.12321,12.87777,1.39331
2,21,0.05088,1.74474,1.32802,0.05225,14.61188,1.53491
2,21,0.16478,1.61674,1.49944,-0.01002,16.27537,1.61935
2,21,-0.03024,1.83756,1.57399,0.11316,12.26721,1.71227
2,21,-0.18556,1.50614,1.65352,-0.0115,16.6464,1.51048
2,21,0.3212,1.75469,1.79345,-0.02106,14.39486,2.89014
2,21,-0.04595,1.74328,1.32577,0.03403,16.65814,2.59289
2,21,0.22652,1.68081,1.63619,-0.07841,17.93492,1.56227
2,21,-0.06425,1.66791,1.66345,-0.02438,11.088,1.90495
2,21,0.11848,1.64831,1.51625,0.03295,17.66169,1.09678
2,21,-0.02101,1.78093,1.67016,0.0243,16.60871,2.93322
2,21,0.32628,1.83927,1.5578,0.04456,15.39646,3.0446
2,21,-0.01264,1.71657,1.72192,-0.12669,16.90914,4.11936
2,21,0.07159,1.90083,1.43176,0.12882,16.5431,3.21543
2,21,0.03001,1.56279,1.62748,0.05208,14.84178,2.75408
2,21,0.13097,1.65698,1.77986,-0.01493,15.69824,2.69223
2,21,0.12606,1.74191,1.42924,-0.0968,16.32061,0.29943
2,21,0.18249,1.83955,1.68819,0.0537,16.00726,2.24909
3,31,0.01051,1.70607,1.60338,0.06729,15.29594,2.85977
3,31,0.1524,1.74284,1.57045,-0.01926,14.79784,2.77445
3,31,0.09063,1.57049,1.66209,-0.03097,15.96434,2.21993
3,31,0.27046,1.68791,1.46654,0.03801,14.615,2.80349
3,31,0.16349,1.56612,1.83612,-0.13735,15.19434,2.77175
3,31,0.17362,1.69577,1.77635,0.01995,11.65384,2.76009
3,31,-0.0245,1.69912,1.75738,-0.03759,10.33369,2.09562
3,31,0.09954,1.85888,1.83947,-0.03909,16.02147,1.98742
3,31,0.21208,1.60443,1.73621,-0.09094,13.70986,2.04922
3,31,0.23687,1.69579,1.68849,-0.09101,15.40713,1.48054
3,31,0.20666,1.57927,1.61715,-0.00846,13.19359,2.24091
3,31,-0.08279,2.02531,1.66472,-0.11412,14.29375,2.08724
3,31,0.16981,1.69066,1.68034,-0.07814,12.45217,2.48729
3,31,-0.01221,1.72655,1.81719,-0.05791,11.15088,2.05737
3,31,-0.045,1.60423,1.6305,-0.04904,12.7459,2.31241
3,31,0.21726,1.68719,1.68761,-0.12306,20.80914,1.65294
3,31,0.01223,1.48748,1.67141,-0.03511,10.41373,2.55065
3,31,0.27656,1.57386,1.63892,-0.03459,9.85256,2.15119
3,31,-0.03643,2.03492,1.50116,-0.05302,11.78238,1.44788
3,31,0.04165,1.69134,1.73585,0.02947,9.50628,2.34964
3,31,0.0205,1.78074,1.69744,-0.09685,16.69382,2.08931
3,31,0.10585,1.64909,1.62721,-0.18915,14.50779,1.85885
3,31,0.09383,1.87102,1.40959,0.03287,11.86876,0.85379
3,31,0.38562,1.50234,1.81825,-0.02439,16.36707,1.76034
3,31,0.11735,1.6807,1.62001,0.0504,7.89795,2.28233
3,31,0.20854,1.63727,1.44315,0.02575,16.21427,3.01694
3,31,0.10662,1.60746,1.49925,-0.11331,19.21632,3.00767
3,31,0.18339,1.7022,1.34401,0.08429,6.85219,2.53706
3,31,0.26308,1.72776,1.56546,0.02743,15.60775,2.18368
3,31,0.14177,1.91866,1.40487,-0.04884,12.39481,1.8386
3,31,0.06736,1.92808,1.38606,-0.10523,13.32753,1.24648
4,23,0.0583,1.8946,1.55951,0.08789,15.34118,2.55082
4,23,0.06957,1.63583,1.90774,0.14446,19.64529,2.62768
4,23,-0.11291,1.70899,1.54232,0.01384,10.79491,2.15857
4,23,0.14894,1.74316,1.72459,-0.00788,14.67954,2.99018
4,23,0.17093,1.67714,1.84557,0.01383,16.43928,2.94972
4,23,0.22899,1.85242,1.51441,0.02494,11.70378,3.26183
4,23,-0.02197,1.68118,1.67404,0.00461,17.74236,3.23435
4,23,0.48984,1.70908,1.45505,0.00315,13.99851,1.8631
4,23,0.26622,1.5133,1.57706,0.00029,11.39798,3.45825
4,23,0.11348,1.50333,1.72563,-0.01178,19.87893,2.43464
4,23,0.04562,1.61851,1.91134,-0.06297,11.13432,2.33775
4,23,0.10114,1.68312,1.77525,-0.01105,10.70284,3.13261
4,23,-0.15265,1.70982,1.24045,-0.02735,16.65244,2.57941
4,23,0.09279,1.80048,1.55903,0.11019,16.26091,2.6058
4,23,0.10581,1.85193,1.49934,0.07089,12.1104,2.92604
4,23,0.00374,1.62934,1.64268,-0.0893,18.38652,0.95312
4,23,0.18793,1.62753,1.49498,-0.15306,18.36431,0.9857
4,23,0.01593,1.60982,1.80773,0.02674,9.93628,2.90924
4,23,0.09274,1.78075,1.68147,0.01745,11.87848,1.75223
4,23,-0.0105,1.56026,1.24533,0.00354,13.57833,1.8965
4,23,0.14954,1.64251,1.66742,0.13129,15.24258,2.37839
4,23,-0.00738,1.78626,1.5384,0.069,7.82839,1.5121
4,23,0.05041,1.73239,1.44036,-0.065,16.43178,1.23839
5,32,0.19149,1.77726,1.81748,0.01868,12.05128,3.29117
5,32,0.09809,1.55627,1.62395,0.04982,12.67845,3.49405
5,32,0.19142,1.90881,1.15496,-0.03358,12.13223,2.19039
5,32,0.17899,1.67502,1.71056,0.10105,15.91447,1.43158
5,32,0.0826,1.77157,1.83291,-0.04936,9.8506,1.76453
5,32,0.10604,1.73632,1.4142,-0.01375,13.46332,3.23113
5,32,0.17877,1.80524,1.71533,0.04611,14.58179,2.82049
5,32,0.27426,1.96961,1.64125,0.04043,15.40251,2.60829
5,32,0.20533,1.73685,1.70163,-0.03184,12.42779,2.3581
5,32,0.09904,1.63341,1.5036,0.06278,11.39733,0.79327
5,32,0.35395,1.59418,1.46767,-0.06074,14.54734,1.41701
5,32,0.03896,1.72123,1.83636,-0.00108,11.79536,2.95107
5,32,-0.0225,1.38666,1.72409,-0.05655,12.36727,2.00684
5,32,-0.08131,1.58443,1.51453,-0.0892,9.96168,1.96929
5,32,0.05652,1.74693,1.67073,0.05789,13.49295,2.11528
