frame,DetObj#,x,y,z,v,snr,noise
0,31,0.1357,1.52963,1.41482,0.09418,5.6256,1.66724
0,31,0.11283,1.42476,1.55107,-0.06791,16.13566,1.97371
0,31,-0.10232,1.73077,1.28429,0.06969,14.30865,1.9485
0,31,0.10548,1.59217,1.36659,0.0914,15.13779,1.27261
0,31,0.03412,1.52573,1.41415,0.02475,14.27238,0.72458
0,31,0.26662,1.60534,1.3441,-0.01155,6.85234,1.48055
0,31,0.1646,1.5918,1.45616,0.0493,7.5195,2.68339
0,31,-0.09352,1.62882,1.26191,-0.06111,13.04276,1.45276
0,31,0.0611,1.72847,1.35948,-0.05243,7.92647,3.41361
0,31,0.15081,1.66173,1.26437,0.0627,14.00225,2.36006
0,31,0.35175,1.61575,1.20943,-0.08299,15.71417,2.57781
0,31,0.428,1.66109,1.35566,-0.01611,16.53205,3.02886
0,31,0.06066,1.53584,1.49134,-0.04514,15.4764,3.03343
0,31,0.06268,1.64325,1.40976,0.01528,13.46958,1.79207
0,31,0.1461,1.73156,1.50636,0.00631,15.65304,3.36856
0,31,0.29486,1.65314,1.68721,-0.02369,13.19423,2.94962
0,31,0.20178,1.61366,1.47875,0.01671,19.09449,1.8602
0,31,0.32563,1.63567,1.52553,0.0977,12.98199,2.46159
0,31,0.21594,1.69508,1.28378,0.09056,12.17405,2.68357
0,31,0.0982,1.49427,1.60503,-0.12062,16.35463,3.79963
0,31,0.15901,1.56539,1.47075,0.03686,10.09005,1.77315
0,31,0.11212,1.81879,1.42283,0.02333,7.75257,2.54983
0,31,0.27511,1.56377,1.41727,0.03889,14.97825,2.42845
0,31,0.10006,1.70551,1.77805,0.04085,15.11571,1.50479
0,31,0.14867,1.36237,1.34431,0.08079,13.38236,2.25904
0,31,0.19396,1.42749,1.10752,-0.03301,9.01237,1.75281
0,31,0.20683,1.64952,1.29183,0.0214,14.91426,2.22361
0,31,0.09998,1.52614,1.56408,0.05716,11.66878,2.71185
0,31,0.04668,1.53586,1.56775,-0.03717,13.78626,1.97416
0,31,0.15608,1.37499,1.61112,-0.00513,11.21652,3.20633
0,31,0.32836,1.44964,1.44296,-0.02252,15.19437,2.56624
1,24,0.15967,1.59376,1.83997,-0.05615,16.38544,2.87523
1,24,0.01595,1.40063,1.52261,0.06952,17.29887,2.92512
1,24,-0.15221,1.64964,1.6731,-0.04258,18.9166,2.59539
1,24,0.32709,1.65479,1.3142,-0.03625,15.65269,2.6915
1,24,0.33159,1.69659,1.50204,0.04472,9.4004,2.88853
1,24,-0.11803,1.56857,1.37396,0.02385,14.01638,3.2177
1,24,0.23314,1.43202,1.5644,-0.01448,12.82059,2.94575
1,24,0.09281,1.54704,1.75216,-0.05667,12.00248,3.14054
1,24,-0.06605,1.53763,1.35716,0.04231,11.6844,1.65556
1,24,0.26943,1.64844,1.50428,0.0512,12.94299,2.61716
1,24,0.22718,1.56921,1.2751,0.1216,10.32572,1.99409
1,24,0.05752,1.55769,1.6076,-0.06347,10.90292,2.78203
1,24,0.17915,1.37452,1.36277,0.01861,25.63877,2.60343
1,24,0.13504,1.64879,1.63076,0.10331,15.45019,2.07582
1,24,0.06355,1.98481,1.36081,0.03717,13.5426,2.99853
1,24,0.23791,1.70162,1.47588,-0.03965,15.04928,3.81795
1,24,0.12756,1.55286,1.20359,-0.05245,18.835,3.07941
1,24,0.03771,1.69898,1.59467,0.09205,17.41589,2.88341
1,24,-0.03569,1.7741,1.42581,-0.13828,9.09361,2.60313
1,24,0.29876,1.46604,1.49929,-0.02551,19.22129,3.78606
1,24,0.2003,1.49565,1.78579,0.12052,14.74157,2.3174
1,24,0.23304,1.5681,1.65182,0.04074,10.56474,1.63191
1,24,0.19817,1.50343,1.59002,0.04216,9.82162,1.60527
1,24,0.20568,1.46346,1.1629,0.06415,14.98532,2.45161
2,19,-0.00187,1.42993,1.31938,0.03594,14.75051,2.2571
2,19,0.28912,1.71354,1.6565,0.08943,12.48259,1.7914
2,19,0.23985,1.52592,1.79488,-0.00911,15.408,1.28561
2,19,0.02582,1.52967,1.35893,-0.04409,13.1348,3.03221
2,19,0.16662,1.79859,1.43529,0.00937,21.77384,2.24224
2,19,0.35745,1.31626,1.32748,0.02772,13.30991,2.6822
2,19,-0.00254,1.58729,1.65044,-0.04653,17.4202,2.0117
2,19,0.18413,1.39542,1.39814,-0.05207,17.57585,2.45763
2,19,0.32558,1.44456,1.31491,0.08393,15.91695,3.1112
2,19,0.33692,1.65072,1.28777,-0.0372,12.83557,2.60194
2,19,0.03301,1.74766,1.40197,-0.02677,11.37401,2.83001
2,19,0.29312,1.66703,1.49968,0.08168,18.73868,2.44352
2,19,0.35116,1.49262,1.53098,0.11466,11.41165,2.44619
2,19,0.17195,1.69308,1.40921,0.08923,5.7094,2.36068
2,19,0.11856,1.61383,1.3168,-0.08026,12.91094,2.32743
2,19,0.19012,1.62178,1.43857,-0.06291,6.68995,2.91105
2,19,-0.05569,1.59937,1.50606,-0.0782,16.47131,2.98263
2,19,0.40121,1.70108,1.30263,-0.02559,14.71297,1.74885
2,19,0.13559,1.53672,1.38407,-0.01361,13.81437,3.18734
3,30,0.20641,1.46667,1.50801,0.02726,12.05759,2.93848
3,30,0.16718,1.61723,1.60767,-0.00186,11.011,1.86593
3,30,0.05084,1.54581,1.51059,-0.08057,21.39318,2.57288
