frame,DetObj#,x,y,z,v,snr,noise
0,27,-0.08802,1.05303,1.6615,0.03735,9.36108,3.34184
0,27,-0.1717,1.10859,1.68416,0.0273,9.40432,3.14264
0,27,-0.19917,1.21298,1.62782,0.0426,15.15964,1.61314
0,27,-0.16305,1.27478,1.64108,0.12517,9.65568,2.47139
0,27,-0.1918,1.23765,1.64387,-0.06797,10.10524,1.87494
0,27,-0.06099,1.10891,1.40644,0.07802,7.00411,3.30324
0,27,0.09071,1.00159,1.49977,-0.00681,15.45549,3.12403
0,27,-0.09166,1.39667,1.3892,-0.038,16.70266,2.92701
0,27,0.11816,1.33329,1.4203,-0.08199,12.27021,0.84459
0,27,-0.09007,1.24988,1.78255,0.03315,17.48288,2.60561
0,27,-0.16864,1.21067,1.42306,0.06488,9.55519,3.15421
0,27,-0.16009,1.37642,1.71191,-0.06761,15.79,0.8062
0,27,-0.02194,1.03183,1.76183,0.007,19.67901,3.54511
0,27,0.12564,0.98716,1.60724,-0.0608,11.99994,3.5467
0,27,0.25462,1.1005,1.67598,0.08326,20.16958,1.90263
0,27,-0.17281,1.3292,1.48059,0.02598,10.18893,1.04869
0,27,-0.25434,1.18943,1.33725,0.00637,14.6228,2.27576
0,27,-0.06949,1.2669,1.33403,-0.06014,13.16077,1.94718
0,27,-0.04792,1.02893,1.2507,0.01466,14.27684,1.74395
0,27,-0.22235,1.31643,1.37375,0.00418,13.45619,2.94219
0,27,0.13453,1.19558,1.20555,0.12474,7.62434,2.66408
0,27,-0.00499,1.16772,1.24005,0.02167,20.51883,2.73522
0,27,-0.17329,1.12399,1.62373,-0.09035,11.14585,2.83938
0,27,-0.24397,1.0142,1.64452,0.01398,11.69466,1.91863
0,27,0.05512,1.16664,1.34595,-0.00935,17.75918,2.2428
0,27,-0.08065,1.16594,1.61976,0.10577,11.23267,2.55678
0,27,-0.12655,1.26552,1.15084,0.04825,14.09824,2.0426
1,30,0.11368,1.33082,1.59346,-0.0267,11.70815,2.11014
1,30,-0.25415,1.22682,1.43458,0.18857,13.03663,2.6417
1,30,-0.20842,1.12946,1.64764,0.01049,11.59451,1.85666
1,30,-0.00919,1.2591,1.45519,0.02596,13.7243,2.97595
1,30,-0.06807,1.02713,1.8712,-0.04956,14.19625,2.15463
1,30,0.14114,1.27138,1.58926,0.13211,9.7082,2.51365
1,30,-0.04944,1.10325,1.23355,-0.05268,9.00668,2.3998
1,30,-0.18114,1.13998,1.40518,0.07676,19.36922,1.80109
1,30,0.21363,1.1746,1.3605,0.11605,12.22175,1.64587
1,30,-0.01831,1.22585,1.26649,-0.01379,13.88069,2.87984
1,30,0.03111,1.39027,1.37705,0.08399,8.93359,2.52051
1,30,-0.01848,1.18645,1.32784,-0.02151,14.10771,2.44832
1,30,-0.1302,1.16172,1.49715,-0.02336,16.91712,2.10185
1,30,-0.08019,1.12973,1.64311,-0.01273,15.41684,2.84666
1,30,-0.1645,1.13902,1.31965,-0.04998,10.58906,1.99403
1,30,-0.03999,1.16715,1.52627,0.16051,15.29858,3.02594
1,30,-0.05962,1.19169,1.70408,0.01683,16.25766,2.03976
1,30,-0.02127,1.00549,1.728,0.01748,14.32027,2.45756
1,30,-0.10517,1.16693,1.21435,-0.01372,16.42393,2.4279
1,30,-0.04565,1.32365,1.86057,-0.09202,14.74553,1.1119
1,30,-0.13185,1.45492,1.72037,-0.02519,14.77749,2.05847
1,30,0.02792,1.37576,1.55922,-0.05913,12.12715,2.81778
1,30,-0.18707,0.96337,1.63289,0.0069,15.74054,2.42561
1,30,0.01892,1.13003,1.28725,-0.02591,14.34413,3.38677
1,30,-0.23848,1.20986,1.48456,0.11651,11.25171,3.26483
1,30,-0.29145,1.37062,1.36839,0.0783,10.27482,2.65192
1,30,-0.06419,1.12431,1.83108,0.0912,12.94496,3.28767
1,30,0.00235,1.41863,1.63188,0.00976,12.47994,3.49355
1,30,-0.07214,0.98051,1.60211,-0.11216,16.02271,2.32053
1,30,-0.18148,1.11933,1.7312,-0.00089,12.33558,3.05981
2,31,0.15428,0.97276,1.6155,0.12054,17.72367,1.83129
2,31,-0.14293,1.15133,1.49645,-0.03445,18.09695,3.06915
2,31,-0.11432,1.08862,1.49603,0.08006,17.04238,2.06051
2,31,0.0764,1.25385,1.38941,-0.08733,11.78385,3.49158
2,31,-0.02842,1.30543,1.78956,0.0031,18.00147,2.40241
