frame,DetObj#,x,y,z,v,snr,noise
0,21,0.16911,1.43063,1.34384,-0.02065,9.56999,2.40287
0,21,-0.00393,1.23497,1.43974,0.11196,11.93015,2.73429
0,21,0.19544,1.23222,1.41326,-0.03811,13.19335,1.76928
0,21,0.01185,1.11736,1.37096,-0.0683,16.13968,1.72647
0,21,0.17629,1.43793,1.32161,-0.03222,14.76601,1.95105
0,21,0.01908,1.40201,1.51719,0.00026,18.20656,2.31197
0,21,0.13446,1.28495,1.42347,-0.10303,12.93498,3.75306
0,21,0.10885,1.39785,1.56624,0.12397,7.78845,2.48738
0,21,0.10392,1.23532,1.33109,0.00534,13.93563,2.62222
0,21,0.0098,1.18086,1.40166,-0.01099,13.00095,2.97653
0,21,0.36471,1.11214,1.63731,0.01449,9.69751,1.63464
0,21,0.03127,1.23114,1.58763,-0.10168,18.62858,2.17883
0,21,-0.05372,1.29558,1.42576,-0.0691,12.69884,2.50986
0,21,0.19389,1.23939,1.39781,0.03149,9.55313,2.40289
0,21,-0.15318,1.18474,1.40843,-0.04083,7.56752,3.48679
0,21,0.11482,1.22929,1.62217,-0.01155,9.1268,2.47575
0,21,0.20123,1.42743,1.30472,-0.04758,16.63175,1.40521
0,21,0.14746,1.22538,1.75856,-0.15295,15.40749,2.65701
0,21,0.19986,1.58231,1.49374,0.14179,15.05147,2.34744
0,21,0.18034,1.12823,1.44256,-0.13018,15.63365,1.29425
0,21,0.11854,1.45233,1.48272,-0.02556,17.61106,2.18986
1,26,0.11425,1.30218,1.21487,-0.04787,15.17143,2.57809
1,26,0.194,1.47257,1.38707,-0.01939,9.63649,2.8522
1,26,0.28463,1.10834,1.49952,0.05197,12.76203,1.90455
1,26,0.04162,1.4631,1.47572,0.10689,16.26163,2.21407
1,26,0.17881,1.19124,1.31606,-0.05649,11.52727,3.25894
1,26,0.36505,1.1579,1.47904,0.03104,18.56467,2.82636
1,26,0.12269,1.24291,1.62963,0.03701,10.99763,1.86197
1,26,0.05787,1.27583,1.45228,-0.03365,14.90795,3.12107
1,26,0.28623,1.37879,1.11743,-0.05857,10.80525,2.01966
1,26,0.0941,1.172,1.24102,0.03291,16.3232,3.34431
1,26,0.03975,1.38834,1.53037,-0.00988,12.66633,2.55185
1,26,0.00345,1.35792,1.56837,-0.0564,17.52436,1.99106
1,26,0.14462,1.30466,1.27428,0.0093,10.17525,1.79636
1,26,0.09171,1.28337,1.26607,0.12097,13.46359,1.89781
1,26,0.16474,1.33312,1.73589,0.00969,9.42813,1.77928
1,26,0.25512,1.29483,1.35281,0.04603,18.02507,1.07587
1,26,0.24846,1.46092,1.35183,0.01655,12.73079,2.18836
1,26,0.09145,1.00721,1.76964,-0.06305,14.34376,2.21514
1,26,0.09532,1.29894,1.24518,-0.12437,18.413,2.57709
1,26,0.26561,1.26051,1.49274,-0.05605,16.67187,2.21311
1,26,0.17752,1.3915,1.26227,-0.08332,16.3792,3.12092
1,26,0.17569,1.18037,1.40118,-0.02837,15.46828,1.58905
1,26,0.07906,1.29807,1.58894,-0.01191,16.5377,2.52778
1,26,0.0774,0.89541,1.29128,0.02309,11.75343,2.34139
1,26,0.10568,1.30081,1.33605,0.0405,13.66664,2.05598
1,26,0.21674,1.32485,1.3826,-0.02782,11.29561,2.51846
2,31,0.06464,1.179,1.33319,-0.0112,14.96594,3.4777
2,31,-0.01629,1.20092,1.56672,0.03557,20.96037,2.78155
2,31,0.19429,1.28621,1.31731,0.01728,16.64982,3.2949
2,31,-0.02243,1.31049,1.41173,0.0502,12.22615,2.98179
2,31,0.12112,1.13191,1.60009,0.02302,17.43316,1.91089
2,31,0.05933,1.33395,1.42109,-0.04422,13.71108,3.7227
2,31,0.14641,1.11491,1.47468,0.10597,10.70846,2.96817
2,31,0.05917,1.2686,1.40699,0.00492,12.63056,2.85529
2,31,0.08858,1.31632,1.16764,0.01136,15.41379,2.00881
2,31,0.11452,1.46836,1.41276,0.03219,12.6254,2.67138
2,31,0.29836,1.30569,1.29172,-0.05626,19.58488,2.47036
2,31,0.17278,1.42949,1.43245,-0.04437,9.06032,2.00449
2,31,0.252,1.21938,1.38315,0.02473,13.23255,3.27597
2,31,-0.09029,1.56027,1.64593,-0.00114,18.08437,1.00276
2,31,0.29545,1.29475,1.56239,0.1851,19.37079,2.34693
2,31,0.1443,1.2001,1.52924,0.03125,20.7997,1.97206
2,31,0.07894,1.5186,1.32359,-0.09985,11.63079,2.71368
2,31,0.13733,1.2972,1.6062,-0.15093,13.24688,1.50758
2,31,0.06148,1.2669,1.41025,0.0066,18.70093,2.88106
2,31,-0.00604,1.35877,1.44202,0.0721,13.82453,2.34157
2,31,0.14392,1.37866,1.61595,-0.06862,12.00428,2.99577
2,31,0.29852,1.17318,1.56819,0.06888,10.29259,2.33736
2,31,0.23657,1.18774,1.39385,-0.09973,15.31702,2.92211
2,31,0.16331,1.33313,1.37089,0.10707,15.31952,2.25368
