frame,DetObj#,x,y,z,v,snr,noise
0,27,0.29695,1.47957,1.26779,0.01245,16.716,2.81657
0,27,0.16151,1.75818,1.51698,-0.01976,7.58825,2.24707
0,27,-0.07414,1.81528,1.53228,0.04469,11.57658,3.74323
0,27,-0.17554,1.60981,1.50114,-0.2162,15.97346,2.28648
0,27,0.13891,1.64409,1.72253,-0.05983,14.23969,2.02642
0,27,0.00444,1.71605,1.19498,-0.01705,17.89486,1.79507
0,27,-0.10863,1.67755,1.10207,-0.01037,11.92219,2.3502
0,27,0.11017,1.58536,1.05548,-0.04463,5.67042,2.69228
0,27,0.02854,1.68632,1.24694,0.03743,9.53401,1.09191
0,27,0.04788,1.6309,1.40731,0.06673,17.83804,2.30305
0,27,0.04673,1.8044,1.23426,-0.01107,17.64916,1.67338
0,27,-0.35473,1.69505,1.51016,0.0554,11.39131,1.43861
0,27,0.04106,1.67588,1.55185,-0.0171,15.93813,2.79752
0,27,-0.11478,1.67033,1.50263,0.07776,11.43829,2.89708
0,27,-0.21659,1.55625,1.79556,0.05082,15.49034,3.00539
0,27,-0.00256,1.92137,1.52849,0.06081,19.65157,2.74361
0,27,-0.21624,1.48406,1.33296,0.04543,11.00724,1.75101
0,27,-0.3029,1.77917,1.62291,-0.01012,16.43578,1.34196
0,27,0.09737,1.66365,1.69575,-0.04296,14.26188,2.73353
0,27,0.12885,1.81496,1.2421,-0.07305,11.04091,1.08363
0,27,-0.01884,1.72753,1.38723,-0.01643,16.6253,2.76022
0,27,0.11321,1.85968,1.45903,0.03885,14.85969,2.86469
0,27,0.08379,1.54137,1.3583,-0.03296,16.87403,2.39468
0,27,0.2359,1.85944,1.44422,0.01569,11.02032,1.86724
0,27,0.25309,1.67468,1.2893,0.13798,16.85227,2.07848
0,27,-0.08954,1.89512,1.34892,-0.0001,19.70399,0.94349
0,27,-0.09814,1.78042,1.37378,-0.0316,12.56433,1.97599
1,19,-0.14154,1.61827,1.54168,-0.09863,12.60098,4.30985
1,19,-0.22179,1.75571,1.41512,-0.09154,10.97134,2.0334
1,19,-0.0197,1.66753,1.15342,0.03764,15.61087,1.6578
1,19,0.03128,1.96301,1.50274,0.03581,15.8977,2.84559
1,19,-0.14206,1.58897,1.25025,-0.14648,13.23829,2.14201
1,19,0.03389,1.78245,1.41806,-0.0044,19.96485,2.15437
