frame,DetObj#,x,y,z,v,snr,noise
0,30,0.03622,1.39079,1.51317,-0.09183,10.33964,2.33148
0,30,0.10531,1.25243,1.59651,0.0468,12.32011,3.05456
0,30,0.14345,1.42095,1.43866,-0.02097,17.18386,1.85446
0,30,-0.11922,1.4629,1.29432,-0.01224,14.81982,2.12575
0,30,-0.15495,1.29399,1.41066,-0.0058,17.58127,3.08907
0,30,-0.03944,1.33589,1.21087,-0.14173,18.39899,2.55916
0,30,-0.08475,1.5481,1.38349,0.12443,17.58093,2.88061
0,30,0.03649,1.36499,1.40393,-0.03806,9.11862,2.86693
0,30,0.00125,1.23135,1.50824,-0.07102,12.57019,2.80011
0,30,-0.21164,1.32331,1.21007,0.08351,13.81078,3.20223
0,30,0.0811,1.40756,1.35057,-0.0231,13.42941,2.3434
0,30,-0.03551,1.16862,1.50504,0.02408,13.71127,3.98336
0,30,0.06552,1.46866,1.53683,-0.04123,16.66478,1.96391
0,30,-0.20991,1.51464,1.17324,0.00978,16.31106,2.69648
0,30,0.22075,1.39059,1.32338,0.02234,12.79695,2.78294
0,30,-0.05106,1.42979,1.45425,-0.12644,8.30566,1.406
0,30,-0.03736,1.50179,1.24565,0.00546,15.69497,1.78382
0,30,-0.02559,1.44109,1.7134,-0.06036,13.39216,4.13707
0,30,-0.08451,1.41828,1.44237,0.02517,11.10959,3.0956
0,30,-0.12764,1.37626,1.366,0.10106,15.63683,2.35646
0,30,-0.06427,1.31506,1.25507,-0.01996,19.78542,2.09563
0,30,-0.0831,1.17258,1.33458,-0.0431,12.09201,1.67544
0,30,-0.00379,1.17422,1.48718,-0.10327,21.97542,2.1342
0,30,-0.17092,1.32227,1.55779,0.03112,15.74021,2.78804
0,30,0.01883,1.31443,1.18655,-0.02463,13.46045,2.53673
0,30,-0.06436,1.46489,1.31389,-0.16718,15.02829,2.28234
0,30,0.15315,1.40463,1.24511,0.0288,12.82409,3.31419
0,30,0.08257,1.31963,1.44875,0.12372,16.79998,1.44909
0,30,-0.09222,1.3396,1.66779,0.0349,11.61943,1.72779
0,30,0.09027,1.29358,1.35989,-0.03608,11.8716,2.03415
1,25,-0.14177,1.36907,1.4781,0.03852,11.27378,2.36282
1,25,0.06377,1.30736,1.71805,0.10428,13.16648,2.21436
1,25,0.19025,1.6137,1.58359,0.06358,16.54643,2.4207
1,25,-0.02391,1.42905,1.5084,0.02773,18.39561,2.86983
