frame,DetObj#,x,y,z,v,snr,noise
0,26,0.11392,1.51329,1.32834,0.09689,15.96642,1.49095
0,26,-0.0434,1.63305,1.54349,-0.0122,14.82828,2.53966
0,26,-0.06455,1.53146,1.62645,0.1186,10.25902,2.54533
0,26,-0.17583,1.58102,1.32043,-0.03436,9.97458,2.22774
0,26,0.03636,1.61522,1.51742,-0.11664,11.21885,0.89897
0,26,0.19046,1.37197,1.49128,0.08165,12.30662,2.85275
0,26,0.1024,1.75816,1.61996,0.05046,12.6097,2.46848
0,26,0.06048,1.72394,1.33359,0.0174,12.73617,2.15125
0,26,0.07047,1.59214,1.53634,0.04243,16.00018,2.24568
0,26,-0.07984,1.45693,1.13751,-0.0094,13.91657,2.01144
0,26,-0.31765,1.59895,1.67327,0.00533,11.96519,3.06812
0,26,-0.06478,1.65498,1.31836,0.03362,14.09665,2.56342
0,26,0.08811,1.40802,1.38669,0.05874,9.33917,2.78659
0,26,-0.11073,1.80624,1.54201,0.07982,10.61279,1.88404
0,26,0.17309,1.53505,1.22529,-0.09594,13.2626,2.64157
0,26,0.01143,1.68538,1.3677,0.11766,14.61013,2.59525
0,26,-0.03345,1.65388,1.48001,0.03756,12.46634,1.81012
0,26,-0.12921,1.54968,1.50571,0.08399,13.61909,2.53517
0,26,-0.05785,1.54489,1.33578,-0.0324,13.74084,2.13122
0,26,-0.00265,1.72027,1.46333,-0.01347,8.69209,3.55412
0,26,0.18337,1.7738,1.49213,0.11151,9.23985,2.96191
0,26,-0.09833,1.46875,1.67157,0.05423,18.85691,2.10095
0,26,0.0046,1.82932,1.57789,0.00934,16.53695,2.39963
0,26,-0.1414,1.59541,1.35935,0.07201,12.94197,3.58502
0,26,0.08751,1.50205,1.33632,0.00256,11.46596,1.79053
0,26,0.07724,1.5754,1.28004,-0.00267,16.69076,2.23148
1,28,-0.04999,1.58009,1.52141,0.00518,15.14756,3.49234
1,28,0.08808,1.7147,1.54967,-0.09217,10.97498,2.6472
1,28,-0.10137,1.44976,1.2457,0.12885,8.28757,3.43969
1,28,-0.19345,1.57769,1.64856,0.06286,8.72987,3.35829
1,28,0.01619,1.64704,1.72229,0.00058,14.22702,1.77986
1,28,0.25757,1.86075,1.56755,0.00335,8.92632,2.56804
1,28,-0.1205,1.62317,1.52934,0.03018,12.60462,2.21871
1,28,-0.03142,1.44833,1.39152,0.13616,15.22599,1.97923
1,28,-0.01781,1.56436,1.33739,-0.01893,13.38817,2.2671
1,28,0.16429,1.47887,1.51754,-0.13384,16.05722,1.99501
1,28,0.09011,1.44226,1.6193,-0.07303,13.69641,2.27006
1,28,0.10158,1.75907,1.41066,-0.02171,9.97726,1.52399
1,28,0.02667,1.67841,1.52177,0.02828,10.86214,3.21423
1,28,0.08125,1.69633,1.67597,0.09605,11.71666,2.35073
1,28,0.01118,1.73453,1.41642,-0.1042,12.19795,1.53031
1,28,0.01502,1.82318,1.66309,-0.09993,14.48331,2.77729
1,28,0.01717,1.4947,1.4706,-0.1285,18.28395,2.46996
1,28,-0.01373,1.513,1.25687,0.16625,8.35262,2.33469
1,28,-0.08823,1.8148,1.33903,0.02662,14.28697,2.60609
1,28,-0.1202,1.39237,1.43908,0.1233,14.28552,1.86762
1,28,0.01345,1.77018,1.17931,-0.07674,14.68696,2.33861
1,28,-0.17589,1.49631,1.41089,-0.10998,18.92486,1.61458
1,28,0.00986,1.50373,1.46256,-0.06634,14.75134,2.54548
1,28,-0.00499,1.56014,1.49637,0.08854,12.60239,2.05465
1,28,-0.05356,1.59788,1.58999,0.16657,14.3055,2.08191
1,28,-0.0982,1.70129,1.63341,0.06055,9.94893,1.9264
1,28,0.0949,1.63444,1.60459,-0.06293,11.55347,0.85265
1,28,-0.09802,1.63229,1.36985,0.09369,17.55349,1.68711
2,17,-0.10565,1.45295,1.41007,0.13335,10.93447,2.30591
2,17,0.03053,1.66226,1.66162,-0.08768,10.76211,1.8415
2,17,-0.06455,1.52325,1.31034,0.08465,15.28019,1.7018
2,17,0.06108,1.5568,1.38286,0.06281,4.52451,1.86749
2,17,-0.03176,1.53314,1.78798,-0.10487,12.94207,1.38953
2,17,0.10239,1.65688,1.56806,0.05728,13.54517,1.85948
2,17,-0.16738,1.83853,1.45883,0.04592,12.28242,2.25445
2,17,0.12535,1.37691,1.72388,-0.06064,16.32909,2.78984
2,17,-0.15342,1.55883,1.57048,0.02755,16.55806,2.50439
2,17,-0.14256,1.59919,1.45915,0.09126,9.32131,2.1853
2,17,-0.04212,1.57447,1.81125,0.08769,16.34388,2.53884
2,17,0.00972,1.8295,1.46732,-0.0378,18.464,1.6679
2,17,-0.22804,1.68175,1.11455,0.06472,14.12783,2.5854
2,17,0.02227,1.50303,1.27986,0.03636,13.11892,2.42628
2,17,0.12701,1.61282,1.13365,-0.05309,16.22243,2.21716
2,17,0.20907,1.71473,1.25163,-0.0619,14.16849,2.65292
2,17,-0.02695,1.7456,1.68155,-0.0157,8.32793,2.29969
3,26,-0.03978,1.79232,1.78477,-0.04205,8.75729,2.86124
3,26,0.06414,1.65335,1.80504,0.01931,17.10256,2.51883
3,26,-0.19908,1.63014,1.66061,0.02622,18.45436,3.07103
3,26,-0.13638,1.51937,1.65851,0.04483,11.48995,2.19321
3,26,0.07626,1.39838,1.24718,0.04931,7.11664,2.33177
3,26,-0.2435,1.49729,1.42159,0.05432,15.77196,1.51045
3,26,0.20983,1.50913,1.46713,0.02902,15.12583,3.54218
3,26,0.04865,1.44186,1.18585,-0.10313,12.03944,2.34379
3,26,-0.04081,1.66373,1.69499,-0.07214,14.61521,4.25613
3,26,0.008,1.5403,1.56064,-0.04459,13.92694,1.84801
3,26,-0.04502,1.64231,1.3381,-0.07105,16.63858,2.46835
3,26,-0.12538,1.69109,1.44808,0.04409,15.00265,3.04958
3,26,-0.22667,1.71067,1.36136,-0.00233,4.38214,2.55602
3,26,0.05384,1.4424,1.5377,0.12833,14.54026,3.86947
3,26,-0.11216,1.60201,1.50848,-0.01344,8.4715,2.14069
3,26,0.0983,1.8493,1.43887,0.02787,20.58075,3.44154
3,26,-0.07964,1.60755,1.46085,0.08506,12.28727,1.83566
3,26,-0.02453,1.73118,1.77699,-0.00749,14.98614,2.2339
3,26,-0.06112,1.5907,1.35477,-0.0333,10.06743,2.54153
3,26,0.10627,1.40799,1.72951,-0.04058,13.71485,2.45024
3,26,0.11838,1.53908,1.42018,0.15027,16.76382,1.82468
3,26,-0.00409,1.65093,1.70556,-0.02591,13.21405,2.50823
3,26,-0.02593,1.4226,1.45605,0.05255,12.76116,3.12418
3,26,0.0793,1.57208,1.38218,-0.0568,19.45627,2.47602
3,26,-0.00754,1.36198,1.42335,0.08836,10.5441,2.0675
3,26,0.02948,1.56773,1.61729,0.07107,12.19796,2.47871
4,25,0.1661,1.5186,1.74423,0.07372,7.78294,2.53132
4,25,0.00429,1.46262,1.41757,-0.02663,14.90394,2.40199
4,25,0.01965,1.48969,1.65045,-0.00353,23.0011,1.78087
4,25,-0.06085,1.7495,1.50672,0.08596,21.22299,2.53039
4,25,-0.04515,1.16351,1.50223,-0.07665,19.9922,2.28954
4,25,-0.20047,1.65539,1.42856,-0.02904,9.47089,3.45453
4,25,-0.15068,1.60933,1.46718,0.00111,10.31305,1.98932
4,25,-0.07211,1.45327,1.48435,-0.04324,9.16042,2.20146
4,25,-0.14036,1.77258,1.6555,-0.00983,11.857,3.14083
4,25,0.16923,1.80648,1.53689,-0.05291,13.78587,3.10229
4,25,-0.04444,1.54425,1.35013,0.09768,7.98011,1.03148
4,25,0.05074,1.58769,1.48557,0.04344,12.6627,3.17651
4,25,-0.09586,1.44156,1.35817,0.01883,14.93174,3.42026
4,25,-0.01669,1.52824,1.70967,-0.07611,10.89626,2.73372
4,25,0.14155,1.46972,1.67834,0.18342,9.27462,1.83831
4,25,0.10321,1.7506,1.50234,0.05232,17.86296,0.33167
4,25,0.03734,1.57848,1.6837,0.04521,18.53703,2.03002
4,25,0.06083,1.5089,1.6744,0.10499,11.81555,2.23393
4,25,-0.18254,1.49395,1.57248,0.06453,14.044,3.22218
4,25,-0.05464,1.69524,1.6574,0.01638,14.47334,2.15936
4,25,0.06073,1.75842,1.37247,-0.08857,19.40294,2.39481
4,25,-0.13904,1.54933,1.50107,0.05818,12.40795,2.69318
4,25,0.09294,1.66616,1.41012,-0.12663,17.59595,2.412
4,25,-0.18998,1.66276,1.56959,0.03022,19.97522,1.1948
4,25,-0.01905,1.614,1.56258,0.05253,14.15507,2.152
5,18,-0.13512,1.54293,1.42334,0.04315,9.34285,1.60244
5,18,0.01607,1.76944,1.6121,0.01106,11.96447,1.17166
5,18,0.11697,1.34166,1.22896,-0.0299,15.38944,2.43681
5,18,0.02811,1.61428,1.75851,-0.10029,12.60414,1.76721
5,18,0.01911,1.53076,1.36272,-0.01593,18.9714,3.49206
5,18,-0.00533,1.75651,1.43583,-0.06591,8.61684,1.55935
5,18,-0.15437,1.42804,1.33421,-0.11787,7.88057,3.18826
5,18,-0.09957,1.66182,1.31759,-0.05008,16.6784,1.76605
5,18,-0.09852,1.73115,1.62942,0.04033,10.58979,2.39245
5,18,0.02529,1.64987,1.46883,0.03018,15.47383,2.59897
5,18,0.2053,1.63061,1.38915,0.00105,18.0118,2.74531
5,18,0.03177,1.53718,1.61574,-0.05354,15.34182,2.71848
5,18,0.0832,1.43347,1.76825,0.15599,15.0935,0.56028
5,18,0.04229,1.55107,1.95024,0.10193,23.15646,2.27583
5,18,0.04237,1.41091,1.51327,-0.09681,13.88159,2.61723
5,18,-0.03724,1.51821,1.4213,0.04265,10.17368,2.48836
5,18,-0.14116,1.7585,1.86292,-0.02442,18.97704,2.25965
5,18,-0.13887,1.74065,1.44551,0.02977,12.90986,2.01552
6,35,-0.13827,1.71374,1.46915,-0.07678,11.06756,2.66403
6,35,-0.33715,1.64565,1.5454,-0.06332,16.46107,3.56636
6,35,0.04458,1.57167,1.47317,0.00069,10.44299,3.12907
6,35,-0.03798,1.66509,1.52386,-0.10068,15.81216,2.80975
6,35,-0.10013,1.66871,1.40809,0.05184,16.15205,3.00411
6,35,-0.02336,1.28076,1.47321,-0.04532,11.32442,2.85784
6,35,-0.161,1.44775,1.64718,0.06918,15.28341,2.15759
6,35,0.07994,1.43772,1.46823,-0.0144,9.05076,3.62728
6,35,0.07934,1.64027,1.3401,0.07011,10.81776,2.39708
6,35,-0.09524,1.4424,1.53838,-0.03296,16.52776,2.74834
6,35,0.10571,1.46096,1.18571,-0.02379,17.12541,3.47406
6,35,0.25592,1.54389,1.31679,-0.00413,12.63078,2.2035
6,35,-0.07104,1.50071,1.71813,-0.02263,13.39836,2.25078
6,35,0.22317,1.38076,1.58442,0.08199,11.22073,2.13626
6,35,-0.02631,1.7695,1.54409,0.05355,13.42797,2.59982
6,35,0.0227,1.41791,1.41478,0.05706,16.08766,3.06511
6,35,-0.18,1.8144,1.58681,0.09975,12.73085,2.55705
6,35,-0.09638,1.60968,1.45993,0.07098,11.5776,2.35258
6,35,-0.0303,1.54501,1.75961,0.01,13.75997,1.93896
6,35,-0.06451,1.52186,1.38537,-0.13139,11.9738,2.71486
6,35,-0.17712,1.54044,1.50017,0.05715,17.44229,1.64449
6,35,-0.40402,1.47507,1.46519,-0.04374,17.81436,3.39028
6,35,-0.27361,1.63872,1.47368,0.05171,9.73116,2.88195
6,35,-0.00537,1.62196,1.35655,0.01316,18.82718,3.08279
6,35,-0.0647,1.61302,1.37204,-6e-05,15.01507,3.09296
6,35,0.20587,1.53255,1.46539,0.00707,18.11854,1.25627
6,35,-0.00933,1.66111,1.73592,-0.11698,17.74802,1.55652
6,35,-0.0414,1.62672,1.22965,-0.01621,12.49981,2.53773
6,35,0.00447,1.50107,1.39455,0.10972,16.90871,3.06857
6,35,-0.24099,1.67892,1.4783,0.07259,13.86623,1.73274
6,35,0.02882,1.62106,1.46838,0.11017,7.13849,2.1218
6,35,-0.17661,1.58942,1.44263,0.00354,11.98136,3.02068
6,35,0.08318,1.72459,1.88565,-0.05714,17.35472,2.6384
6,35,-0.13454,1.75316,1.4321,-0.04692,10.99499,3.137
6,35,-0.17181,1.41456,1.53563,-0.07818,9.49614,2.78146
7,32,0.08697,1.34502,1.56527,-0.0895,15.87151,1.60967
7,32,-0.13784,1.50822,1.61712,-0.06565,8.90461,1.84313
7,32,0.11958,1.46066,1.40928,0.04062,15.13926,3.11056
7,32,-0.19551,1.57829,1.44394,0.02636,9.7478,2.87775
7,32,0.02866,1.4553,1.03461,-0.03212,13.31863,2.16166
7,32,0.22948,1.57931,1.58441,0.05889,21.57001,2.9977
7,32,0.26914,1.73954,1.3802,-0.09172,14.55626,2.65544
7,32,-0.00422,1.6862,1.28475,-0.02604,16.14028,1.98166
7,32,-0.04333,1.49582,1.76775,0.00157,2.93496,1.67047
7,32,0.09241,1.35216,1.671,-0.06833,13.84386,4.34505
7,32,-0.16676,1.64749,1.60664,-0.0371,15.43325,2.32751
7,32,0.12933,1.66505,1.32853,-0.05055,13.99142,2.23188
7,32,0.03874,1.56114,1.64024,0.02193,10.33244,2.48179
7,32,-0.15971,1.34379,1.44361,-0.04704,9.89532,2.19789
7,32,-0.25728,1.53531,1.71903,-0.03681,9.46014,2.01557
7,32,-0.12374,1.50362,1.38987,0.04205,12.90554,2.25791
7,32,-0.07859,1.38264,1.7127,0.20664,12.91312,1.40915
7,32,-0.07136,1.76039,1.56203,0.01544,15.36998,1.84496
7,32,-0.05042,1.439,1.5268,-0.01914,13.53369,3.19252
7,32,-0.09167,1.49593,1.35931,-0.02703,18.98581,2.7936
7,32,-0.08038,1.33631,1.2936,0.1162,7.23175,0.47294
7,32,0.16475,1.61167,1.57812,-0.03772,14.19913,1.99829
7,32,-0.05762,1.69578,1.61987,-0.01827,13.31914,1.11994
7,32,0.03335,1.56398,1.63137,-0.04993,12.7701,2.10284
7,32,-0.04681,1.53725,1.15808,0.16531,10.52953,2.68582
7,32,0.08849,1.63146,1.271,0.02912,11.48649,2.29748
7,32,-0.01656,1.80613,1.23675,-0.01352,9.9881,2.97349
7,32,0.2554,1.55329,1.36992,0.0415,8.43851,3.47466
7,32,-0.01414,1.49859,1.63501,-0.0189,16.25045,1.76392
7,32,-0.16002,1.60923,1.37991,0.07704,14.28181,2.77903
7,32,-0.21143,1.59895,1.36518,-0.04823,11.9412,2.60262
7,32,-0.01758,1.58797,1.56042,0.08162,9.40082,2.2663
8,34,0.24159,1.57662,1.54647,-0.09071,23.5982,3.28189
8,34,0.16486,1.71667,1.61739,-0.02773,19.52054,2.08755
8,34,-0.07339,1.606,1.37955,-0.06426,12.07538,2.66689
8,34,-0.09121,1.58589,1.185,-0.03567,11.00979,2.08968
8,34,0.00122,1.70211,1.55025,0.15366,16.05041,2.33947
8,34,0.00349,1.46666,1.41297,-0.02268,15.23224,2.02314
8,34,-0.01725,1.6683,1.37397,-0.01338,13.87422,3.57541
8,34,0.04428,1.35683,1.38285,0.11832,15.98472,3.01194
8,34,-0.13135,1.56674,1.45104,-0.10132,7.75574,2.95107
8,34,0.02589,1.57317,1.23199,0.07958,14.41923,2.59142
8,34,-0.00904,1.4911,1.31828,-0.13846,13.68422,1.30804
8,34,-0.06336,1.7139,1.48656,0.00956,10.78621,2.90025
8,34,0.24696,1.56434,1.66223,-0.05286,15.73434,2.38159
8,34,0.00099,1.62084,1.77533,-0.05052,12.80686,3.48418
8,34,-0.17922,1.5886,1.73604,0.00036,7.99747,3.20339
8,34,-0.01169,1.65231,1.52259,-0.03962,15.2063,3.08077
8,34,-0.00586,1.37582,1.46699,-0.04823,12.86924,3.46541
8,34,-0.17438,1.59687,1.46313,0.09156,15.72975,2.49806
8,34,-0.15584,1.46377,1.46857,0.11733,18.41902,3.01539
8,34,-0.06572,1.51959,1.49984,-0.01325,15.47148,1.75614
8,34,-0.00151,1.51394,1.45273,-0.00848,15.75442,3.57235
8,34,0.07537,1.39961,1.45532,0.14582,23.4568,2.77212
8,34,-0.1019,1.5743,1.39693,-0.11972,15.83423,1.64712
8,34,-0.3308,1.72374,1.47641,0.02726,10.06402,1.97733
8,34,0.02876,1.45922,1.40551,0.00064,11.54029,3.43297
8,34,-0.06846,1.61066,1.35232,0.00348,13.72061,1.96148
8,34,-0.02324,1.60446,1.3389,-0.00094,16.10507,2.34802
8,34,-0.0517,1.65734,1.45244,0.03279,14.49749,2.21226
8,34,0.00573,1.50816,1.49936,0.04501,3.89982,2.86533
8,34,-0.29693,1.62888,1.25421,0.08225,15.51229,3.5364
8,34,-0.10252,1.41967,1.38208,-0.00665,12.03299,2.8575
8,34,-0.08085,1.78502,1.42594,0.01739,16.23413,2.96528
8,34,-0.06494,1.56145,1.29183,0.09341,10.16164,1.91257
8,34,-0.21168,1.45643,1.47747,-0.03399,19.74318,1.67359
9,15,-0.13554,1.53938,1.6523,0.12222,16.28262,2.75949
9,15,-0.03111,1.68909,1.55915,0.05657,13.291,1.91835
9,15,0.05887,1.50249,1.72774,0.09864,11.52362,1.87325
9,15,-0.00818,1.35991,1.96731,0.03169,16.71451,3.26175
9,15,-0.05941,1.59819,1.53396,-0.07804,16.10602,1.94077
9,15,-0.02532,1.48589,1.39302,-0.02003,12.56171,2.12621
9,15,0.2344,1.49437,1.09176,0.10876,19.16422,1.77562
9,15,-0.21675,1.74483,1.61652,0.07445,15.45523,1.44771
9,15,0.13725,1.47422,1.59231,-0.04909,16.02609,3.10795
9,15,-0.1365,1.37482,1.61333,-0.06846,11.68804,2.76815
9,15,0.00067,1.60843,1.41976,-0.04665,13.30181,3.74981
9,15,-0.06363,1.60135,1.37363,-0.0052,18.72654,2.12228
9,15,-0.13138,1.51986,1.39281,0.13969,10.11864,1.78859
9,15,-0.17364,1.5253,1.67063,0.12559,13.63705,1.97847
9,15,0.05943,1.54351,1.48252,0.12567,14.96172,2.05274
10,33,-0.07448,1.74299,1.52721,0.06072,12.99798,2.65712
10,33,0.1027,1.54109,1.57316,0.02486,10.58795,2.59687
10,33,-0.09202,1.6786,1.60147,0.13702,18.65735,1.57617
10,33,0.09848,1.62488,1.196,0.00188,9.09616,3.42584
10,33,0.0285,1.5577,1.71918,-0.11533,12.41485,0.70315
10,33,-0.02267,1.55964,1.08947,-0.04344,19.2989,2.69823
10,33,-0.03534,1.53497,1.40656,-0.01343,15.29618,2.63824
10,33,-0.01936,1.2601,1.55811,-0.03958,20.60458,3.29199
10,33,-0.0013,1.38262,1.65886,-0.02536,14.38405,1.7139
10,33,0.02539,1.52659,1.36861,3e-05,17.01321,1.9423
10,33,-0.02216,1.54134,1.53828,0.0104,12.81923,2.18141
10,33,0.05775,1.53487,1.54451,0.00148,11.83932,2.0352
10,33,0.24477,1.87056,1.25989,0.01183,13.24233,3.2655
10,33,0.02754,1.53362,1.37008,0.01935,18.09759,2.30883
10,33,-0.20174,1.62717,1.12562,0.00233,17.88328,2.69233
10,33,-0.12323,1.44369,1.49742,0.09268,12.67794,2.47958
10,33,-0.03163,1.59243,1.21967,0.15119,13.57034,2.51062
