frame,DetObj#,x,y,z,v,snr,noise
0,34,0.32909,1.7844,1.19659,0.07284,13.55218,2.987
0,34,0.10302,1.77644,1.45006,0.0277,7.10917,2.06826
0,34,0.31911,2.05005,1.46002,0.0905,12.03262,2.13846
0,34,0.1548,1.61132,1.58047,-0.17747,11.7427,2.86644
0,34,0.27568,1.8464,1.353,-0.04793,15.78274,2.12333
0,34,0.09595,1.95561,1.18011,0.07194,11.33949,3.48349
0,34,0.03713,1.61077,1.56063,-0.05118,14.88533,1.53145
0,34,0.12486,1.90766,1.43362,0.09203,12.45155,2.19992
0,34,-0.01598,2.01401,1.41236,-0.0913,15.97577,2.74869
0,34,0.21236,2.01987,1.35864,-0.08766,11.56925,1.58478
0,34,0.17438,1.82452,1.30617,0.01976,19.62315,3.97829
0,34,0.21437,1.70992,1.74179,0.08642,14.57548,2.84955
0,34,0.17212,1.92253,1.62851,0.00235,19.9387,3.67389
0,34,0.03879,1.68508,1.28832,-0.09305,9.86874,2.98854
0,34,0.229,1.75754,1.348,-0.03972,13.21659,2.88928
0,34,0.18763,1.75442,1.50975,-0.02811,15.67864,2.15577
0,34,0.02113,1.92883,1.0876,0.06698,17.90122,1.7437
0,34,0.08944,1.86853,1.52908,-0.12651,14.10935,2.3116
0,34,0.24514,1.89466,0.99304,-0.00833,16.56181,1.71887
0,34,0.23092,2.05964,1.54131,0.04373,18.78938,1.92128
0,34,0.38521,1.97985,1.1997,-0.03088,12.62512,1.76515
0,34,0.26623,1.90396,1.39212,0.06042,18.16621,2.54311
0,34,0.31609,2.0879,1.2047,0.02003,11.1431,1.77294
0,34,-0.04232,1.96524,1.29625,-0.03911,14.50422,2.24546
0,34,0.35113,2.00181,1.3301,0.06366,14.98023,1.92598
0,34,0.15872,1.95169,1.32361,-0.04649,10.49009,2.87816
0,34,0.12453,1.63311,1.04527,0.04438,8.55274,1.53445
0,34,0.2557,1.97709,1.42701,0.06337,16.67761,3.53584
0,34,0.26491,1.83343,1.51824,0.05743,14.88309,1.47803
0,34,0.15562,1.80504,1.62814,-0.05565,12.33128,2.01838
0,34,0.26323,1.95722,1.23499,0.0112,11.55285,1.7705
0,34,0.17195,1.99631,1.34303,-0.05647,11.77634,2.47187
0,34,0.11733,1.93346,1.43841,-0.11439,14.57205,2.73123
0,34,0.04205,1.75175,1.63104,0.07213,9.36595,2.56395
1,29,0.13528,1.9616,1.41628,-0.09886,13.93898,1.92557
1,29,0.08755,1.78426,1.4969,0.07061,10.92404,2.5939
1,29,0.05249,1.75107,1.21136,0.09285,11.02333,3.4322
1,29,0.17944,1.95146,1.38849,0.11918,12.25355,3.08134
1,29,0.12639,1.81113,1.34885,-0.06968,10.89983,2.80373
1,29,0.19672,1.79674,1.51688,0.01003,16.458,2.55221
1,29,0.12793,1.7239,1.27426,0.01266,14.38586,2.86298
1,29,0.14094,1.63766,1.51185,0.01531,9.75165,2.9312
1,29,0.25967,1.84464,1.60391,-0.11122,15.72043,2.01901
1,29,-0.03704,1.92481,1.21564,-0.03793,12.76779,3.52049
1,29,0.35703,1.86597,1.28797,-0.04774,15.5233,2.64769
1,29,0.21382,2.09773,1.31464,-0.04711,17.10537,2.70863
1,29,0.168,2.05405,1.35656,0.08469,14.56366,1.86312
1,29,0.21543,1.88494,1.21853,0.00492,16.06138,2.80006
1,29,-0.00264,1.93497,1.52175,0.07762,15.35428,2.57181
1,29,0.19506,1.95424,1.24764,-0.08219,14.1466,2.59442
1,29,0.07392,1.87832,1.38992,0.07732,12.0754,2.78294
1,29,-0.02944,2.0212,1.30671,0.12046,7.72309,1.82587
1,29,0.276,1.89254,1.3526,-0.01647,20.13844,2.75136
1,29,0.19793,1.73837,1.49358,-0.01752,14.40122,0.84041
1,29,0.08464,1.85328,1.52473,0.07651,16.50329,2.26288
1,29,0.10654,1.87814,1.2352,0.03648,6.22819,2.24953
1,29,0.23947,1.88268,1.21269,-0.0094,11.06972,1.81223
1,29,0.13403,1.9745,1.43341,0.03345,13.71291,1.89197
1,29,0.25249,1.95311,1.40188,-0.01922,16.26991,2.67836
1,29,0.42496,1.99629,1.15857,-0.02877,14.08489,1.75107
1,29,0.08875,2.07323,1.41485,0.03697,11.71154,2.63157
1,29,0.09311,1.76631,1.37914,0.06279,9.90561,3.1584
1,29,0.1542,1.8829,1.44274,-0.04419,18.31785,1.70921
2,24,0.08927,2.07477,1.56005,-0.01487,10.57783,3.57282
2,24,0.1575,1.86013,1.27346,0.01695,12.73184,2.72704
2,24,-0.06421,1.80209,1.347,0.02626,17.43561,1.77484
2,24,0.2707,1.99937,1.31834,-0.03539,14.69706,2.07805
2,24,0.24817,1.84123,1.3785,0.10655,12.27397,3.32263
2,24,0.14286,1.84449,1.40512,0.15243,7.03744,2.74713
2,24,0.23045,1.9467,1.31165,0.065,13.37708,2.81303
2,24,0.14611,1.783,1.12079,-0.01291,15.2098,2.29992
2,24,0.07839,1.88345,1.1635,-0.07869,9.37268,2.42168
2,24,0.13521,1.83686,1.4994,-0.03871,10.60736,3.82163
2,24,0.02648,1.80247,1.37927,-0.01818,11.84944,1.84211
2,24,0.2119,1.92387,1.25011,0.0043,17.12706,2.05398
2,24,0.24947,2.0054,1.61052,-0.1139,19.44674,0.62618
2,24,-0.02005,1.6305,1.67897,-0.02848,14.15588,2.87308
2,24,0.13665,1.80761,1.67129,-0.1086,9.51576,2.12066
2,24,0.05074,1.84266,1.39826,0.06719,16.18484,1.71777
2,24,0.14078,1.95693,1.27307,0.11128,12.33575,2.44726
2,24,0.18155,1.78879,1.18321,0.03041,14.07742,3.16719
2,24,0.13991,1.81627,1.13899,0.00165,10.57171,2.78578
2,24,0.24553,2.06918,1.48458,-0.03605,16.64648,2.7358
2,24,0.20631,1.82734,1.22157,-0.06573,10.64274,2.36759
2,24,0.05498,1.79846,1.30062,0.00515,15.48329,3.83248
2,24,0.22368,1.73269,1.45378,-0.0215,14.42671,2.35855
2,24,0.32491,1.60609,1.27621,-0.05036,13.50785,2.26752
3,28,0.16646,1.87457,1.15639,0.1114,18.25349,2.13606
3,28,0.10559,1.98859,1.48578,-0.00095,12.89036,2.01037
3,28,0.11667,1.69442,1.41909,0.0053,13.65129,2.62632
3,28,0.37622,1.96323,1.29147,-0.11281,20.67663,2.68282
3,28,0.13193,2.05862,1.29804,-0.1019,10.74591,3.71607
3,28,0.05679,1.69739,1.1876,-0.05744,8.55981,2.13887
3,28,0.16893,2.26691,1.37388,0.00019,19.87774,2.62457
3,28,0.09098,1.65067,1.64184,0.04613,17.47625,2.99451
3,28,0.07431,1.74102,1.19505,-0.03253,13.65991,1.81839
3,28,0.2446,1.73577,1.66761,0.00021,14.84672,2.02586
3,28,0.15436,1.77915,1.60147,-0.04447,14.52295,2.25255
3,28,0.27718,1.91829,1.4998,-0.01973,16.60766,2.61013
3,28,0.12494,1.69786,1.30784,-0.10268,16.10818,1.67698
3,28,0.13639,1.62638,1.24599,0.03885,11.18173,1.68945
3,28,0.44103,1.68112,1.28815,-0.05306,15.17968,3.06462
3,28,0.07628,1.75494,1.33437,-0.0346,16.3818,1.9811
3,28,0.08469,1.99076,1.07044,-0.12603,9.32034,2.5172
3,28,0.27694,2.08569,1.37336,0.01467,14.15678,3.21609
3,28,0.15549,1.92939,1.18253,-0.01975,14.41303,2.06566
3,28,0.08439,2.09381,1.68381,-0.00356,17.26904,1.99414
3,28,0.16843,2.0337,0.95278,0.00369,13.75095,1.79541
3,28,0.13378,1.58985,1.26647,0.00257,14.06791,0.61226
3,28,0.26216,1.87364,1.40874,-0.00226,15.41464,1.97803
3,28,0.15328,1.89431,1.45471,-0.11909,9.2538,1.66495
3,28,0.10085,1.85867,1.15539,-0.02375,7.81592,2.23741
3,28,0.00756,1.89857,1.0934,0.0103,17.52732,3.05035
3,28,0.1865,1.99424,1.68733,-0.04842,14.77557,1.41922
3,28,0.18362,1.96792,1.55057,-0.02151,16.5765,3.41929
4,30,0.27038,1.81652,1.75557,-0.00391,7.86296,2.24103
