frame,DetObj#,x,y,z,v,snr,noise
0,21,0.29811,1.35392,1.64089,0.09901,14.83679,2.15382
0,21,0.05042,1.28383,1.37039,-0.03365,15.21966,1.17006
0,21,0.16371,1.19122,1.56568,0.0239,15.67511,2.65745
0,21,0.26323,1.33151,1.50786,-0.08734,13.48236,2.55843
0,21,0.26022,1.2838,1.63983,-0.0576,10.76636,2.87641
0,21,0.08367,1.50337,1.60587,0.11619,11.24141,2.26
0,21,0.44939,1.12751,1.40829,0.08405,18.63567,2.74089
0,21,0.07846,1.29484,1.51985,-0.0387,10.68568,2.32432
0,21,0.33433,1.20267,1.6447,0.04522,10.3383,2.03747
0,21,0.05305,1.4871,1.61357,0.10271,14.95059,3.43552
0,21,0.47809,1.2874,1.36993,-0.00892,8.30342,1.8231
0,21,0.03256,1.36587,1.74614,0.02792,10.46503,2.71195
0,21,0.20443,1.3331,1.27547,0.04205,10.35114,1.52535
0,21,0.28051,1.21377,1.4991,0.01527,13.28518,1.94258
0,21,0.28245,1.18448,1.5355,0.04324,7.40335,2.24643
0,21,0.17063,1.3585,1.59833,-0.00506,16.42832,1.87121
0,21,0.18053,1.35322,1.39513,-0.02243,11.85974,2.58112
0,21,0.05071,1.60136,1.56559,-0.01214,15.88962,3.50564
0,21,0.00118,1.35556,1.56267,0.10911,13.07923,2.11503
0,21,0.08241,1.28412,1.59863,0.11377,13.98321,1.36643
0,21,0.05501,1.4372,1.6207,0.0561,14.82284,2.28936
1,21,0.17049,1.17494,1.87459,-0.20217,11.51176,2.18548
1,21,0.30747,1.48453,1.45819,-0.00833,14.5708,1.977
1,21,0.22171,1.39774,1.46002,0.09882,15.97388,2.98608
1,21,0.1505,1.51375,1.89668,-0.05899,11.88209,2.10903
1,21,0.25387,1.33888,1.50645,0.05105,14.78218,1.81065
1,21,0.36536,1.25492,1.61865,-0.07035,16.66861,1.56311
1,21,0.35468,1.39833,1.37614,0.04839,14.03342,1.5382
1,21,0.10718,1.47916,1.72154,-0.09221,17.95017,3.1982
1,21,0.03995,1.14573,1.36165,-0.12272,8.65788,4.03096
1,21,0.21355,1.31966,1.84829,-0.00185,13.1058,2.68499
1,21,0.17527,1.33437,1.48807,0.04719,14.00037,2.31296
1,21,0.25726,1.37641,1.57986,-0.14284,16.4368,2.51876
1,21,0.25145,1.10222,1.29917,0.15578,11.48785,2.53744
1,21,0.15332,1.26063,1.63921,-0.15952,4.99371,2.10539
1,21,0.21377,1.30223,1.56337,-0.14435,14.18295,2.91722
1,21,-0.00475,1.32858,1.38392,0.02314,16.60641,3.45218
1,21,0.24368,1.43896,1.31583,0.10133,13.80053,1.83662
1,21,0.23311,1.30895,1.27899,0.05354,11.81516,4.54173
1,21,0.05595,1.18202,1.23644,-0.07619,12.33203,1.73258
1,21,0.30884,1.33777,1.53691,-0.12764,14.15931,2.53318
1,21,0.27395,1.23262,1.75961,0.11739,19.98537,1.64026
2,25,0.10429,1.30022,1.74231,0.08277,9.22303,3.46175
2,25,0.24512,1.22203,1.51026,-0.05499,11.53976,2.42659
2,25,-0.04306,1.22273,1.65823,0.11382,12.05155,2.2479
2,25,0.04887,1.37632,1.81197,0.0171,11.43666,0.66602
2,25,0.11897,1.46081,1.46353,0.09212,14.06623,3.15857
2,25,0.14781,1.39025,1.72398,0.0398,20.15389,3.07963
2,25,0.22242,1.12925,1.52912,0.03874,13.16881,2.38052
2,25,0.03784,1.25912,1.50248,-0.0305,12.94852,1.68633
2,25,-0.09374,1.3473,1.38197,0.08688,8.82973,2.58828
2,25,0.16366,1.2022,1.69128,-0.07378,10.19926,1.28803
2,25,0.25189,1.2529,1.51262,-0.07758,15.26407,1.55829
2,25,0.20573,1.20911,1.72411,0.04024,12.6813,3.37979
2,25,0.41927,1.22089,1.48951,0.12334,16.16154,1.88209
2,25,0.17618,1.46586,1.66515,0.06464,13.23116,3.16273
2,25,0.22262,1.37168,1.75812,-0.11342,17.24909,2.84037
