frame,DetObj#,x,y,z,v,snr,noise
0,24,-0.18676,1.61422,0.94823,0.0168,10.80195,2.85886
0,24,-0.12993,1.36945,1.09412,0.15759,13.26904,2.75544
0,24,0.15981,1.38355,1.09609,-0.04419,11.50856,2.2142
0,24,0.27016,1.81012,1.1043,0.00621,8.88621,3.17798
0,24,-0.12856,1.67051,1.09632,-0.05005,13.65891,2.76717
0,24,0.19767,1.75887,1.2672,-0.01647,11.49312,3.04404
0,24,0.28238,1.68849,0.87701,-0.05346,11.82254,2.14303
0,24,0.11202,1.82373,1.02554,0.01068,13.34699,1.67565
0,24,0.07566,1.61409,1.13127,0.07726,11.30019,2.27405
0,24,0.02047,2.08843,1.09015,0.02428,11.99729,2.80721
0,24,0.57377,1.81854,1.18058,-0.03144,12.43932,2.74639
0,24,-0.10754,1.74464,0.91692,0.00252,10.93876,1.643
0,24,-0.05096,1.51086,1.23921,-0.08844,12.80278,3.44889
0,24,-0.08813,1.78115,1.1687,0.00114,12.52092,3.02713
0,24,-0.38128,1.35201,1.04021,-0.04141,13.5648,1.84617
0,24,-0.11379,1.78377,1.03967,0.00757,18.50475,2.09349
0,24,0.40218,1.49748,0.87932,-0.01119,15.03656,2.56707
0,24,-0.12922,1.59311,1.06044,-0.00048,7.67179,2.972
0,24,0.08808,1.78483,1.02727,0.05848,8.89507,3.75626
0,24,0.01122,1.57132,1.10629,-0.07885,18.62157,2.28787
0,24,-0.21233,1.66753,1.09825,0.21726,11.85934,2.28073
0,24,0.0675,1.38587,1.01609,-0.19182,12.36766,3.51826
0,24,0.1082,1.50103,1.0126,-0.04017,8.65219,2.66262
0,24,-0.00473,1.66499,1.175,-0.15855,12.38788,1.6715
1,22,-0.09947,1.57834,0.90161,0.10482,10.64171,3.32843
1,22,0.23041,1.71063,1.10515,0.03732,15.7056,2.249
1,22,-0.16146,1.73676,0.94115,-0.05429,10.94479,2.6047
1,22,-0.0375,1.60714,1.18657,-0.01858,10.64489,2.59296
1,22,-0.21157,1.42901,1.31469,0.03366,14.25138,2.17692
1,22,-0.28198,1.52952,1.0038,-0.10538,16.75227,2.2253
1,22,0.09889,1.48581,1.01091,0.15859,4.82035,2.39649
1,22,-0.08903,1.37436,1.11267,0.00389,16.69446,2.88815
1,22,0.17239,1.83962,1.02335,0.09424,12.4307,2.3519
1,22,-0.02168,1.4586,1.206,0.01344,11.81578,2.52468
1,22,0.17584,1.53383,1.14492,-0.04384,15.7649,2.1625
1,22,-0.02538,1.64022,1.14386,0.04296,10.93566,2.68484
1,22,-0.17795,1.626,1.12791,-0.01195,12.16527,2.30731
1,22,0.21467,1.61739,1.21911,0.01481,17.48152,3.14546
1,22,0.20484,1.58187,1.19871,-0.10791,12.72322,2.01256
1,22,0.25477,1.68091,0.86413,0.04436,11.75525,2.6241
1,22,0.07178,1.51705,1.10473,-0.00495,14.98061,1.76573
1,22,0.00759,1.67074,1.08394,0.01628,10.44721,4.40161
1,22,-0.05124,1.72929,1.07174,-0.02591,9.39105,2.25449
1,22,-0.10994,1.7855,1.01346,0.02359,18.42435,3.601
1,22,-0.32246,1.7428,1.01389,0.1124,10.89496,2.93097
1,22,-0.08552,1.55044,1.2405,0.12137,16.54166,3.00713
2,31,-0.35761,1.7334,1.07074,0.18257,13.68853,2.23856
2,31,-0.21439,1.80884,1.17975,-0.12225,15.4149,2.78869
2,31,-0.0221,1.77547,1.03846,-0.1593,8.97366,1.6749
2,31,-0.44258,1.81271,1.13204,-0.10421,7.99281,2.73315
2,31,0.05785,1.70508,1.08667,-0.15999,12.20726,2.72775
2,31,0.19969,1.812,1.20941,-0.0804,11.57975,2.89607
2,31,0.27168,1.24625,1.11519,-0.01051,12.21061,1.77201
