frame,DetObj#,x,y,z,v,snr,noise
0,7,0.07412,1.23937,0.55871,-0.0062,7.95495,4.03997
0,7,-0.10349,1.28153,0.69497,-0.01273,13.60981,4.33143
0,7,0.1152,1.25188,0.74744,-0.0009,10.13273,4.10539
0,7,-0.00711,1.30915,0.61559,0.15344,11.42093,3.59444
0,7,0.05197,1.2815,0.66437,-0.04185,9.21284,3.98942
0,7,0.16411,1.3275,0.64839,-0.02798,11.69722,3.52944
0,7,0.11689,1.26018,0.71315,-0.05737,9.78038,3.5245
1,11,0.04806,1.3756,0.62964,0.02335,14.28004,3.5707
1,11,0.13745,1.31566,0.59279,-0.13928,9.12016,2.6365
1,11,0.13274,1.21351,0.64184,-0.03936,7.44957,3.41662
1,11,-0.03196,1.34039,0.45312,-0.09657,10.79242,3.18692
1,11,-0.12382,1.41158,0.71065,0.16094,12.74814,3.54223
1,11,0.20459,1.25933,0.66625,-0.00612,11.70278,2.65244
1,11,0.0317,1.28749,0.53552,-0.20887,9.12037,2.55998
1,11,0.07076,1.35949,0.82125,0.06011,16.26216,1.96831
1,11,0.14578,1.24152,0.76192,-0.10418,10.10979,3.64957
1,11,0.03375,1.20889,0.66483,0.06321,6.79242,2.97185
1,11,0.14554,1.32117,0.64432,-0.16431,11.52357,3.70725
2,6,0.04325,1.29771,0.56562,0.15026,8.02909,2.74009
2,6,0.26706,1.34889,0.75315,0.01306,8.59097,2.74797
2,6,0.05439,1.44925,0.65114,0.0258,10.182,3.02687
2,6,-0.06317,1.36002,0.72488,-0.0032,9.04861,3.64832
2,6,0.26178,1.4739,0.70197,0.07074,11.69706,2.46779
2,6,-0.06751,1.27498,0.67752,-0.0786,12.03924,5.04323
3,5,0.08588,1.42364,0.65717,-0.14921,4.03743,2.27382
3,5,0.02232,1.38371,0.61572,0.12876,6.31422,3.80529
3,5,-0.02159,1.39499,0.67713,-0.07463,4.7604,3.82651
3,5,-0.06631,1.30441,0.50338,-0.00873,9.17836,2.46931
3,5,-0.01106,1.45296,0.6674,-0.06726,9.64534,3.21165
4,11,0.09666,1.41304,0.74068,0.01953,9.70309,2.93302
4,11,0.12196,1.49124,0.46489,0.05847,9.07838,3.17891
4,11,0.04485,1.39175,0.69976,0.06162,7.5283,2.61045
4,11,0.07797,1.30815,0.60875,-0.0344,5.26244,3.87592
4,11,0.14138,1.30334,0.61112,0.09692,7.58727,3.50487
4,11,0.13516,1.354,0.6617,0.15754,9.1847,2.66224
4,11,0.09463,1.57004,0.60536,0.21317,10.78126,2.82219
4,11,0.05217,1.2902,0.63853,0.10846,13.68033,3.9577
4,11,8e-05,1.3948,0.48134,0.12166,10.7428,4.25166
4,11,0.19266,1.30388,0.61138,0.06103,6.17415,4.0931
4,11,0.08241,1.2147,0.73029,0.02207,11.76605,3.17442
