frame,DetObj#,x,y,z,v,snr,noise
0,12,0.00887,1.41482,0.63375,-0.2032,10.7281,3.56519
0,12,-0.06524,1.50685,0.51078,-0.05102,8.68031,3.35063
0,12,-0.09439,1.61444,0.44434,-0.10478,10.38873,2.11735
0,12,-0.00825,1.51187,0.33356,-0.07842,7.11542,3.90061
0,12,0.00163,1.48977,0.35531,-0.12266,9.87033,2.40087
0,12,-0.08089,1.4194,0.36444,0.0418,11.24547,3.1801
0,12,-0.06555,1.3956,0.48776,-0.09465,9.84096,3.46413
0,12,-0.04679,1.54677,0.33312,0.09151,14.03994,3.20989
0,12,-0.17046,1.49342,0.38385,0.00096,9.26279,2.64503
0,12,0.01419,1.51698,0.3414,-0.00627,10.556,4.03249
0,12,-0.05627,1.44057,0.50336,0.05811,9.16416,3.95791
0,12,-0.12538,1.49668,0.33655,0.07927,11.34566,2.64392
1,13,-0.03439,1.65979,0.39459,-0.05163,9.14415,2.89679
1,13,-0.09203,1.53977,0.53784,-0.03321,9.36378,3.45329
1,13,-0.12134,1.59232,0.29227,0.03973,12.37545,3.39719
1,13,0.07717,1.54052,0.43199,-0.05928,11.28319,3.06312
1,13,-0.1383,1.48327,0.35696,-0.15025,11.78505,3.85557
1,13,-0.10587,1.54409,0.40342,-0.27061,12.39755,3.21203
1,13,-0.03398,1.46069,0.39814,0.12915,8.03575,2.79331
1,13,0.05924,1.4573,0.42155,-0.04882,8.94385,2.31311
1,13,0.10501,1.6927,0.49323,0.18917,13.79948,3.28562
1,13,-0.12687,1.50512,0.42009,-0.08246,10.29689,2.75704
1,13,0.05969,1.40976,0.38119,0.03362,17.17076,3.74748
1,13,-0.10029,1.36173,0.39877,-0.05234,5.77536,1.82688
1,13,-0.12979,1.67923,0.45278,0.03705,13.9828,4.92234
2,13,0.03031,1.59265,0.33598,-0.10747,9.56738,2.59449
2,13,-0.04333,1.54869,0.40734,0.14118,12.66686,1.93141
2,13,0.0754,1.5257,0.27318,-0.13567,7.61358,2.40677
2,13,-0.05104,1.36061,0.41777,-0.12848,9.00331,3.14324
2,13,-0.1059,1.44994,0.51259,-0.14831,15.06555,3.87122
2,13,-0.10893,1.53785,0.48573,0.05874,8.18063,4.07443
2,13,-0.0515,1.49468,0.39622,-0.10083,5.17717,1.53339
2,13,0.16805,1.52932,0.3741,-0.13418,11.62827,3.69387
2,13,0.13736,1.46426,0.3514,0.02177,14.13906,4.22742
2,13,0.10458,1.57736,0.35895,-0.0907,12.81901,4.05191
2,13,-0.08969,1.57016,0.65402,-0.01209,9.73298,2.66777
2,13,-0.11233,1.41792,0.45583,0.06784,9.81233,3.97869
2,13,-0.09942,1.53479,0.4333,0.16039,8.81231,3.67968
3,13,0.00682,1.65507,0.35795,-0.06453,8.89447,3.02921
3,13,0.03052,1.43414,0.55332,0.02961,8.8735,4.46088
3,13,0.03541,1.38008,0.46458,0.04944,7.8508,3.54485
3,13,-0.02803,1.49966,0.45055,0.07268,11.52707,2.51389
3,13,-0.03757,1.38539,0.29163,0.07971,9.53329,3.53806
3,13,-0.09172,1.50217,0.43116,-0.12585,10.2035,2.57174
3,13,0.16071,1.43106,0.31499,0.01447,13.0587,3.05582
3,13,0.18741,1.59262,0.37484,0.00382,8.47164,3.52972
3,13,0.11842,1.57129,0.49038,-0.14108,7.15381,2.94488
3,13,0.08077,1.56954,0.32436,-0.00925,5.8209,3.33257
3,13,-0.03067,1.70126,0.44017,-0.16666,6.04754,4.5679
3,13,0.03326,1.55574,0.43448,0.02163,7.99623,3.04568
3,13,-0.10537,1.59469,0.46233,-0.04926,8.63316,2.94426
4,16,0.08199,1.42067,0.53161,-0.18529,9.37657,3.83773
4,16,0.0361,1.46986,0.42806,0.09956,12.1192,3.09097
4,16,0.09667,1.48222,0.36639,0.1367,5.87675,4.10175
4,16,-0.04034,1.41372,0.52696,-0.05763,12.31817,2.85755
4,16,0.00375,1.58098,0.43111,0.10137,10.84762,3.66214
4,16,0.01738,1.47474,0.31598,-0.08315,8.32087,1.2936
4,16,0.0948,1.49187,0.46085,0.11487,7.81075,3.34374
4,16,0.0878,1.38607,0.33746,0.06194,11.38206,3.84307
4,16,0.10634,1.33165,0.27823,-0.00125,8.69688,4.44226
4,16,0.09052,1.4482,0.52064,0.20789,11.08572,3.09015
4,16,-0.00276,1.5947,0.38551,0.04062,11.63247,3.09553
4,16,0.09466,1.50031,0.36428,0.19816,10.36434,4.2762
4,16,-0.00586,1.62923,0.46978,-0.10248,8.12065,3.11285
4,16,-0.00942,1.6588,0.57244,0.13394,6.89181,2.54815
4,16,0.10344,1.50633,0.41966,0.14119,2.84878,3.76126
4,16,0.15464,1.5819,0.50646,0.21117,5.60878,3.67517
5,7,-0.01779,1.50456,0.26169,-0.20156,13.13347,2.21937
5,7,-0.06027,1.52227,0.48841,0.17084,7.7282,3.12164
5,7,0.04707,1.51157,0.58705,0.08613,15.42952,2.81552
5,7,0.1333,1.5689,0.41674,0.06909,12.08526,4.30723
5,7,-0.02859,1.4047,0.44746,-0.03429,9.98837,3.32174
5,7,0.14141,1.41498,0.4153,-0.20515,8.36801,4.63494
5,7,0.03075,1.55007,0.35833,-0.0925,9.04109,3.14832
6,17,0.05479,1.59766,0.33662,0.06597,9.78166,3.15059
6,17,0.08044,1.46122,0.30118,0.00654,13.07029,3.70729
6,17,0.04482,1.53527,0.3666,0.13144,4.87423,2.6961
6,17,-0.01934,1.56307,0.50531,-0.11375,13.94803,3.92745
6,17,-0.04776,1.48533,0.31523,-0.15973,10.4096,3.40941
6,17,-0.015,1.49341,0.54762,0.01386,12.90608,3.11995
6,17,0.01199,1.61156,0.4108,0.04632,15.0616,2.75039
6,17,-0.01343,1.53818,0.5289,-0.09886,6.80697,3.52242
6,17,-0.01776,1.58064,0.48024,0.02734,9.64623,2.63508
6,17,-0.01782,1.66999,0.55897,0.06846,10.97571,2.57062
6,17,0.10383,1.52757,0.472,0.08299,9.20815,3.79621
6,17,0.05236,1.61251,0.42868,-0.0937,10.5584,2.89898
6,17,0.1915,1.34421,0.25067,0.07154,13.4881,3.43518
6,17,0.01289,1.46901,0.46875,-0.00077,13.29336,3.90264
6,17,0.03499,1.60353,0.27177,-0.05497,8.23588,2.89974
6,17,0.02902,1.50304,0.44614,-0.12907,9.8867,3.26908
6,17,0.01276,1.48923,0.42781,0.06613,12.12028,3.18676
7,12,0.10512,1.43568,0.40244,-0.09885,11.28027,2.04817
7,12,0.09575,1.52551,0.47018,-0.03461,9.68371,3.23433
7,12,0.15429,1.56507,0.54922,0.08693,8.57456,3.22488
7,12,0.02063,1.54487,0.3921,0.19263,8.13999,4.47921
7,12,-0.00774,1.55848,0.54598,0.08503,6.44306,4.30452
7,12,0.09427,1.53218,0.49693,-0.09322,9.84516,3.75708
7,12,0.0948,1.36852,0.539,-0.1536,9.58558,3.7976
7,12,0.0353,1.4198,0.47605,0.15818,7.28025,3.59822
7,12,0.06084,1.50935,0.52617,-0.01741,11.42731,3.95728
7,12,0.07927,1.51064,0.45855,0.12248,6.51399,4.06272
7,12,-0.07661,1.45852,0.44472,0.20122,11.04702,3.47054
7,12,0.05237,1.49227,0.42196,-0.13858,9.73171,2.55629
8,7,0.08243,1.46662,0.41414,-0.02767,6.72033,1.8649
8,7,0.173,1.6111,0.43185,0.10627,5.48089,3.53621
8,7,0.1399,1.57798,0.68113,-0.05221,6.83619,3.63594
8,7,0.147,1.41819,0.41343,-0.04366,16.91472,5.50215
8,7,0.08968,1.42096,0.51998,0.00362,8.20385,3.92179
8,7,0.0839,1.37097,0.41791,0.06266,8.32351,3.06323
8,7,0.24245,1.56906,0.47292,0.15466,12.58453,3.59816
9,14,0.26721,1.3931,0.47785,0.08761,8.24806,2.9215
9,14,0.02119,1.63239,0.46905,0.10308,3.22233,2.73324
9,14,0.15366,1.52422,0.44357,0.11895,8.86301,3.81252
9,14,0.15205,1.38688,0.36968,-0.0607,9.93631,3.48925
9,14,0.07891,1.48742,0.40049,-0.10763,9.89493,4.74786
9,14,0.2693,1.57088,0.48926,-0.27681,7.27843,2.99893
9,14,0.13331,1.54257,0.4567,-0.0476,11.9688,4.60015
9,14,0.00091,1.40592,0.41246,-0.03145,9.30861,3.50806
9,14,0.13001,1.59633,0.40759,-0.08765,11.45457,2.78372
9,14,0.06552,1.53752,0.45886,-0.1485,11.81059,2.61848
9,14,0.0719,1.40986,0.44278,0.08172,5.82893,3.70821
9,14,0.17558,1.44659,0.36247,0.10269,7.01868,2.40824
9,14,-0.01518,1.41849,0.4096,-0.02471,4.10152,3.30996
9,14,0.17752,1.40522,0.39104,-0.11573,10.92151,3.57008
10,13,0.20885,1.58896,0.63026,-0.05506,7.82827,3.24498
10,13,0.02314,1.4709,0.48958,-0.01451,10.20913,2.51316
10,13,0.08462,1.49085,0.45689,0.00467,12.72607,4.14408
10,13,0.34137,1.5318,0.54489,-0.12525,6.51603,4.66186
10,13,0.15609,1.51356,0.33848,-0.02296,10.24195,3.10406
10,13,0.09711,1.444,0.40395,-0.01914,3.98983,2.96524
10,13,0.12057,1.55141,0.51798,-0.00401,7.92432,2.7165
10,13,0.0961,1.51899,0.46221,-0.08401,7.53066,3.47033
10,13,0.19656,1.62477,0.53668,0.08277,11.38471,5.09165
10,13,0.10304,1.4721,0.45319,0.0959,10.43428,3.29949
10,13,0.19203,1.48739,0.41518,0.01148,7.84022,3.59444
10,13,-0.05573,1.43509,0.37769,-0.1263,8.8757,3.98286
10,13,0.12343,1.50546,0.51029,0.11188,12.23149,3.56688
11,7,0.14991,1.37706,0.51933,0.08745,8.87144,2.59443
11,7,0.15213,1.50376,0.47675,0.0286,8.19411,3.06791
11,7,0.16796,1.6154,0.56897,0.02444,10.32339,2.41282
11,7,0.0441,1.39734,0.49324,0.14827,12.33823,2.38277
11,7,0.0381,1.60436,0.42191,-0.15956,10.35944,2.76859
11,7,0.16146,1.54316,0.49996,-0.00252,10.18122,2.66191
11,7,0.11234,1.63484,0.55108,-0.24773,10.0988,2.56884
12,9,0.19004,1.55931,0.66061,0.02403,4.56614,3.18739
12,9,0.04475,1.51661,0.47484,-0.00111,10.17964,2.92086
12,9,0.13708,1.45694,0.45309,-0.15061,11.23054,3.25879
12,9,0.2152,1.50374,0.42033,-0.02451,7.81619,3.90913
12,9,0.3398,1.56846,0.50939,-0.20501,11.41429,4.1461
12,9,0.1819,1.59134,0.50441,-0.09234,11.99963,3.16537
12,9,0.11444,1.47422,0.53401,0.01226,10.99173,3.68355
12,9,0.11335,1.46326,0.47587,0.03796,9.81512,2.14228
12,9,0.17412,1.31525,0.42871,0.07745,11.24007,3.59585
13,7,0.14809,1.3748,0.48467,0.06556,12.45532,3.68303
13,7,-0.03917,1.41135,0.40039,-0.11758,16.68068,4.31483
13,7,0.08851,1.38544,0.32383,-0.153,9.41922,2.70109
13,7,0.20104,1.46602,0.36255,0.09635,13.90955,4.05506
13,7,0.15092,1.5602,0.51978,-0.04961,11.28126,1.46411
13,7,0.22253,1.52652,0.49313,-0.13519,16.14577,3.81651
13,7,0.12334,1.41778,0.43089,-0.00159,10.92434,2.81748
14,15,0.10649,1.4746,0.48984,-0.19195,8.25704,4.36974
14,15,0.12022,1.38518,0.37557,0.03121,9.83312,2.84346
14,15,0.26829,1.36182,0.4967,-0.05109,9.03009,3.32618
14,15,0.38313,1.43695,0.44527,0.05917,11.25726,3.14646
14,15,0.16725,1.45113,0.4709,0.13108,8.5705,3.77305
14,15,0.31223,1.488,0.37697,-0.15554,9.88638,1.65648
14,15,0.24566,1.45659,0.44767,0.07146,11.95679,3.25957
14,15,0.1878,1.5834,0.54419,-0.0023,9.84776,4.30892
14,15,0.1251,1.5001,0.46624,-0.06536,10.34366,5.22719
14,15,0.0519,1.46359,0.34197,0.0351,8.79191,3.10184
14,15,0.13636,1.51544,0.37551,-0.15308,12.73864,2.93652
14,15,0.28416,1.55055,0.45171,-0.05609,8.73162,4.22162
14,15,0.12611,1.64319,0.42007,0.0353,10.39033,3.03399
14,15,0.22152,1.55946,0.45467,-0.09116,13.80699,2.61344
14,15,0.19349,1.54361,0.32194,-0.15259,10.69295,2.85209
15,16,0.17924,1.53921,0.46111,-0.07639,9.70472,3.41968
