frame,DetObj#,x,y,z,v,snr,noise
0,16,0.19638,1.10356,0.6404,-0.04088,13.6918,2.57129
0,16,0.21826,1.39653,0.63541,0.10205,12.98271,1.97202
0,16,0.13709,1.34863,0.63632,-0.17761,11.36849,2.45652
0,16,0.0367,1.37717,0.67784,-0.14061,10.47112,3.76027
0,16,0.04962,1.30019,0.74426,-0.09703,4.82739,4.03188
0,16,0.07202,1.34369,0.57936,0.02418,8.68846,2.58052
0,16,0.14896,1.43685,0.668,0.04077,13.99381,3.62351
0,16,0.21009,1.53883,0.46261,0.01058,8.11904,4.35784
0,16,0.15079,1.42757,0.73916,0.00371,10.60101,3.58894
0,16,0.13319,1.3228,0.70359,0.01222,7.23374,3.53568
0,16,0.16502,1.31137,0.58982,0.08068,14.51118,3.35611
0,16,-0.01558,1.35679,0.53086,0.06448,10.99295,1.98431
0,16,0.17233,1.34458,0.5695,0.11335,9.94031,2.79007
0,16,0.18919,1.30038,0.6244,0.12562,15.65303,3.98274
0,16,0.08916,1.33699,0.5482,0.02772,7.12036,2.12087
0,16,0.2037,1.23794,0.6979,-0.22118,8.30626,3.22459
1,10,0.21516,1.2758,0.72929,-0.05299,7.95181,2.3843
1,10,0.07846,1.33732,0.61967,0.05019,11.0259,1.46576
1,10,0.15174,1.24845,0.64803,-0.08077,6.30751,3.00319
1,10,-0.04533,1.29613,0.51205,-0.08931,10.76815,2.54697
1,10,0.03004,1.3762,0.66313,0.09771,11.52364,0.17083
1,10,0.13242,1.29713,0.55931,0.00434,13.93789,2.97995
1,10,0.06182,1.21711,0.6975,-0.04201,9.37866,1.86477
1,10,0.08107,1.48504,0.57114,-0.00444,15.08083,2.32664
1,10,0.07515,1.28787,0.70061,-0.14573,9.60475,3.08094
1,10,0.03874,1.32467,0.46546,-0.13098,13.66276,2.83069
2,17,0.05357,1.40349,0.5391,-0.11753,12.83316,2.67794
2,17,0.09557,1.41599,0.73521,-0.00659,7.60033,3.63414
2,17,0.03608,1.25662,0.61204,-0.02895,5.95615,3.59051
2,17,0.02982,1.33621,0.79437,-0.07122,16.5237,3.25595
2,17,-0.02714,1.31158,0.58024,-0.10273,7.23562,3.297
2,17,0.04309,1.26512,0.69984,-0.0115,10.66682,4.08492
2,17,-0.07789,1.43811,0.4995,0.06008,9.5572,4.2948
2,17,0.03296,1.40073,0.5776,-0.0127,9.84315,3.28525
2,17,0.17545,1.33499,0.68447,0.16176,10.72749,3.94134
2,17,-0.02036,1.29305,0.72529,0.13043,11.31628,4.74749
2,17,0.25796,1.31381,0.57325,-0.06228,12.21547,3.21045
2,17,0.14901,1.42421,0.70763,-0.03861,8.97165,3.6196
2,17,0.22907,1.36916,0.59755,-0.11203,7.44172,3.04856
2,17,0.13513,1.34448,0.51253,0.14177,10.19474,2.33058
2,17,-0.05788,1.41986,0.49917,0.03122,8.48492,3.71115
2,17,0.17812,1.43532,0.72937,0.01764,15.44325,3.89718
2,17,0.13754,1.35221,0.57934,-0.04991,7.93867,3.59354
3,11,0.07393,1.45897,0.55583,-0.00938,9.94926,4.44307
3,11,0.1075,1.32178,0.65372,-0.03376,14.24278,2.7294
3,11,0.12972,1.3534,0.73772,0.09357,11.66409,3.75838
3,11,0.09906,1.5002,0.68953,0.02854,9.15397,3.13877
3,11,0.19266,1.28689,0.70128,-0.00236,11.73808,3.71369
3,11,0.12007,1.45768,0.76515,0.11326,9.68707,2.20416
3,11,0.07801,1.30075,0.64233,0.06324,6.00087,3.07806
3,11,0.08835,1.26218,0.58421,0.01381,6.85855,1.94545
3,11,0.05371,1.31953,0.65858,0.03106,9.10886,3.01963
3,11,0.14607,1.51367,0.52356,0.08449,11.77498,2.7488
3,11,0.01981,1.40029,0.68856,-0.0071,8.89621,2.30589
4,14,0.06629,1.36353,0.53875,0.07554,7.63419,2.32741
4,14,0.06519,1.35755,0.67649,0.02096,5.28182,3.99073
4,14,0.06726,1.37724,0.51633,0.13891,10.5079,2.64439
4,14,0.13035,1.35584,0.70322,0.04477,9.99199,1.63245
4,14,0.11002,1.23473,0.47436,-0.05028,5.83366,3.32493
4,14,0.24829,1.47049,0.54026,0.14531,8.14958,1.55118
4,14,0.17053,1.36655,0.74799,-0.15438,14.5635,2.88358
4,14,0.10135,1.50451,0.51571,-0.03931,12.49647,2.82598
4,14,0.09157,1.38449,0.68082,0.02119,11.2293,3.24012
4,14,0.07787,1.4252,0.71856,0.0674,14.8088,5.08631
4,14,0.00625,1.35434,0.64917,-0.09629,13.64801,3.36736
4,14,0.0116,1.24825,0.67041,0.028,13.50644,2.95094
4,14,-0.00497,1.35796,0.62652,-0.03698,12.80848,3.45141
4,14,0.0636,1.41954,0.5804,0.00777,10.00439,3.71476
5,5,-0.04846,1.36928,0.55168,-0.06954,6.75805,3.66995
5,5,0.10829,1.26454,0.57885,-0.09602,8.96203,2.11464
5,5,0.13723,1.32049,0.60584,-0.00637,6.12832,3.4501
5,5,0.17415,1.47248,0.67874,-0.0434,16.05287,3.45315
5,5,0.11441,1.28703,0.56336,0.03727,10.12961,3.58813
6,13,0.13693,1.31409,0.66156,-0.07532,7.20234,3.4789
6,13,-0.00145,1.27268,0.6078,-0.04035,12.30306,2.71881
6,13,0.05095,1.30467,0.60085,0.09722,10.69678,2.40247
6,13,0.20637,1.4641,0.7097,0.07424,11.91906,3.10337
6,13,0.21039,1.48569,0.58536,0.07303,5.83415,2.64885
6,13,0.1262,1.46933,0.6438,0.04543,9.93138,3.84557
6,13,0.12185,1.33813,0.69341,-0.10616,4.39679,3.55686
6,13,0.10144,1.34691,0.65576,-0.02549,8.74561,3.17001
6,13,-0.00032,1.31467,0.58447,-0.05436,9.83947,3.79133
6,13,0.15116,1.18323,0.59096,0.04039,10.24615,2.60469
6,13,0.01244,1.34214,0.65216,-0.11645,14.88809,2.57684
6,13,0.12313,1.39693,0.55999,-0.0071,13.91444,2.73763
6,13,-0.08267,1.30009,0.72383,0.01948,4.8571,3.71656
7,7,-0.027,1.29709,0.63005,-0.06071,8.7954,3.71913
7,7,0.11583,1.43061,0.55725,-0.07704,6.94178,2.96725
7,7,0.17553,1.41526,0.57264,0.0807,13.0677,4.33956
7,7,0.09031,1.44154,0.57321,0.09494,12.93002,3.85927
7,7,0.2954,1.2764,0.60918,0.00785,9.29407,3.41592
7,7,0.14288,1.2495,0.62886,0.05136,5.68425,2.37844
7,7,0.14849,1.22671,0.77486,0.08266,12.10394,2.81501
8,15,0.08103,1.39177,0.60806,-0.05018,6.79658,2.67913
8,15,0.25559,1.30859,0.63806,0.0276,11.7704,3.44559
8,15,0.1436,1.41822,0.61849,-0.14268,13.2023,3.44729
8,15,0.10875,1.43075,0.41399,0.05503,8.23992,2.70452
8,15,0.03476,1.36676,0.64192,-0.05707,9.3194,3.22995
8,15,0.08914,1.27565,0.62575,-0.18995,9.06152,2.44569
8,15,0.06094,1.53948,0.67092,-0.05861,13.83498,3.92507
8,15,0.00259,1.36059,0.7094,-0.08915,10.34852,3.67992
8,15,0.04161,1.45487,0.50518,-0.04396,5.52835,1.37615
8,15,0.13986,1.39898,0.42077,0.10412,12.59474,2.4051
8,15,0.13376,1.48163,0.58016,-0.13357,14.49491,2.09312
8,15,-0.01955,1.31107,0.71686,-0.0779,15.8384,3.0304
8,15,0.03617,1.40452,0.72613,-0.14027,8.13857,1.73086
8,15,0.07816,1.37095,0.52517,-0.06958,12.96834,5.20328
8,15,0.03591,1.40924,0.71862,-0.03258,10.44471,3.02306
9,14,0.17983,1.36681,0.70499,-0.15629,13.4098,2.70832
9,14,0.29039,1.50244,0.5886,-0.07907,13.67595,2.42626
9,14,0.18125,1.60027,0.54115,-0.03666,8.00975,2.43824
9,14,-0.00197,1.40534,0.71891,0.10808,6.20132,3.70382
9,14,0.0711,1.37488,0.59854,-0.0403,14.4905,4.00442
9,14,0.10165,1.35878,0.63738,0.07614,11.17822,2.89172
9,14,0.11914,1.50804,0.58295,-0.00812,7.86099,3.59483
9,14,0.21597,1.28688,0.65714,-0.04135,7.42347,4.58844
9,14,0.01841,1.3819,0.60538,0.06147,9.43461,4.10508
9,14,-0.01367,1.37303,0.79354,-0.09215,5.78511,3.09787
9,14,0.13823,1.40956,0.64249,0.22027,8.77576,3.87707
9,14,0.13512,1.36462,0.58473,-0.09625,7.59408,3.36323
9,14,0.07211,1.38357,0.62103,-0.04143,11.62046,2.59796
9,14,0.19545,1.34325,0.6155,-0.03855,10.87368,3.80568
10,16,0.11379,1.48886,0.5557,0.11085,13.38271,3.43611
10,16,0.10827,1.37865,0.44156,0.01391,9.55915,2.39039
10,16,0.20822,1.39543,0.4917,0.0805,9.91693,3.05971
10,16,0.12111,1.38866,0.55492,0.01177,9.074,4.4589
10,16,-0.00443,1.24153,0.48621,0.13388,7.04943,4.01026
10,16,0.06303,1.39995,0.56908,0.04358,8.53177,3.80169
10,16,0.1755,1.30199,0.60969,-0.02239,5.45102,3.46601
10,16,0.0386,1.36526,0.55843,0.03222,6.97692,3.75381
10,16,0.16415,1.34147,0.57777,0.06963,14.02665,4.45904
10,16,0.01203,1.5759,0.71123,-0.1365,12.22151,3.71127
10,16,0.01982,1.49748,0.63257,0.04869,9.04407,3.09107
10,16,0.02695,1.33841,0.58671,-0.03165,6.92561,3.80995
10,16,0.16112,1.56882,0.61961,-0.10967,14.08373,4.4213
10,16,0.19037,1.39179,0.59994,-0.07099,11.40777,3.77135
10,16,-0.08647,1.48907,0.56951,-0.00111,7.77865,3.40122
10,16,-0.09743,1.38664,0.71147,-0.08586,14.70318,3.33223
11,12,0.10266,1.45459,0.6691,-0.03477,7.92837,3.01423
11,12,0.11305,1.39263,0.56489,0.09647,12.7401,1.96709
11,12,0.16465,1.40271,0.67695,0.08235,7.52484,2.32584
11,12,0.08048,1.57146,0.67592,-0.02104,12.60119,2.92124
11,12,0.07257,1.35315,0.44745,0.03617,9.19924,2.72577
11,12,-0.01951,1.27239,0.58326,-0.09165,10.17077,4.23255
11,12,0.12369,1.3946,0.55843,0.29918,12.39466,3.13697
11,12,0.12306,1.48575,0.64541,0.01112,13.06122,4.53845
11,12,0.18697,1.32737,0.59605,0.03803,9.93421,2.84989
11,12,-0.08518,1.42435,0.63707,-0.01153,8.04829,3.19894
11,12,0.21307,1.49236,0.63894,0.07396,7.97232,2.83903
11,12,0.15488,1.36694,0.66045,0.06963,14.27202,2.86956
12,13,0.25892,1.41527,0.5549,0.03804,15.36989,3.36757
12,13,0.10201,1.328,0.61298,-0.05854,6.8157,2.66492
12,13,0.17782,1.26388,0.53576,-0.02557,8.82315,2.75103
12,13,0.09091,1.38697,0.7217,0.10467,11.20375,2.7279
12,13,0.1144,1.40786,0.51337,-0.02206,10.09539,2.4509
12,13,0.09051,1.3983,0.67447,-0.03404,10.25074,2.73419
12,13,0.34565,1.49164,0.56146,-0.0936,9.24771,3.52032
12,13,0.20573,1.43209,0.52985,-0.02858,14.34762,3.71509
12,13,0.106,1.45355,0.51294,-0.09555,8.98026,3.16682
12,13,0.03916,1.31542,0.75285,0.07141,9.72881,2.97466
12,13,0.15788,1.50028,0.67821,0.0603,11.67465,3.13577
12,13,0.19543,1.41381,0.70113,-0.07211,7.21704,4.55595
12,13,0.02324,1.41364,0.63762,-0.01413,10.16698,2.39694
13,6,0.06156,1.41603,0.73456,0.03687,10.77125,3.87722
13,6,0.1215,1.41156,0.60195,-0.09796,17.19839,3.28249
13,6,0.20087,1.31696,0.45745,-0.08384,9.99064,2.70669
13,6,0.13472,1.28357,0.57129,-0.06961,9.07567,1.90376
13,6,0.13463,1.38465,0.59572,0.02514,13.24552,4.35809
13,6,0.10771,1.43702,0.67032,0.06672,12.11472,2.82414
14,10,0.17475,1.2689,0.70567,0.04111,9.55144,3.09822
14,10,0.05523,1.37689,0.51729,-0.15424,10.33152,3.28552
14,10,0.06291,1.3063,0.60333,-0.03314,9.35693,4.11563
14,10,0.11537,1.39682,0.67502,0.09939,6.10961,3.26812
14,10,0.00562,1.40094,0.6452,-0.05476,11.37668,3.92075
14,10,0.14352,1.37034,0.85566,0.04584,13.35494,3.21201
14,10,0.18801,1.29287,0.69977,-0.05713,11.79288,2.14466
14,10,0.07548,1.39488,0.67301,0.04029,13.15036,3.6928
14,10,0.0081,1.38558,0.57395,0.04581,9.74526,2.62354
