frame,DetObj#,x,y,z,v,snr,noise
0,16,-0.08635,1.60595,1.10807,0.12283,13.11986,1.54932
0,16,-0.24054,1.40833,1.08287,-0.01821,16.14348,2.59588
0,16,-0.22417,1.56068,1.11532,0.07645,11.43123,2.72536
0,16,-0.20618,1.40108,1.16215,-0.05598,12.10733,2.27102
0,16,-0.0343,1.61387,1.05468,-0.01948,14.9053,1.23659
0,16,0.09591,1.34509,1.23376,-0.03804,14.09084,2.2526
0,16,-0.21993,1.62211,1.26614,0.01179,13.9526,3.67755
0,16,-0.21961,1.36101,1.36727,-0.17737,19.65314,2.52455
0,16,0.0561,1.5069,1.18132,0.02003,10.91905,3.05729
0,16,0.10702,1.58638,1.31477,-0.00563,14.58752,2.95649
0,16,0.15551,1.55187,1.40811,-0.07556,11.19714,2.29051
0,16,-0.04457,1.64724,1.26997,-0.00456,12.24192,2.21205
0,16,0.01908,1.7084,1.34805,-0.01273,7.50639,3.02602
0,16,-0.14139,1.47739,1.11044,-0.00802,12.9315,1.42662
0,16,0.2229,1.64754,1.25216,-0.06914,10.39099,2.24757
0,16,-0.12837,1.54113,1.29567,-0.01875,6.10153,3.07511
1,12,-0.15127,1.62846,1.19257,-0.09324,9.17654,2.25475
1,12,0.03793,1.56773,1.23525,-0.07454,9.61052,2.77716
1,12,-0.03292,1.50399,1.30024,-5e-05,12.53329,2.31449
1,12,-0.35294,1.43917,1.20308,0.09767,15.8135,1.19188
1,12,0.09064,1.46333,1.00148,0.01499,12.36239,1.38144
1,12,0.18336,1.51328,1.33473,-0.06632,16.6505,2.24852
1,12,-0.08963,1.61588,1.12146,-0.00443,13.61714,2.13287
1,12,-0.12126,1.55459,1.20626,-0.05012,14.01869,2.84202
1,12,0.10025,1.50974,1.19343,0.02719,13.39962,2.80661
1,12,0.00586,1.5225,1.31001,-0.08706,8.91914,3.06449
1,12,-0.18986,1.55373,1.2809,-0.21075,10.5186,3.17768
1,12,-0.10939,1.50208,1.17133,0.03733,13.43932,2.58825
2,22,-0.19881,1.49812,1.06044,0.00973,11.33375,1.50789
2,22,0.0068,1.55927,1.30233,-0.02734,18.43917,2.62652
2,22,0.05463,1.46681,1.54106,0.10944,16.08901,2.39263
2,22,-0.22252,1.51987,1.28493,-0.14272,16.3612,3.55758
2,22,0.03277,1.5951,1.26802,0.03297,13.525,2.2375
2,22,0.08537,1.47456,1.03003,0.00481,9.42335,2.73328
2,22,-0.01507,1.50831,1.53132,-0.03969,15.15467,3.18122
2,22,-0.02108,1.52772,0.87882,0.03905,12.42412,2.97542
2,22,0.03392,1.41001,1.30874,0.02562,14.6698,3.04179
2,22,-0.11265,1.54986,1.27726,-0.00481,12.8906,3.69707
2,22,-0.13779,1.62093,1.481,0.02321,9.00304,2.3413
2,22,-0.27138,1.4441,1.27872,0.03236,9.77318,2.3433
2,22,0.19938,1.73586,1.37107,-0.01334,7.72882,3.57055
2,22,-0.14924,1.57386,0.86668,0.01925,5.26399,1.76008
2,22,0.00879,1.57051,1.32156,-0.05812,15.03308,1.64971
2,22,0.09404,1.73098,1.24029,0.11674,7.76844,3.09809
2,22,0.04884,1.50537,1.17792,0.12559,14.22699,3.50069
2,22,0.10532,1.5865,1.32229,-0.04076,16.90881,3.55503
2,22,0.07483,1.47261,1.28012,-0.04985,15.98376,2.85345
2,22,0.06531,1.50492,1.35723,-0.03183,7.15717,3.29281
2,22,0.20991,1.61034,1.30723,0.04579,12.78624,2.44129
2,22,-0.14278,1.51661,1.24524,-0.05821,14.50609,3.04969
3,29,-0.01605,1.51042,1.24732,-0.08371,14.03519,1.5635
3,29,0.12358,1.53082,1.235,0.04316,13.0639,2.55472
3,29,-0.2367,1.76603,1.23276,-0.04786,10.23584,2.2289
3,29,0.07312,1.47367,1.24491,-0.01904,11.80751,1.92867
3,29,-0.02417,1.53603,1.0312,0.12118,10.15433,2.34926
3,29,0.20668,1.65153,1.39106,0.04915,10.94217,2.5881
3,29,-0.02553,1.48745,1.36382,-0.07609,7.06425,2.59876
3,29,-0.03878,1.58706,1.22759,-0.10565,16.26453,2.83978
