frame,DetObj#,x,y,z,v,snr,noise
0,19,0.15796,1.14946,0.72738,-0.0005,17.86205,2.4852
0,19,-0.00187,1.20653,0.59912,0.16395,12.67154,2.49089
0,19,-0.15182,1.28859,0.68151,-0.09041,9.90318,3.64008
0,19,0.16483,1.11951,0.65511,-0.13249,15.62218,2.62263
0,19,-0.04838,1.52671,0.81463,0.04434,14.72403,4.01013
0,19,-0.07139,1.20466,0.59747,-0.17675,11.92924,2.56598
0,19,-0.10556,1.45136,0.73939,0.02719,10.37776,2.41245
0,19,0.10487,1.38873,0.65433,0.07076,14.62815,3.23874
0,19,0.02855,1.42661,0.68622,0.05141,9.66468,2.29765
0,19,0.03132,1.28192,0.77807,-0.03575,13.63731,2.9956
0,19,-0.05236,1.5534,0.83571,-0.10451,14.45771,1.62695
0,19,-0.14446,1.05513,0.80644,-0.02073,15.64234,1.92997
0,19,0.02063,1.10137,0.85689,-0.04275,7.82991,2.90745
0,19,0.16172,1.30497,0.54204,-0.02106,19.13703,2.49093
0,19,-0.06571,1.40885,0.72068,0.02305,5.92349,1.76981
0,19,-0.02538,1.07023,0.6499,-0.04916,10.51774,2.94429
0,19,0.00728,0.88922,0.59969,0.0454,11.47555,1.5843
0,19,-0.02948,1.40577,0.51357,0.06694,17.63792,2.65493
0,19,0.26596,1.02956,0.79455,0.06978,12.67762,4.0997
1,20,-0.1529,1.2152,0.915,-0.11411,14.82723,1.66966
1,20,0.21447,1.30206,0.85681,0.18508,14.76368,2.1559
1,20,-0.0722,1.37636,0.69857,-0.13012,9.07076,2.06533
1,20,0.03975,1.32729,0.81614,0.18051,9.25102,4.29421
1,20,-0.09355,1.32745,0.70308,0.28693,10.5855,2.29582
1,20,0.12479,1.14244,0.55165,0.24748,10.95796,3.23586
1,20,0.33611,1.33723,0.61186,0.07277,14.01146,2.38155
1,20,-0.13567,1.12093,0.85157,-0.10815,14.43348,1.68438
1,20,-0.15308,1.30973,0.75025,0.13861,12.67385,2.81481
1,20,0.08302,1.33535,0.49414,0.15006,12.66998,2.44527
1,20,-0.01481,1.42517,0.6699,-0.16014,13.47067,1.8778
1,20,0.07549,1.18749,0.83157,0.15601,17.43446,2.61679
1,20,0.43238,1.10614,0.8082,0.0153,12.97023,2.95792
1,20,0.30869,1.29549,0.76576,-0.14067,15.17115,2.49127
1,20,0.03636,1.207,1.00311,-0.07723,11.98956,2.49519
1,20,-0.23147,1.2775,0.54988,-0.09682,15.87639,2.44159
1,20,0.03331,1.19839,0.65182,0.13644,15.94471,2.73739
1,20,-0.28154,1.38075,0.71293,0.09274,13.10136,1.82121
1,20,0.35672,1.26707,0.5865,-0.0908,14.73492,2.52594
1,20,-0.25986,1.36598,0.67558,0.13792,11.65502,3.34173
2,24,0.20717,1.37466,0.74541,-0.01802,11.75339,3.36575
2,24,0.16669,1.16365,0.74911,-0.16384,12.45676,2.8478
2,24,-0.11697,1.1617,0.67528,0.25628,17.84743,3.08437
2,24,0.08166,1.3364,0.64875,0.15847,12.93781,3.03416
2,24,0.11332,1.21542,0.66532,-0.09788,9.93558,2.17855
2,24,-0.08995,1.38083,0.70751,0.00133,12.97365,1.34545
2,24,0.09008,1.41569,0.82223,-0.25407,14.93329,1.99818
2,24,-0.07851,1.50781,0.72195,-0.13604,12.96976,3.29436
2,24,0.40017,1.3393,0.63936,-0.01195,14.06092,3.45958
2,24,0.07452,1.32183,0.84242,0.06346,8.82459,2.32414
2,24,-0.21581,1.48024,0.65208,0.08849,11.36439,1.7403
2,24,-0.02951,1.14753,0.74876,0.0947,8.25897,3.52652
2,24,0.36639,1.41584,0.78261,0.14189,14.50215,3.00675
2,24,-0.00954,1.398,0.70095,0.02001,11.73789,2.35823
2,24,0.11961,1.30097,0.68165,-0.19786,12.67608,2.66737
2,24,0.10095,1.30371,0.68318,-0.03325,10.94475,2.48304
2,24,0.00905,1.13947,0.85672,-0.20205,17.14596,2.24215
2,24,-0.09916,1.48078,0.64913,-0.19033,14.59112,3.16661
2,24,-0.06808,1.39956,0.6893,0.14687,8.99934,3.3903
2,24,0.01708,1.4835,0.97363,0.19016,12.64312,2.38727
2,24,0.04274,0.95605,0.82183,0.07326,12.20539,2.76566
2,24,0.1812,1.3671,0.65539,-0.0822,19.24565,3.35998
2,24,0.15508,1.20044,0.79056,0.09544,9.84885,3.07194
2,24,-0.06925,1.43933,0.53669,-0.08497,12.00798,3.8536
3,25,-0.05392,1.26313,0.45844,0.11558,5.53142,3.22276
3,25,-0.14878,1.29132,0.61063,0.09568,11.96566,2.54
3,25,0.07091,1.3854,0.7043,-0.00101,9.90972,3.09416
3,25,0.07302,1.3614,0.64676,-0.02369,12.41561,2.19141
3,25,0.29163,1.08434,0.87122,-0.20195,13.19835,2.53326
3,25,0.03144,1.12353,0.69828,0.22328,11.2022,2.43467
3,25,-0.07297,1.4327,0.5798,-0.18772,11.6092,1.22858
3,25,0.06772,1.29017,0.78482,0.01254,11.45494,2.42113
3,25,-0.06438,1.35602,0.77903,0.06977,10.4507,2.22318
3,25,0.07712,1.18136,0.83353,0.15985,9.71878,2.00869
3,25,-0.14385,1.23782,0.82023,-0.06317,7.70329,1.85845
3,25,-0.06933,1.15281,0.73516,0.10185,11.525,1.58945
3,25,0.14259,1.31166,0.91206,0.2079,7.93088,2.3015
3,25,-0.20464,1.31558,0.75905,-0.23436,10.71111,3.06339
3,25,0.1873,1.359,0.69297,-0.15825,12.03322,1.67354
3,25,0.25034,1.21811,0.51029,-0.19893,15.73919,2.02526
3,25,-0.22426,1.14707,0.81729,0.0574,20.4968,1.8988
3,25,0.14874,1.20469,0.78471,0.24503,11.52696,3.17315
