frame,DetObj#,x,y,z,v,snr,noise
0,9,0.13481,1.43967,1.01864,-0.02726,9.42122,2.43723
0,9,0.09329,1.47231,1.1026,0.16448,12.30448,3.3921
0,9,-0.0428,1.47323,1.04556,-0.02121,10.65906,2.74158
0,9,0.04216,1.38734,1.13115,-0.0396,10.10054,4.02001
0,9,0.18081,1.45197,0.99175,-0.00298,11.02044,1.69762
0,9,-0.02399,1.39977,1.1763,0.03366,16.96732,3.97372
0,9,-0.16643,1.47314,0.92001,0.10683,9.4425,3.7106
0,9,-0.01667,1.36981,1.18813,0.04923,7.50295,4.44317
0,9,0.06424,1.41258,1.26338,0.03775,6.46033,2.66005
1,9,0.05197,1.44946,1.12439,-0.22488,9.73633,3.40419
1,9,0.1533,1.45605,1.11293,-0.12947,6.6776,2.73091
1,9,0.09667,1.44938,1.16029,-0.13919,11.45058,2.11872
1,9,0.16815,1.56575,1.15472,0.21382,7.14461,4.66217
1,9,0.24142,1.5644,1.15906,-0.21838,11.54145,2.14341
1,9,0.08827,1.40758,1.08602,0.1685,6.67393,3.22621
1,9,0.2131,1.39297,1.20477,0.21798,16.08912,2.28401
1,9,0.15159,1.41278,1.28436,-0.03425,9.28538,2.84901
1,9,-0.02541,1.52208,1.09204,0.06204,2.76177,2.74124
2,15,0.3403,1.55052,1.11989,-0.12852,12.36411,4.11374
2,15,0.16109,1.52873,1.05282,0.18821,15.19834,1.7642
2,15,0.17873,1.54951,1.07631,0.15098,8.55482,3.76102
2,15,0.09232,1.48349,1.15729,0.0679,11.37296,2.2133
2,15,0.12647,1.38299,1.06769,0.09425,11.82334,2.5937
2,15,0.24351,1.4977,1.15403,-0.07413,13.96698,3.14772
2,15,0.20834,1.43789,1.10727,0.10607,8.61108,4.03527
2,15,0.03481,1.49282,1.20556,0.15504,8.72367,2.75451
2,15,0.19855,1.44086,1.0197,0.22949,8.189,3.8605
2,15,0.15215,1.39612,1.19624,-0.21359,11.92618,2.66851
2,15,0.01531,1.57198,1.32915,-0.09268,8.23261,2.29738
2,15,0.11798,1.49241,1.13606,-0.11035,11.57712,3.9466
2,15,0.11446,1.58251,1.09598,-0.08437,13.97842,1.65389
2,15,0.02863,1.31374,1.11043,-0.11089,5.60242,2.34663
2,15,0.17851,1.48542,1.12086,-0.21953,13.23517,4.10138
3,11,0.33315,1.53407,1.1408,0.1258,12.40574,1.84823
3,11,0.07643,1.32903,1.20014,-0.091,12.28611,2.60756
3,11,0.16627,1.44722,1.17262,0.07529,11.01899,3.0765
3,11,0.26345,1.48293,1.16722,0.1891,10.24382,3.96225
3,11,0.25342,1.40826,1.25412,0.20176,9.18034,3.31175
3,11,0.08422,1.55119,1.10481,0.08833,9.15345,3.80353
3,11,0.03277,1.3819,1.2226,-0.11464,11.36897,2.38412
3,11,0.1823,1.56802,1.0878,0.18406,9.0885,3.54286
3,11,0.16048,1.28809,1.16301,-0.0943,11.47313,2.81869
3,11,0.1909,1.40773,1.24204,-0.17771,3.90604,3.67827
3,11,0.21356,1.45533,1.13827,0.05903,4.04516,3.55572
4,9,0.10865,1.46407,1.3348,-0.04193,10.69044,3.79638
4,9,0.30777,1.27911,1.09275,-0.09043,11.02131,2.53401
4,9,0.30484,1.50908,1.18843,0.01706,4.02071,2.40143
4,9,0.29458,1.431,1.17462,0.26048,5.7984,3.67054
4,9,0.17642,1.56696,1.20414,-0.16914,7.54855,2.08132
4,9,0.08926,1.46657,1.15359,0.01478,11.04066,3.01031
4,9,0.15073,1.37128,1.16579,0.05329,13.03217,2.54552
4,9,0.1896,1.50653,1.15449,0.15113,7.20048,2.52807
4,9,0.24919,1.39306,1.23279,-0.07409,12.50827,2.73673
5,10,0.30301,1.35485,1.07989,0.0355,7.40591,2.27077
5,10,0.29993,1.46019,1.39018,-0.23004,7.46098,3.44055
5,10,0.24731,1.4544,1.192,0.05822,10.43996,2.9652
5,10,0.30194,1.6116,1.36891,0.12293,14.11059,4.50864
5,10,0.21045,1.33349,1.10586,0.05131,8.68767,3.68768
5,10,0.38197,1.41352,1.0268,-0.17917,10.62236,4.22596
5,10,0.25077,1.42039,1.10004,-0.05385,11.59853,3.03006
5,10,0.20764,1.4873,1.23841,0.07441,10.53847,3.14754
5,10,0.13711,1.45156,1.23956,0.01013,9.2187,3.40986
5,10,0.23244,1.60194,1.21447,-0.01012,11.60274,3.08404
6,13,0.18931,1.47567,1.35869,0.07533,8.80715,3.71102
6,13,0.299,1.32101,1.20395,-0.02768,9.08893,1.84244
6,13,0.44862,1.42464,1.30966,0.12211,11.56311,3.25707
6,13,0.27656,1.35179,1.27233,0.13637,11.2396,2.60818
6,13,0.43708,1.57473,1.24267,0.01605,6.33863,3.25031
6,13,0.31434,1.27259,1.12696,-0.09335,10.0963,3.02827
6,13,0.23456,1.38175,1.12541,0.06657,8.68224,4.62066
6,13,0.31704,1.39529,1.16926,0.15245,13.32371,2.06624
6,13,0.4128,1.42219,1.24017,0.05747,8.45173,2.75259
6,13,0.17949,1.39379,1.31489,-0.23816,6.37442,3.35672
6,13,0.26023,1.60455,1.09826,-0.18413,9.42162,3.11167
6,13,0.32143,1.52567,1.15446,0.16584,4.66211,3.99811
6,13,0.29978,1.50103,1.05132,-0.01151,4.69374,3.26001
7,14,0.27177,1.46698,1.17002,-0.07839,9.99498,2.99834
7,14,0.23482,1.41788,1.12643,0.04766,8.88373,2.71332
7,14,0.28775,1.42067,1.04303,0.05573,13.61695,3.89206
7,14,0.23188,1.49525,1.39363,0.25528,9.04307,3.4288
7,14,0.30206,1.52271,1.35927,0.10187,13.01521,3.71521
7,14,0.25527,1.52614,1.25429,-0.07763,10.83755,3.82708
7,14,0.37921,1.37451,1.22921,-0.17281,8.47738,3.48383
7,14,0.32717,1.44552,1.34317,-0.06825,10.81533,4.78061
7,14,0.27009,1.42611,1.33438,0.13016,6.97767,4.27756
7,14,0.14556,1.38745,1.10391,-0.08608,15.66692,2.67414
7,14,0.35233,1.36595,1.28039,0.10312,8.78886,3.71178
7,14,0.19703,1.30326,1.17232,0.0353,11.99568,2.84623
7,14,0.30013,1.33703,1.26047,0.02946,9.89621,3.69858
7,14,0.46857,1.47816,1.28017,0.05388,3.43149,2.79004
8,8,0.1274,1.37188,1.32313,-0.08833,13.28444,3.17314
8,8,0.34462,1.43121,1.17084,0.12981,14.07284,3.64916
8,8,0.37503,1.34206,1.35452,0.00264,12.01848,4.15347
8,8,0.39648,1.37822,1.24598,0.07103,15.57239,2.04918
8,8,0.24985,1.54986,1.29166,-0.12131,9.55708,1.85567
8,8,0.38978,1.48385,1.24014,0.00506,11.87968,1.90442
8,8,0.38445,1.36334,1.23534,0.03218,6.30377,4.4115
8,8,0.12244,1.52059,1.22184,0.0008,13.69362,2.02695
9,17,0.3918,1.43766,1.20542,-0.04686,10.2213,2.59374
9,17,0.46383,1.48006,1.24015,0.05901,10.06484,3.3974
9,17,0.23411,1.28581,1.29639,0.05668,4.53012,5.00017
9,17,0.38187,1.41123,1.2497,-0.02415,14.6035,4.64159
9,17,0.35344,1.51391,1.27384,-0.01026,7.25129,3.07539
9,17,0.41031,1.42856,1.38215,0.10391,11.33904,4.46112
9,17,0.37319,1.45481,1.2943,0.02907,5.93176,2.13691
9,17,0.39522,1.3342,1.22328,-0.234,14.00879,1.67357
9,17,0.43929,1.42913,1.39109,0.26644,9.1935,2.6399
9,17,0.28533,1.36787,1.29839,0.00535,2.14983,4.42197
9,17,0.55386,1.36742,1.27451,-0.03736,14.75589,3.62607
9,17,0.27963,1.41334,1.31318,-0.07576,6.46507,4.08989
9,17,0.35011,1.41396,1.29652,-0.06012,4.14899,2.92153
9,17,0.20711,1.31812,1.25685,0.08756,15.24832,3.68007
9,17,0.38473,1.36678,1.24526,-0.07601,7.12879,3.42673
9,17,0.34894,1.46689,1.29531,-0.01087,10.06851,2.4561
9,17,0.25867,1.47196,1.34009,-0.05363,8.74918,3.19537
10,16,0.4208,1.44249,1.14501,-0.00488,13.73488,4.8519
10,16,0.31027,1.47922,1.34594,0.14191,7.0249,2.04144
10,16,0.49285,1.5329,1.20886,0.08479,20.77576,4.22414
