frame,DetObj#,x,y,z,v,snr,noise
0,15,-0.21617,1.46118,1.11889,-0.1031,10.52843,1.33297
0,15,-0.06074,1.468,1.181,-0.1312,10.11439,4.27412
0,15,-0.23212,1.38927,1.19252,0.11586,7.09519,2.7691
0,15,-0.1501,1.44833,1.01572,0.06046,9.14434,3.07293
0,15,-0.1048,1.46627,1.06138,-0.0442,7.79765,3.79745
0,15,-0.12165,1.37118,1.0688,-0.07325,10.49046,3.21536
0,15,0.00081,1.20401,1.26297,0.0355,10.9252,2.31539
0,15,-0.0666,1.48936,1.09121,0.22748,11.85142,4.55682
0,15,-0.00583,1.47539,1.03814,-0.02738,8.9599,1.77739
0,15,-0.13295,1.33935,0.96691,-0.00697,9.91852,2.74571
0,15,-0.17787,1.19405,1.07508,-0.03913,13.40912,3.44629
0,15,-0.27963,1.49227,1.09616,-0.07192,5.97178,2.6312
0,15,-0.03685,1.39732,1.11332,0.10739,6.16203,3.40335
0,15,-0.08113,1.49297,1.1003,-0.01093,11.492,3.30558
0,15,-0.2197,1.48183,1.20606,-0.0893,5.64598,2.21567
1,11,-0.04617,1.33372,1.08615,0.14984,6.88534,3.13425
1,11,0.02145,1.43591,1.17728,-0.17005,5.73861,1.93592
1,11,-0.04031,1.41129,1.18796,-0.25567,3.89036,3.34346
1,11,0.05546,1.61968,1.24745,-0.26257,11.64071,4.13797
1,11,-0.17175,1.37323,1.21583,0.27163,9.31198,1.80198
1,11,-0.06194,1.32983,1.29201,-0.11308,8.08013,3.90825
1,11,-0.06243,1.41129,1.23457,-0.22044,11.26789,3.47606
1,11,-0.16856,1.40767,1.09952,-0.28853,6.59543,3.64606
1,11,-0.14509,1.44613,1.31566,-0.07607,8.89792,2.89433
1,11,0.12746,1.41774,1.19481,0.13253,8.52382,3.69832
1,11,-0.23221,1.34162,1.25823,0.20432,14.3172,2.92475
2,13,-0.00078,1.43996,1.14751,0.1043,15.47915,3.41282
2,13,0.18648,1.54277,1.11046,0.12327,11.90195,2.79363
2,13,-0.24172,1.43603,1.25165,0.12966,13.39691,2.53808
2,13,-0.06142,1.46081,1.28319,-0.27131,13.07485,3.0096
2,13,0.05679,1.39831,1.19825,-0.19139,10.72957,1.76663
2,13,0.09486,1.46335,1.32875,0.27811,8.66143,2.75719
2,13,0.03624,1.40748,1.2568,0.21281,7.30152,3.51417
2,13,-0.09026,1.38646,1.30159,-0.18498,11.22912,4.61948
2,13,0.04197,1.46329,1.22294,0.25736,5.84628,3.32074
2,13,-0.00471,1.50632,1.16739,0.13856,12.64515,4.45007
2,13,-0.01529,1.46255,1.24742,0.39669,12.98662,2.24837
2,13,0.00114,1.43505,1.15875,-0.32875,8.5209,4.0969
2,13,0.1575,1.45973,1.29551,0.26487,10.18623,3.40765
3,7,0.00291,1.39076,1.10307,0.08232,9.33753,2.67619
3,7,-0.00373,1.55103,1.3663,-0.05014,5.85151,2.02647
3,7,0.10503,1.45187,1.23909,0.25705,10.46067,3.32056
3,7,0.09955,1.48899,1.31908,-0.22646,10.52054,3.44471
3,7,-0.04113,1.4873,1.3368,0.2363,13.19838,1.81721
3,7,0.01046,1.40516,1.19948,0.05765,16.45387,3.3792
3,7,0.00119,1.31469,1.17727,-0.08687,13.95523,2.64122
4,5,0.08465,1.50006,1.29466,0.15686,11.47878,3.07247
4,5,0.09297,1.55832,1.4202,-0.15529,7.38852,3.6092
4,5,0.17699,1.30347,1.46375,0.23597,10.46306,2.44979
4,5,0.17052,1.45789,1.19525,0.15464,12.4297,1.85092
4,5,0.14218,1.50203,1.12726,-0.21741,10.01425,2.82224
5,11,0.18239,1.60432,1.40925,0.27119,7.73891,3.22138
5,11,0.10326,1.36397,1.24908,0.09006,11.04864,2.39115
5,11,0.09971,1.45438,1.39377,0.22451,13.84969,2.85384
5,11,0.15056,1.39628,1.42158,-0.09183,10.82624,2.59022
5,11,0.01937,1.37251,1.31646,0.23353,3.86905,3.47999
5,11,0.05883,1.55069,1.21626,0.12085,11.24215,2.91712
5,11,0.04203,1.58607,1.40214,-0.26036,10.25205,3.03002
5,11,0.05635,1.52703,1.10717,0.10739,10.65688,2.5946
5,11,0.06183,1.3084,1.37892,-0.12275,14.0369,2.95021
5,11,0.12335,1.51956,1.292,-0.23965,6.69288,2.79007
5,11,0.22077,1.46881,1.22749,0.08813,10.40251,2.62839
6,10,0.22618,1.4605,1.28921,-0.05165,5.66705,2.62906
6,10,0.22242,1.4201,1.26922,0.11132,9.20073,2.7256
6,10,0.23984,1.45689,1.33851,-0.11109,4.02874,2.63141
6,10,0.32254,1.35046,1.27413,0.02059,12.42514,2.76388
6,10,0.07141,1.5007,1.34756,-0.02179,6.35984,2.82698
6,10,0.0712,1.4743,1.27298,0.16325,10.60274,3.06232
