frame,DetObj#,x,y,z,v,snr,noise
0,16,0.0872,1.37655,1.10004,-0.21948,8.26913,3.47133
0,16,0.00865,1.28375,1.06165,0.06416,5.73961,3.19437
0,16,0.11973,1.43353,0.94011,0.0837,16.60187,2.68808
0,16,0.035,1.4232,1.12115,-0.11602,6.78812,3.13029
0,16,0.07766,1.41768,1.07326,0.09862,7.29591,3.26444
0,16,0.08463,1.46976,0.98947,0.06072,11.30372,3.73119
0,16,0.06437,1.41869,1.03898,0.18757,14.35211,3.2395
0,16,0.02776,1.23586,0.91832,0.01092,11.27486,2.31939
0,16,0.19606,1.43535,1.02829,0.02768,12.21662,3.43919
0,16,0.2106,1.39933,1.03743,0.06909,6.03395,3.26069
0,16,0.0496,1.36379,1.03475,-0.06142,12.07411,4.40459
0,16,0.19283,1.48795,1.00907,0.02833,9.33293,2.84272
0,16,0.08042,1.33445,1.1925,0.10035,7.69981,3.44411
0,16,-0.01886,1.3855,1.00715,0.07089,10.52823,3.39099
0,16,0.16051,1.48553,0.9108,0.03888,12.1731,2.73611
0,16,0.02611,1.38538,0.99746,0.08937,9.20651,2.4347
1,9,0.11076,1.38342,1.13502,0.07456,7.70033,4.28312
1,9,0.15017,1.30172,0.95364,-0.09167,6.73366,2.94834
1,9,0.11651,1.35182,1.14393,-0.15144,8.70484,2.55173
1,9,0.06023,1.28427,1.10807,0.14292,15.90041,3.3572
1,9,0.1193,1.35737,1.02524,0.12608,3.74598,4.37564
1,9,0.08813,1.42228,1.01253,0.06948,8.32736,3.13401
1,9,0.02968,1.295,1.0298,0.09845,8.26073,3.37319
1,9,0.06753,1.44745,1.20807,0.10981,15.54615,4.38375
1,9,-0.02239,1.37432,1.04301,-0.09507,12.03988,3.85003
2,6,0.05132,1.44667,0.94021,-0.15552,10.33535,3.23746
2,6,0.17927,1.30796,1.12833,-0.07887,9.81745,3.35434
2,6,-0.00245,1.4127,1.14758,0.00066,13.20638,4.79577
2,6,0.03985,1.41812,0.87539,-0.08856,8.79946,3.39963
2,6,0.06771,1.28808,0.99939,-0.06622,15.00898,3.8979
2,6,0.03646,1.24149,1.028,0.04481,11.83937,3.53872
3,17,0.00177,1.35558,0.86074,0.02691,10.18186,2.38476
3,17,0.01067,1.19734,1.02568,-0.05787,10.85378,4.64027
3,17,0.09954,1.23038,0.92412,0.02964,9.39565,4.09394
3,17,0.05727,1.45265,1.01858,-0.16982,9.12167,3.46182
3,17,0.15193,1.34511,1.03502,-0.00955,5.62531,1.73371
3,17,0.21606,1.40589,1.093,0.02599,10.76207,2.29458
3,17,-0.10195,1.34722,1.05655,-0.09083,6.30626,2.87872
3,17,0.06262,1.27119,1.09855,0.04228,12.91291,3.85114
3,17,-0.00341,1.40498,1.06953,0.01059,9.76858,3.9734
3,17,0.08583,1.40243,0.97836,-0.01212,8.66323,2.76488
3,17,-0.00883,1.35392,1.08452,0.10874,5.17703,3.13293
3,17,-0.06537,1.38028,0.95598,-0.05171,11.31683,2.60338
3,17,0.07344,1.35807,1.18777,0.12185,12.60173,3.48406
3,17,0.01998,1.37609,0.93874,0.06312,9.9512,2.44599
3,17,0.13094,1.2671,1.04644,-0.08065,10.5688,3.27999
3,17,0.01471,1.31879,1.09351,-0.06711,9.46262,4.85849
3,17,0.16562,1.35415,0.98328,0.12906,7.61593,2.23911
4,11,0.03837,1.33886,1.11869,-0.09023,7.26046,2.5134
4,11,0.10977,1.37999,0.96573,-0.12276,8.0413,1.94166
4,11,0.07234,1.27623,1.03914,-0.11107,8.85458,3.37532
4,11,-0.03875,1.34542,1.07735,0.17763,8.27727,2.16871
4,11,0.13198,1.27127,0.98436,-0.05547,14.16542,3.98103
4,11,0.13358,1.48033,1.19729,-0.1041,6.40379,2.15814
4,11,-0.04295,1.31505,1.0815,-0.13299,3.373,2.41804
4,11,0.1133,1.37288,1.04808,0.06048,11.27443,3.40253
4,11,0.04713,1.36475,0.98604,0.13357,4.24638,4.04411
4,11,0.05081,1.41191,1.1266,0.04036,10.20558,4.00386
4,11,0.08121,1.37848,1.01735,-0.02397,11.63263,2.47796
5,13,0.08726,1.48607,1.03533,-0.04258,7.92331,3.11376
5,13,0.06219,1.49681,1.07044,-0.05959,9.63293,3.82142
5,13,0.0778,1.35469,1.19767,-0.03565,9.85243,3.59572
5,13,0.15723,1.505,0.98921,-0.08504,7.71311,2.83271
5,13,0.20983,1.34288,1.10865,-0.16192,9.31166,3.87611
5,13,0.10567,1.42368,1.13155,-0.02196,9.46872,4.78195
5,13,0.04161,1.31486,1.10229,-0.02074,16.18245,2.73758
5,13,0.09923,1.35619,1.06285,0.05791,7.70071,1.83641
5,13,0.13149,1.25818,1.02889,0.07321,12.67505,1.33361
5,13,0.06174,1.51214,0.83016,-0.01222,8.87769,1.80191
5,13,0.01814,1.38807,1.01915,0.01391,7.26824,2.09244
5,13,0.14451,1.3311,1.05881,0.13415,8.57939,2.50517
5,13,0.11631,1.36999,1.05413,-0.07295,8.32744,2.80281
6,8,0.08941,1.21498,1.03302,-0.00246,7.43504,3.44571
6,8,0.12395,1.31145,1.11301,0.01408,7.40696,2.23569
6,8,0.00257,1.43439,0.96884,-0.06015,8.73059,3.53328
6,8,0.07091,1.37186,1.02217,0.00785,11.81283,1.52677
6,8,0.00034,1.35588,1.06349,-0.04911,16.2313,1.76198
6,8,0.19593,1.41319,1.09081,0.05049,12.85158,3.80664
6,8,0.09436,1.31397,0.87359,-0.01608,10.69955,4.01215
6,8,0.05343,1.23992,0.95268,-0.02645,13.54729,3.06911
