frame,DetObj#,x,y,z,v,snr,noise
0,21,0.13921,1.36186,1.35001,0.15753,13.10984,1.4602
0,21,0.31507,1.39347,1.33239,-0.0114,17.94286,2.79617
0,21,0.10667,1.44074,1.17831,-0.06148,13.96889,1.69934
0,21,-0.18535,1.58216,1.10843,0.05677,15.87103,2.00519
0,21,0.1482,1.4902,1.32768,0.05258,12.10361,2.84819
0,21,0.21937,1.50023,1.22104,0.02776,7.53986,2.83694
0,21,0.24937,1.41531,1.21152,-0.0604,10.27828,2.83618
0,21,0.21039,1.42056,1.19926,-0.02299,15.32225,3.53729
0,21,0.04183,1.43194,1.19246,-0.09783,12.60617,1.73466
0,21,-0.12176,1.58901,1.10729,-0.11827,15.61501,2.08417
0,21,0.17784,1.36691,1.33661,-0.0232,15.53858,2.77673
0,21,0.17725,1.50197,1.19041,0.05901,9.96241,2.71432
0,21,0.35384,1.41021,1.13182,-0.12803,14.8606,2.51131
0,21,-0.04252,1.50494,1.24465,0.03937,14.44475,2.40587
0,21,0.36167,1.43033,1.20135,-0.10913,11.29404,1.96978
0,21,-0.14045,1.3514,0.96965,-0.06609,12.16786,2.80682
0,21,0.30073,1.472,1.17849,-0.05367,11.73027,2.74958
0,21,0.41422,1.48904,0.98157,0.03237,14.00033,2.45441
0,21,0.52753,1.23786,1.20972,0.15688,11.73588,2.83301
0,21,0.17054,1.30464,1.14886,0.13127,11.58532,2.95282
0,21,0.18225,1.43629,1.24306,-0.01369,12.37319,3.52219
1,22,0.12833,1.39328,1.19293,-0.1528,10.43032,2.12433
1,22,0.40687,1.21281,1.21623,-0.04501,13.1969,2.77344
1,22,0.2041,1.64153,1.01584,-0.06345,11.66255,1.84295
1,22,0.18983,1.31898,1.09881,-0.15015,13.98866,1.89257
1,22,0.10467,1.38303,1.06644,0.02441,18.40098,2.00171
1,22,0.09068,1.30894,1.2514,0.09668,13.46038,2.04291
1,22,0.079,1.63578,1.15634,-0.05111,12.45771,2.74245
1,22,-0.02692,1.55587,1.29162,-0.00329,12.76978,1.44603
1,22,0.42846,1.36177,1.13796,0.00125,14.33461,3.04341
1,22,0.39536,1.54694,1.35456,-0.01839,16.65001,2.55123
1,22,0.28924,1.39822,1.21736,0.08525,13.9354,1.89261
1,22,0.28803,1.52226,1.0509,0.05807,9.95782,2.94674
1,22,0.17055,1.71178,1.16099,-0.00017,9.39484,2.11698
1,22,0.30888,1.27383,0.95705,0.10573,9.00431,2.87489
1,22,0.02594,1.58234,1.24845,0.12608,11.10139,2.44757
1,22,0.21778,1.27063,1.06525,0.09761,7.95697,1.98092
1,22,0.1638,1.02024,1.01707,-0.14097,17.8825,1.36994
1,22,0.15777,1.41066,1.02369,-0.11547,18.46781,2.63913
1,22,0.1625,1.25216,1.12695,-0.14653,11.46103,2.96216
1,22,-0.29046,1.5426,1.04903,-0.0119,14.37346,1.89496
1,22,0.05184,1.35259,1.24662,-0.12221,11.07665,1.51777
1,22,0.25356,1.2188,1.39868,-0.02784,8.07822,2.20007
2,35,0.27685,1.353,1.16785,0.00396,11.33369,1.08688
2,35,0.17221,1.62044,1.40568,0.0748,15.6513,2.54498
2,35,0.07954,1.61093,1.27727,0.05557,18.16193,3.06571
2,35,0.1002,1.42415,1.19997,0.0966,12.64482,2.94278
2,35,0.48556,1.39054,1.3307,-0.12819,12.90577,2.64011
2,35,0.0321,1.51951,1.23126,-0.00323,18.80772,2.25621
2,35,0.07347,1.60454,1.12487,-0.01783,10.6537,1.9469
2,35,0.23844,1.49631,1.30842,0.11664,20.08612,3.21192
2,35,0.21975,1.39279,1.28412,-0.00763,11.3615,2.67548
2,35,0.22385,1.3669,1.28097,-0.03659,6.01524,2.40573
2,35,0.66707,1.24874,1.17439,-0.08399,10.45823,3.11136
2,35,0.17809,1.35545,1.21814,-0.11307,11.47314,1.67044
2,35,0.33877,1.3874,1.09122,-0.02732,13.33234,2.36748
2,35,0.1843,1.25791,1.12026,-0.09979,12.75149,2.63301
2,35,0.22989,1.47566,1.11965,0.06282,17.4606,4.12043
2,35,0.36625,1.29081,0.9588,-0.11917,14.06429,3.08888
2,35,0.25912,1.33457,1.24279,-0.04786,15.72184,1.78495
2,35,0.15081,1.39113,1.21535,-0.07808,11.73595,2.96023
2,35,0.03756,1.45117,1.25446,0.03197,15.19689,2.02531
2,35,0.3992,1.38843,1.19602,0.16347,9.08352,2.14783
2,35,0.0534,1.50164,1.31287,-0.11134,9.70526,2.68125
2,35,0.22343,1.35241,1.20381,0.10824,8.33293,2.29213
2,35,-0.25607,1.4709,1.05865,-0.0049,14.14554,2.15379
2,35,0.23122,1.70745,1.43257,-0.01288,9.4871,1.58477
2,35,0.2096,1.51791,1.21853,0.25158,10.48316,2.72437
2,35,0.35431,1.50377,1.20755,-0.11044,12.81404,3.10279
2,35,0.27241,1.58366,1.01837,-0.06403,12.96771,3.04534
2,35,0.12354,1.29987,1.24048,-0.20972,7.63476,2.48833
2,35,0.20563,1.36723,1.0824,0.0038,10.08688,2.89773
2,35,0.24989,1.24809,1.18348,-0.00329,12.15822,3.1704
2,35,0.09381,1.3258,1.0768,0.04666,19.42511,2.15405
2,35,0.0349,1.44867,1.15685,-0.12038,10.99428,2.06111
2,35,0.10659,1.22023,1.32746,-0.04224,7.39966,2.3043
2,35,0.27289,1.64696,1.00442,-0.05945,16.00206,2.31805
2,35,0.21424,1.34568,1.31033,0.20646,15.49467,2.75689
3,16,0.16088,1.28254,1.06845,0.01765,14.60464,4.03003
3,16,0.05106,1.5591,1.19296,-0.18098,15.72487,2.29827
3,16,0.14071,1.40698,1.1905,-0.09478,13.68963,2.29717
3,16,0.15537,1.60596,1.17675,-0.04056,14.70886,1.94792
3,16,0.16267,1.45778,1.02064,-0.08078,12.65902,2.94632
3,16,-0.04921,1.57153,1.2786,-0.09974,16.46118,2.98386
3,16,0.30816,1.55668,0.907,0.02494,8.03154,2.16308
3,16,0.17362,1.16325,1.20496,0.06471,12.00237,1.86627
3,16,0.32204,1.34954,1.11666,-0.11537,9.27733,3.17373
3,16,0.02662,1.33039,1.25636,0.00798,15.89516,1.44604
3,16,0.05558,1.486,1.23354,-0.01976,14.0093,1.9978
3,16,0.08697,1.30202,1.1882,-0.0939,11.00795,2.6555
3,16,0.21948,1.47668,1.18465,0.03399,12.80653,3.44879
3,16,-0.07602,1.23602,0.97671,0.026,12.09372,3.15166
3,16,0.34277,1.57382,1.29049,-0.14926,17.62301,2.31588
3,16,0.52159,1.44452,1.17172,-0.0649,14.224,2.65482
4,17,-0.00876,1.52684,1.19579,0.02539,13.38126,3.15124
4,17,0.37409,1.37255,1.13885,-0.00401,16.70398,3.20912
4,17,0.21728,1.57402,1.15684,-0.0523,12.62405,3.70102
4,17,0.08966,1.36263,1.40368,-0.04347,8.201,2.59431
4,17,0.02428,1.46785,1.06109,0.00232,13.11709,2.51068
4,17,0.25621,1.43892,1.10696,-0.01443,12.64581,2.32588
4,17,-0.07466,1.52519,1.12618,0.04879,8.63059,2.5411
4,17,-0.00488,1.31943,1.13093,-0.05313,10.19367,2.16934
4,17,0.02475,1.44273,1.15762,0.05933,15.84068,2.98991
4,17,0.01543,1.56271,1.24238,0.06603,14.02537,2.04726
4,17,0.38903,1.27063,1.30999,0.09118,8.97888,2.69281
4,17,0.24131,1.29975,1.1912,-0.04101,10.11977,2.27948
4,17,0.43528,1.52147,1.20185,0.03162,7.23976,2.35117
4,17,0.47271,1.60186,1.30354,0.03958,15.87416,2.77116
4,17,0.09745,1.42087,1.07415,0.00571,11.49321,2.77479
4,17,0.18566,1.67474,1.29836,-0.02229,14.65846,2.01794
4,17,0.26268,1.44155,1.00483,-0.06136,11.83533,3.67217
5,19,0.12247,1.42436,0.91092,-0.0425,11.3997,3.22446
5,19,0.29125,1.63218,1.20708,-0.06949,11.96742,2.54115
5,19,0.18238,1.60324,1.3321,0.11568,16.63526,2.37226
5,19,0.03373,1.20518,1.12254,0.03524,16.35647,3.69419
5,19,0.13445,1.42416,1.17419,-0.01021,6.1584,3.61415
5,19,0.22685,1.40612,1.23587,-0.05141,12.55854,1.60756
5,19,-0.00861,1.43982,1.16462,-0.10707,11.84105,2.78598
5,19,0.20807,1.43435,0.99691,-0.04005,15.36769,3.62316
5,19,0.43793,1.61372,1.24629,0.02434,11.71163,2.18294
5,19,0.46716,1.35809,0.8715,-0.1159,15.32323,2.32175
5,19,0.6171,1.28222,1.2981,-0.09238,16.96058,4.28351
5,19,-0.03275,1.54165,1.06291,0.13788,10.64127,2.49569
5,19,0.15131,1.28102,1.30452,-0.0357,14.35323,2.85291
5,19,-0.01559,1.6211,1.18016,-0.01931,12.55714,2.54227
5,19,-0.03071,1.33985,1.3008,0.10374,17.0263,1.9295
5,19,0.35136,1.37084,1.04016,0.00236,12.21099,2.2394
5,19,0.29648,1.45173,0.95387,0.09373,11.03017,3.02038
5,19,0.03771,1.40798,1.15073,-0.08765,18.63441,2.29017
5,19,0.23477,1.66678,1.0654,0.14589,20.82824,2.35768
6,33,-0.15106,1.42162,0.99515,0.08111,18.35883,2.68111
6,33,0.37706,1.4064,1.22106,-0.00578,11.16159,2.62606
6,33,0.29847,1.45127,1.08317,0.09552,17.53779,2.96044
6,33,0.24623,1.41758,1.40702,0.12374,16.37016,2.79083
6,33,0.35781,1.47834,0.91985,0.00099,8.97319,2.6101
6,33,0.03822,1.44079,1.19368,-0.02039,10.3618,3.70658
6,33,0.31509,1.5543,0.88914,-0.04445,5.33798,2.54275
6,33,0.31,1.51413,1.07902,-0.15748,15.33354,2.44092
6,33,0.12668,1.41156,1.08836,0.15139,15.63538,2.25305
6,33,0.11299,1.42089,1.25992,0.07713,15.35105,2.2947
6,33,0.27694,1.39732,0.92494,-0.09584,19.00908,3.14929
6,33,0.1663,1.40544,0.86794,0.1145,10.42337,2.64362
6,33,0.15114,1.47598,1.11798,0.06408,17.54227,2.72535
6,33,0.3094,1.53685,1.37206,-0.15299,12.36963,2.1915
6,33,0.28486,1.44512,1.22899,0.05192,15.2608,0.94186
6,33,0.45625,1.30358,1.17527,0.12623,11.54421,2.77972
6,33,0.50605,1.513,1.03525,0.02835,16.24393,3.15762
6,33,0.25055,1.57533,1.31943,-0.10895,16.80884,1.59482
6,33,0.09464,1.50978,1.21714,-0.03583,11.86374,2.49295
6,33,0.26718,1.49977,1.15427,-0.12733,13.99248,2.77015
6,33,0.06789,1.52495,1.16877,-0.07038,9.66576,3.03559
6,33,0.17519,1.47691,1.14772,-0.00683,7.72132,2.13354
6,33,0.38312,1.45754,1.24299,0.05324,14.85013,2.58396
6,33,0.13842,1.40585,1.05761,-0.00355,11.71104,2.68375
6,33,0.18836,1.44077,1.27084,-0.06267,9.73232,1.56024
6,33,0.37826,1.47176,1.30185,0.15028,11.24023,2.15029
6,33,0.34542,1.52738,1.02344,-0.01858,15.33002,2.8893
6,33,0.60813,1.67409,1.34412,0.03635,15.14798,2.18373
