frame,DetObj#,x,y,z,v,snr,noise
0,9,0.40824,1.49918,1.04795,0.02222,10.96934,3.26714
0,9,0.26122,1.64619,1.03045,-0.04683,14.83239,3.05625
0,9,0.30963,1.60974,1.07595,0.02523,8.2813,2.71163
0,9,0.23306,1.4439,0.93985,0.09154,7.68729,3.36152
0,9,0.219,1.58171,1.05822,0.05317,14.03715,3.39698
0,9,0.32342,1.53183,1.01372,0.12889,10.62209,2.82797
0,9,0.3751,1.63812,0.96392,0.05993,12.79682,3.31845
0,9,0.19533,1.72996,1.04449,0.08445,9.59855,3.57044
0,9,0.41108,1.50193,1.07328,-0.073,7.49938,3.60017
1,6,0.11762,1.59637,1.04052,-0.21202,9.11031,3.06087
1,6,0.24589,1.38365,1.1533,0.13519,13.35869,2.16644
1,6,0.20691,1.49312,0.99005,-0.22033,8.80556,2.80246
1,6,0.20863,1.50173,1.06803,0.33476,10.88477,5.48936
1,6,0.30357,1.5685,0.961,-0.29501,7.55862,1.9645
1,6,0.12287,1.51342,1.07516,0.13829,11.42387,3.61206
2,5,0.13554,1.72828,1.27829,0.12062,13.83201,2.53088
2,5,0.2234,1.4788,1.29922,-0.19214,10.21414,3.82024
2,5,0.21077,1.70328,1.25019,-0.23782,8.72931,4.26942
2,5,0.16734,1.57135,1.12123,0.04038,5.61398,2.53332
2,5,0.05084,1.6106,1.20386,0.11992,9.53561,3.47595
3,11,0.04122,1.58232,1.27492,0.32937,15.90754,3.89154
3,11,0.15948,1.5171,1.09348,-0.26812,8.14084,2.8046
3,11,0.18607,1.68479,1.32419,0.14621,9.31342,1.69199
3,11,0.17305,1.61492,1.26755,-0.28862,7.53653,3.19806
3,11,0.16439,1.58172,1.12104,0.09952,5.28475,2.96169
3,11,0.15395,1.53614,1.04701,0.18245,8.9546,4.64719
3,11,0.16125,1.6119,1.23274,0.21427,11.89464,2.33159
3,11,0.06987,1.58681,1.08694,0.10275,9.80109,4.37616
3,11,0.11129,1.39641,1.15726,0.30604,11.12467,5.52289
3,11,0.18516,1.57437,1.29919,0.40674,6.98949,2.78426
3,11,0.05471,1.78503,1.13091,-0.22323,10.33344,3.48096
4,10,0.18727,1.48304,0.96791,-0.35584,11.70343,1.84815
4,10,0.18936,1.50424,0.98818,-0.50771,8.39488,2.86964
4,10,0.20581,1.49537,1.14866,-0.28364,13.26102,3.81493
4,10,0.24889,1.58729,1.03246,0.34794,9.80514,2.47373
4,10,0.21499,1.58815,1.12349,-0.30797,10.32438,3.19321
4,10,0.22493,1.49159,1.11341,-0.39072,11.00374,2.56499
4,10,0.17228,1.69226,0.99683,-0.41604,11.08337,4.06122
4,10,0.18158,1.56019,1.0595,-0.4274,12.31185,3.28313
4,10,0.24699,1.33698,1.06877,-0.59191,5.384,2.32071
4,10,0.32823,1.33933,1.13702,-0.45593,11.27293,3.1792
5,16,0.26496,1.47969,1.13766,0.39512,7.51273,2.79901
5,16,0.00041,1.49,1.22204,-0.35174,6.31544,3.18845
5,16,0.13487,1.63425,1.11827,0.30543,11.3847,2.3603
5,16,0.09833,1.58774,1.02797,-0.36335,12.10096,3.22897
5,16,0.10665,1.59348,1.09277,-0.36725,8.75084,2.54394
5,16,0.15472,1.73563,0.99063,-0.52977,9.92145,3.17071
5,16,0.19136,1.52021,1.15566,-0.36298,8.78154,3.0093
5,16,0.18482,1.62941,1.07726,-0.51222,8.79509,4.28847
5,16,0.17212,1.61276,1.20332,-0.41162,8.28355,3.74977
5,16,0.1194,1.58184,1.08649,-0.35356,9.4605,3.5721
5,16,0.15314,1.6026,1.06835,0.39918,7.52039,3.67116
5,16,0.17819,1.59912,1.09384,-0.33348,11.22976,3.89411
5,16,0.19824,1.66869,1.16949,0.37915,13.35692,3.18863
5,16,0.20499,1.59969,1.17085,0.4483,9.98271,3.8884
5,16,0.18874,1.59682,1.10906,0.42992,7.36252,3.66066
5,16,0.24835,1.55564,1.03149,0.38431,12.47685,2.65388
6,13,0.023,1.5871,1.11244,-0.32639,12.04262,4.06959
6,13,0.2013,1.59454,1.20626,0.2617,12.29396,3.04672
6,13,0.11449,1.61778,1.04483,-0.21245,8.07208,3.21686
6,13,0.16387,1.59647,1.05082,0.32659,17.26777,1.62808
6,13,0.08034,1.68262,1.14551,-0.27428,7.75874,3.82509
6,13,0.08759,1.69389,1.13699,0.2819,10.69707,1.90667
6,13,0.15801,1.62699,1.14859,0.24234,9.4545,2.44755
6,13,0.24967,1.72825,1.1025,0.1462,9.27481,2.80426
6,13,0.2609,1.61623,0.84601,0.14162,10.02115,3.05158
6,13,0.04018,1.56393,1.22934,-0.1662,11.01073,3.81354
6,13,0.22255,1.51583,1.10654,-0.26477,12.97743,2.85235
6,13,0.07393,1.71107,1.21291,-0.13543,6.54762,3.57128
6,13,0.19206,1.52388,1.2614,-0.11383,6.55426,1.08516
7,7,0.22305,1.45616,1.06448,0.43973,8.87632,1.60973
7,7,0.24153,1.52592,1.10931,-0.5416,13.05411,2.7134
7,7,0.07113,1.53976,1.02762,-0.4131,7.65947,3.2
7,7,0.01598,1.55104,1.12884,-0.39462,8.08548,2.30455
7,7,0.25007,1.4047,1.1385,0.4069,7.2873,3.62801
7,7,0.13708,1.48249,1.24481,-0.41017,10.46487,3.591
7,7,0.24433,1.51795,1.11635,-0.42572,8.25681,3.07993
8,11,0.43855,1.50985,1.1969,0.41082,8.03099,3.58319
8,11,0.22447,1.55037,1.10487,0.52913,14.7433,3.92961
8,11,0.16834,1.42693,1.09577,0.35816,11.54899,3.83583
8,11,0.2906,1.58148,1.01749,-0.35564,10.65493,4.05302
8,11,0.38114,1.60256,1.07134,-0.42416,12.93879,3.57036
8,11,0.19182,1.60249,1.1701,0.36792,8.52223,2.01488
8,11,0.25277,1.65674,1.0722,-0.44942,12.25456,4.3264
8,11,0.20476,1.52672,1.21667,0.42697,7.81694,3.48767
8,11,0.37428,1.64064,0.94788,-0.42753,5.57963,2.93158
8,11,0.2063,1.54877,0.9906,0.3797,9.96841,3.34125
8,11,0.24656,1.4823,1.05699,-0.47846,11.43035,3.36059
9,9,0.19852,1.49125,0.97324,0.3317,11.95181,3.01805
9,9,0.21276,1.64252,0.98773,-0.18591,10.63821,5.15053
9,9,0.22123,1.70416,1.13042,-0.29002,11.47787,2.5011
9,9,0.15018,1.57582,1.11835,-0.27538,4.78818,0.77533
9,9,0.2114,1.44314,1.25257,-0.33498,9.44945,2.14471
9,9,0.09178,1.59499,1.19397,0.26468,12.68176,4.05776
9,9,0.10718,1.54323,1.19454,0.1968,15.49793,3.55067
9,9,0.25711,1.5572,1.09185,0.14594,9.14106,2.48607
9,9,0.1752,1.64118,1.16924,0.18906,10.22431,3.2391
10,13,0.21519,1.72431,1.17747,-0.35452,8.37006,3.91582
10,13,0.16038,1.62662,1.16153,0.31233,8.19182,3.24784
