frame,DetObj#,x,y,z,v,snr,noise
0,31,0.09139,2.53613,1.35505,-0.03849,8.621,2.08525
0,31,0.10205,2.32384,1.17254,0.04775,10.01726,3.55474
0,31,0.17798,2.49266,0.82513,-0.06878,6.50283,4.12484
0,31,-0.1073,2.26477,1.04027,0.04829,8.90097,2.21323
0,31,0.03059,2.38861,1.39279,0.018,6.98123,4.21262
0,31,0.18049,2.35114,0.97496,0.07808,8.45977,2.2314
0,31,0.17992,2.55678,1.24575,0.04575,8.02369,3.23226
0,31,0.35577,2.46601,1.25099,0.09703,11.39175,1.61805
0,31,0.06931,2.49143,1.06364,-0.01562,8.31079,1.97226
0,31,0.17394,2.29635,1.02229,-0.09528,11.76655,1.1026
0,31,0.06328,2.23287,1.13807,0.03517,6.48403,2.4684
0,31,0.24783,2.34392,1.19824,-0.02849,2.28653,2.77624
0,31,0.00258,2.43534,1.13782,-0.0918,4.00378,2.52052
0,31,0.14241,2.1856,0.89121,-0.07365,7.80505,1.62194
0,31,0.09999,2.37367,1.11202,0.01835,7.15985,3.21332
0,31,0.04289,2.36971,1.2117,-0.01526,9.99107,3.37231
0,31,0.03239,2.43917,0.97675,0.03286,9.61955,2.34939
0,31,-0.04919,2.34893,0.94958,-0.06215,14.33039,3.2352
0,31,0.0379,2.53076,1.16106,-0.09656,8.13565,2.15962
0,31,0.34843,2.34911,1.11498,0.02049,10.02127,3.67618
0,31,-0.0591,2.31002,1.14819,-0.04373,8.19828,1.46796
0,31,-0.064,2.4761,1.19948,-0.02146,6.25148,3.72471
0,31,-0.03026,2.46109,1.02275,-0.04886,6.70928,3.3146
0,31,0.05515,2.33159,1.14928,0.06055,10.60551,2.20322
0,31,0.04827,2.51731,0.83876,-0.03721,7.20847,2.45704
0,31,0.11304,2.40322,1.10065,-0.11459,12.67078,4.07798
0,31,-0.07179,2.38663,0.95232,0.04973,8.58299,3.15132
0,31,0.22143,2.40432,1.15531,0.02511,7.44224,2.47641
0,31,-0.07029,2.48813,1.2334,-0.03761,4.74085,3.70763
0,31,0.31106,2.85496,1.23108,0.04785,10.32782,3.76112
0,31,0.10947,2.27968,1.23672,0.07326,6.50596,2.69938
1,18,0.00263,2.29547,1.29622,-0.09036,9.15151,2.8875
1,18,0.17159,2.56124,0.87935,-0.09638,8.00032,2.18685
1,18,0.23445,2.54705,1.19291,0.01429,7.12859,2.19326
1,18,-0.00938,2.29603,1.13734,0.07552,7.42303,2.95705
1,18,-0.01334,2.54283,1.09424,-0.04199,8.2193,2.15726
1,18,-0.01108,2.19528,1.19628,-0.05759,10.39862,2.78603
1,18,0.13068,2.48329,1.10741,0.16422,7.67233,2.86484
1,18,-0.06576,2.28603,1.21348,0.05704,9.10218,2.77391
1,18,-0.04134,2.51291,1.12774,0.06979,6.06513,3.34719
1,18,0.13882,2.28381,0.9727,-0.00848,10.31575,3.7481
1,18,0.21898,2.28861,1.28538,0.09517,6.41998,2.59449
1,18,0.05642,2.38785,1.46865,-0.07483,5.12396,3.56206
1,18,0.21967,2.39106,1.28322,0.14339,8.72865,3.21963
1,18,-0.03782,2.41691,1.13594,-0.04521,11.71454,4.36644
1,18,0.11752,2.48271,1.16674,0.01329,9.74223,2.37554
1,18,0.00612,2.49119,1.15899,0.01324,9.10946,3.71332
1,18,0.23896,2.24767,1.10126,-0.03017,7.92283,2.8338
1,18,0.22417,2.17247,1.15861,-0.08954,7.18839,3.72784
2,31,0.18491,2.26596,1.10312,0.06909,7.60276,2.70101
2,31,-0.11057,2.33631,1.07088,-0.01891,8.22821,2.56246
2,31,0.06797,2.39204,1.11044,-0.18608,5.9874,3.12756
2,31,0.1828,2.28373,1.00409,0.01053,9.10243,3.10298
2,31,0.0684,2.36422,1.09448,-0.0468,7.66804,4.15551
2,31,0.10387,2.61128,1.46936,0.00584,10.17314,1.72946
2,31,0.09846,2.2682,1.14366,-0.02212,5.97328,3.61521
2,31,0.15511,2.37089,1.09784,-0.04475,9.34663,2.08116
2,31,0.18059,2.51276,1.20436,0.03563,9.76453,1.41894
2,31,0.25224,2.57615,1.06424,0.11213,8.12171,2.60669
2,31,0.13832,2.43037,1.03469,-0.03209,9.23032,1.90779
2,31,0.31214,2.41297,1.14395,0.02192,8.72785,3.75782
2,31,0.12492,2.20433,1.12016,0.13843,7.79212,3.29557
2,31,0.18272,2.4904,0.88545,0.13905,7.29134,2.89269
2,31,0.01553,2.48063,1.28533,0.09755,9.21244,3.046
2,31,-0.08721,2.28862,1.03139,-0.08571,10.56964,3.48703
2,31,0.30009,2.36086,0.78856,-0.03711,10.25022,1.67186
2,31,0.21409,2.18106,1.34312,0.01849,9.90401,1.51863
2,31,0.10998,2.32925,0.92238,-0.05684,7.3582,3.55859
2,31,-0.00411,2.28455,0.89524,-0.14308,7.87562,2.97155
2,31,0.2958,2.39249,1.20462,0.07122,8.46343,3.78917
2,31,0.05212,2.28425,1.17005,0.10356,10.80169,2.63397
2,31,0.03537,2.46298,1.01364,0.07319,9.87453,2.39924
2,31,0.16897,2.46431,1.24133,-0.11224,6.01498,4.11644
2,31,0.0077,2.52017,0.77534,-0.00726,4.39738,2.78413
2,31,0.03178,2.34086,1.05179,0.03588,8.45686,3.04791
2,31,0.02968,2.38684,1.29504,-0.09454,10.76683,3.12981
2,31,-0.11851,2.39682,1.35139,-0.01603,7.94406,2.64883
2,31,-0.11788,2.49572,1.03964,-0.02394,6.62521,3.30997
2,31,0.08337,2.27153,1.05107,0.04187,5.19042,3.0892
2,31,-0.11286,2.3509,0.96875,-0.01416,6.46477,4.6827
3,19,0.00246,2.55614,1.20133,0.01853,8.77186,2.85582
3,19,0.23593,2.44603,1.19302,-0.05979,8.77797,1.74295
3,19,0.19362,2.3979,1.0458,-0.00114,7.61044,2.44486
3,19,0.15456,2.23765,0.94665,-0.03171,5.65215,2.04945
3,19,0.08001,2.36045,1.07268,-0.05049,7.47705,2.35605
3,19,0.10093,2.65341,1.29186,-0.05199,8.50498,3.16659
3,19,0.10319,2.47679,0.99938,0.06462,8.18279,3.39992
3,19,0.0696,2.20506,1.02958,-0.07,7.37686,2.64178
3,19,0.07528,2.5019,1.04379,-0.04003,10.71894,2.21681
3,19,0.16804,2.38357,1.08087,-0.03183,9.21082,2.86168
3,19,0.13788,2.34661,1.20945,-0.02713,5.65103,4.32967
3,19,-0.12314,2.2477,0.99062,0.14229,11.25106,3.05114
3,19,-0.08264,2.53756,0.98965,0.02971,8.31527,3.26976
3,19,0.06677,2.31605,1.1411,0.15467,7.69508,2.1046
3,19,-0.08937,2.16066,1.19798,-0.04137,7.52489,3.43242
3,19,0.10212,2.48013,1.20828,-0.03469,9.40956,3.1829
3,19,0.29539,2.52923,1.37705,0.12184,6.95614,3.21797
3,19,0.04468,2.6294,1.13604,0.12408,7.90247,4.59951
3,19,0.37685,2.42799,1.10285,0.01009,6.11091,1.70431
4,17,0.01709,2.36113,1.07953,-0.16661,5.43067,1.66539
4,17,0.01719,2.40582,0.92651,-0.02139,7.48636,2.91936
4,17,0.16108,2.58762,0.94713,0.00585,5.55202,3.08538
4,17,0.14318,2.3702,0.85346,-0.05468,11.6313,2.26505
4,17,0.10167,2.54575,1.09188,-0.09606,6.7714,2.73008
4,17,-0.01242,2.37215,1.0573,-0.0131,5.04611,2.28865
4,17,0.17839,2.3358,1.00979,0.01112,6.12644,3.66023
4,17,0.25264,2.3538,1.0166,0.02446,6.45521,4.17826
4,17,0.06891,2.37622,0.84552,-0.09334,8.78583,3.91625
4,17,0.12498,2.47918,0.93323,0.01267,9.00322,3.74816
4,17,0.03958,2.38131,1.14903,-0.14155,9.61467,3.22804
4,17,0.33402,2.48311,1.06003,-0.05951,8.49807,0.39293
4,17,0.03934,2.39002,1.20523,-0.10536,7.89352,3.8619
4,17,0.12972,2.22332,0.9174,0.02535,10.29945,4.48348
4,17,0.08554,2.3096,1.16146,-0.0303,11.82125,2.64092
4,17,0.07342,2.43559,1.32412,0.06778,8.30809,3.17942
4,17,0.24438,2.45376,0.95968,0.01034,7.87037,2.7566
5,31,0.12627,2.4876,1.17133,-0.02158,7.54228,2.59502
5,31,0.17571,2.35996,0.93099,-0.0425,12.27773,2.47436
5,31,-0.05194,2.50239,1.06042,0.06541,4.61908,3.43373
5,31,0.04475,2.38735,1.10209,-0.07968,10.14367,2.97669
5,31,0.05488,2.16529,1.10489,-0.00395,11.38106,4.16647
5,31,0.32155,2.49021,1.23662,-0.05588,4.62607,2.38211
5,31,0.32347,2.46043,1.1478,-0.08123,7.1538,3.71847
5,31,0.21379,2.44756,1.23182,0.00562,8.58696,2.31192
5,31,0.11801,2.58211,1.2974,-0.00314,6.63049,2.53528
5,31,0.15708,2.50969,1.00247,-0.06152,7.80731,2.99704
5,31,0.03847,2.44998,1.10938,0.03906,5.98307,3.52271
5,31,0.12747,2.28556,1.17104,0.13926,8.92089,1.42043
5,31,0.25987,2.47281,1.00144,0.00086,7.69867,2.26079
5,31,0.09262,2.43769,1.11573,-0.00605,6.28119,2.61669
5,31,0.04836,2.51069,1.27263,-0.05187,6.09997,2.56147
5,31,0.28003,2.29819,1.24199,0.07923,7.80155,3.69515
5,31,0.35217,2.2851,0.96636,0.01647,7.01053,3.99086
5,31,0.18782,2.45785,1.12007,-0.02357,10.32306,2.40334
