frame,DetObj#,x,y,z,v,snr,noise
0,33,-0.02195,1.5359,0.8538,-0.01325,19.41463,1.77774
0,33,0.41751,1.59158,0.94351,0.08578,10.52704,2.31295
0,33,0.15098,1.66954,1.59297,0.08027,18.74196,2.01764
0,33,0.02227,1.78647,1.20084,-0.05826,9.49962,2.62791
0,33,0.21463,1.6533,0.88965,-0.05841,11.61992,1.72889
0,33,0.01718,1.62207,1.35777,-0.03502,11.09045,3.10075
0,33,0.09778,1.56852,0.83108,0.01014,10.64518,2.63123
0,33,0.12025,1.76592,1.10985,0.01234,14.36529,1.45407
0,33,0.19575,1.67287,1.27814,0.0955,14.65754,2.4925
0,33,0.07304,1.55861,1.15251,-0.05876,13.20035,2.30163
0,33,-0.11475,1.74598,0.96136,0.11699,14.20756,2.12891
0,33,0.07988,1.43116,1.11687,0.01806,16.8741,2.40315
0,33,0.00515,1.74944,1.22731,-0.13899,12.15443,3.85584
0,33,-0.03745,1.53125,1.18976,-0.07072,17.38698,2.25354
0,33,0.02927,1.72122,1.04834,0.06668,11.14661,2.08819
0,33,-0.08193,1.51558,1.19269,0.11576,13.0111,1.91182
0,33,0.06098,1.55938,1.28235,0.00274,13.22491,1.5711
0,33,-0.0821,1.76001,1.00544,0.0768,15.15871,1.45093
0,33,-0.01003,1.56372,1.23979,0.07498,20.68915,2.86728
0,33,-0.17877,1.59045,1.37663,0.15895,9.40413,3.12723
0,33,0.03509,1.54481,1.16279,0.02886,12.71631,3.19503
0,33,-0.10082,1.64854,1.1889,-0.01158,16.88258,1.57979
0,33,0.03926,1.94107,1.09139,0.01044,18.81339,2.03092
0,33,-0.1795,1.51394,1.07216,-0.03507,4.87298,2.97462
0,33,0.03815,1.87404,1.1657,0.11699,12.85056,2.69455
0,33,-0.04158,1.65122,1.25727,0.02464,12.95403,2.06486
0,33,0.14231,1.61327,1.06902,-0.05102,13.02589,2.63146
0,33,-0.01727,1.75403,0.96906,0.04117,16.07879,2.77269
0,33,-0.08934,1.60849,1.05897,0.03791,9.8318,2.35232
0,33,0.08987,1.54924,1.01539,0.09098,8.5003,2.47799
0,33,0.13926,1.75637,1.42057,0.13334,14.93822,2.04233
0,33,0.07513,1.67865,0.87049,-0.00813,8.94396,3.21515
0,33,-0.09863,1.72566,1.15179,-0.05717,14.53757,2.64997
1,27,0.16106,1.80621,0.928,0.04117,9.74987,1.92842
1,27,0.0596,1.9197,1.04809,-0.09933,15.85252,3.31586
1,27,0.12612,1.63063,1.13034,-0.07568,17.33063,2.42994
1,27,0.10623,1.67175,0.89569,-0.09653,16.31768,2.7221
1,27,-0.15755,1.54312,1.27651,0.0742,17.99142,1.92099
1,27,-0.08275,1.63279,1.2276,-0.02537,7.60413,2.35926
1,27,-0.16423,1.75933,1.4664,0.16209,17.61791,2.40608
1,27,0.00375,1.71942,1.19765,-0.15193,14.41264,3.58901
1,27,0.06998,1.59181,1.01847,-0.03814,8.19138,2.91651
1,27,0.00036,1.67223,1.11584,0.03282,14.09746,2.91468
1,27,0.14981,1.57369,0.97297,0.02837,10.66212,2.28756
1,27,-0.04938,1.50038,1.03827,-0.00328,13.09359,3.43964
1,27,-0.15364,1.62154,1.01931,-0.07825,9.72674,2.97265
1,27,-0.07526,1.59544,1.1257,-0.05956,14.56406,1.72569
1,27,-0.02324,1.62808,1.20629,0.04869,13.24436,1.44898
1,27,-0.03794,1.76565,1.35743,-0.06773,14.44497,1.8645
1,27,0.06135,1.76961,1.11926,0.10002,9.76807,2.34489
1,27,0.08981,1.74261,1.08988,0.20115,13.78607,3.13282
1,27,0.01584,1.45897,1.02266,-0.04465,15.36232,1.64508
1,27,0.14427,1.55428,1.15247,0.12328,12.8185,2.09616
1,27,-0.27268,1.87507,1.02435,-0.14921,11.52688,3.51106
1,27,0.03313,1.72728,1.0506,0.00898,10.36995,2.36744
1,27,0.18291,1.67205,1.40044,0.06061,11.09797,2.26231
1,27,-0.05766,1.64946,0.94266,0.03468,15.16683,3.16107
1,27,0.10899,1.77968,1.17875,0.16353,14.19224,2.07209
1,27,0.01957,1.721,1.14891,0.09923,10.82389,2.77282
1,27,-0.01524,1.60489,1.13783,-0.01848,13.05544,2.67859
2,14,-0.04471,1.5805,1.16168,0.06231,13.34114,3.34638
2,14,0.13123,1.60795,1.14341,0.02004,15.43162,2.08785
2,14,-0.11054,1.47691,1.09407,-0.0916,9.74263,2.20423
2,14,0.07661,1.62915,1.08401,-0.02625,8.07844,2.76588
2,14,-0.0147,1.4373,1.36099,-0.00166,13.29288,3.07026
2,14,-0.16908,1.67915,1.05053,-0.10678,14.69646,1.97171
2,14,0.17145,1.62905,1.25184,0.07305,15.1344,2.12992
2,14,0.00449,1.83643,1.20293,0.1518,12.39073,3.29394
2,14,0.0665,1.50799,1.10081,0.09925,15.79798,2.20344
2,14,-0.13874,1.49708,1.39615,-0.00463,13.65063,2.83414
2,14,0.18342,1.88093,1.10218,-0.14664,15.80388,2.42804
2,14,-0.01044,1.68972,1.29158,0.09092,9.62254,1.83364
2,14,0.22183,1.76701,1.09704,-0.09063,14.5808,2.3295
2,14,-0.09024,1.45589,1.13814,-0.06896,11.61075,3.12407
3,21,-0.05003,1.40427,1.15276,-0.08568,11.1943,2.7128
3,21,0.13669,1.78879,0.92452,0.20186,15.60009,2.3078
3,21,-0.03956,1.74215,1.20348,0.01752,11.35799,2.84795
3,21,-0.08903,1.4401,1.39077,0.04395,19.16529,2.66818
3,21,-0.01973,1.75601,1.18603,0.05609,10.04001,1.51776
3,21,-0.09557,1.71845,0.79345,0.13605,15.14227,1.36253
3,21,0.1771,1.57166,1.3951,-0.0851,21.95528,1.54292
3,21,-0.03173,1.48362,1.22552,0.03621,17.62673,1.73885
3,21,-0.08235,1.6295,0.98383,-0.02189,11.32329,3.25502
3,21,0.06483,1.43138,1.17016,0.07665,18.21748,2.37337
3,21,0.25693,1.5737,1.12827,0.08738,6.98009,2.35377
3,21,0.16921,1.63481,1.10869,0.02114,9.49465,3.23698
3,21,0.18118,1.69615,1.15752,-0.12856,15.6332,2.86456
3,21,0.08527,1.40143,0.89873,0.17139,12.30486,3.08756
3,21,0.08691,1.71081,0.93795,0.12091,16.78474,1.64863
3,21,-0.08097,1.55704,1.2521,0.08221,11.29476,1.73189
3,21,-0.04535,1.51361,1.00128,-0.05843,10.95065,2.98004
3,21,-0.16196,1.76061,0.9796,0.06732,10.85356,4.11967
3,21,0.21764,1.66537,0.93301,0.05106,16.00888,2.20681
3,21,-0.15436,1.52996,1.06696,0.03378,11.52183,2.85979
3,21,-0.08492,1.61975,0.84083,0.08698,19.3237,1.58244
4,26,-0.02299,1.56227,1.11498,-0.09108,13.92149,2.19232
4,26,-0.05702,1.60297,1.36388,0.03069,15.64852,2.56515
4,26,-0.12212,1.64373,1.12815,0.08851,12.34102,1.14347
4,26,0.30013,1.48503,0.93734,0.10814,8.21849,2.13735
4,26,0.18228,1.55359,1.19411,-0.00947,10.09233,2.29565
4,26,0.2982,1.5191,1.16804,0.2321,10.81791,3.13704
4,26,0.04578,1.7848,0.98304,-0.05937,9.12199,2.13167
4,26,0.10358,1.53533,1.04521,-0.04205,9.44122,2.56543
4,26,0.04243,1.84057,0.97913,-0.08393,9.44379,2.90055
4,26,0.19167,1.4726,1.26643,0.09574,15.63308,2.38948
4,26,0.08746,1.8754,1.03589,0.00063,10.57427,2.93775
4,26,0.09389,1.62501,1.20749,-0.07897,10.81716,3.04736
4,26,-0.11429,1.41955,1.15226,-0.14255,15.64736,2.11249
4,26,0.26862,1.66902,1.09459,-0.06899,12.65586,3.077
4,26,0.08195,1.64934,1.15037,-0.0339,12.18564,2.82911
4,26,-0.0219,1.63237,1.16219,0.01819,14.74611,2.26929
4,26,0.0757,1.65496,1.26863,-0.01485,12.28253,2.16084
4,26,0.0398,1.64589,0.84216,0.06776,13.13603,2.31752
4,26,0.25494,1.70122,1.29859,0.1714,14.20287,3.90257
4,26,0.04725,1.53805,1.12861,0.02242,10.23545,2.56386
4,26,0.14137,1.65475,1.31864,0.0688,7.53145,2.24028
4,26,-0.11465,1.70127,1.20025,0.08345,9.58134,2.63004
4,26,-0.22397,1.77822,1.20742,-0.19963,15.77912,2.07997
4,26,0.19807,1.57704,1.0892,-0.17217,16.58327,3.15888
4,26,0.15462,1.47824,1.0513,0.09398,13.8436,1.3719
4,26,0.07088,1.57661,1.02183,-0.10244,14.54968,2.61311
5,27,0.0366,1.42292,1.16182,-0.00548,13.85426,2.37175
5,27,0.10077,1.54979,1.33214,0.03793,13.80141,2.80658
5,27,-0.02493,1.70686,1.2078,-0.06698,10.70077,2.19567
5,27,0.02506,1.71946,1.12093,0.05949,14.54464,2.61542
5,27,-0.03293,1.6645,1.06616,0.14643,12.64549,2.67871
5,27,0.08436,1.52524,1.16005,-0.10405,12.40409,3.71827
5,27,-0.07243,1.67688,0.89155,0.08182,16.14826,2.74268
5,27,-0.05972,1.71868,1.20109,0.11898,11.27887,2.97046
5,27,0.1254,1.66716,1.14644,0.07809,6.19867,2.89005
5,27,-0.04418,1.68518,1.27056,0.03926,11.93258,2.45223
5,27,-0.10427,1.70375,1.24438,-0.18555,13.19744,1.71622
5,27,0.16737,1.46247,1.04669,-0.19407,15.41369,3.05013
5,27,0.2568,1.71977,0.96432,-0.07942,12.03294,2.39522
5,27,0.0563,1.63657,1.06318,-0.01863,15.03978,2.61825
5,27,0.09936,1.6546,1.21815,-0.01958,11.60964,3.08972
5,27,0.06412,1.5914,1.107,0.0096,20.4816,2.32082
5,27,0.11434,1.61454,1.32905,-0.1717,10.47796,2.18149
5,27,0.10793,1.72294,1.18763,-0.00177,17.79553,1.86677
5,27,0.09774,1.59265,1.09558,0.07471,8.52009,3.37758
