frame,DetObj#,x,y,z,v,snr,noise
0,5,0.0709,1.41573,1.17898,-0.05551,13.88279,2.56297
0,5,0.08749,1.34558,1.15484,0.0844,13.15513,3.15949
0,5,0.26344,1.36187,1.00339,-0.02725,12.46701,3.05476
0,5,0.30878,1.2652,1.26003,0.02683,12.45479,2.19584
0,5,0.04745,1.40402,1.26635,0.0963,17.17095,2.45467
1,7,0.18109,1.3646,1.13306,-0.06674,11.00762,3.05351
1,7,0.2133,1.29759,1.23524,0.05824,10.42503,2.33216
1,7,0.03632,1.4824,1.24521,-0.00764,15.49451,2.08523
1,7,-0.02948,1.39199,1.02974,0.05221,13.23735,2.09676
1,7,0.31999,1.43591,1.04887,0.06137,11.87834,1.83433
1,7,0.42068,1.36102,1.3563,-0.0514,15.28706,2.01084
1,7,0.09461,1.45314,1.32895,0.09419,14.42704,3.4444
2,4,-0.10655,1.37067,1.23853,0.02651,17.4032,3.61941
2,4,0.04383,1.43246,1.03749,0.06194,11.19369,1.92589
2,4,0.08031,1.61498,1.18979,-0.02366,15.31716,2.73327
2,4,0.00057,1.36068,1.36857,0.05484,14.15498,2.47826
3,4,-0.08735,1.3882,1.04669,-0.08606,11.89864,2.44033
3,4,0.28514,1.33601,1.03532,0.04122,12.90529,1.2623
3,4,-0.00298,1.40098,1.29896,-0.06964,7.32418,1.76056
3,4,0.02707,1.65706,1.09697,-0.04973,16.50225,2.37702
4,4,-0.01443,1.42241,1.01474,-0.10267,14.11894,1.82113
4,4,0.11891,1.46842,1.19197,-0.06051,10.92713,1.69147
4,4,-0.00325,1.4378,1.06365,0.01709,11.35705,2.32329
4,4,0.22976,1.42918,0.93745,0.0047,17.22631,2.01142
5,5,0.19621,1.46197,1.35147,0.07212,5.38146,2.40019
5,5,0.29677,1.17209,1.08214,0.03742,10.01916,2.21751
5,5,0.0187,1.6158,1.01596,0.00575,12.20397,3.5007
5,5,0.16452,1.25153,1.06252,-0.04072,13.8057,2.79314
5,5,0.01799,1.35989,1.07345,0.01043,13.87638,2.99567
6,7,0.03292,1.39231,1.2346,0.02538,18.16222,2.30288
6,7,0.09374,1.59068,1.1537,0.00405,16.49754,2.44213
6,7,0.06693,1.25847,1.2226,0.10785,13.49167,2.33884
6,7,0.0788,1.13055,1.17577,0.03102,11.92727,2.30784
6,7,0.06611,1.28898,1.19581,-0.04642,13.40837,2.14441
6,7,0.20463,1.37756,1.34357,-0.05292,11.14165,1.31846
6,7,0.41632,1.4126,1.04112,-0.03226,11.47054,2.37102
7,5,0.31521,1.25192,1.3364,-0.06172,11.93513,3.05351
7,5,0.10615,1.39957,1.14369,0.07808,16.00283,3.83845
7,5,0.14373,1.34558,1.22131,0.04476,18.20944,3.06659
7,5,0.26964,1.27515,1.05958,-0.16006,12.40701,3.18504
7,5,0.17379,1.42457,1.22881,-0.01801,16.09949,2.404
8,6,0.3332,1.4564,1.06951,-0.05236,12.2671,2.18587
8,6,0.25559,1.38742,1.10137,-0.04394,11.76174,1.72678
8,6,0.10251,1.36524,1.15314,0.01272,10.30851,1.61639
8,6,0.21813,1.34566,1.096,-0.11478,8.98885,3.08841
8,6,0.34039,1.47762,0.95705,0.11669,16.39793,2.45149
8,6,0.29996,1.37145,1.16755,0.05774,15.85929,2.30011
9,4,-0.09587,1.27997,1.3598,0.03254,8.58546,2.24286
9,4,0.0947,1.39438,1.23354,-0.00659,4.04095,3.49147
9,4,0.04163,1.47339,1.26795,0.06865,8.51053,2.48158
9,4,0.02572,1.36542,1.24409,-0.18218,13.74957,4.345
10,6,0.20163,1.35917,0.83439,0.03475,13.8333,1.459
10,6,0.03298,1.27424,1.40789,0.0743,16.32405,1.94157
10,6,0.24421,1.39573,1.41288,-0.0044,7.62162,2.53833
10,6,0.27997,1.25321,1.28368,-0.00347,10.42294,1.94223
10,6,-0.14331,1.4393,1.18314,-0.08383,14.99242,2.87409
10,6,0.07766,1.40669,1.32882,-0.07818,18.91873,2.79162
11,5,-0.13711,1.24488,1.41541,-0.17629,12.77574,2.89054
11,5,0.13165,1.28117,1.27612,0.05586,15.77738,3.19223
11,5,0.13552,1.53202,1.32859,0.03507,17.136,1.76212
11,5,0.33499,1.36967,1.15859,-0.17412,15.07259,3.0354
11,5,0.0862,1.31645,1.24593,-0.09876,11.29246,2.8837
12,4,0.231,1.42454,1.35295,0.02594,18.42013,1.91172
12,4,0.23747,1.47371,1.24942,0.00152,11.70589,2.69815
12,4,0.374,1.31037,1.1731,0.00686,11.00554,1.53338
12,4,0.04448,1.5285,1.35038,0.03094,13.26438,2.50322
13,3,0.21921,1.45428,1.20447,-0.04393,11.61608,2.96584
13,3,0.20625,1.32101,1.33399,0.07582,15.57677,2.43761
13,3,0.48185,1.23454,1.28466,-0.03274,19.44009,2.56907
14,7,0.01711,1.3245,1.27552,0.09621,12.48307,1.56102
14,7,0.16723,1.2988,1.26217,0.07058,14.05153,2.34571
14,7,0.11162,1.49881,1.32517,0.12269,6.6655,1.9374
14,7,0.29894,1.44245,1.45969,0.13221,14.32543,2.27392
14,7,0.22313,1.43313,1.4793,-0.2117,15.67836,2.06303
14,7,0.33474,1.49453,1.10124,0.06403,10.62627,3.46007
14,7,0.12862,1.42627,1.21018,0.01809,10.55116,2.31381
15,6,0.20904,1.32174,1.11118,-0.02829,14.47545,2.35613
15,6,0.23576,1.49999,1.49428,0.0734,11.65125,2.99054
15,6,0.04629,1.30951,1.22037,0.02446,11.88843,3.02115
15,6,0.3142,1.81266,0.95625,-0.25675,9.56465,1.94397
15,6,0.29859,1.45006,1.39657,0.02589,15.65228,2.52741
15,6,0.04098,1.33724,0.91962,-0.06979,15.15828,3.06882
16,4,0.00936,1.59125,1.32123,-0.0061,9.07344,1.99522
16,4,0.02959,1.51582,0.97552,-0.15821,13.19227,1.51689
16,4,0.22118,1.36083,1.28282,0.00922,14.20388,2.39113
16,4,0.00226,1.3794,1.53558,0.12832,13.53119,2.898
17,7,0.29931,1.71261,1.03172,0.09135,9.85774,4.51619
17,7,0.14286,1.26274,0.95138,0.02597,13.81954,2.4222
17,7,0.279,1.49009,1.15838,0.08311,13.60131,2.57152
17,7,0.08719,1.41232,1.24748,0.04544,9.10741,3.23566
17,7,0.26832,1.41421,1.3379,0.03394,10.46729,1.79101
17,7,0.12122,1.45108,1.2999,0.133,11.28311,2.94597
17,7,-0.04868,1.39578,1.34679,0.05099,18.88589,2.60591
18,4,0.07355,1.35326,1.12516,-0.05172,12.0509,2.25373
18,4,0.21117,1.23667,0.82454,-0.06399,11.24199,2.93474
18,4,0.12392,1.18908,1.27591,-0.01441,16.81719,2.80638
18,4,-0.09989,1.54643,1.36194,0.00391,13.72596,1.96285
19,7,0.17225,1.44924,1.40441,0.09308,14.24467,1.65983
