frame,DetObj#,x,y,z,v,snr,noise
0,21,-0.10576,1.86379,0.99554,0.00547,15.89701,1.71944
0,21,-0.22182,1.59928,0.99518,-0.07297,14.93646,2.4984
0,21,-0.2791,1.47945,1.10473,-0.06493,11.44401,2.38225
0,21,-0.0102,1.73856,1.17278,-0.00443,16.62671,2.53746
0,21,-0.49606,1.45284,1.22114,-0.093,21.51821,2.43109
0,21,-0.28804,1.73807,1.15965,0.00758,10.53144,2.23782
0,21,-0.20536,1.46156,1.0719,-0.1335,16.02984,2.90278
0,21,0.06264,1.41812,1.03555,-0.0925,11.18308,2.57814
0,21,0.01055,1.75134,1.45973,0.00046,11.47309,3.35967
0,21,-0.09737,1.56066,1.08277,0.15992,7.45186,2.18818
0,21,-0.08412,1.54997,1.02956,-0.06537,14.36813,2.48762
0,21,-0.14252,1.66723,0.84331,0.09001,11.96809,2.5813
0,21,-0.01084,1.61489,1.03299,0.06699,9.50851,2.55011
0,21,-0.22167,1.8,0.98432,0.03316,9.70661,2.74807
0,21,-0.19395,1.45586,1.15379,0.01409,17.69212,3.00784
0,21,-0.00644,1.47084,1.13978,-0.07292,12.17093,2.23326
0,21,-0.11617,1.65884,1.12674,0.02426,9.22502,3.49588
0,21,-0.02157,1.3561,1.17148,-0.12766,8.33565,2.42498
0,21,-0.04643,1.59686,1.23863,-0.17978,18.00078,2.31739
0,21,-0.26868,1.49186,1.25628,-0.02238,15.36169,3.05807
0,21,-0.32483,1.51914,1.08222,0.04656,13.58939,2.89032
1,26,-0.11427,1.62937,1.03373,-0.02901,14.19361,2.5576
1,26,0.10575,1.55523,1.23415,0.0029,15.20613,2.38845
1,26,0.07441,1.76562,1.15482,0.07256,9.39628,2.63995
1,26,-0.05527,1.70348,0.9098,0.00967,9.80183,2.03783
1,26,0.14676,1.46535,1.17285,0.05774,12.88276,1.85168
1,26,-0.20138,1.70795,1.16718,-0.02299,14.02565,1.8056
1,26,0.02042,1.59821,1.35279,-0.14861,14.48419,3.14133
1,26,0.06282,1.56496,0.93371,-0.02035,18.48819,1.9823
1,26,-0.51787,1.51036,1.1794,0.01111,14.51243,2.66891
1,26,-0.18093,1.50318,1.16312,-0.00043,10.39967,4.03448
1,26,-0.17877,1.48345,1.16362,0.08726,9.89288,3.53025
1,26,-0.00996,1.72882,1.13423,0.00684,10.03835,2.50841
1,26,-0.0654,1.38072,1.0286,0.03512,16.69744,2.35213
1,26,-0.25652,1.39254,1.11179,-0.03838,9.47412,2.74575
1,26,0.02948,1.30985,1.35635,-0.03935,11.15022,1.86633
1,26,0.10449,1.48809,1.05821,-0.06345,17.44083,2.36352
1,26,-0.20327,1.51394,1.06979,0.06472,17.07546,2.90586
1,26,-0.38753,1.5398,1.1083,-0.04879,14.51218,2.52115
1,26,-0.08884,1.72293,1.24346,0.05096,13.05171,2.438
1,26,-0.14777,1.46488,1.09272,-0.06286,7.94602,2.79513
1,26,-0.20734,1.4498,1.21597,0.02234,11.68394,3.31825
1,26,0.12858,1.697,0.99266,-0.03628,17.89351,3.33968
1,26,-0.33257,1.67175,1.17727,0.02638,14.11726,3.38017
1,26,-0.10781,1.38817,1.20433,-0.21643,13.56913,3.00688
1,26,0.02742,1.64414,1.16263,-0.17469,11.04663,1.8547
1,26,-0.16425,1.5719,1.12451,-0.13723,14.84221,1.07041
2,33,-0.14029,1.59724,0.94485,-0.02095,16.29632,2.74628
2,33,0.17294,1.75796,1.12216,0.01682,14.98766,1.859
2,33,-0.33404,1.84191,1.06763,0.00268,8.22438,2.50595
2,33,-0.21659,1.43116,1.09752,-0.25175,8.47627,2.24149
2,33,0.03487,1.40828,1.31019,-0.21403,13.83539,2.70944
2,33,-0.26991,1.66843,1.25058,-0.00569,10.91567,2.96973
2,33,-0.30323,1.72434,1.01409,0.04354,11.14604,2.70474
2,33,-0.25563,1.96445,1.17431,-0.1155,9.48435,2.19698
2,33,0.07716,1.49239,1.16658,-0.0709,15.51904,1.67365
2,33,-0.10838,1.62172,1.07047,-0.09355,11.21039,4.41872
2,33,0.03303,1.46173,1.09755,-0.04551,14.18596,2.25148
2,33,0.13298,1.6542,1.14589,-0.12088,10.23054,2.58519
2,33,0.11242,1.74988,1.03536,0.04583,12.1403,2.60437
2,33,0.10442,1.70313,1.24639,-0.14711,8.42169,3.74741
2,33,-0.15836,1.7169,1.10304,-0.03487,16.98832,2.1218
2,33,-0.13875,1.70689,1.31461,0.06683,12.79553,2.11485
2,33,0.02249,1.6829,1.05407,0.11367,13.61788,1.10382
2,33,-0.26992,1.60903,1.08032,-0.10264,12.325,1.86979
2,33,0.12945,1.51856,1.09507,0.03702,16.37602,3.37199
2,33,-0.31396,1.47586,1.21475,-0.00941,13.32941,2.83243
2,33,-0.10625,1.82996,1.2495,-0.08126,12.30439,2.60597
2,33,0.03797,1.55375,1.04228,0.02954,13.06744,2.59574
2,33,-0.05642,1.87792,0.95683,-0.13166,15.24953,2.91289
2,33,-0.4417,1.54148,1.25477,0.00073,11.80547,3.11632
2,33,-0.00168,1.62538,0.95825,0.05714,12.58046,2.52576
2,33,-0.2471,1.51602,1.19047,0.06968,14.24863,3.03373
2,33,-0.3212,1.73751,1.0704,0.04936,14.389,3.00577
2,33,-0.06622,1.61857,1.12089,-0.06391,8.93944,2.81779
2,33,-0.29548,1.85394,1.05948,-0.13154,14.36747,1.71957
2,33,-0.30125,1.59783,1.07473,-0.02291,13.86916,2.40481
2,33,-0.1243,1.57119,1.03104,0.02227,6.76836,1.00872
2,33,-0.17642,1.4233,1.02499,0.02024,16.3493,2.5628
2,33,-0.27386,1.50094,1.08625,0.1104,13.89712,2.09069
3,28,-0.31559,1.61509,1.31398,0.09222,13.00613,1.52652
3,28,-0.2374,1.46217,1.02491,-0.04119,9.68635,2.47502
3,28,-0.09287,1.59554,1.23826,0.00137,16.08645,2.66289
3,28,-0.22137,1.6629,1.04199,0.03311,11.78578,2.68142
3,28,-0.15535,1.83468,0.92489,0.05997,7.62858,3.4459
3,28,-0.15692,1.90584,1.04654,0.04971,13.10082,2.80823
3,28,-0.214,1.74864,1.22,-0.04941,9.49351,3.02273
3,28,0.03751,1.71671,0.7953,0.00187,12.61396,2.62346
3,28,-0.04179,1.64525,1.07333,-0.03825,16.62161,1.35419
3,28,-0.0511,1.63641,1.21463,0.08008,17.14395,2.33018
3,28,-0.10039,1.60481,1.16818,-0.02567,12.24442,2.21368
3,28,-0.2149,1.53686,1.11905,-0.08696,13.16241,1.9878
3,28,-0.00271,1.38483,1.16064,0.07165,12.6033,2.07482
3,28,-0.1244,1.65301,1.26271,0.14882,12.84781,3.14666
3,28,-0.47677,1.64652,1.15961,0.03846,7.8101,2.09937
3,28,-0.03047,1.44191,1.27272,0.08394,13.98926,2.87121
3,28,-0.18669,1.56962,1.22337,-0.1779,14.7203,2.41657
3,28,-0.00174,1.69598,1.15496,0.08729,9.24833,2.33845
3,28,-0.20702,1.5378,1.16491,-0.0035,12.70243,2.83981
3,28,-0.06577,1.55899,1.23532,0.00428,11.88353,2.68713
3,28,-0.42167,1.57164,1.21729,-0.02665,15.20369,2.9467
3,28,-0.36644,1.85829,1.0146,0.07692,10.44791,3.21119
3,28,0.30346,1.5395,1.14454,-0.08802,12.07514,1.40644
3,28,-0.23007,1.54879,1.17939,-0.16452,14.00368,1.96551
3,28,-0.03253,1.49446,1.18615,0.11825,7.71944,2.48198
3,28,0.02341,1.67412,1.22451,0.09763,11.18887,2.9264
3,28,-0.02161,1.49764,1.0775,0.07889,11.6718,2.30957
3,28,-0.02442,1.37386,1.09121,-0.09162,17.44902,3.14613
4,12,-0.21282,1.34268,1.14471,0.10915,11.01386,3.61238
4,12,-0.21587,1.6658,1.11327,-0.22238,15.60353,2.54496
4,12,-0.14653,1.65241,1.26266,-0.06117,15.77484,2.89566
4,12,-0.15088,1.81702,0.90426,-0.00608,10.25618,1.29581
4,12,-0.00879,1.49558,1.12312,0.07756,18.13855,2.15775
4,12,-0.21577,1.64562,1.09482,0.08279,13.64694,2.79956
4,12,-0.28421,1.61206,1.21917,-0.00445,15.11924,1.77198
4,12,-0.23755,1.59922,1.08751,-0.01403,11.25831,2.32497
4,12,-0.03358,1.62277,0.94315,0.00188,8.03392,1.73451
4,12,0.09415,1.51672,1.17266,0.05494,13.9285,2.33613
4,12,-0.24578,1.69729,1.106,0.0945,8.45634,2.04899
4,12,0.0731,1.69118,1.16423,0.0883,13.99224,2.3382
5,19,-0.09529,1.78314,1.03872,-0.06531,10.15908,1.91979
5,19,-0.21562,1.54281,1.02917,0.00347,15.30491,1.69605
5,19,-0.15339,1.98517,0.94696,0.0497,17.89363,1.49934
5,19,-0.20105,1.69611,1.06847,0.03658,15.61574,2.81907
5,19,-0.45508,1.52691,1.16676,0.05402,10.2126,2.27733
5,19,-0.0296,1.49363,1.00175,-0.03838,10.23534,3.5554
5,19,-0.19161,1.55281,0.89864,-0.09084,20.5464,2.18519
5,19,-0.14312,1.83851,1.14327,0.04419,13.95943,1.66949
5,19,0.01769,1.79753,1.10474,0.11675,9.46527,2.47487
5,19,-0.29344,1.52137,0.98446,-0.02334,9.95027,2.52129
5,19,0.0974,1.55758,1.04836,0.05573,14.5087,1.9028
5,19,-0.01931,1.59932,1.07959,0.007,12.95647,2.89059
5,19,0.17865,1.64457,1.21121,-0.04412,8.81457,1.86123
5,19,0.024,1.7942,1.34884,0.04024,16.49899,2.45329
5,19,-0.44284,1.62106,1.00976,0.05151,7.09506,3.98079
5,19,-0.07749,1.77409,1.35794,0.13529,12.84889,2.95838
5,19,0.05015,1.50189,1.14948,0.0162,15.53285,3.36653
5,19,-0.20592,1.51402,0.91282,0.01085,9.66712,2.85282
5,19,-0.18911,1.6028,1.40313,0.04603,13.70546,2.03215
6,31,-0.19952,1.51229,1.27558,0.0346,12.56006,3.1351
6,31,-0.11481,1.5387,1.20088,0.11217,10.23687,3.08256
6,31,-0.26889,1.74937,1.01871,-0.02904,9.07389,2.29405
6,31,-0.25717,1.66888,1.04,-0.03686,16.55933,2.61419
6,31,-0.07412,1.59406,1.42673,0.05076,15.94698,1.91175
6,31,-0.01668,1.56148,1.22574,0.07086,8.62454,2.49185
6,31,-0.33164,1.48554,1.3264,0.07919,12.41597,3.13483
6,31,-0.28596,1.77656,1.19642,0.01922,9.66645,2.04806
6,31,-0.04747,1.76037,0.95933,-0.08829,17.02889,3.4761
6,31,0.04202,1.58317,0.98823,-0.12274,12.5851,3.38399
6,31,-0.26182,1.73491,1.22604,0.0158,14.47396,2.13802
6,31,-0.26319,1.86355,1.17269,0.01608,16.22533,2.31663
6,31,-0.28871,1.87945,1.17896,-0.06432,14.26901,1.72148
6,31,-0.008,1.50311,0.97742,0.09639,18.73596,2.698
6,31,-0.14297,1.41544,1.07408,0.26221,12.87911,3.20069
6,31,-0.14152,1.5583,1.06305,0.10767,12.2797,2.44488
6,31,0.00068,1.82535,1.1794,0.06777,14.36578,2.70763
6,31,-0.2273,1.70631,0.98919,-0.03848,15.70962,2.14284
6,31,-0.03239,1.85934,1.05364,-0.06207,13.39885,1.858
6,31,-0.09697,1.62402,1.04124,-0.11894,12.3216,2.57532
6,31,-0.12114,1.53276,1.07763,-0.057,17.35724,2.33507
6,31,-0.19196,1.72061,1.08049,0.00523,14.80423,2.70671
6,31,0.0448,1.44708,0.96271,-0.0294,9.72266,1.50132
6,31,-0.16767,1.7359,0.98353,-0.03196,11.1867,2.27488
6,31,-0.14566,1.88127,1.20327,0.02401,13.46165,2.18668
6,31,-0.06795,1.57115,0.90686,0.0565,17.10737,2.74441
6,31,-0.22939,1.37264,1.08776,0.04468,7.79098,2.88149
6,31,-0.15159,1.69384,1.16249,-0.08843,13.63512,2.19353
6,31,0.16684,1.59819,1.32274,-0.09225,14.7276,1.69147
6,31,-0.15484,1.69977,1.11278,-0.06195,14.62764,2.10192
6,31,-0.07827,1.76731,1.18765,-0.0549,13.27116,2.60338
7,15,-0.16319,1.66349,1.33342,0.13682,9.40609,2.90508
7,15,-0.21154,1.62314,1.291,-0.18631,9.79008,2.53251
7,15,-0.28893,1.53664,0.8518,0.05283,7.15286,1.2715
7,15,-0.22238,1.65514,1.00918,-0.09946,14.51723,3.59395
7,15,-0.11991,1.49735,1.00655,-0.09698,12.26632,3.13227
7,15,-0.23751,1.6312,1.14727,-0.0011,16.06318,2.879
7,15,0.29724,1.68279,1.15776,-0.05549,16.36186,1.98861
7,15,-0.24953,1.65167,1.17949,-0.11969,12.61202,3.40656
7,15,0.02426,1.48938,1.28983,0.10204,14.94431,2.03782
7,15,-0.14326,1.71687,1.17201,0.02253,9.05488,2.27531
7,15,0.00855,1.73693,0.98365,-0.04376,11.0254,2.60457
7,15,-0.04252,1.70839,1.16206,0.12321,14.25587,3.17137
7,15,0.08965,1.79485,1.07518,-0.02279,9.38722,1.7443
7,15,-0.19612,1.60074,1.11432,-0.05136,13.43959,3.38136
7,15,-0.39603,1.52159,1.32262,0.13193,8.667,2.33762
8,22,-0.15104,1.54143,0.97019,-0.00692,10.48411,3.06005
8,22,-0.29,1.25327,0.92706,0.06154,13.78879,2.43617
8,22,0.07236,1.59891,1.02972,-0.02113,15.88781,2.30388
8,22,-0.29695,1.63781,0.86216,-0.01251,12.3985,2.82733
8,22,-0.22006,1.40323,1.15118,-0.14268,8.3889,2.91148
8,22,-0.02,1.4317,1.18665,-0.13049,11.76837,2.57356
8,22,-0.20079,1.50468,1.22123,-0.05924,10.92165,3.65989
8,22,0.04097,1.7336,1.2457,0.06183,15.85045,2.25207
8,22,-0.02957,1.65322,1.31573,-0.10183,15.40701,1.51307
8,22,-0.07912,1.62031,1.11758,-0.0479,13.49562,1.69289
8,22,-0.0446,1.64009,1.02412,-0.01547,17.50586,2.19821
8,22,-0.09308,1.54733,1.22418,-0.0702,10.19144,3.22257
8,22,0.02766,1.6012,1.20089,-0.05482,16.60771,2.17287
8,22,-0.10901,1.60713,1.10549,-0.0205,9.47168,2.62918
8,22,-0.03726,1.66709,1.0154,-0.03543,14.01167,1.45624
8,22,-0.10685,1.65539,1.23649,-0.10189,12.43926,3.0253
8,22,-0.09862,1.3347,1.17925,0.0541,15.88833,2.44067
8,22,-0.17733,1.55361,1.19791,-0.10711,11.82859,2.25502
8,22,0.1589,1.41692,1.11763,0.12276,11.52488,1.99436
8,22,-0.04385,1.79935,1.13481,0.04609,15.59509,2.36841
8,22,-0.17857,1.64438,1.27031,0.06688,12.58324,2.25586
8,22,0.05803,1.48496,1.21113,-0.10862,12.91837,3.67848
9,27,-0.08167,1.70323,1.00403,0.02335,18.10502,1.34387
9,27,0.00168,1.72683,1.18888,0.10804,5.56541,3.06613
9,27,-0.07456,1.83082,1.04097,0.12236,10.74576,2.28561
9,27,-0.38773,1.4336,1.10792,0.06005,15.10073,3.37618
9,27,-0.31378,1.43067,0.92537,-0.1308,16.42113,3.11867
9,27,0.11861,1.75249,1.0893,-0.05845,19.84513,3.04604
9,27,-0.2038,1.4129,0.94594,0.1017,20.55828,2.67049
9,27,-0.23222,1.61534,1.0615,0.09833,14.32295,3.31276
9,27,-0.06313,1.34316,1.23866,0.01771,13.16384,3.43975
9,27,0.04002,1.31065,1.08951,0.06837,14.77416,2.87471
9,27,-0.21628,1.65544,1.17141,-0.06259,15.97204,2.80938
9,27,-0.07188,1.8062,1.20476,-0.0222,10.87603,2.25507
9,27,-0.24665,1.6491,1.28253,0.02803,15.19101,2.43321
9,27,-0.07644,1.72189,1.02429,0.08183,15.02932,2.57269
9,27,-0.20668,1.78465,1.18315,-0.02862,12.40779,2.37273
9,27,-0.05874,1.56336,0.94456,-0.033,15.98616,2.06586
9,27,-0.38912,1.68401,0.91651,0.03515,14.21083,2.2054
9,27,-0.03268,1.74326,1.05781,0.02478,13.06631,2.78982
9,27,-0.25185,1.34205,1.13318,0.14853,14.61757,2.65747
9,27,-0.09334,1.5585,1.08595,0.07445,13.80641,2.55627
9,27,0.25207,1.54658,1.01039,0.00363,11.3946,0.66836
9,27,-0.19099,1.52223,1.19621,0.14852,14.01827,3.534
9,27,0.03201,1.60911,1.13657,0.03979,8.6901,2.77193
9,27,-0.49583,1.51621,1.01132,0.03513,14.77193,1.63134
9,27,-0.20364,1.64683,0.98355,-0.04052,5.55741,2.9999
9,27,-0.26812,1.58223,1.3768,0.0646,16.01971,2.71951
9,27,-0.06343,1.68099,1.06304,0.18943,14.25546,2.77229
10,34,0.05488,1.54836,0.94281,0.06584,14.02294,3.33505
10,34,-0.17752,1.67266,1.12207,0.08425,14.72535,3.30563
10,34,-0.38147,1.57925,1.08838,-0.01894,13.31515,2.15299
10,34,-0.34195,1.40936,1.157,0.01996,14.93078,2.91821
10,34,-0.15752,1.65939,1.32572,-0.13066,11.35717,2.60608
10,34,-0.11478,1.77308,1.1358,0.017,15.26466,2.95392
10,34,-0.28162,1.58316,1.00051,-0.03007,6.4165,2.93504
10,34,-0.23521,1.54138,1.02953,-0.12657,11.6015,2.35737
10,34,-0.28148,1.54481,0.99298,-0.08882,7.54603,2.5714
10,34,-0.01175,1.55281,0.91351,-0.02548,16.93064,1.76026
10,34,-0.08653,1.63836,0.80078,-0.1713,18.13134,2.76128
10,34,-0.11039,1.744,1.20146,-0.14707,14.00564,2.55048
10,34,-0.05695,1.58858,1.11182,-0.0424,12.15562,0.84392
10,34,0.00401,1.6521,0.97146,-0.03495,15.98581,2.9693
10,34,-0.04213,1.63115,1.05461,0.00354,14.79714,2.19397
10,34,-0.09618,1.54651,1.10704,0.08045,12.59217,1.99263
10,34,-0.11961,1.31481,1.15199,-0.03747,9.05716,2.34479
10,34,-0.00482,1.56761,1.17257,0.00629,9.72879,1.86104
10,34,-0.36147,1.46356,1.07489,-0.04069,21.43312,1.81426
10,34,-0.1814,1.76752,1.0974,0.10746,13.05577,2.131
10,34,-0.13596,1.44215,1.03256,0.00198,11.24137,3.06198
10,34,0.06017,1.64566,1.18899,0.07542,12.00939,2.11172
10,34,0.05741,1.7719,0.9284,-0.02237,6.44015,2.89565
10,34,-0.3926,1.59573,1.31033,-0.06661,15.77726,2.35802
10,34,0.04347,1.70353,1.08499,-0.11562,15.85849,1.69189
10,34,0.01035,1.62517,0.75094,-0.09258,14.83491,3.00799
10,34,0.09437,1.55857,1.1493,0.03649,9.31397,3.00873
10,34,-0.14073,1.69483,1.00133,0.16948,11.83217,1.11325
10,34,-0.00386,1.68532,1.04878,-0.03977,11.50706,2.99826
10,34,-0.31288,1.40932,1.22583,-0.1105,13.80491,1.32931
10,34,0.01142,1.57101,0.9985,-0.02787,11.79167,3.10586
10,34,0.01482,1.54817,1.1554,-0.17875,14.4126,2.52028
