frame,DetObj#,x,y,z,v,snr,noise
0,13,0.18944,1.34918,0.9614,0.11809,4.60981,5.71973
0,13,0.04216,1.39405,1.2041,0.06955,9.10909,4.83146
0,13,-0.15999,1.5573,1.12235,-0.08518,9.58035,5.75984
0,13,0.22604,1.31001,1.01871,-0.11626,7.759,3.49399
0,13,-0.11282,1.40309,1.07877,-0.12039,11.7349,2.67201
0,13,-0.2072,1.49459,1.46543,0.01795,10.97244,4.73917
0,13,-0.04582,1.53522,1.01132,0.07218,9.58631,5.1368
0,13,0.06559,1.35836,0.98066,0.05646,7.54106,4.47873
0,13,-0.07334,1.45677,1.04376,-0.07696,9.78547,6.767
0,13,-0.12881,1.26769,0.92936,0.03894,7.66349,5.96788
0,13,-0.32469,1.28484,1.19555,0.20331,11.19358,6.04534
0,13,-0.12522,1.22686,1.11357,0.05555,8.02654,4.47346
0,13,0.0029,1.25919,1.24017,0.06872,6.91507,4.48415
1,22,0.00317,1.38471,1.16236,0.00012,9.39971,4.6857
1,22,0.01498,1.24321,1.07313,-0.06135,7.78852,4.1567
1,22,-0.04751,1.18962,1.16913,0.06956,12.8869,5.39943
1,22,0.03717,1.20331,1.34048,-0.14455,10.23774,5.28391
1,22,-0.02763,1.40664,1.12228,-0.01753,11.27745,5.53779
1,22,-0.11636,1.32978,1.24694,-0.09438,10.68874,4.14455
1,22,-0.12186,1.40629,1.21726,0.06078,10.21576,5.21926
1,22,-0.01929,1.52121,1.12047,0.0081,10.91802,3.46898
1,22,-0.01625,1.33713,1.02043,0.02176,9.84219,4.0231
1,22,0.20116,1.2121,1.04684,0.07214,9.78914,2.73261
1,22,0.18362,1.34633,1.21401,-0.0233,8.07104,5.69838
1,22,-0.10329,1.44349,1.37992,-0.04285,8.35461,3.60252
1,22,0.04998,1.15452,1.27716,0.09106,10.15304,4.68105
1,22,0.03227,1.49257,0.99383,-0.01054,5.69321,7.06126
1,22,-0.06263,1.38061,1.16763,0.0569,14.60853,5.74787
1,22,0.01972,1.49687,1.19028,0.15241,10.23475,4.20165
1,22,0.07945,1.42185,1.34276,0.00362,12.41089,4.09885
1,22,0.05743,1.53834,1.22383,0.20532,5.6447,4.70793
1,22,0.11497,1.18737,1.20366,-0.12841,7.85989,7.54638
1,22,0.02296,1.25869,1.3086,-0.02874,4.71812,5.16553
1,22,-0.01346,1.43527,1.01527,0.07963,13.07929,4.29781
1,22,0.14522,1.33214,1.18416,-0.02088,9.08838,2.63285
2,20,0.03855,1.42371,1.17002,0.16625,10.71436,3.14914
2,20,0.01691,1.31951,1.29727,0.05179,10.97792,4.21988
2,20,0.06717,1.43579,1.25565,-0.01989,14.44374,4.52575
2,20,-0.08262,1.36417,1.37458,-0.00681,10.13309,4.13298
2,20,0.09155,1.22026,1.1832,-0.02737,12.17986,4.93108
2,20,0.03861,1.47765,1.26885,-0.05129,12.37066,3.73599
2,20,0.058,1.25253,1.19225,-0.02991,6.44706,3.22254
2,20,-0.16191,1.37665,1.04332,-0.12174,10.00047,3.56564
2,20,0.07692,1.19864,1.11993,0.04461,11.26466,5.22941
2,20,0.25892,1.24994,1.19533,0.05447,5.0116,6.38445
2,20,-0.10284,1.45187,1.28251,0.01687,9.22777,5.02834
2,20,-0.09717,1.22788,1.13527,0.03015,10.80692,4.63262
2,20,-0.16039,1.24915,1.20578,-0.14361,14.04316,4.93197
2,20,0.10932,1.31384,1.19655,0.0335,5.39456,4.74563
2,20,-0.19956,1.33484,1.25716,-0.14422,10.72732,3.12026
2,20,-0.19148,1.35788,1.0718,0.07746,11.29579,5.31195
2,20,-0.00885,1.42402,1.02874,-0.05098,10.23854,5.61781
2,20,-0.17723,1.28009,1.13504,0.05413,6.96596,3.70026
2,20,-0.16607,1.29841,1.37624,0.09443,6.12345,4.20864
2,20,-0.11694,1.37853,1.20593,-0.04922,7.44515,5.02837
3,25,-0.02009,1.37154,1.15241,0.11935,9.37084,5.91388
3,25,0.14771,1.39901,1.11332,-0.01226,10.23281,5.59661
3,25,-0.17891,1.32735,1.00179,-0.05449,8.25976,3.74127
3,25,-0.03098,1.03791,1.25918,-0.08268,5.57816,4.51089
3,25,-0.0728,1.41477,1.11815,0.00123,8.27336,4.77781
3,25,-0.03316,1.5224,0.87959,-0.05665,9.68532,4.94979
3,25,0.10168,1.48972,1.1624,0.10335,9.87122,4.36121
3,25,-0.16678,1.36668,1.2051,0.01435,7.89469,5.54105
3,25,0.06454,1.36733,1.12503,0.05606,11.33994,4.45999
3,25,-0.34052,1.43186,1.01351,0.06466,14.54953,7.05198
3,25,-0.08594,1.34954,1.24333,0.01613,8.8116,5.78266
3,25,0.10571,1.43777,1.25465,0.03451,11.03864,4.55598
