frame,DetObj#,x,y,z,v,snr,noise
0,23,0.29226,1.30527,1.06337,0.03778,17.25324,2.83383
0,23,0.07447,1.33621,0.96868,0.09129,11.51756,2.89626
0,23,-0.02244,1.26048,1.21618,0.01536,12.13288,2.44113
0,23,0.06232,1.58178,1.20039,-0.03243,11.37577,1.78782
0,23,0.27816,1.4817,1.17823,-0.01738,14.78967,1.6667
0,23,0.22631,1.44844,0.97295,-0.10498,13.07752,2.24521
0,23,0.02986,1.36263,1.06132,0.09777,9.98098,2.68998
0,23,0.62214,1.34587,0.94235,-0.06266,17.56171,3.22847
0,23,-0.04552,1.32553,1.21393,-0.06096,13.10863,2.88946
0,23,0.00136,1.29418,1.0944,0.07094,11.16149,0.93828
0,23,-0.16517,1.56762,1.0883,-0.07499,7.53286,2.47306
0,23,0.07498,1.45778,0.98815,0.09733,17.34262,2.69693
0,23,-0.03488,1.35883,0.9318,0.03381,13.98326,2.99208
0,23,0.16374,1.53142,1.07474,-0.05103,15.15306,2.91785
0,23,0.03147,1.24831,1.25042,0.0548,12.12099,1.42047
0,23,-0.01159,1.22051,1.13839,-0.00879,12.31639,2.60114
0,23,-0.0664,1.4054,1.23357,0.02595,13.66341,3.26698
0,23,0.06167,1.30353,1.07519,0.1666,13.56945,1.46376
0,23,-0.04708,1.28435,0.96423,-0.06802,12.58788,2.14187
0,23,0.13278,1.39392,1.18214,-0.10291,10.082,2.66384
0,23,-0.0509,1.12542,1.14437,0.09003,7.82487,2.94796
0,23,-0.10388,1.28759,1.37604,-0.06175,14.33259,2.74837
0,23,0.18966,1.37054,1.31887,0.17681,13.20277,2.95961
1,32,0.13144,1.37542,1.11913,-0.19948,12.05233,2.64605
1,32,0.19732,1.37991,1.10017,-0.00015,10.21538,3.10979
1,32,-0.08748,1.3267,1.17284,-0.12252,11.17801,2.65952
1,32,-0.15558,1.37516,1.23632,-0.15949,15.39034,3.06064
1,32,0.15042,1.22831,0.92489,-0.03733,14.2867,2.06441
1,32,-0.16759,1.39728,1.07088,-0.21006,14.91919,2.37271
1,32,0.08328,1.32857,1.17832,-0.00975,17.88117,2.64389
1,32,0.2639,1.47605,1.1808,0.08935,14.8144,2.48523
1,32,-0.00649,1.39941,0.95223,0.05328,13.9929,2.2629
1,32,0.32908,1.48608,0.92832,0.00017,14.47964,2.37144
1,32,0.068,1.31736,1.00031,-0.07111,14.26922,3.82588
1,32,-0.0634,1.30631,1.13842,-0.06372,8.62,2.23272
1,32,0.12356,1.4033,0.99684,-0.02252,9.10062,2.15
1,32,-0.00984,1.4363,1.32591,0.01285,16.72453,1.95404
1,32,-0.08993,1.21474,0.91777,0.03482,17.46153,2.0247
1,32,0.0162,1.25583,1.25205,-0.09965,15.13158,3.34098
1,32,-0.08593,1.46663,1.37689,-0.0235,17.61126,1.99351
1,32,0.1042,1.38585,1.27495,-0.00636,12.67095,2.6661
1,32,0.31428,1.37189,1.09798,0.03713,12.1914,2.32793
1,32,-0.0064,1.41378,1.25431,-0.03766,15.99065,3.55808
1,32,0.09797,1.23409,1.11506,0.03238,17.20649,3.59451
1,32,0.47951,1.41603,1.31818,-0.01799,10.72898,2.05352
1,32,0.05673,1.3393,0.8597,0.01405,8.90112,2.80235
1,32,0.12423,1.21444,0.99073,-0.09388,15.57277,3.31051
1,32,0.2646,1.30599,0.87664,0.05749,5.48526,2.45583
1,32,0.30237,1.45023,1.05106,0.0106,10.65905,2.54245
1,32,0.11022,1.39668,1.05189,-0.0319,11.59642,2.46091
1,32,0.13165,1.39568,1.02942,-0.03978,10.74123,2.02441
1,32,-0.08731,1.27058,1.16822,-0.0331,16.35986,2.98214
1,32,-0.14447,1.27138,0.95722,-0.08875,15.44002,2.64927
1,32,0.05674,1.37654,0.96872,0.09107,15.9849,3.1042
1,32,0.11177,1.35156,1.01874,-0.18723,14.87046,2.88382
2,23,-0.33677,1.52363,1.0077,-0.0367,15.1021,2.33614
2,23,0.01594,1.4777,1.05289,-0.18455,16.55059,2.99824
2,23,0.21609,1.46916,1.01361,0.06677,11.69433,2.30363
2,23,0.33892,1.57346,1.21829,-0.13725,12.11071,2.75729
2,23,-0.13856,1.30098,1.11178,-0.0536,13.43113,2.18064
2,23,0.17106,1.29773,1.13862,-0.04179,15.87444,1.75598
2,23,0.14406,1.25915,1.18778,0.03259,16.45979,2.32204
2,23,0.21712,1.44824,1.05764,0.05304,14.02479,2.04147
2,23,0.14043,1.45983,1.21822,-0.02603,12.72366,2.39299
2,23,0.08682,1.4675,1.02263,-0.05026,12.72315,2.7631
2,23,0.15418,1.15907,1.22226,0.16759,11.20117,2.04528
2,23,0.38066,1.47611,0.99776,0.04723,16.14872,3.55739
2,23,-0.03699,1.16378,1.12835,0.20459,13.32705,4.29802
2,23,0.22461,1.33293,1.10953,-0.04713,15.50123,3.59293
2,23,-0.06908,1.43893,1.12234,-0.1427,13.09689,3.32648
2,23,0.11605,1.36408,1.19965,0.1148,1.39857,2.13581
2,23,-0.01608,1.11365,1.15016,-0.1365,16.98832,3.06944
2,23,0.05644,1.30098,1.2449,-0.15359,12.65863,1.81454
2,23,0.09085,1.50461,1.02381,0.05308,9.91595,3.21184
2,23,0.13623,1.21082,1.12682,-0.09786,13.66599,1.86104
2,23,0.13764,1.54172,1.14056,-0.08726,11.68209,2.78808
2,23,0.36052,1.36155,1.08482,-0.05308,11.95897,2.58614
2,23,-0.03755,1.32047,0.89781,-0.04415,12.25829,2.64308
3,20,0.16935,1.50221,1.18307,-0.01977,12.19299,1.80402
3,20,0.02174,1.55412,1.26401,-0.0248,18.00378,3.59292
3,20,0.33644,1.42485,1.3055,0.05826,12.32912,2.44087
3,20,0.07941,1.17247,0.98476,-0.11383,19.17801,3.57193
3,20,0.02651,1.49065,1.11712,0.02265,14.02916,2.80907
3,20,0.16088,1.24586,1.45097,-0.01172,9.7928,2.81013
3,20,-0.21202,1.48045,1.19221,0.12227,20.4564,2.58425
3,20,-0.06151,1.27999,1.30426,0.14569,13.52717,3.41266
3,20,0.32872,1.35275,0.91163,-0.13215,13.44604,3.00327
3,20,0.1487,1.26467,1.20021,-0.04664,7.25762,3.44189
3,20,0.06394,1.50243,1.16157,0.09435,12.47294,1.75357
3,20,0.21549,1.22755,1.13001,-0.12654,11.00199,1.91204
3,20,0.09814,1.27459,1.14497,0.09584,13.57788,1.64712
3,20,-0.10106,1.35424,0.96516,-0.21017,14.1683,3.28672
3,20,0.04339,1.08317,1.05881,-0.05038,11.69723,2.06056
3,20,-0.11177,1.17183,1.07846,-0.06421,13.49046,2.20826
3,20,0.07347,1.24853,1.14477,0.02239,14.37177,2.45974
3,20,0.17032,1.5624,1.20833,-0.04442,9.2214,2.94069
3,20,0.07433,1.06016,0.94307,0.03199,14.47536,2.91164
3,20,-0.17087,1.36559,1.13292,-0.0427,14.65225,2.62537
4,21,0.17637,1.27617,1.29066,-0.0545,10.36795,1.09651
4,21,0.12723,1.32508,1.19674,0.07714,9.20569,2.58033
4,21,-0.00293,1.50997,1.1457,-0.08429,14.42285,2.80837
4,21,0.38258,1.40377,1.12464,0.14665,13.1984,2.21046
4,21,0.07944,1.20367,1.24234,0.10199,12.45017,2.84921
4,21,0.13774,1.27794,1.04159,-0.023,14.28688,2.752
