frame,DetObj#,x,y,z,v,snr,noise
0,14,-0.05736,1.16277,0.75983,-0.14377,8.16219,2.24002
0,14,0.13515,1.36078,0.91414,0.0185,12.57387,2.02765
0,14,0.17454,1.6071,1.11341,-0.08036,11.11438,3.24205
0,14,-0.02816,1.54077,0.924,-0.08445,13.03887,2.08795
0,14,-0.12627,1.47632,0.96342,0.0105,14.9292,1.77505
0,14,0.05625,1.72452,1.12683,0.01615,13.09164,3.41698
0,14,0.10142,1.55763,1.06714,-0.03149,15.3516,2.31501
0,14,0.14002,1.43197,1.04001,-0.02938,5.43919,1.76676
0,14,-0.09895,1.59579,1.0832,-0.11336,16.56953,2.37936
0,14,0.01061,1.37557,1.11941,0.03991,14.07405,3.59924
0,14,-0.0747,1.29409,0.88973,0.03039,13.45351,2.27626
0,14,-0.24365,1.58347,1.05188,0.07584,9.37019,2.09634
0,14,-0.17228,1.46066,0.93439,-0.0063,8.29973,3.38391
0,14,-0.01369,1.7236,0.8413,0.18122,16.1932,1.45107
1,18,-0.14245,1.7172,0.7205,-0.08999,13.54289,2.33669
1,18,0.04768,1.47864,1.36953,-0.03988,9.99126,1.96007
1,18,-0.03891,1.32876,0.90698,0.07914,16.24667,2.09497
1,18,-0.10394,1.3136,0.96094,-0.06073,14.12069,2.833
1,18,-0.18834,1.4789,1.11696,0.11281,13.24597,2.05521
1,18,-0.03926,1.54408,1.03548,0.11055,10.86522,3.21687
1,18,0.15777,1.65436,1.09785,0.03609,10.63337,1.76253
1,18,0.0323,1.61233,0.92462,-0.02468,16.52196,1.86761
1,18,0.24345,1.51594,0.99246,-0.01951,12.41069,2.58044
1,18,-0.25571,1.35693,0.92767,0.09077,6.48642,2.72884
1,18,-0.11358,1.5041,1.39472,0.08074,10.29628,2.24687
1,18,0.08877,1.43795,1.19331,-0.0138,13.60225,2.41954
1,18,-0.15259,1.54273,1.38771,-0.11944,13.69208,2.97825
1,18,-0.03861,1.45636,1.2711,0.06699,15.69008,3.11894
1,18,0.00972,1.54939,1.34759,-0.01686,16.23765,3.54334
1,18,-0.03115,1.41705,1.2707,0.05034,9.79032,1.82637
1,18,-0.06046,1.41372,0.93394,-0.03259,7.98036,1.4816
1,18,-0.18713,1.39703,1.09327,0.0313,13.30323,2.59091
2,18,-0.00157,1.58026,0.86598,-0.0268,11.13839,2.84346
2,18,0.0353,1.71999,0.96317,0.13658,16.19168,3.31734
2,18,-0.19767,1.29694,0.75048,0.0407,10.49539,3.06934
2,18,0.06021,1.58696,1.22107,0.0511,17.28501,1.62069
2,18,-0.05343,1.3897,1.23277,-0.07365,7.42721,2.58193
2,18,-0.06132,1.47603,0.90438,-0.11433,13.82304,1.60436
2,18,0.01235,1.43227,1.02986,0.04995,13.26163,3.06159
2,18,0.04637,1.48325,1.26047,-0.05923,15.11778,2.33718
2,18,-0.12949,1.57655,1.06129,-0.15735,14.35292,2.66772
2,18,-0.10622,1.37015,1.11951,-0.11238,15.2816,2.76409
2,18,0.02338,1.1867,0.66097,-0.0276,15.30252,2.9397
2,18,-0.18703,1.59411,1.25093,-0.02328,16.53882,2.21404
2,18,-0.06961,1.57776,0.83038,0.0511,10.20693,2.45242
2,18,-0.06473,1.54682,1.11053,-0.21076,6.66357,2.883
2,18,-0.02873,1.4621,0.66506,0.06366,13.46433,2.41701
2,18,-0.23018,1.57184,1.06766,0.11142,12.29127,3.07954
2,18,0.03377,1.50133,1.10189,-0.01572,11.20302,2.14128
2,18,-0.08927,1.47992,1.06007,-0.00334,13.75077,2.0106
3,13,0.12082,1.48741,1.24617,0.0751,8.54154,3.28682
3,13,0.09872,1.35454,0.71815,-0.15907,12.83024,1.79149
3,13,0.02888,1.52781,1.31505,0.00282,10.77321,1.94082
3,13,-0.01151,1.28142,0.97627,-0.14187,13.15279,2.8628
3,13,0.00586,1.27534,1.10344,-0.01082,17.2447,3.64998
3,13,-0.07049,1.64172,0.61555,0.06566,13.65015,2.7644
3,13,-0.07234,1.50514,0.85784,0.02688,11.23553,2.49911
3,13,-0.08232,1.47055,0.95845,0.15264,9.18823,2.83244
3,13,0.05766,1.38062,0.89384,-0.15928,12.43259,2.09763
3,13,-0.02052,1.35794,1.09138,0.12555,17.25353,2.83095
3,13,0.09473,1.57252,0.94762,-0.12233,15.04191,2.8048
3,13,-0.03857,1.51715,1.20447,-0.00192,15.42979,2.83759
3,13,-0.09679,1.35558,1.02383,0.11663,15.85039,2.32328
4,21,-0.16257,1.19491,1.25581,0.04085,11.21559,2.84281
4,21,-0.08052,1.35272,1.07073,-0.07151,9.84219,2.86139
4,21,-0.31085,1.47235,1.14182,-0.081,18.38665,2.64638
4,21,-0.10987,1.4557,0.82674,0.00576,17.12911,2.44675
4,21,-0.21104,1.33188,1.0397,-0.09209,13.69328,2.19563
4,21,0.0468,1.55484,1.27097,0.04295,6.43245,1.88001
4,21,-0.29876,1.52765,1.32057,-0.13556,12.80793,3.63977
4,21,0.05935,1.21274,0.94209,-0.1014,8.85912,1.79155
4,21,-0.19616,1.50405,1.16818,-0.05906,11.63046,1.83502
4,21,0.22353,1.39723,1.47134,0.00041,12.08193,2.97452
4,21,-0.17372,1.54466,0.90696,-0.10917,15.1409,1.77
4,21,0.06422,1.49438,1.18324,0.06865,11.05582,1.90731
4,21,-0.13671,1.26571,1.41805,0.00053,13.23939,2.11237
4,21,-0.05634,1.46983,1.05742,0.05067,12.60558,3.58083
4,21,-0.06346,1.56743,1.04822,0.04129,13.37944,2.84346
4,21,0.03291,1.29174,1.09144,-0.15189,12.9037,2.62247
4,21,0.15368,1.4485,1.20871,-0.07373,8.30491,2.54103
4,21,0.10727,1.48023,0.89248,-0.04296,14.25504,2.21349
4,21,-0.00109,1.49789,0.94435,-0.05825,11.53108,3.09734
4,21,-0.03313,1.51669,1.50468,0.01284,12.96335,2.71739
4,21,0.37636,1.3877,1.00948,0.09911,14.45906,1.1527
5,35,-0.31995,1.38906,0.80143,0.00234,12.233,3.93254
5,35,-0.05529,1.42599,0.80842,-0.05436,12.12229,3.53349
5,35,-0.01844,1.60456,1.22724,-0.06443,14.52634,2.54101
5,35,0.05067,1.25704,1.01489,-0.03939,12.34648,2.45368
5,35,0.22454,1.58075,1.28637,-0.04113,11.40357,2.28025
5,35,0.10978,1.61996,1.19438,0.10953,15.10494,2.85263
5,35,0.17352,1.69389,1.00608,0.04722,12.00781,1.67017
5,35,-0.06844,1.30556,1.01435,0.14331,7.44198,2.63206
5,35,-0.04317,1.48838,1.16141,-0.08076,13.64897,2.35265
5,35,-0.00818,1.53588,1.19842,-0.04946,12.95231,1.99439
5,35,-0.00026,1.48769,0.77229,0.1239,14.38488,2.27342
5,35,0.05815,1.61379,1.35246,-0.05667,14.81066,1.79225
5,35,-0.10983,1.52638,0.97466,-0.00545,12.81671,3.92821
5,35,0.11974,1.48469,1.37939,-0.02182,11.5983,2.40645
5,35,0.03587,1.54819,0.95553,0.06835,9.66996,4.26962
5,35,-0.05426,1.6739,0.97346,-0.01453,17.4535,3.08516
5,35,0.03284,1.34432,1.25709,-0.07134,15.88592,2.81733
5,35,-0.03801,1.4592,0.95046,-0.13135,13.58391,1.89894
5,35,-0.13332,1.60488,0.84074,-0.03577,14.85417,2.83786
5,35,0.18023,1.44507,1.1521,-0.08431,13.72699,2.85118
5,35,0.03999,1.33901,0.75532,-0.01388,17.21272,2.12447
5,35,-0.24605,1.52082,1.18636,-0.08621,12.6782,1.22632
5,35,0.04229,1.57539,1.11409,0.1318,16.76486,2.6388
5,35,0.08536,1.56155,0.92659,0.07141,12.20339,2.02731
5,35,0.18385,1.45672,0.96331,0.10703,12.75383,3.02331
5,35,0.00681,1.36285,0.71982,-0.0739,14.16793,3.27041
5,35,-0.18003,1.23681,0.7877,0.0053,15.49068,2.00269
5,35,-0.30098,1.4231,1.22539,-0.09491,15.05879,2.05754
5,35,-0.07856,1.58929,1.08124,-0.12566,16.23055,3.15501
5,35,0.01457,1.54185,0.94757,0.02469,16.2371,1.78357
5,35,-0.10275,1.67993,1.1218,0.03877,15.3585,3.37206
5,35,-0.03061,1.59946,0.85038,-0.1017,14.51378,2.65579
5,35,0.02234,1.3238,1.57618,-0.04308,15.00307,2.44849
5,35,0.08593,1.57604,1.15979,-0.12784,14.16657,2.04379
5,35,0.09857,1.5597,1.17079,-0.1577,19.43374,1.75649
6,35,-0.01803,1.20709,1.07282,-0.04365,11.48406,1.35142
6,35,-0.08966,1.4472,0.74163,-0.00903,18.83047,2.94472
6,35,-0.01543,1.31223,1.19201,-0.15991,14.8802,3.23299
6,35,0.00694,1.39013,1.138,-0.16674,12.69124,2.18048
6,35,-0.14165,1.49606,1.12428,0.12852,8.65999,2.65866
6,35,0.01906,1.41008,0.81449,0.1068,11.99933,2.29082
6,35,-0.09389,1.46277,1.11412,0.05572,15.06254,2.18491
6,35,0.189,1.61228,1.10232,-0.00438,13.61829,2.89924
6,35,-0.41606,1.57522,1.17129,0.0024,19.76575,2.41692
6,35,-0.03711,1.19798,0.70545,0.10458,13.93771,2.64796
6,35,-0.12959,1.37841,0.98071,-0.01585,12.1801,1.25704
6,35,-0.00361,1.1151,1.18718,0.04679,16.90684,1.91993
6,35,-0.07841,1.69229,1.03669,0.0088,15.33413,2.06108
6,35,0.02145,1.52271,1.21165,-0.01891,13.82158,1.59447
6,35,0.11729,1.22229,0.95937,0.06106,11.51893,2.62294
6,35,0.03987,1.43442,1.25586,-0.0092,12.94347,1.92001
6,35,0.06703,1.4669,0.97898,-0.02053,13.04097,2.27116
6,35,-0.14436,1.29096,1.07015,0.0611,14.04499,2.9187
6,35,0.24557,1.53558,1.42637,0.03685,17.8046,2.38879
6,35,-0.21467,1.35126,1.15585,-0.02662,14.10653,2.53062
