frame,DetObj#,x,y,z,v,snr,noise
0,18,-0.01088,1.60584,0.69339,0.03064,15.6015,3.29873
0,18,0.2002,1.52266,0.72313,0.00815,12.39356,2.55572
0,18,-0.03874,1.648,0.4891,-0.00268,14.74619,2.74419
0,18,0.02316,1.50378,0.66218,0.16817,18.18363,2.64783
0,18,-0.12587,1.48574,0.47626,-0.108,14.62506,1.53998
0,18,0.07812,1.58271,0.45949,-0.07744,18.40827,2.06389
0,18,-0.03664,1.42253,0.64602,-0.12763,14.67124,3.14376
0,18,0.07574,2.04964,0.50395,-0.01256,15.59235,3.1312
0,18,0.01668,1.60937,0.72597,0.08835,10.94029,3.11726
0,18,0.23095,1.51346,0.63688,0.0379,9.27897,1.84106
0,18,0.02162,1.647,0.4278,0.05899,14.49284,2.22397
0,18,0.03426,1.7773,0.4363,-0.10037,11.85157,2.62414
0,18,0.01742,1.52655,0.86274,-0.00061,14.16794,1.81752
0,18,-0.19345,1.66796,0.72874,0.0349,11.26792,2.51523
0,18,-0.20552,1.50062,0.71144,0.13128,14.39156,3.34787
0,18,0.02188,1.8236,0.53388,0.0239,9.06752,2.9818
0,18,0.24362,1.72242,0.43113,-0.06682,18.83482,1.62654
0,18,0.16834,1.46702,0.51102,0.06244,16.02005,2.40801
1,28,-0.14945,1.91428,0.67268,0.08826,12.33471,2.16902
1,28,-0.12225,1.76764,0.59565,-0.07278,14.57919,2.36591
1,28,-0.292,1.64844,0.62384,0.07691,12.75564,3.57337
1,28,-0.00451,1.76984,0.51576,0.09535,17.83352,2.21121
1,28,-0.11458,1.38746,0.69291,0.06662,15.21863,2.95539
1,28,-0.14625,1.63857,0.52292,-0.11399,11.12316,3.54935
1,28,0.10056,2.06409,0.68643,0.02361,16.0043,3.03398
1,28,0.02732,1.75394,0.45326,0.05709,14.42029,2.81029
1,28,0.03593,1.53309,0.44842,-0.00455,15.9165,2.55376
1,28,0.08946,1.39739,0.56528,0.16277,13.6674,0.90463
1,28,0.17322,1.75944,0.56243,0.15489,16.42532,1.78411
1,28,-0.05322,1.65704,0.65195,0.03075,19.64161,1.79274
1,28,-0.03454,1.57152,0.52635,-0.10715,12.69027,2.50728
1,28,-0.09175,1.58722,0.6564,-0.0058,11.71314,2.5329
1,28,-0.26178,1.55832,0.47603,-0.09568,13.07498,1.98997
1,28,-0.17497,1.59446,0.56411,0.06321,15.10265,3.33135
1,28,-0.09912,1.3173,0.75585,-0.08299,15.00379,2.05781
1,28,0.19436,1.95074,0.63437,0.00948,13.04535,1.87706
1,28,-0.15098,1.90183,0.55064,0.01763,14.25469,2.22208
1,28,0.01482,1.51319,0.65891,0.00671,9.20578,3.2867
1,28,-0.02127,1.53152,0.75228,-0.09586,10.93561,2.37127
1,28,0.0953,1.40704,0.48715,0.0804,9.63373,3.39042
1,28,0.02266,1.75512,0.68761,0.02864,15.95127,1.7644
1,28,-0.18628,1.65579,0.60779,0.0603,9.34015,2.54874
1,28,0.01313,1.5142,0.62583,-0.05257,13.14384,1.81254
1,28,-0.02824,1.49553,0.77178,-0.00701,16.38426,2.32312
1,28,0.16195,1.9107,0.56832,-0.06564,5.35327,2.4387
1,28,-0.28615,1.56535,0.65459,0.00697,14.52089,1.64552
2,16,-0.32514,1.70911,0.70635,-0.01284,14.56231,2.60834
2,16,-0.00015,1.42134,0.60164,-0.03203,6.76031,3.00326
2,16,-0.1552,1.84036,0.47519,-0.05858,14.20582,2.37582
2,16,-0.17764,1.67926,0.67379,0.0181,10.57208,3.33904
2,16,0.13587,1.74513,0.5292,-0.12407,17.94633,3.10302
2,16,0.03067,1.59288,0.59682,0.04382,15.58382,3.48152
2,16,-0.10481,1.5969,0.48847,0.05503,17.20011,2.45151
2,16,-0.12705,1.66795,0.62712,-0.07689,11.96218,2.20235
2,16,-0.2268,1.72806,0.53478,-0.1419,16.22104,2.39346
2,16,-0.29405,1.80932,0.59361,0.08468,17.51041,2.1922
2,16,-0.04213,1.65154,0.58583,0.01698,11.59935,2.57504
2,16,0.06483,1.51139,0.54887,0.0095,17.15071,2.0826
2,16,-0.13228,1.72794,0.67936,-0.02208,14.76725,2.95225
2,16,-0.27539,1.94521,0.50546,0.05277,15.10846,3.09989
2,16,0.01853,1.51895,0.57681,0.04098,14.86679,1.0361
2,16,0.21108,1.44963,0.73718,0.1711,12.46319,2.83965
3,13,-0.25697,1.4776,0.78776,0.04967,12.13657,1.36766
3,13,-0.10399,1.77414,0.54709,0.03243,12.75112,2.09123
3,13,-0.04441,1.50944,0.57559,-0.09944,14.48705,1.15612
3,13,-0.30791,1.56879,0.53922,0.14722,6.31573,2.3849
3,13,-0.17308,1.57109,0.60283,0.06792,19.95522,2.67762
3,13,0.23321,1.55129,0.6413,0.06682,12.07884,2.6894
3,13,-0.21775,1.52245,0.58282,-0.05815,12.02982,2.54308
3,13,0.11022,1.47698,0.61494,0.10637,13.59629,2.27532
