frame,DetObj#,x,y,z,v,snr,noise
0,16,-0.09481,1.38944,1.21721,-0.01351,4.82667,1.0305
0,16,-0.15749,1.32762,1.12831,0.03904,5.32075,3.92997
0,16,-0.13178,1.56761,1.31427,0.15837,5.52864,1.92766
0,16,-0.43406,1.48715,0.85544,-0.20142,5.10767,3.91851
0,16,-0.18532,1.3422,0.90351,-0.08237,5.73551,2.76816
0,16,-0.20606,1.25122,1.31705,0.04892,5.80635,3.88378
0,16,-0.2065,1.32032,0.98208,-0.04843,5.01249,2.59992
0,16,-0.28451,1.38416,0.84189,-0.01441,4.9722,2.60522
0,16,-0.4409,1.41969,0.75966,-0.0019,6.10763,2.07516
0,16,0.00915,1.38628,1.4006,-0.07664,5.53115,2.96364
0,16,-0.39621,1.27902,1.18755,0.02342,6.15251,2.43074
0,16,-0.16053,1.23119,1.32777,0.10368,4.82774,1.81819
0,16,-0.09261,1.30274,1.03265,0.07268,5.90711,3.05885
0,16,-0.10724,1.44103,1.30128,-0.01403,3.44215,3.05821
0,16,-0.06751,1.23298,1.05624,-0.05031,3.69419,3.33472
0,16,-0.25772,1.51917,1.30067,-0.062,5.10261,2.77388
1,29,-0.08299,1.24962,1.26375,0.05163,6.74558,4.06826
1,29,-0.29684,1.37797,1.07617,-0.06432,4.9281,3.26013
1,29,-0.29385,1.44221,0.9675,0.05435,7.32406,1.7249
1,29,-0.13286,1.48549,1.26339,-0.04006,5.82367,2.63178
1,29,-0.06652,1.29176,1.11304,0.18303,5.13136,2.88863
1,29,-0.18706,1.33256,1.10201,-0.00484,5.89002,2.61336
1,29,0.1477,1.47746,0.92104,-0.11112,5.3675,2.03673
1,29,-0.09981,1.41276,1.24313,0.08222,3.62252,1.77269
1,29,-0.05441,1.27756,1.23754,-0.08525,5.40567,3.43924
1,29,-0.22025,1.41532,1.069,-0.01488,5.92216,2.65514
1,29,-0.12423,1.2792,0.89967,-0.12244,5.31802,3.80602
1,29,-0.19255,1.34916,1.06465,0.10783,7.13054,2.11375
1,29,-0.32208,1.25943,1.09097,0.0186,5.91633,2.9936
