frame,DetObj#,x,y,z,v,snr,noise
0,62,-0.05722,1.45046,1.07787,0.09402,14.04341,2.1331
0,62,0.02797,1.32397,1.26192,-0.04433,14.88522,2.72344
0,62,0.30395,1.45315,1.17126,0.11384,13.39696,2.29856
0,62,0.13868,1.41965,1.24737,0.118,19.2799,0.97219
0,62,0.21123,1.32776,1.37007,0.09561,12.02015,1.98027
0,62,0.22069,1.50113,1.18284,-0.07716,15.81323,3.27141
0,62,0.26809,1.34504,1.04935,0.05339,13.29424,2.39573
0,62,0.15465,1.4461,1.18155,0.01344,9.26153,2.72657
0,62,0.066,1.35967,0.89545,0.08992,18.16949,3.4305
0,62,0.1619,1.41986,1.1724,0.00039,13.75256,2.6938
0,62,0.18852,1.47097,1.18601,-0.00142,16.92686,2.88183
0,62,0.24478,1.61397,1.16959,-0.08966,16.45393,2.01057
0,62,-0.01906,1.58864,1.40505,0.09966,9.80382,1.7109
0,62,-0.1019,1.32436,1.48955,-0.10974,7.94285,1.33345
0,62,0.25182,1.27881,1.23273,0.0202,10.85463,1.92513
0,62,0.13826,1.62388,1.27767,0.01761,11.21249,2.27721
0,62,0.10885,1.52937,1.17182,0.08991,12.50421,3.22567
0,62,0.06352,1.37369,1.37197,0.09502,12.6818,2.66594
0,62,0.20494,1.58628,1.16079,0.1392,11.3133,3.26102
0,62,0.13267,1.4677,1.25986,-0.20875,14.05374,3.01862
0,62,-0.10649,1.3265,1.23671,0.09224,9.02983,3.13811
0,62,0.16249,1.51426,1.26655,-0.06432,16.95555,3.3942
0,62,0.25902,1.28721,1.47488,0.04084,11.18301,2.40852
0,62,0.20108,1.41261,1.48955,-0.06007,9.31779,2.61236
0,62,0.20227,1.49423,0.95332,-0.05306,15.75945,2.94056
0,62,0.16151,1.50905,1.17023,0.07571,16.39036,2.72796
0,62,0.24425,1.44516,1.13008,0.06992,8.7183,2.63065
0,62,-0.06003,1.1647,0.9513,0.00826,5.5368,2.28283
0,62,0.18515,1.36887,1.31764,0.14247,7.93777,2.19626
0,62,0.21962,1.64201,1.16353,-0.00716,16.9138,2.86529
0,62,0.15455,1.40325,1.23279,0.01875,15.79607,2.85881
0,62,0.01428,1.48114,1.05849,0.01259,14.49063,2.14513
0,62,0.03114,1.54487,1.1747,0.096,12.54741,3.0119
0,62,0.03177,1.31401,1.19166,0.00102,14.32445,3.01881
0,62,-0.00954,1.50676,1.07716,0.15688,9.00699,2.3155
0,62,0.23478,1.36665,1.19146,-0.10828,15.09973,2.74706
0,62,0.17311,1.50794,1.20186,0.00189,11.9516,2.01481
0,62,0.10545,1.40727,1.19239,-0.0382,9.99329,2.25133
0,62,-0.17614,1.2848,1.29697,-0.00646,20.01871,2.78506
0,62,0.14298,1.409,1.50313,-0.04401,7.7394,2.84173
0,62,-0.03108,1.27011,1.28478,0.00543,8.37247,2.23578
0,62,0.30168,1.52019,0.97781,-0.10532,8.89281,3.39851
0,62,0.10503,1.46386,1.219,-0.02624,10.16152,2.76264
0,62,0.1841,1.55941,1.28051,0.00928,13.71697,2.40604
0,62,0.24877,1.37163,1.35573,-0.02572,16.09325,2.2297
0,62,0.09766,1.53619,1.20926,0.11306,7.1963,1.45608
0,62,0.28663,1.45524,1.25639,-0.17184,11.76513,2.00539
