frame,DetObj#,x,y,z,v,snr,noise
0,32,-0.04482,0.69536,1.14848,0.0193,10.68858,2.46929
0,32,-0.07593,0.77693,1.45328,0.02082,22.13886,2.59238
0,32,0.13285,0.95437,1.34869,0.07007,14.9631,2.59434
0,32,-0.03407,0.91238,1.15922,-0.06323,17.3393,2.13051
0,32,0.29061,0.60563,1.36516,-0.0756,19.76081,1.45182
0,32,0.23423,0.64459,1.54773,0.01788,17.26732,1.66948
0,32,0.09372,0.82437,1.16329,0.17769,15.6985,2.11144
0,32,0.01594,0.78142,1.28308,0.04769,17.49261,1.68159
0,32,0.14694,1.01303,1.05286,-0.09678,19.2823,1.4091
0,32,-0.09489,0.81835,1.21478,-0.04635,18.7183,2.03054
0,32,0.24393,0.5977,1.23857,-0.06798,13.33665,2.41101
0,32,0.0749,1.03982,1.34907,-0.05308,20.03427,1.746
0,32,0.22668,0.92447,1.24855,-0.04821,20.36259,2.60201
0,32,0.273,0.82358,1.15856,0.05742,15.54519,1.95749
0,32,0.07666,0.75889,1.0686,0.12048,14.91279,1.48468
0,32,0.42766,0.97221,1.1224,-0.05709,16.03098,1.46707
0,32,0.27677,0.82011,1.52449,0.10028,18.92565,2.70506
0,32,0.33419,0.85829,1.31128,0.00757,22.02729,2.90017
0,32,0.09344,0.82618,1.37673,0.0716,16.68195,3.08418
0,32,0.16632,0.63446,1.06345,0.06177,21.14959,1.47318
0,32,0.05134,0.85736,1.21276,0.12574,18.55059,1.60409
0,32,-0.16615,0.90863,1.08611,-0.10397,19.55113,1.77408
0,32,0.22132,0.86205,1.26604,-0.00351,21.01407,2.34243
0,32,0.1461,0.69886,1.45887,-0.03498,21.37406,2.54305
0,32,0.45328,0.8264,1.11541,0.1213,15.42707,2.47459
0,32,0.03399,1.0165,1.22038,-0.04511,19.42903,1.11534
0,32,0.09565,0.79558,1.30822,0.04501,23.12481,1.45651
0,32,0.05381,0.76636,1.33548,-0.05752,10.819,2.0768
0,32,0.19875,0.98081,1.32203,0.05323,17.42051,1.70844
0,32,0.09102,0.7895,1.54887,0.07481,13.95693,1.57156
0,32,0.29412,0.60252,1.2336,-0.06021,15.62547,1.36197
0,32,-0.12981,0.83017,1.02882,0.00863,15.50013,2.2671
1,27,0.16195,0.91927,1.1277,-0.00718,16.14496,1.33668
1,27,0.1808,0.6368,1.06903,0.04706,15.22157,2.06715
1,27,-0.0704,0.80795,1.31447,-0.07188,23.61757,1.93106
