frame,DetObj#,x,y,z,v,snr,noise
0,5,-0.06738,1.08967,0.85874,-0.01023,10.3861,4.29494
0,5,0.05911,1.09274,0.9455,0.12248,11.78171,3.51537
0,5,0.08072,1.28812,0.83068,0.01182,5.14448,2.08216
0,5,0.00036,1.16621,0.89419,-0.09006,11.49221,2.936
0,5,0.05149,1.16696,0.94929,-0.0616,13.29431,3.0194
1,5,0.12644,1.25598,0.94822,-0.11483,10.14862,3.40015
1,5,0.18411,1.20557,0.8414,-0.08583,12.35523,3.03049
1,5,0.06297,1.17763,0.94854,0.07409,18.44476,1.51603
1,5,-0.10514,1.0931,0.83518,0.02163,7.62382,1.76842
1,5,0.07174,1.15354,0.95143,-0.12642,6.66558,1.71916
2,12,0.10709,1.2635,0.9886,0.08199,4.83388,4.05749
2,12,-0.00095,1.16892,0.92256,-0.16526,10.51179,3.1694
2,12,0.07337,1.31491,0.9849,0.04833,8.87233,4.1824
2,12,0.00883,1.33752,0.87934,-0.03848,11.82371,3.37429
2,12,0.05295,1.20312,0.9052,0.04279,14.31377,2.48346
2,12,0.06702,1.13395,0.8492,-0.01887,10.8691,3.70677
2,12,0.13222,1.25764,0.84411,-0.05859,7.65458,2.84269
2,12,-0.03037,1.21671,0.83832,0.01273,15.04633,3.06807
2,12,-0.00675,1.17194,0.83737,-0.03642,6.49695,3.59156
2,12,0.07861,1.20425,0.84063,0.02784,8.9819,3.2632
2,12,0.12311,1.24787,0.92441,-0.01692,10.91495,1.89551
2,12,-0.01516,1.2326,0.95849,-0.06298,11.21359,3.14091
3,5,0.0791,0.95675,0.96389,0.09649,16.75071,2.49909
3,5,-0.03597,1.14472,0.90343,0.07106,15.46178,3.18986
3,5,-0.03557,1.06564,0.90326,0.11328,4.59764,3.28279
3,5,0.06091,1.19355,0.84593,0.01416,8.22004,3.08368
3,5,0.00915,1.24568,0.92623,0.0974,5.85699,4.09031
4,10,0.12196,1.21392,0.97334,-0.03661,11.80124,4.24111
4,10,0.11756,0.992,1.10741,-0.0684,9.01363,2.6161
4,10,-0.10896,1.30798,0.89232,-0.05635,10.79945,3.3708
4,10,0.12454,1.12957,1.04356,-0.04713,7.3058,3.74797
4,10,-0.04102,1.24204,0.86901,-0.01431,10.79824,2.82553
4,10,0.15506,1.08653,0.9224,-0.01312,10.14166,3.58946
4,10,0.11433,1.21183,0.88855,0.0562,11.62899,4.02192
4,10,0.18525,1.27535,1.0276,-0.01318,9.84782,4.73786
4,10,0.00055,1.28717,0.78572,0.02264,10.07587,1.18223
4,10,0.03829,1.14106,0.83299,0.03051,10.52172,3.37165
5,14,0.06669,1.23935,0.8292,0.04174,9.64894,2.11182
5,14,0.06324,1.28623,1.00554,0.02704,8.10937,2.60226
5,14,0.16412,1.26366,0.85253,-0.12538,11.48342,3.56282
5,14,-0.0805,1.20196,0.94039,0.16658,12.54668,3.22925
5,14,0.21856,1.30126,1.00654,0.09486,13.25117,3.73955
5,14,0.08238,1.37444,0.92463,0.00987,5.06296,3.78473
5,14,0.13464,1.18435,0.93841,-0.01576,12.42946,4.10274
5,14,0.09059,1.1503,0.89287,0.01787,10.59988,2.9407
5,14,0.05749,1.33398,0.89983,-0.03425,8.96311,2.949
5,14,0.07132,1.20386,0.94696,0.16843,8.37022,4.45964
5,14,0.04859,1.1285,0.98803,-0.17738,7.77699,2.76967
5,14,0.07752,1.04639,0.9557,0.07419,11.48024,2.50494
5,14,0.06667,1.15864,0.93451,-0.01337,13.89451,2.7662
5,14,0.12036,1.22315,0.74661,-0.05981,9.98234,3.33077
6,16,0.08463,1.16621,0.83314,-0.11811,13.41834,4.24304
6,16,0.04508,1.31541,0.7152,0.03698,4.93592,4.04109
6,16,0.07279,1.13709,0.90947,0.04861,11.01854,3.22725
6,16,0.10972,1.17936,0.90638,0.12823,8.60515,4.13721
