frame,DetObj#,x,y,z,v,snr,noise
0,12,0.17848,1.44756,0.42102,0.25707,12.99087,3.56591
0,12,0.06328,1.53078,0.42827,-0.00089,7.54876,2.0354
0,12,0.30628,1.34617,0.30013,0.00868,11.06213,3.17041
0,12,0.06304,1.49817,0.36806,0.09547,3.87779,0.86597
0,12,0.2909,1.392,0.31235,0.07971,9.49443,4.08011
0,12,0.2896,1.37488,0.42946,-0.05607,9.00767,2.73391
0,12,0.23636,1.25699,0.29437,0.00693,8.68437,3.01662
0,12,0.36904,1.43121,0.24174,0.10036,11.25112,2.05448
0,12,0.11968,1.33494,0.36441,0.00673,7.75441,2.54147
0,12,-0.05088,1.21737,0.1932,0.03914,5.33427,4.42762
0,12,0.21279,1.40059,0.33298,0.00838,10.0964,3.65375
0,12,0.16205,1.25586,0.23617,0.13791,11.23071,2.66248
1,6,0.27274,1.518,0.39623,-0.16794,11.01812,3.31953
1,6,0.16473,1.51741,0.26529,-0.07895,6.62365,3.01164
1,6,0.19084,1.53021,0.22336,0.08872,11.58991,3.02219
1,6,0.14773,1.33279,0.42662,-0.16941,7.28984,3.60878
1,6,0.09647,1.24873,0.42639,0.03552,9.54876,4.08246
1,6,0.04875,1.33009,0.371,0.19672,7.38242,2.31001
2,15,-0.00247,1.44683,0.31026,-0.27283,6.10892,3.56388
2,15,0.29733,1.54957,0.30695,-0.14915,8.38773,2.49123
2,15,-0.01214,1.25354,0.32882,0.00503,14.00353,3.82322
2,15,0.22071,1.38742,0.2191,-0.06184,8.39996,3.5296
2,15,0.25743,1.42368,0.2728,-0.02485,11.44522,4.36466
2,15,0.06665,1.49722,0.32932,-0.04037,5.91768,3.52249
2,15,0.33054,1.34353,0.39911,0.0802,9.40984,2.79021
2,15,0.20873,1.48901,0.33422,-0.06902,8.65242,3.62012
2,15,0.20839,1.37321,0.34785,0.04518,13.34915,2.35402
2,15,0.26986,1.45536,0.2527,-0.06457,10.09704,2.82795
2,15,0.22134,1.61974,0.26784,0.04364,3.70812,3.94269
2,15,0.118,1.34112,0.41524,0.04389,8.88544,1.77682
2,15,0.27084,1.31432,0.49102,0.02428,9.14704,3.65004
2,15,0.18064,1.46535,0.28473,0.0273,9.51638,3.78138
2,15,0.15262,1.50539,0.2312,0.13084,7.22338,3.69753
3,5,0.17682,1.44258,0.47488,-0.17861,10.61777,3.13388
3,5,0.26709,1.36433,0.34113,0.0594,11.51701,1.76636
3,5,0.22492,1.31813,0.41438,0.07593,9.98753,3.21365
3,5,0.20486,1.40801,0.16675,-0.23433,12.69328,3.22763
3,5,0.33419,1.37278,0.27695,-0.19232,12.91177,4.68325
4,5,0.2797,1.37786,0.41979,0.02836,5.9774,4.27256
4,5,0.37213,1.39837,0.14544,-0.16148,11.23976,4.03845
4,5,0.19857,1.49941,0.38257,0.08989,10.973,2.0068
4,5,0.15981,1.39778,0.23484,0.18233,11.28588,3.97325
4,5,0.13459,1.32331,0.41515,-0.14675,11.65121,2.3155
5,12,0.25633,1.34861,0.3996,0.22334,11.93895,2.79953
5,12,0.18189,1.48824,0.2594,-0.09361,7.75973,2.90583
5,12,0.27586,1.41401,0.32715,-0.01565,12.34142,1.7268
