frame,DetObj#,x,y,z,v,snr,noise
0,18,-0.03572,1.16417,1.07442,-0.05132,8.89032,1.70651
0,18,-0.04846,1.34314,1.11671,0.01018,14.8391,1.77805
0,18,-0.06616,1.28625,0.90777,-0.12648,10.20872,2.57806
0,18,0.00781,1.3077,1.04036,0.04109,13.64331,2.36507
0,18,-0.08767,1.27009,1.33981,0.08573,16.29785,2.57576
0,18,-0.07362,1.26317,1.29745,-0.08838,16.89353,1.82408
0,18,-0.33641,1.23385,1.04306,-0.10689,16.61365,3.98283
0,18,0.02202,1.29149,1.3975,-0.01146,11.93084,2.52591
0,18,-0.2271,1.20175,1.05052,0.12966,10.22184,3.91977
0,18,0.02308,1.46413,1.08889,0.02983,7.14257,2.13464
0,18,-0.04116,1.33355,1.21465,0.08485,12.60894,1.91444
0,18,-0.13524,1.29242,1.19335,-0.03554,11.00567,1.92789
0,18,-0.15676,1.48444,1.21974,-0.01446,13.54827,2.95202
0,18,-0.04496,1.22055,1.1282,0.07636,16.95071,3.5718
0,18,-0.20233,1.28172,0.90511,0.06992,8.19908,3.0552
0,18,-0.16285,1.37605,1.23275,-0.08398,13.35957,1.69576
0,18,-0.06729,1.14866,1.00105,-0.12219,16.09611,1.16293
0,18,0.12704,1.28788,1.23581,0.01631,12.05323,2.86007
1,13,-0.1281,1.35878,1.14184,-0.07057,15.68672,2.6561
1,13,-0.32289,1.10649,1.13348,0.00276,12.93607,3.05971
1,13,-0.10352,1.53517,0.98373,-0.0432,11.51519,2.4526
1,13,0.01174,1.44456,1.42311,-0.05771,10.1753,2.32204
1,13,-0.05905,1.37663,1.15194,-0.02373,9.65394,1.93595
1,13,-0.17671,1.37241,0.87462,-0.02488,12.36444,2.79127
1,13,-0.16703,1.40204,0.90778,-0.0899,13.80362,5.26556
1,13,-0.09565,1.39223,0.93857,-0.0302,9.69323,2.39827
1,13,0.00954,1.20224,1.00151,0.05962,13.62962,1.95232
1,13,-0.0768,1.18725,1.47041,-0.09383,16.08472,2.23582
1,13,-0.18106,1.14594,1.2445,0.07189,12.36825,1.32894
1,13,-0.11617,1.56957,1.00653,-0.05862,17.15541,2.51075
1,13,-0.10307,1.22511,0.98829,0.0198,14.4528,2.95
2,34,0.03978,1.40466,1.21803,-0.03726,11.63821,2.41497
2,34,-0.13071,1.43339,1.25969,-0.05354,14.44599,2.83027
2,34,0.01316,1.2681,1.47437,0.0036,13.37699,2.58525
2,34,-0.06298,1.23909,0.96572,0.06124,13.85538,1.54844
2,34,-0.10355,1.49254,0.91934,-0.02648,12.91072,3.20631
2,34,-0.14412,1.2811,1.05978,-0.12713,12.4344,2.9485
2,34,-0.22435,1.4389,1.41497,-0.09338,0.6901,1.86354
2,34,0.05254,1.43015,1.1545,-0.01006,17.57102,1.5503
2,34,-0.11525,1.35523,1.19765,-0.02002,16.36657,2.23032
2,34,-0.16839,1.34286,1.43136,-0.01809,15.98314,3.48493
2,34,-0.18256,1.29497,0.99665,0.00943,14.21232,1.51348
2,34,-0.10403,1.49052,0.99727,0.05373,16.03273,2.90672
