frame,DetObj#,x,y,z,v,snr,noise
0,15,0.02174,1.44241,0.9014,0.06872,13.9696,0.98066
0,15,0.00568,1.69432,0.85287,0.19868,12.95409,2.05893
0,15,0.13051,1.83624,1.19292,0.16713,15.22228,2.63486
0,15,0.08767,1.62186,1.35617,-0.00993,12.4898,2.93535
0,15,0.06964,1.84682,1.07872,-0.08138,15.4549,2.25752
0,15,0.06481,1.7164,1.10238,0.0322,11.98897,3.06395
0,15,-0.11113,1.7487,0.96149,0.06717,18.29037,2.6234
0,15,0.09348,1.61951,1.1457,-0.13624,14.94031,1.95705
0,15,0.06889,1.72437,1.42221,0.07112,9.65858,2.75702
0,15,0.00451,1.73795,1.13032,-0.06534,11.89199,2.37647
0,15,0.09034,1.82267,1.21154,-0.03952,10.26197,2.60918
0,15,-0.00811,1.65608,1.32286,-0.03859,15.25846,3.05892
0,15,0.12013,1.55454,1.27686,-0.10576,8.06692,2.0843
0,15,-0.05433,1.80172,1.2087,0.05077,11.97706,2.40353
0,15,-0.1645,1.65648,1.37079,0.05784,15.70077,1.81296
1,28,0.07059,1.5778,1.25976,0.08921,8.87338,2.92318
1,28,-0.10099,1.7344,1.30587,-0.03066,16.22099,2.17001
1,28,-0.01304,1.67851,1.10246,-0.03368,6.83005,2.88406
1,28,0.0479,2.05408,1.11148,0.07049,13.45002,0.99823
1,28,-0.01146,1.83243,0.94788,0.02029,9.75667,1.96873
1,28,-0.25504,1.84433,1.20426,0.12232,11.1708,2.41074
1,28,-0.14314,1.80807,0.98738,-0.05064,13.39981,2.86316
1,28,-0.11917,1.70176,1.29768,0.06947,17.93068,3.33663
1,28,0.00253,1.82533,1.37697,-0.06604,7.93656,1.73802
1,28,-0.12945,1.6282,0.94512,0.07712,9.65522,2.36473
1,28,-0.02075,1.60543,1.44082,0.09213,11.97947,3.15868
1,28,-0.02116,1.65182,1.43136,-0.15078,10.1077,2.26918
1,28,0.22351,1.71037,1.37656,-0.05885,16.91508,2.90588
1,28,-0.10348,1.68935,1.12852,-0.17794,11.28221,2.15005
1,28,-0.07057,1.49492,0.89313,-0.01938,7.61974,2.63433
1,28,0.13925,1.49021,1.13403,0.10632,15.93753,2.91972
1,28,0.06827,1.81951,1.10292,0.0917,8.65788,2.12524
1,28,0.2433,1.77688,1.08921,0.0293,6.26432,3.12122
