frame,DetObj#,x,y,z,v,snr,noise
0,32,0.02833,1.54216,0.53291,0.03986,19.04974,1.68239
0,32,0.38655,1.55568,0.47805,-0.04549,13.89412,3.29917
0,32,-0.06399,1.75564,0.43571,-0.05355,12.32816,1.97867
0,32,-0.09386,1.49127,0.34704,-0.12865,11.6749,3.25473
0,32,0.44123,1.67708,0.54785,-0.04606,11.85789,3.67718
0,32,0.22783,1.29185,0.47609,0.07652,12.16263,1.92894
0,32,0.20802,1.57694,0.43385,0.08486,13.98791,2.59046
0,32,0.33786,1.65434,0.67573,-0.0511,12.08349,2.85808
0,32,0.26253,1.25038,0.42478,-0.10691,14.18684,2.34989
0,32,0.15282,1.5991,0.45952,0.01035,11.86712,2.66022
0,32,0.4257,1.61034,0.3704,-0.12451,11.96024,2.93046
0,32,0.45472,1.6919,0.51754,0.04847,13.90571,2.75245
0,32,0.34428,1.7739,0.54106,0.07145,11.65346,2.18241
0,32,0.03778,1.77714,0.33222,0.1161,14.81243,2.85309
0,32,-0.2131,1.77261,0.56238,0.00935,8.26515,2.53391
0,32,-0.08267,1.50975,0.30859,-0.01703,13.05732,2.16648
0,32,0.52967,1.47042,0.61163,-0.00209,12.09663,3.07085
0,32,0.21763,1.99945,0.56799,0.0019,16.20613,2.70779
0,32,-0.02837,1.49517,0.49029,-0.06783,13.72003,3.11083
0,32,0.35566,1.50286,0.44479,0.00558,15.96582,1.69787
0,32,0.09408,1.43654,0.50365,-0.0436,7.99984,2.47282
0,32,0.26721,1.45412,0.54917,-0.02971,11.51898,2.93237
0,32,0.42612,1.66832,0.39772,0.06699,11.93993,3.55053
0,32,-0.16229,1.35152,0.42255,-0.02202,15.44126,2.15306
0,32,0.32825,1.76224,0.5667,0.06612,11.68156,3.52195
0,32,0.44241,1.70141,0.46245,0.05432,14.4613,2.02791
0,32,0.47977,1.55193,0.41293,-0.03669,11.61275,2.95158
0,32,0.24009,1.78414,0.36471,0.03934,13.69283,2.56589
0,32,0.09551,1.57845,0.52726,-0.01917,10.0149,2.02616
0,32,0.53825,1.70994,0.48025,0.00913,15.66538,2.67029
0,32,0.36117,1.47009,0.48187,-0.04071,17.92151,2.70919
