frame,DetObj#,x,y,z,v,snr,noise
0,34,0.09386,1.27947,1.15263,0.06123,15.20828,2.37471
0,34,-0.05495,1.45917,1.22522,0.10471,14.00043,3.32557
0,34,0.07979,1.27858,1.25647,-0.01192,13.7356,3.86961
0,34,-0.20316,1.41689,1.03649,0.01871,10.99626,2.42269
0,34,0.06738,1.35314,0.91815,-0.05109,17.76101,1.52722
0,34,-0.03468,1.25289,1.03583,-0.06067,12.25976,2.44568
0,34,0.0786,1.09057,1.02313,-0.01734,11.2685,2.3952
0,34,0.03164,1.19405,1.08333,0.02017,11.79107,2.51699
0,34,0.05233,1.26138,1.22263,0.02747,13.80908,3.87431
0,34,0.04726,1.408,1.12198,-0.08572,13.51091,1.58107
0,34,-0.03235,1.3699,0.90377,0.04093,13.04067,2.26705
0,34,-0.07409,1.35246,1.29238,0.02728,10.65529,2.73216
0,34,0.08053,1.35396,1.17314,0.00327,14.19141,2.47371
0,34,-0.51062,1.42815,1.20276,-0.12752,8.2091,3.32665
0,34,0.01608,1.35826,0.98018,-0.08097,13.0199,2.82274
0,34,0.17272,1.3732,0.84846,-0.01275,12.61825,1.41699
0,34,0.05761,1.3239,1.15535,0.0806,10.50206,3.04158
0,34,0.13735,1.53575,1.10094,-0.10249,11.05263,3.12632
0,34,-0.08569,1.21756,1.00234,-0.14545,15.19386,2.29477
0,34,-0.00324,1.44273,1.26297,-0.18126,9.94952,2.15272
0,34,-0.01963,1.34951,1.26251,0.06042,13.75417,1.36832
0,34,0.15945,1.33895,1.26939,-0.04276,7.40021,2.92325
0,34,-0.09429,1.19934,0.89846,0.10755,19.01427,3.0313
0,34,0.03564,1.25365,1.04334,-0.0402,8.29552,3.36055
0,34,-0.01886,1.20383,0.87711,0.00439,7.78647,2.51993
0,34,0.04339,1.20837,0.94177,0.02886,10.21525,2.19606
0,34,0.05743,1.59196,1.04178,0.04455,18.26638,2.0004
0,34,-0.0578,1.54091,1.30789,-0.01357,17.00492,1.35353
0,34,-0.04876,1.36509,1.23847,0.05575,8.97509,2.81858
0,34,-0.06475,1.44926,0.97426,0.09111,5.94706,2.54541
0,34,-0.0511,1.41827,1.13837,0.07981,15.82821,3.36864
0,34,0.10395,1.17608,1.10389,-0.02889,10.37449,3.24167
0,34,0.01245,1.18991,0.88218,-0.00188,11.73476,2.1423
0,34,-0.02779,1.09934,1.11741,-0.01804,13.96295,2.7313
1,16,-0.16721,1.17949,0.88753,0.06759,12.69388,3.137
1,16,0.01741,1.51255,1.162,-0.05003,16.09633,2.51421
1,16,0.04261,1.31349,1.28188,0.00877,15.82315,2.69235
1,16,0.02996,1.41698,1.03727,0.02095,6.73324,2.24539
1,16,0.18297,1.35926,1.16169,-0.06579,12.84858,1.68692
1,16,0.15467,1.44461,1.25796,-0.03036,17.7672,3.18806
1,16,-0.00888,1.22575,1.06462,0.03671,13.5263,1.85707
1,16,-0.15515,1.30993,0.98769,0.20173,12.49565,2.88961
1,16,-0.02317,1.37149,1.0566,0.01653,13.74311,2.89094
1,16,-0.01374,1.23078,1.19026,0.00346,13.29232,3.11884
1,16,-0.02185,1.53791,1.03294,0.04128,12.87985,1.8993
1,16,0.1298,1.39785,0.9725,-0.13793,12.10979,2.07428
1,16,0.17332,1.38246,1.12491,0.2208,12.49002,2.73755
1,16,0.02549,1.15079,1.29403,0.13601,13.94603,2.97017
1,16,0.16092,1.42557,1.25813,0.07899,14.70723,2.52533
1,16,0.11357,1.30988,1.3245,0.01112,9.93632,2.64225
2,29,0.07744,1.21874,1.14308,-0.09401,12.78528,1.06393
2,29,0.0567,1.24096,1.12863,-0.0975,13.89101,1.86913
2,29,0.04007,1.25937,1.23853,-0.00854,16.17808,2.25372
2,29,0.23591,1.23676,1.27842,-0.04158,15.92808,2.12998
2,29,0.05694,1.21631,1.08092,0.06722,16.57663,1.53446
2,29,-0.0295,1.12288,1.17316,0.16758,19.31617,1.82402
2,29,-0.18653,1.26859,0.84611,0.12939,13.20006,1.74578
2,29,-0.0377,1.2345,1.05857,0.0196,15.95528,1.67748
2,29,0.04739,1.39482,1.19092,0.10873,19.35774,1.36384
2,29,0.09398,1.32558,1.42713,0.03214,10.02429,3.41291
2,29,-0.0497,1.38148,1.06066,0.02128,14.76957,2.48987
2,29,0.05922,1.07598,0.84904,0.04611,9.22341,3.24703
2,29,-0.14349,1.34245,1.13889,0.10659,10.93993,3.29887
2,29,-0.02532,1.38102,1.18836,0.04717,13.91005,2.55018
2,29,-0.02782,1.37609,1.13989,0.06874,11.95745,2.81633
2,29,-0.04423,1.2978,1.15973,-0.16154,10.74343,2.59191
2,29,0.13493,1.39062,1.20985,-0.02669,9.56249,2.10716
2,29,-0.0196,1.27263,1.23302,-0.0195,14.47136,2.20889
2,29,-0.12744,1.39376,0.942,-0.0304,8.99353,1.63746
2,29,-0.09316,1.31583,1.10695,0.05029,16.1629,1.80957
2,29,0.01305,1.24383,0.92586,0.05738,10.93273,2.87368
2,29,0.31528,1.33025,1.54082,0.1156,17.6051,2.8634
2,29,-0.10334,1.20824,1.15157,0.04136,15.99462,2.2081
2,29,0.07494,1.42819,1.24086,0.05993,15.11451,2.57626
2,29,0.2237,1.26688,1.35961,-0.039,15.17842,3.22477
2,29,-0.06001,1.1286,0.95187,-0.07266,11.67222,2.82894
2,29,-0.06773,1.31655,0.98421,0.08028,13.5212,2.13234
2,29,0.10853,1.47799,0.98799,-0.03044,13.50895,2.07552
2,29,-0.10036,1.37134,1.1164,0.05973,12.86948,3.12255
3,15,-0.14213,1.43736,1.19399,-0.03551,7.72107,3.21633
3,15,0.10418,1.15743,0.9561,-0.01361,16.7087,2.27699
3,15,0.05293,1.29272,1.01299,-0.10586,7.80509,3.67348
3,15,-0.09709,1.1437,1.25525,0.07877,11.05215,0.84335
3,15,0.00655,1.42453,0.94889,0.13299,10.06397,1.34683
3,15,0.0873,1.22639,1.18975,0.01009,11.91195,1.7415
3,15,0.03794,1.44853,1.1289,-0.02422,13.04529,2.59613
3,15,-0.00577,1.51149,1.17115,0.04835,16.97758,2.52109
3,15,0.08882,1.18916,1.20556,-0.09439,12.73914,2.6737
3,15,0.19808,1.05217,1.11892,0.04262,8.93028,2.52004
3,15,-0.01438,1.42628,1.37153,0.02528,14.02184,2.09742
3,15,0.00819,1.28674,1.26031,-0.04109,11.82469,3.00042
3,15,0.05044,1.33958,0.98406,0.06031,8.70239,2.60807
3,15,0.09907,1.17846,1.07599,-0.10738,12.22796,0.67066
3,15,-0.01501,1.12738,1.40526,-0.12493,12.42711,1.92113
4,34,0.01003,1.25389,1.43965,0.02865,17.09033,2.05495
4,34,0.19195,1.11152,0.97134,-0.121,15.13482,2.59056
4,34,-0.23181,1.18243,0.96038,-0.00315,13.90434,1.20479
4,34,0.15916,1.65631,1.10457,-0.03399,11.47562,2.75645
4,34,0.01221,1.29908,1.36933,-0.13165,11.23804,1.97036
4,34,0.08489,1.08406,0.97893,0.08046,12.32809,1.81344
4,34,-0.01553,1.33405,1.05469,0.11902,17.03663,2.89683
4,34,0.0978,1.49932,1.09112,-0.01444,15.11725,2.3046
4,34,0.05894,1.30049,1.19202,-0.13868,16.98707,3.33877
4,34,-0.03999,1.33736,0.91066,0.11107,11.21511,2.40011
4,34,-0.08532,1.33301,1.08325,0.01379,9.97517,2.78918
4,34,-0.00864,1.17354,1.18256,0.10251,10.37874,3.35635
4,34,-0.07015,1.32768,1.04555,-0.00903,11.73552,2.69532
4,34,0.13107,1.23918,1.16793,-0.02392,9.02339,3.30175
4,34,0.2126,1.41735,1.33512,-0.0506,10.25681,3.34852
4,34,-0.19397,1.43766,1.09574,-0.06831,17.65793,2.55283
4,34,-0.25187,1.14265,1.12653,0.03873,17.19581,2.1824
4,34,0.32793,1.21565,1.19821,0.03598,13.89022,1.88856
4,34,-0.0285,1.48788,1.2,0.14782,14.35123,3.10784
4,34,0.08089,1.45438,1.34639,0.14826,15.09699,3.15934
4,34,-0.18475,1.23725,1.29387,-0.00461,9.602,2.57962
4,34,-0.10022,1.44428,1.2445,-0.01466,8.96404,2.3505
4,34,0.07321,1.55333,1.12943,0.03345,13.35923,1.87834
4,34,0.16149,1.31414,1.12092,-0.01355,15.12745,2.47856
4,34,0.03036,1.3697,0.89746,0.04961,17.8818,2.9776
4,34,-0.18474,1.46523,1.06135,-0.06461,14.64353,2.20052
4,34,0.02494,1.30876,1.44249,0.00852,5.55504,3.27314
4,34,0.14109,1.51259,0.94595,-0.05799,9.65684,2.74223
4,34,-0.0475,1.26344,1.18486,-0.14127,6.53224,2.69395
4,34,0.04858,1.29009,1.01833,-0.04891,10.56284,2.57963
4,34,0.14067,1.21064,1.22301,-0.0551,8.51786,3.33267
4,34,-0.02089,1.55433,1.16591,0.05965,12.57382,3.82278
4,34,0.16419,1.11254,1.10271,-0.01397,11.52338,1.63822
4,34,0.05771,1.24528,1.23928,0.05814,10.80165,2.5246
5,22,0.05195,1.18491,1.23037,-0.04823,15.92155,2.93448
5,22,-0.10574,1.34183,1.06952,-0.04866,11.97975,2.35543
5,22,0.21893,1.49123,1.06894,0.07455,13.09772,3.42668
5,22,0.14457,1.48373,1.42983,0.07674,8.3067,2.58715
5,22,-0.08951,1.37813,0.81028,-0.07073,10.20466,3.06602
5,22,5e-05,1.59571,1.0594,-0.10259,13.00704,2.22404
5,22,0.03219,1.4264,1.37948,0.02551,15.9539,3.12226
5,22,0.23182,1.03054,1.00725,0.06469,5.93532,2.49341
5,22,0.1912,1.50038,1.21504,0.00996,14.182,3.04612
5,22,0.22094,1.31999,1.12992,0.04693,12.99579,1.95672
5,22,-0.15681,1.19576,1.04537,-0.12765,11.27298,1.79688
5,22,-0.06148,1.29132,0.98736,0.08843,16.52384,2.33509
5,22,-0.11316,1.39385,1.16077,-0.0049,13.84707,2.10706
5,22,-0.05987,1.43058,1.29897,-0.07926,9.98718,2.39454
5,22,0.11034,1.14122,1.08475,0.15457,11.87514,2.32438
5,22,0.09949,1.40195,1.03537,-0.07905,9.44035,2.2474
5,22,-0.06365,1.4371,1.11946,0.09098,11.37097,2.43096
5,22,0.10666,1.45979,0.94804,0.09627,12.64191,2.93774
5,22,0.23132,1.26349,1.23694,0.16836,17.5905,2.08617
5,22,-0.06204,1.21614,0.9718,0.13268,17.03197,2.13161
5,22,0.16369,1.41288,1.21357,0.0666,6.62063,2.94514
5,22,-0.07679,1.32108,1.08526,0.12782,11.48963,2.52723
6,30,-0.07708,1.28631,0.90718,0.20919,18.07022,2.43084
6,30,0.19532,1.33222,1.17827,0.15839,9.06694,3.35505
6,30,-0.11428,1.20002,1.33031,-0.0817,13.74031,2.35146
6,30,-0.02228,1.3866,1.19765,0.06304,11.09945,2.11639
6,30,-0.15496,1.43598,1.12995,-0.05876,16.68802,3.21723
6,30,-0.15453,1.35372,1.10392,-0.00039,16.36366,2.27367
6,30,0.07505,1.25433,1.00962,0.03345,19.22232,2.64955
6,30,0.10829,1.25374,1.15473,-0.02641,11.62474,2.13833
6,30,-0.10982,1.37416,0.98245,-0.1045,15.55479,2.80977
6,30,0.09858,1.54655,0.99264,0.03126,16.01793,1.08598
6,30,-0.18,1.40019,1.25285,0.04053,14.25344,2.76868
6,30,-0.17435,1.40075,1.07638,-0.05164,10.43201,2.6174
6,30,-0.03076,1.44409,1.17894,-0.09618,13.46337,3.36019
6,30,0.05702,1.24726,1.23435,0.04213,7.08432,2.76599
6,30,0.03178,1.36908,1.19993,0.01885,14.27115,2.60904
6,30,0.27156,1.17097,1.20844,0.08962,14.42166,2.04351
6,30,0.10903,1.39992,1.06069,-0.04325,8.97884,2.23833
6,30,-0.06399,1.45891,1.19977,0.05378,11.54913,1.28243
6,30,0.16833,1.31616,1.09243,0.01647,7.64605,2.01832
6,30,-0.01207,1.34891,1.22277,0.00403,14.47147,2.33447
6,30,0.01996,1.43281,1.01579,-0.09974,13.60269,1.78805
6,30,0.27932,1.29472,1.21135,-0.0776,20.58361,2.64491
6,30,0.06313,1.37136,1.07771,0.12196,15.4602,2.53672
6,30,0.05764,1.54375,1.09108,0.17366,9.43209,2.8022
6,30,-0.11019,1.31187,0.9026,0.05894,13.12903,2.18452
6,30,0.11773,1.19391,1.17029,-0.0423,9.4587,2.346
6,30,0.03403,1.30806,1.039,-0.07879,14.07745,2.66528
6,30,0.04337,1.36398,1.1895,-0.04116,16.9112,1.68947
6,30,0.05752,1.36696,1.45218,0.07786,17.917,2.25586
6,30,-0.05495,1.60166,1.26262,-0.03177,10.6259,3.08391
7,30,-0.02079,1.23374,1.10427,-0.0455,15.98211,3.27718
7,30,0.07291,1.33382,1.10508,0.03152,12.83246,2.37527
7,30,0.25957,1.32872,1.10347,-0.08204,11.93526,2.48089
7,30,-0.19152,1.51467,1.30024,-0.02348,9.04852,2.37568
7,30,0.24867,1.1436,0.99735,0.04695,10.28756,4.17269
7,30,-0.18624,1.15785,1.2534,-0.00884,13.25667,2.87871
7,30,0.16694,1.33343,1.03733,-0.10102,11.43729,3.34716
7,30,-0.0197,1.29402,1.12598,-0.10813,12.72472,1.34416
7,30,0.03008,1.36717,1.16047,-0.13097,11.08635,2.24447
7,30,0.16099,1.33257,1.13774,0.03111,19.2172,1.99392
7,30,0.22433,1.47382,1.22324,-0.0125,13.26609,0.78029
7,30,0.01242,1.34359,1.1138,-0.08441,17.13913,1.83179
7,30,-0.01788,1.22222,1.18985,0.0462,14.88649,2.74787
7,30,0.00836,1.24661,1.1142,-0.05515,13.75992,2.42692
7,30,0.0433,1.38925,1.22491,0.01981,11.88438,2.62808
7,30,-0.02078,1.52199,1.04511,-0.10525,16.02462,2.19578
7,30,0.00668,1.16927,1.35627,-0.05525,10.15725,2.90771
7,30,-0.04891,1.26299,1.06863,0.08227,11.76935,3.51465
7,30,0.01042,1.41057,0.98666,0.14604,16.91399,2.27756
7,30,0.27005,1.21104,1.3027,0.04613,12.07467,3.07916
7,30,-0.12388,1.50641,0.95905,0.09031,14.31393,2.95617
7,30,-0.02462,1.13246,1.22361,-0.04007,8.50341,2.76049
7,30,0.04566,1.43698,0.95806,0.10678,12.78627,2.53467
7,30,-0.25031,1.27521,1.25043,-0.01207,14.78422,2.82431
7,30,0.13818,1.34074,1.17483,0.03292,15.87128,2.77669
7,30,-0.1371,1.19503,1.2477,-0.07519,14.99353,2.09196
7,30,0.04125,1.19733,1.20732,-0.03458,16.32162,2.20762
7,30,0.12566,1.38738,1.27511,-0.00732,10.63888,2.85438
7,30,0.01522,1.4354,1.13491,-0.04631,14.30891,2.48925
7,30,0.29136,1.18902,1.2739,0.08973,16.77058,2.2887
8,28,0.10231,1.46912,1.33883,-0.16909,10.12005,2.86618
8,28,0.04129,1.3163,0.96912,-0.04489,14.34277,3.0093
8,28,0.06353,1.51875,1.03958,0.03866,13.28063,3.41021
8,28,0.13563,1.31051,1.35052,0.07153,14.14384,2.0829
8,28,0.12966,1.35987,1.0387,0.08539,11.44428,2.46857
8,28,0.24254,1.47918,1.09126,-0.034,10.70108,1.86176
8,28,-0.00849,1.14921,1.10537,-0.13769,16.22215,2.24589
8,28,0.24834,1.28693,1.02085,0.01761,12.48867,2.50526
8,28,0.27477,1.34087,1.20828,-0.00473,16.3517,2.14748
8,28,0.22545,1.14506,1.17336,-0.01535,11.13133,3.06218
8,28,0.13221,1.27225,0.94498,0.06023,10.03745,3.2106
8,28,0.32854,1.32075,1.34714,-0.10602,11.21108,1.9111
8,28,0.09858,1.12015,1.13555,0.15504,11.33181,2.7748
8,28,0.15161,1.42758,0.90542,-0.12053,11.21956,2.79513
