frame,DetObj#,x,y,z,v,snr,noise
0,15,0.06352,1.76584,1.02218,0.02175,10.93151,1.88579
0,15,-0.02202,1.31212,1.03908,0.05563,15.26507,2.68496
0,15,0.20138,1.43462,0.75772,-0.00229,9.90246,2.37636
0,15,0.05101,1.58151,0.99946,0.03016,17.11842,2.32315
0,15,-0.08132,1.4589,0.94108,0.00651,7.37186,1.84361
0,15,-0.07474,1.63842,1.16532,-0.05468,7.44842,1.56428
0,15,-0.07722,1.50703,0.97772,0.07184,12.63842,2.40082
0,15,0.22194,1.53869,0.78273,0.11176,10.05773,3.90953
0,15,-0.05288,1.69555,0.96534,-0.03572,15.33433,3.08382
0,15,-0.02295,1.61251,1.08446,-0.09578,19.49754,2.89851
0,15,0.14588,1.69402,0.97517,-0.04744,14.85561,2.2436
0,15,-0.08835,1.54982,1.14561,-0.02281,15.22674,2.99475
0,15,-0.02327,1.67087,1.11173,0.01762,15.49038,2.57042
0,15,0.17151,1.56958,0.93377,0.04568,11.5731,2.13051
0,15,-0.00585,1.3342,0.82905,0.1218,13.60889,2.50944
1,27,-0.036,1.5029,0.91307,-0.10134,17.17186,2.51602
1,27,-0.03602,1.63674,0.98907,0.19724,11.4564,2.6711
1,27,0.06977,1.44429,0.80361,0.16073,10.47812,2.41721
1,27,-0.11521,1.66285,0.97217,-0.0193,10.79159,2.07078
1,27,0.01972,1.4384,0.89494,0.01927,6.62165,2.5581
1,27,-0.08395,1.51507,0.82256,0.10991,14.84233,3.25556
1,27,-0.20589,1.47297,1.07086,-0.01114,9.74829,3.41786
1,27,0.00729,1.60133,1.02924,0.17992,10.69287,1.86675
1,27,0.00528,1.79005,0.86005,0.1171,12.52913,3.08751
1,27,0.16965,1.49589,1.13276,-0.05465,14.44991,3.23009
1,27,0.25456,1.41847,1.08613,-0.04359,11.97826,2.56537
1,27,-0.11917,1.56892,0.91658,-0.05564,13.76756,1.80705
1,27,0.09198,1.55482,0.63859,-0.13059,16.46138,3.88311
1,27,0.19422,1.49106,1.08606,-0.07958,15.16416,1.83841
1,27,0.18851,1.52273,0.91332,-0.00894,11.79033,3.14263
1,27,-0.04655,1.81035,0.89469,0.07261,7.8972,2.9143
1,27,0.26445,1.64826,0.73093,-0.05335,10.61401,1.93851
1,27,0.00837,1.50478,1.0622,-0.00473,14.54174,3.40314
1,27,0.15252,1.56918,1.06354,0.09837,15.20283,1.49967
1,27,0.03567,1.53105,0.83162,-0.00693,15.79207,2.88091
1,27,-0.02778,1.7697,0.94135,0.01508,16.16049,2.80507
1,27,-0.18671,1.54051,0.90026,0.02039,12.95979,1.68282
1,27,-0.07257,1.44846,0.93575,-0.04365,12.38958,2.98376
1,27,0.1201,1.39159,1.05148,0.03252,11.42386,1.76196
1,27,0.03314,1.68862,0.97078,-0.11678,12.99781,1.84833
1,27,-0.15321,1.50067,0.93859,-0.20531,13.84497,2.989
1,27,0.0232,1.43091,0.89143,0.09554,12.00777,3.32263
2,21,0.03548,1.24893,1.00869,-0.01989,10.98727,2.55131
2,21,0.05246,1.53087,0.98977,-0.03099,19.57217,2.56826
2,21,0.19498,1.54744,1.02238,-0.01986,14.8785,2.65675
2,21,0.08204,1.56906,1.00013,0.05929,12.33248,2.44165
2,21,0.1598,1.52741,0.73913,-0.10963,13.43181,3.13713
2,21,0.07274,1.36446,0.94594,0.10135,13.71515,2.31985
2,21,0.23069,1.46545,0.97824,0.03873,13.96399,1.60167
2,21,0.0563,1.42695,1.12103,0.017,13.01863,3.13257
2,21,0.07603,1.42753,0.99654,0.00851,18.05117,2.47595
2,21,-0.15095,1.67109,0.8101,-0.06666,12.12718,1.79758
2,21,-0.07836,1.49256,0.805,-0.0707,9.17685,2.22327
2,21,0.00575,1.47046,1.18549,-0.09796,15.3579,2.39538
2,21,0.04152,1.62496,0.89565,0.03334,12.97826,0.78943
2,21,0.17801,1.5177,0.96812,-0.07347,10.26846,2.77462
2,21,0.27664,1.40006,0.97485,0.00703,12.01542,3.78237
2,21,-0.21424,1.71837,0.99026,0.00093,12.72439,2.79774
2,21,-0.18137,1.67531,0.98105,0.06867,10.92825,2.9432
2,21,0.06716,1.68818,1.0715,0.15872,11.79725,1.99552
2,21,0.13143,1.65227,0.91364,-0.13442,11.87618,1.91679
2,21,0.20248,1.58514,0.91643,0.02365,15.0182,1.75384
2,21,0.0548,1.48965,0.92505,-0.01666,12.4266,1.62933
3,32,0.09912,1.35057,0.89564,0.04787,11.1504,2.64477
3,32,-0.05362,1.49961,0.76863,-0.11049,11.19723,2.37107
3,32,0.21577,1.41196,1.16529,0.13208,10.25294,2.8932
3,32,-0.01009,1.51307,0.80189,0.10073,16.09592,1.87725
3,32,-0.06928,1.41516,1.00185,0.0849,10.23785,3.5322
3,32,0.19211,1.40625,0.78458,-0.0039,14.84191,2.2694
3,32,-0.06069,1.50754,0.75535,0.04923,17.00376,1.35639
3,32,-0.08101,1.44429,0.81218,-0.02467,16.02085,1.27082
3,32,-0.12994,1.47661,1.05752,-0.01095,13.49098,1.47725
3,32,-0.00342,1.75276,0.87589,0.03575,18.53322,2.89826
3,32,0.02267,1.36629,1.16792,0.05041,13.26564,2.50812
3,32,-0.0551,1.53708,0.95065,0.01221,15.52007,3.99795
3,32,0.00968,1.70041,0.76969,0.0172,16.47185,2.64827
3,32,-0.07416,1.60172,1.0072,0.02355,11.07318,1.47396
3,32,0.14349,1.46935,0.88271,0.00988,11.9563,1.89322
3,32,0.17137,1.50228,0.76845,-0.08805,13.08265,2.46414
3,32,-0.00336,1.58651,1.13416,0.0805,14.82122,1.97535
3,32,0.19693,1.62714,0.83314,0.1022,13.91226,1.52292
3,32,-0.00354,1.50234,1.11048,-0.0618,18.33116,2.24493
3,32,-0.14458,1.53849,1.08732,0.06565,10.60688,2.0065
3,32,-0.00691,1.59282,1.02325,0.02455,10.40643,1.65434
3,32,0.11863,1.48278,1.13296,0.09213,12.53055,1.59911
3,32,0.14941,1.51362,0.90785,0.09639,10.76202,2.41652
3,32,-0.02934,1.78067,0.73587,-0.01916,18.11425,2.08221
3,32,-0.24789,1.49405,0.97388,-0.03246,8.57284,2.83552
3,32,0.20831,1.59237,1.05112,-0.02796,16.13397,2.66585
3,32,0.15842,1.47293,0.79004,-0.0786,14.94968,3.86586
3,32,0.03968,1.32646,1.04191,0.08929,13.62798,2.81314
3,32,-0.06803,1.5988,1.00577,0.006,16.91953,1.66964
3,32,0.0393,1.51309,1.17516,-0.06067,10.94855,2.25181
3,32,0.05669,1.54537,0.7752,-0.01582,11.07532,2.99046
3,32,-0.03019,1.34121,1.17204,0.02055,14.91865,1.63477
4,26,-0.07668,1.48301,0.86294,0.09086,12.27008,2.36532
4,26,-0.26198,1.63583,0.88918,-0.00334,12.70444,2.3364
4,26,0.12124,1.3099,1.04646,0.05288,17.03374,1.359
4,26,0.00273,1.48305,0.97546,-0.23162,14.82914,3.4819
4,26,-0.15717,1.52689,1.26386,-0.08274,13.22183,2.14122
4,26,-0.27098,1.47218,0.97925,0.11179,14.1901,2.7145
4,26,-0.11945,1.40979,0.7819,-0.02716,11.62087,2.56885
4,26,-0.17448,1.55722,1.13796,-0.07771,16.13512,3.01346
4,26,-0.04934,1.34472,0.95758,0.06845,16.45411,3.18192
4,26,-0.09326,1.53229,1.02584,-0.11698,11.58839,3.60223
4,26,0.06464,1.5422,1.02826,-0.11838,15.49937,3.81384
4,26,0.18148,1.42697,1.22185,0.0037,12.16945,2.39782
4,26,0.02609,1.75601,0.92683,0.00283,12.05952,1.98692
4,26,-0.12428,1.50181,1.11543,-0.11228,14.59578,3.2705
4,26,0.0659,1.67268,1.03902,0.15449,9.26395,2.55219
4,26,0.01011,1.2911,1.06822,0.12115,10.08211,1.8302
4,26,0.00456,1.72375,0.79479,-0.01471,9.06299,1.27872
4,26,-0.0048,1.58436,0.94963,-0.00727,15.36625,2.10863
4,26,0.1348,1.72395,1.11107,-0.02407,10.34417,2.30705
4,26,0.01766,1.50329,0.83766,-0.1163,12.99964,1.4817
4,26,0.21062,1.36016,0.93435,0.1349,16.10504,2.57456
4,26,0.0071,1.52403,0.95191,-0.06063,13.38346,3.40783
4,26,0.13316,1.55941,0.80829,0.01046,8.58809,2.99243
4,26,-0.06741,1.35759,0.88922,0.0163,16.99994,2.46083
4,26,0.18825,1.3831,0.96615,-0.0817,15.1064,3.07021
4,26,0.06937,1.5921,1.0518,0.10937,10.77777,3.30277
5,19,0.12408,1.71241,1.16016,-0.07639,14.51145,1.75768
5,19,0.14181,1.58038,0.976,-0.03742,10.32478,1.50517
5,19,0.01545,1.61301,0.87626,-0.0295,12.65084,0.95217
5,19,0.12977,1.55332,1.03437,-0.01779,14.42952,2.43843
5,19,-0.08908,1.56229,1.23544,-0.04015,17.23531,1.98731
5,19,-0.25325,1.46828,1.02233,0.04393,15.16776,2.40224
5,19,-0.00033,1.56596,0.87807,0.07999,8.88538,2.28376
5,19,-0.00227,1.32336,1.00764,-0.13629,12.71904,2.64638
5,19,-0.08368,1.57483,0.91502,-0.01719,10.79261,1.42742
5,19,0.21003,1.33628,1.0839,0.05718,13.36205,1.65231
5,19,0.01794,1.53162,0.90436,-0.0209,14.63381,2.38311
5,19,0.04427,1.65506,0.63897,-0.08502,13.97039,2.56584
5,19,-0.16025,1.80215,1.06095,0.04579,19.84301,2.0051
5,19,0.09645,1.55211,1.22047,-0.0342,11.79055,2.70608
5,19,0.09533,1.62587,0.90293,0.03486,7.15561,4.22574
5,19,-0.20252,1.61621,1.00027,-0.0234,15.09691,2.83999
5,19,0.14212,1.62916,0.96447,-0.10429,14.36962,2.69746
5,19,-0.02317,1.594,0.94258,0.0803,11.9161,2.26676
5,19,-0.04822,1.39346,0.96693,0.05252,13.5513,2.3057
6,31,-0.0423,1.44386,1.0329,-0.11872,16.32091,3.19288
6,31,-0.0238,1.3942,0.6042,0.08315,14.9716,2.00739
6,31,0.08385,1.37254,0.94382,-0.01234,16.57821,2.05596
6,31,0.17506,1.50982,0.99019,0.06393,11.1475,3.34963
6,31,0.03683,1.56361,0.98074,-0.14574,10.31814,2.60443
6,31,-0.08003,1.62688,1.05276,-0.00166,11.0618,2.72782
6,31,0.10296,1.51325,0.87134,-0.02676,13.6175,2.64124
6,31,0.00234,1.38249,0.98386,-0.08229,12.1709,3.4559
6,31,-0.00295,1.61739,0.92397,0.06909,16.68983,2.54871
6,31,0.12874,1.42592,1.02303,-0.05488,19.33557,1.78034
6,31,-0.08266,1.51534,0.84289,-0.00663,9.56407,2.16172
6,31,0.19736,1.72083,0.99755,0.02314,15.18602,1.86834
6,31,-0.08351,1.67075,0.9649,0.01013,13.92003,1.82591
6,31,-0.13519,1.38381,0.93485,-0.09662,10.02324,2.87975
6,31,0.26278,1.63294,1.03357,0.03458,11.111,1.9391
6,31,0.01734,1.44987,1.22809,-0.00547,14.88983,2.85985
