frame,DetObj#,x,y,z,v,snr,noise
0,20,-0.23645,1.39928,1.30543,0.1122,11.90804,3.05495
0,20,-0.18041,1.32651,1.43161,-0.03338,8.4207,2.20529
0,20,-0.16766,1.44368,1.41057,-0.07719,18.2268,2.77657
0,20,-0.15096,1.31699,1.4668,0.00849,13.97129,2.47047
0,20,-0.09949,1.61109,1.42212,-0.00766,10.76225,3.10561
0,20,-0.11324,1.5875,1.40842,-0.01971,11.0814,3.19485
0,20,-0.28026,1.30298,1.42611,-0.07971,7.86031,2.90648
0,20,-0.16928,1.34697,1.29728,0.19578,14.41076,1.78791
0,20,-0.09774,1.62878,1.43997,-0.04137,18.30951,2.70088
0,20,-0.07063,1.56487,1.42531,0.05367,8.59684,2.50405
0,20,-0.39001,1.48707,1.45862,-0.08522,16.08285,2.01733
0,20,-0.02664,1.59969,1.50622,0.00393,16.81894,3.05627
0,20,-0.12763,1.26155,1.37997,-0.02686,11.18722,3.48785
0,20,0.06857,1.49017,1.29272,-0.08579,15.12822,2.47734
0,20,-0.09277,1.74969,1.23408,0.16329,18.53603,1.39861
0,20,-0.22052,1.46641,1.27302,-0.04489,11.74112,2.24519
0,20,-0.2023,1.50877,1.47989,-0.06029,12.47153,2.07227
0,20,-0.13097,1.40716,1.37623,-0.0358,12.9305,2.94268
0,20,-0.16799,1.33487,1.47785,-0.06086,8.84642,2.79547
0,20,-0.30611,1.62494,1.39068,0.03544,15.99184,2.60458
1,15,-0.12382,1.53099,1.38118,-0.10741,10.92952,2.09048
1,15,-0.18202,1.32566,1.39295,0.12164,10.78243,1.88058
1,15,-0.14839,1.4433,1.45751,-0.06699,12.76606,3.61195
1,15,-0.16995,1.49871,1.19926,-0.03705,14.59348,2.31392
1,15,-0.2573,1.49601,1.41338,0.06708,9.41062,2.75222
1,15,-0.34862,1.47565,1.50575,0.02342,12.80588,3.10255
1,15,-0.27259,1.39307,1.67491,-0.01905,11.60138,2.32544
1,15,-0.29287,1.42357,1.41273,0.13993,13.39544,3.18847
1,15,-0.24036,1.48698,1.30633,-0.08635,10.84902,3.11083
1,15,-0.12887,1.39059,1.26679,0.04018,16.33249,3.20831
1,15,-0.3393,1.35476,1.2537,-0.08151,16.22231,2.94798
1,15,-0.14491,1.21677,1.50516,-0.00622,12.99869,2.91991
1,15,-0.10656,1.34689,1.61679,0.07146,14.77172,2.35749
1,15,-0.21315,1.47232,1.33561,0.0715,14.47606,1.20465
1,15,-0.33522,1.755,1.5085,0.00524,15.2248,2.58545
2,18,-0.07691,1.39693,1.54524,-0.07112,10.74316,3.99555
2,18,-0.31815,1.64441,1.3618,0.06572,13.15451,1.65859
2,18,-0.43255,1.62108,1.3379,-0.10397,16.14998,2.47705
2,18,-0.33495,1.57391,1.22101,-0.00345,14.95887,2.21989
2,18,-0.09472,1.58441,1.23368,-0.06041,14.02625,2.20028
2,18,-0.18011,1.55723,1.45056,0.15117,13.06408,1.89503
2,18,-0.11311,1.40929,1.27165,0.08101,14.02353,3.32533
2,18,-0.35752,1.30903,1.59026,-0.05352,8.81904,3.30791
2,18,-0.09258,1.40413,1.381,-0.03014,16.58609,3.37875
2,18,0.05169,1.43031,1.19802,0.05538,19.77439,1.82246
2,18,-0.30112,1.51559,1.5745,-0.01293,16.32037,2.81548
2,18,-0.04797,1.50285,1.51342,0.08503,12.02302,2.59121
2,18,-0.34324,1.3506,1.19019,0.00413,11.38371,2.21336
2,18,-0.2995,1.63198,1.35536,0.11408,13.81238,2.08312
2,18,-0.26357,1.49196,1.25361,0.07134,17.80662,2.84602
2,18,-0.1786,1.51616,1.32706,-0.03227,16.52155,2.7508
2,18,-0.24285,1.46532,1.06367,-0.1125,12.42729,4.02123
2,18,-0.20293,1.47715,1.45247,-0.03637,12.08306,2.48508
3,32,-0.06881,1.392,1.31939,-0.03175,14.88634,2.62721
3,32,-0.13402,1.33496,1.18736,0.01457,10.41951,3.36381
3,32,-0.46128,1.38901,1.2944,0.10323,15.11043,2.02856
3,32,-0.27174,1.70237,1.18301,0.01769,5.89848,2.61229
3,32,-0.21042,1.45682,1.35006,-0.09087,15.15546,3.37466
3,32,-0.03215,1.40834,1.13944,0.023,11.79423,2.97868
3,32,-0.09804,1.52296,1.4347,-0.07164,10.12973,2.81773
3,32,-0.1178,1.29782,1.38352,0.04294,12.01735,1.78936
3,32,-0.2623,1.51607,1.48884,0.18241,14.11592,2.65744
3,32,-0.2599,1.50322,1.1579,-0.01899,19.98657,2.33685
3,32,-0.23521,1.53696,1.44346,-0.00789,15.65065,2.77463
3,32,0.0761,1.47331,1.55598,-0.09982,11.66317,2.35963
3,32,-0.38845,1.39626,1.27847,-0.09501,14.4919,1.86942
3,32,-0.28139,1.53596,1.48748,0.07631,17.44827,2.5365
3,32,0.03832,1.31178,1.24843,-0.04518,10.51442,1.58211
3,32,-0.03278,1.47406,1.46551,0.00795,16.99687,2.66587
3,32,-0.07958,1.38594,1.16751,-0.02862,14.80008,3.01167
3,32,-0.35214,1.47648,1.35174,-0.04918,7.73665,2.14474
3,32,0.07695,1.45761,1.37471,0.13787,15.16712,2.60231
3,32,-0.21225,1.33188,1.37656,0.06384,15.65172,2.83547
3,32,-0.24696,1.64743,1.42935,-0.07163,12.56344,1.66603
3,32,0.06423,1.52386,1.49068,0.07041,14.71171,3.00711
3,32,-0.20683,1.45359,1.4332,-0.16836,17.54309,1.78919
3,32,-0.09739,1.47785,1.42976,-0.0971,13.93511,2.36917
3,32,-0.16329,1.29149,1.40603,-0.01623,11.19078,2.87056
3,32,-0.17351,1.50252,1.49632,0.1006,13.7885,2.98451
3,32,-0.28912,1.36511,1.27794,-0.0722,16.59852,2.38159
3,32,-0.07803,1.60647,1.39119,0.11587,11.58902,3.48683
3,32,-0.21314,1.31863,1.33279,-0.12045,10.27883,2.76559
3,32,-0.27041,1.43197,1.36138,-0.0274,20.53134,2.2864
