frame,DetObj#,x,y,z,v,snr,noise
0,34,0.05333,1.2592,1.10119,0.03746,9.55292,1.75008
0,34,0.00539,1.37975,1.17873,0.03391,11.00786,3.20736
0,34,-0.04108,1.54129,1.19796,-0.05547,10.69807,2.52322
0,34,-0.01062,1.2253,1.31021,-0.03149,10.37873,2.77062
0,34,-0.15733,1.32999,1.17798,0.03204,15.65091,3.06718
0,34,0.15615,1.18652,1.0653,-0.06483,15.64829,1.17675
0,34,0.07047,1.35501,1.44752,0.11214,14.68793,2.53843
0,34,0.16757,1.46634,1.0016,-0.05698,11.26976,2.61422
0,34,-0.01512,1.21726,1.31204,-0.05357,12.59676,2.53946
0,34,-0.04752,1.51459,1.13498,-0.02291,10.77387,3.11622
0,34,0.14618,1.29807,1.4092,-0.01368,9.12571,3.00761
0,34,-0.033,1.26727,1.10288,0.02191,10.1626,2.10348
0,34,0.07339,1.16484,1.21744,-0.03369,14.66614,2.0892
0,34,-0.03384,1.27266,1.14483,-0.01689,12.46512,2.58284
0,34,-0.10176,1.30721,0.85032,0.03148,13.67957,3.3803
0,34,0.18446,1.34878,0.86393,-0.03825,8.66365,3.33651
0,34,0.14157,1.4179,1.31145,0.02211,19.00161,3.61198
0,34,-0.02958,1.19607,1.36038,-0.05389,8.18315,3.13528
0,34,0.0749,1.40735,1.11115,0.17056,6.60552,2.71822
0,34,0.0999,1.35302,1.38524,0.02266,11.30552,2.68482
0,34,0.00981,1.37294,0.9325,0.01342,10.23519,2.5109
0,34,0.0026,1.39776,1.24148,0.06074,11.19816,2.40988
0,34,-0.18336,1.33393,1.2322,0.04201,14.47777,2.35088
0,34,0.14421,1.42811,1.32866,0.05036,9.74125,2.75976
0,34,0.11746,1.08344,1.03224,-0.05736,17.3638,1.84478
0,34,-0.14624,1.4048,1.06931,-0.15308,11.41538,1.78198
0,34,0.19117,1.60844,1.25729,-0.12674,15.19235,2.09166
0,34,0.15706,1.44091,1.20055,-0.01263,13.82938,3.06495
0,34,0.02168,1.35764,1.21608,0.01573,10.03586,3.08779
0,34,0.11957,1.32213,1.54292,-0.01495,13.67197,1.89296
0,34,0.09791,1.30189,1.3993,0.01357,10.96656,2.80198
0,34,0.18853,1.34556,1.33927,-0.11994,15.25627,1.02593
0,34,0.25595,1.31869,1.14047,0.13113,8.04213,3.12382
0,34,0.08641,1.13886,1.08945,0.0648,13.84395,2.33999
1,14,0.05314,1.36069,1.11824,-0.1075,13.99934,1.83432
1,14,0.10152,1.44802,1.18539,0.03779,9.79398,1.45361
1,14,0.12771,1.21484,1.14263,-0.05208,15.01917,2.40738
1,14,0.06857,1.40667,0.96611,-0.02427,17.49615,1.73549
1,14,-0.02938,1.68393,0.88447,0.06919,13.83719,1.99827
1,14,0.09105,1.37588,1.00222,0.07977,14.89025,1.8448
1,14,-0.03355,1.62147,1.32269,0.03661,13.59942,2.13347
1,14,0.24721,1.29022,1.40233,-0.03175,13.60974,2.55321
1,14,0.02838,1.30027,1.25846,0.00332,7.91014,2.81884
1,14,-0.09542,1.22585,1.03511,0.08535,10.72886,2.09788
1,14,-0.16182,1.32084,1.21491,0.02538,14.13763,2.39569
1,14,0.14052,1.35111,1.14345,-0.09201,11.86383,1.48807
1,14,0.09625,1.64488,1.14792,-0.07312,9.35311,1.4795
1,14,0.03354,1.32278,1.24537,-0.13004,13.33222,1.90889
2,29,0.16101,1.43705,1.06339,0.08205,11.31287,2.89189
2,29,-0.00757,1.42795,1.00948,-0.029,8.25894,2.52468
2,29,0.03052,1.40301,1.08806,-0.17979,14.60565,2.83427
2,29,0.14158,1.27699,0.94697,0.08498,10.16261,2.52292
2,29,0.11698,1.43708,1.47136,-0.09199,15.23703,1.1548
2,29,0.06705,1.52026,1.15268,-0.18109,12.75491,3.64171
2,29,-0.09416,1.53961,1.15108,0.10812,12.3762,2.69505
2,29,0.2153,1.37387,1.32514,-0.03972,13.40375,1.97218
2,29,0.08872,1.21089,1.17325,-0.01302,14.43891,2.37814
2,29,0.16007,1.39698,1.07144,0.07789,9.38557,2.36094
2,29,-0.13479,1.25132,1.42737,0.05709,15.26764,2.20204
2,29,-0.14812,1.5097,1.10853,-0.00587,10.66412,2.49403
2,29,-0.1654,1.47629,1.36143,-0.08499,18.04291,2.71281
2,29,-0.08997,1.46487,1.0023,-0.0164,9.65137,2.53722
2,29,-0.0017,1.19515,1.41732,-0.04858,9.44178,1.53406
2,29,0.26648,1.2539,1.18142,-0.09323,14.19707,3.24833
2,29,0.02075,1.22453,1.06552,-0.13231,9.08433,2.78335
2,29,-0.09939,1.34116,1.27376,0.03743,11.58639,1.78163
2,29,0.16679,1.33583,1.41271,-0.04448,16.074,3.30628
2,29,0.27395,1.30478,1.24193,-0.05424,16.83604,2.82141
2,29,-0.03911,1.47738,1.37156,0.02717,15.34964,3.19371
2,29,0.12964,1.41795,1.05251,-0.06572,11.01681,1.46346
2,29,0.25266,1.38169,0.90151,-0.01501,11.54993,3.75911
2,29,-0.08984,1.30779,1.20935,-0.03219,9.1729,1.97765
2,29,-0.00479,1.23996,1.11901,-0.06075,19.51308,2.63349
2,29,-0.11783,1.2584,1.1565,0.03579,11.63476,2.4659
2,29,0.25455,1.27773,1.09236,-0.07745,17.345,2.08002
2,29,-0.01665,1.44419,1.24408,0.12734,9.46238,2.98799
2,29,-0.02738,1.35725,1.14886,-0.09106,16.74793,2.23945
3,15,0.16543,1.55061,1.33399,-0.08494,14.6199,1.64788
3,15,-0.04656,1.38724,1.05445,0.02277,15.96195,2.04543
3,15,0.07166,1.39973,1.15146,0.14579,12.42103,3.21468
3,15,-0.08382,1.38706,1.2612,0.05249,15.2879,3.17802
3,15,0.07697,1.44268,1.24748,0.00303,14.10248,2.55444
3,15,0.05752,1.24718,1.31587,0.11488,12.39609,2.00423
3,15,0.10829,1.38648,1.43791,-0.03452,13.49329,3.11155
3,15,0.05648,1.36312,1.22378,-0.01204,8.92846,3.33382
3,15,-0.06398,1.23516,1.15858,0.01465,14.58071,2.90307
3,15,-0.19975,1.42707,1.46205,-0.03209,10.6073,2.27855
3,15,0.05853,1.3943,1.15604,0.01891,15.40361,2.07837
3,15,0.02753,1.4365,1.28064,0.03655,15.39357,1.36756
3,15,0.07445,1.50615,1.31569,0.01741,8.64889,0.8348
3,15,-0.01271,1.35037,1.12814,0.09776,16.12132,2.26047
3,15,0.10662,1.38246,1.06179,-0.12001,14.67666,2.4093
4,13,0.27437,1.10623,1.29819,0.01078,13.24241,2.45506
4,13,-0.05622,1.42981,1.24785,-0.04343,10.66649,2.47529
4,13,0.16629,1.37742,1.363,-0.11902,14.43646,3.20701
4,13,0.22964,1.21658,1.04283,-0.02638,10.7574,2.11014
4,13,0.09807,1.34762,1.11781,0.02071,15.53599,1.92606
4,13,0.00934,1.38851,1.15339,0.02697,13.26815,1.8491
4,13,0.22289,1.13938,1.36964,-0.04147,15.80636,2.68279
4,13,0.03418,1.38336,1.23764,-0.12101,10.68297,3.2166
4,13,0.06326,1.38985,1.35367,-0.10071,12.63112,2.06201
4,13,0.03922,1.34827,1.18091,-0.05635,14.07791,3.33061
4,13,0.09965,1.07343,1.40275,-0.03756,12.48698,1.76119
4,13,0.20897,1.53963,1.34261,0.01199,17.72028,2.51378
4,13,0.26641,1.24633,1.25643,0.16042,16.48663,2.98712
5,35,0.09441,1.39221,0.85898,-0.00866,9.34156,2.19837
5,35,0.23297,1.33492,1.1693,-0.04092,13.93283,2.2726
5,35,0.15675,1.1994,1.20466,-0.04294,11.12032,2.25421
5,35,0.10326,1.26974,1.34232,-0.1524,9.50288,3.07081
5,35,-0.0408,1.38306,1.34852,-0.07717,13.44914,2.58398
5,35,-0.23731,1.24585,1.17848,-0.01613,13.55604,2.69582
5,35,0.06849,1.23399,0.93504,0.11823,13.54185,1.61687
5,35,0.01038,1.21107,1.29676,-0.03364,11.4382,2.36583
5,35,0.06148,1.29983,1.28129,-0.01498,16.73745,2.95026
5,35,0.13817,1.35499,1.19669,-0.06343,14.27058,3.55126
