frame,DetObj#,x,y,z,v,snr,noise
0,14,0.15607,1.48529,1.16873,0.10362,13.76458,3.29441
0,14,-0.17413,1.23574,1.33854,-0.11513,14.09702,2.6663
0,14,-0.2092,1.24432,1.1706,0.15149,10.72202,2.62954
0,14,-0.20769,1.21126,0.93488,-0.03813,10.55304,2.73433
0,14,-0.20792,1.21679,0.98957,0.12743,10.18707,2.25369
0,14,-0.11742,1.17508,1.13963,0.10165,13.31399,2.69453
0,14,-0.0423,1.17965,1.22028,0.10606,16.60959,2.11512
0,14,-0.07106,1.28666,1.31368,0.06618,13.56953,2.19169
0,14,0.07274,1.28406,1.31019,0.02077,13.97155,2.48677
0,14,0.02188,1.25265,1.25728,-0.01336,12.37637,2.54348
0,14,-0.00558,1.21575,1.27411,-0.22821,11.63074,3.39269
0,14,0.00995,1.4511,1.08477,-0.05885,11.08977,1.95138
0,14,0.03922,1.47531,1.07799,0.04201,11.83369,1.92315
0,14,-0.04925,1.38537,1.06895,-0.02566,8.7646,2.23848
1,12,0.10311,1.29488,1.2712,0.15491,12.91153,2.78309
1,12,0.01384,1.2443,1.27786,-0.01795,12.28493,2.67365
1,12,0.24959,1.23429,1.13338,-0.01047,12.23658,2.83643
1,12,-0.02927,1.2131,1.03804,-0.09981,14.54269,2.91771
1,12,0.02373,1.23679,1.1026,0.02011,11.71025,2.04126
1,12,-0.0108,1.59162,1.24621,-0.09513,9.81688,2.12741
1,12,0.01207,1.34841,1.04442,-0.0222,10.0444,2.7561
1,12,-0.11235,1.2896,1.43065,0.04627,14.84182,1.9044
1,12,-0.01078,1.23683,1.03998,-0.08212,16.21401,2.12657
1,12,-0.15644,1.3003,1.20711,0.06675,17.20853,2.59312
1,12,0.02014,1.38152,1.17706,-0.12839,11.57491,2.20489
1,12,0.03181,1.37527,1.24774,-0.07873,13.52816,2.71285
2,21,-0.30759,1.36928,1.29379,-0.15477,15.23164,1.67815
2,21,0.01343,1.26235,1.18805,0.0808,13.03286,2.6386
2,21,-0.0305,1.39359,1.15447,-0.06513,14.96604,2.12823
2,21,0.12902,1.43191,1.12863,0.1882,10.36935,2.7487
2,21,-0.06653,1.3782,1.06938,0.08342,17.44797,2.60088
2,21,-0.0119,1.40817,1.16605,0.11951,10.48598,3.19844
2,21,-0.07011,1.52217,0.84574,0.08887,14.68676,2.5937
2,21,-0.10671,1.46864,1.09185,-0.01763,12.63416,2.85474
2,21,-0.0798,1.24231,1.22318,-0.05715,10.19556,2.16696
2,21,-0.13968,1.39246,1.12141,0.12816,11.90697,1.48517
2,21,-0.00696,1.43677,1.25939,-0.04136,18.25789,2.34332
2,21,-0.00947,1.34927,1.02318,0.0169,10.09549,2.18332
2,21,-0.13769,1.38632,0.99404,-0.05129,10.11233,1.91699
2,21,0.0789,1.14601,1.15262,-0.05522,10.38979,3.0023
2,21,-0.10942,1.3086,1.05068,-0.03023,15.98066,2.30579
2,21,-0.02476,1.28517,1.21461,0.02443,13.54479,2.70104
2,21,0.0775,1.20924,1.06812,0.05876,11.78818,1.81046
2,21,0.1327,1.42111,1.16407,-0.05462,12.13479,2.61326
2,21,-0.30598,1.18361,0.79863,-0.00161,11.66342,3.07304
2,21,0.08134,1.41715,1.09092,-0.05088,12.41363,3.69447
2,21,0.00654,1.29846,1.0923,0.01927,9.79208,1.66738
3,15,-0.19249,1.29286,1.14831,0.00393,11.80639,1.16334
3,15,-0.17011,1.35155,1.22284,-0.15666,16.90627,2.48378
3,15,0.01129,1.31681,1.15642,0.02444,12.87024,3.81011
3,15,0.02661,1.39535,1.20266,-0.14122,10.35363,3.7039
3,15,0.06907,1.28159,1.14993,-0.02597,12.52016,2.31556
3,15,-0.03873,1.37624,1.18974,-0.0062,16.83141,4.08589
3,15,0.12039,1.05613,1.14613,-0.04661,14.5766,2.85236
3,15,0.06866,1.28675,0.91735,0.038,10.76752,2.37982
3,15,-0.03124,1.27939,0.93185,0.01244,14.47669,2.63041
3,15,0.06368,1.097,1.06444,0.06681,11.96839,2.23449
3,15,-0.06491,1.42426,1.28943,0.11458,9.34297,2.98278
3,15,0.10834,1.31309,1.13452,0.08172,15.87005,2.31519
3,15,0.00901,1.36949,0.94827,0.02615,14.49209,2.67547
3,15,-0.052,1.27234,1.09448,-0.00815,10.26829,2.35637
3,15,-0.10829,1.40548,1.07445,-0.14778,15.73411,1.5096
4,25,-0.03244,1.44796,0.99988,-0.08205,13.98338,3.1414
4,25,-0.03031,1.22164,1.23086,-0.03618,11.94967,2.317
4,25,0.08094,1.27688,1.04436,0.03273,8.75027,2.16109
4,25,0.05017,1.38152,0.94496,-0.06465,15.47639,2.9531
4,25,-0.06287,1.28717,1.2612,-0.134,14.41251,3.1829
4,25,-0.07061,1.38051,1.05893,0.10526,12.15325,3.43871
4,25,0.00382,1.50366,1.11892,0.10833,17.246,3.49847
4,25,-0.0532,1.36702,1.0925,0.04885,12.27113,2.61432
4,25,-0.07367,1.1796,0.87988,0.07665,13.60002,2.89416
4,25,-0.11578,1.42506,0.96528,-0.10126,6.35747,3.77614
4,25,-0.06263,1.27906,0.84645,0.09793,10.54805,3.12299
4,25,0.04373,1.11202,1.00533,-0.03692,14.23365,3.47789
4,25,-0.14,1.18968,1.35354,-0.11037,12.16099,3.08759
4,25,0.04095,1.29266,1.3047,0.19391,14.77128,2.04369
4,25,0.3062,1.39076,1.40199,0.08724,6.50484,2.3657
4,25,-0.08041,1.27551,1.27331,0.09139,14.89913,1.54469
4,25,-0.04844,1.34595,1.17897,-0.17975,12.52951,2.36978
4,25,-0.07242,1.26763,1.34367,-0.01929,17.13738,2.16073
4,25,0.01932,1.52076,1.0678,-0.00994,12.63939,2.10808
4,25,-0.05715,1.23897,1.34695,0.15998,14.80795,2.3697
4,25,-0.0487,1.46825,1.14583,-0.08688,14.7598,1.99318
4,25,-0.20444,1.31407,1.1383,0.0135,15.85349,1.79193
4,25,-0.05046,1.36105,1.14194,-0.00146,13.97841,3.11327
4,25,-0.16143,1.03731,1.32779,0.06336,13.05463,2.14256
4,25,-0.11007,1.49232,1.42314,0.00488,12.42885,2.34539
5,13,-0.11216,1.52835,1.11496,-0.09523,12.07206,2.18851
5,13,0.07113,1.26005,1.31058,-0.01692,13.16204,3.84831
5,13,-0.17268,1.05957,1.16126,0.12524,12.95692,2.06764
5,13,-0.00589,1.4993,1.19763,-0.12157,9.14389,2.74711
5,13,0.05588,1.38515,1.27665,-0.00582,15.03003,1.44175
5,13,-0.09244,1.32106,1.09583,0.11432,15.49477,2.36124
5,13,0.10354,1.31069,0.97425,0.13407,12.19279,2.39304
5,13,0.04133,1.41577,1.10996,-0.0728,6.65224,2.7453
5,13,0.02128,1.56247,1.11609,0.06802,14.90389,2.28469
5,13,0.11255,1.27542,1.24905,0.12576,13.87993,2.39118
5,13,0.08132,1.2278,1.2406,0.03932,17.13323,3.17659
5,13,-0.02297,1.29271,0.84777,0.03255,9.83448,2.09278
5,13,-0.20205,1.16563,0.91609,-0.1164,18.31243,2.24458
6,26,-0.01255,1.23942,1.24533,-0.08179,12.91679,1.75374
6,26,-0.04111,1.19597,1.39701,-0.02574,11.00892,3.12543
6,26,-0.01532,1.47587,1.2117,0.02719,11.63631,3.02804
6,26,-0.1857,1.4454,1.36963,0.03929,16.87968,3.75782
6,26,0.21171,1.21502,0.9676,-0.05801,7.91489,1.87638
6,26,-0.08677,1.37259,1.38072,0.01147,14.27243,1.80769
6,26,-0.13295,1.16667,1.08955,0.11153,7.55931,1.70937
6,26,0.00384,1.47583,1.44493,-0.06068,13.88375,3.23703
6,26,-0.16311,1.38732,0.99813,0.0508,10.41437,1.65839
6,26,-0.06979,1.34011,1.28379,0.00636,14.92719,2.23507
6,26,0.12359,1.16817,0.96585,-0.02333,18.89139,1.55313
6,26,-0.02024,1.43589,0.97549,0.06143,12.83875,2.54599
6,26,-0.11246,1.35296,1.44639,0.12668,17.00335,2.63322
6,26,-0.16338,1.37351,1.01402,-0.11047,15.07746,2.77861
6,26,0.01747,1.446,1.16862,0.002,14.37966,2.44134
6,26,-0.13276,1.38269,0.96966,-0.0076,9.85551,1.81369
6,26,-0.13764,1.17965,1.13868,0.02464,16.33031,2.80489
6,26,0.01706,1.44093,1.41829,-0.01118,14.2794,2.53706
