frame,DetObj#,x,y,z,v,snr,noise
0,20,0.55285,1.45216,1.1141,0.05254,10.11626,2.59953
0,20,-0.09805,1.51638,1.13165,0.00745,10.86768,2.68504
0,20,-0.06257,1.19648,1.23352,-0.08947,15.33683,2.65344
0,20,-0.06878,1.54816,1.20642,-0.0117,10.5131,2.17107
0,20,0.24522,1.38981,1.06725,-0.20745,17.37118,2.4725
0,20,-0.53914,1.5334,1.13991,0.12675,14.06469,1.05446
0,20,-0.1888,1.68267,1.1333,-0.05237,14.09015,2.9043
0,20,-0.0784,1.31976,1.02011,-0.03463,15.14267,2.09469
0,20,-0.30014,1.26246,1.10187,0.02651,8.2517,2.54194
0,20,0.57494,1.34728,1.20757,0.0101,6.2729,1.59977
0,20,-0.07236,1.47263,1.03615,0.00499,15.45082,2.72077
0,20,0.04285,1.33465,1.00766,-0.03698,12.17161,2.22774
0,20,0.10074,1.78313,1.09159,-0.05315,11.49503,2.78738
0,20,0.26426,1.21185,1.03346,-0.09091,12.50178,2.6612
0,20,0.05476,1.38385,0.99862,-0.11199,13.73747,2.89222
0,20,-0.28718,1.77132,1.01026,-0.02968,15.60053,2.84205
0,20,-0.00465,1.54139,1.1316,-0.06539,12.66631,2.25599
0,20,0.06606,1.6415,1.08232,0.10736,15.44328,2.39535
0,20,0.16471,1.56492,1.06854,0.06676,11.09549,3.24725
0,20,0.29594,1.57915,1.12337,-0.00634,14.91119,3.39704
1,16,0.0063,1.61417,1.22292,-0.10266,9.29641,2.89413
1,16,0.29826,1.33376,1.04005,-0.02156,8.83225,2.20554
1,16,-0.32526,1.04424,1.18214,-0.08197,17.01422,2.36182
1,16,-0.37706,1.38772,1.06083,0.04703,11.47127,2.19863
1,16,0.03405,1.48706,1.22364,-0.02656,13.15828,3.4074
1,16,-0.11974,1.3719,1.03551,0.04972,14.39007,3.5894
1,16,-0.19954,1.3058,1.07958,0.08617,14.54913,1.96161
1,16,-0.24958,1.40934,1.02498,-0.07878,16.58189,2.45535
1,16,0.01138,1.36119,1.20227,0.04576,14.18318,2.65247
1,16,-0.18061,1.39513,1.27459,-0.11885,18.48127,1.93753
1,16,-0.22149,1.42584,1.11726,-0.10786,11.97001,2.63122
1,16,0.05869,1.54717,1.12228,-0.06403,13.37367,2.63027
1,16,-0.06907,1.31474,0.93756,-0.02882,16.36332,2.49393
1,16,-0.10531,1.48504,1.11728,0.00316,14.578,3.38401
1,16,0.28031,1.16186,1.15076,-0.09927,8.00387,3.81674
1,16,-0.10073,1.50811,1.12862,0.03179,14.55708,2.09693
2,18,0.08257,1.26442,1.09564,-0.0121,13.89006,2.46606
2,18,-0.11514,1.4384,1.03767,-0.01389,14.79443,3.01069
2,18,-0.02718,1.28165,1.03839,0.06164,11.94466,2.33078
2,18,-0.18444,1.38611,1.09392,-0.10953,12.27712,2.21062
2,18,0.23615,1.38314,1.25977,0.02159,11.90848,2.39649
2,18,-0.00112,1.22931,1.07776,-0.09346,17.99848,2.87477
2,18,0.19299,1.51929,0.97281,-0.05775,13.86784,1.92225
2,18,-0.13764,1.23142,1.13086,-0.11012,12.63841,1.49161
2,18,-0.13255,1.56712,0.97022,0.00599,17.59165,2.68901
2,18,-0.00623,1.41302,0.98073,-0.13568,15.60752,2.32713
2,18,-0.15824,1.61969,1.02782,0.01775,14.78514,3.37132
2,18,-0.10642,1.37543,1.03606,-0.10891,8.59086,2.45208
2,18,-0.22305,1.66493,1.19468,-0.03396,17.32472,1.94148
2,18,-0.20801,1.62995,1.04638,0.17985,11.27177,2.56353
2,18,0.03211,1.31094,1.1642,0.04422,14.74781,2.68994
2,18,-0.0226,1.50368,1.05987,0.0527,13.04596,1.16189
2,18,-0.04904,1.5384,1.16044,-0.11508,17.48294,2.03499
2,18,0.02701,1.60806,1.21097,-0.15651,11.22318,2.19032
3,33,-0.11552,1.33035,1.01558,0.12384,11.83348,2.87039
3,33,-0.27589,1.87682,1.11206,-0.06305,19.46798,1.58972
3,33,0.16648,1.58144,1.21551,-0.09946,12.56522,1.5542
3,33,0.48613,1.42477,1.12825,0.08469,6.2683,2.35068
3,33,-0.12894,1.706,1.11882,-0.0345,13.05419,2.92524
3,33,-0.14339,1.66988,0.99296,0.1448,10.06851,2.55281
3,33,-0.02537,1.36358,0.9115,0.0348,17.65589,3.02025
3,33,0.21937,1.6139,1.0488,0.03071,16.16254,1.99562
3,33,0.37225,1.59032,1.23972,-0.09272,8.87266,2.30906
3,33,-0.01607,1.38958,1.24603,-0.0619,15.76754,2.99614
3,33,-0.31089,1.53073,1.08388,0.05629,17.68534,2.15505
3,33,-0.22315,1.5778,0.99307,0.07218,13.12023,2.10208
3,33,0.01931,1.24895,0.94213,-0.02539,14.35068,2.42317
3,33,0.19867,1.55439,1.181,0.11328,6.94865,2.56464
3,33,-0.21044,1.41171,1.2714,-0.02327,17.92902,2.26165
3,33,-0.07716,1.72814,1.14673,-0.08489,8.15628,1.64479
3,33,-0.21746,1.58443,1.05447,0.06966,14.18823,2.53174
3,33,-0.00419,1.3072,1.12457,0.03108,8.35638,2.27395
3,33,-0.04058,1.85082,0.8502,-0.01942,17.76759,2.58082
