frame,DetObj#,x,y,z,v,snr,noise
0,28,0.0629,1.07665,0.95314,-0.13087,14.27359,3.26779
0,28,-0.16797,1.02105,0.87623,-0.09048,7.47772,2.76517
0,28,0.09416,1.27677,0.85753,-0.03981,10.83276,2.73784
0,28,-0.08173,1.32681,0.78051,-0.0911,22.28783,2.16328
0,28,0.08444,0.9932,1.07225,-0.0254,11.64018,3.05884
0,28,-0.26146,1.34385,0.84545,0.0578,13.63937,2.65984
0,28,-0.06545,1.1679,0.61093,-0.12409,13.47033,2.59149
0,28,-0.07805,1.26194,0.87712,0.04257,11.21472,0.96182
0,28,-0.23577,1.03087,0.85178,0.04027,8.61787,2.90592
0,28,-0.05889,1.09354,0.93359,-0.06926,14.84464,3.41272
0,28,0.09492,1.11345,0.92894,0.07467,16.79648,4.07819
0,28,0.12401,1.12655,0.79731,0.04773,14.82618,2.60892
0,28,-0.15546,1.13726,0.96367,0.06094,12.69106,2.72699
0,28,-0.08909,0.99736,0.78136,0.09303,4.90791,2.1075
0,28,0.15878,1.04261,0.76186,-0.01723,13.85299,3.03568
0,28,0.04429,1.12573,0.79415,0.06993,15.26315,3.99896
0,28,0.16994,1.17097,0.82952,-0.06685,15.11553,1.2913
0,28,0.08795,1.18616,0.79166,0.00052,11.23122,2.7353
0,28,0.04322,1.2687,0.80182,0.09539,16.45497,3.48396
0,28,-0.0697,1.09887,0.72435,-0.12499,8.57294,2.68066
0,28,0.05137,1.23823,0.7589,-0.11202,11.66338,3.08548
0,28,-0.09036,1.15727,0.60668,-0.05273,13.29623,1.90109
0,28,-0.09592,0.89085,0.70573,0.058,14.21861,2.87553
0,28,0.04576,1.09292,0.66573,0.0192,9.4689,2.16937
0,28,-0.03019,1.11451,1.10458,-0.06036,12.24128,3.36314
0,28,0.06028,1.15695,0.7772,-0.03341,10.30886,2.53197
0,28,-0.15056,1.10621,0.83678,-0.07025,11.0733,2.20265
0,28,-0.03086,1.182,0.67246,0.00477,12.36002,2.7946
1,17,0.04337,1.13904,1.1703,-0.02013,5.38956,2.48694
1,17,-0.24869,1.38348,0.90193,0.03849,15.21174,2.18649
1,17,-0.18812,0.9703,0.98738,-0.00438,13.82956,1.94563
1,17,-0.10807,1.03484,1.09032,-0.06693,13.28761,1.31287
1,17,-0.04336,1.25756,0.57071,0.12629,15.89365,2.78285
1,17,0.08772,1.01949,0.76342,-0.05991,12.20925,2.06422
1,17,-0.00866,1.31218,0.89958,-0.10606,18.01579,2.87169
1,17,-0.1649,1.04175,0.91415,0.0056,12.10128,2.80246
1,17,0.0386,1.13973,0.86361,-0.02363,14.24535,2.4103
1,17,-0.13893,1.19196,0.95832,-0.12468,12.52338,2.39308
1,17,-0.06294,1.08579,0.96639,-0.03559,8.86059,1.21625
1,17,0.2931,1.00178,0.82954,0.02986,15.05615,2.71564
1,17,0.06567,0.99371,0.98706,-0.09508,13.54987,2.61483
1,17,-0.00541,1.17841,0.91498,0.00285,21.21563,2.68387
1,17,-0.043,1.02013,0.6767,0.03139,9.06517,2.72532
1,17,-0.09416,1.15849,0.73532,0.01501,15.61554,2.20985
1,17,0.06922,1.07546,0.87973,-0.11255,13.06106,2.7164
2,35,-0.02817,1.21118,0.83781,0.17768,11.16948,2.93861
2,35,-0.08861,1.28575,0.86509,-0.01848,13.99275,2.00945
2,35,-0.12418,0.89454,0.73663,0.0679,10.17528,1.79839
2,35,-0.10644,1.08413,1.16578,-0.02695,6.84883,1.63263
2,35,0.02319,1.06038,0.72552,0.02012,14.06683,1.80583
2,35,0.11169,1.04597,0.78999,-0.12616,14.22223,2.84758
2,35,0.08345,1.13063,0.68701,-0.03548,14.10479,2.73692
2,35,-0.11514,1.14721,0.83881,-0.01812,13.1072,1.48951
2,35,0.02566,1.2345,0.67018,0.22668,14.94386,1.8875
2,35,-0.08128,1.25233,0.77418,-0.08332,13.36019,1.97008
2,35,-0.12677,1.27995,0.92955,0.15626,18.20184,2.48686
2,35,-0.05346,1.11526,0.80861,-0.11428,9.76831,2.16225
2,35,-0.18596,1.12243,0.6622,-0.05513,18.69545,2.7932
2,35,-0.14179,1.02631,0.97466,0.03017,13.6056,2.37709
2,35,0.11837,1.25708,0.97906,-0.03011,14.18854,2.22745
2,35,0.02678,1.13365,0.77235,0.01432,9.036,2.60265
2,35,-0.01611,1.22263,0.93358,-0.03651,8.28532,2.27342
2,35,0.05956,1.26744,1.01949,-0.10655,10.87582,2.67522
2,35,0.15178,0.84869,0.91369,-0.06592,15.511,1.96546
2,35,-0.13975,1.17843,0.99241,0.03857,11.59611,2.70521
2,35,0.17322,1.04012,0.90978,0.12956,10.75756,1.90352
2,35,0.09362,1.09489,0.90121,0.00536,14.19096,1.8778
2,35,0.09517,1.12814,0.9187,0.02885,14.80019,2.26208
2,35,-0.00365,1.17182,0.63918,0.01463,15.20572,2.60146
2,35,0.03667,1.08631,0.96473,-0.03786,10.30256,2.20928
2,35,0.1396,1.01598,0.90907,0.02018,11.60768,1.72655
2,35,-0.10304,1.12029,0.8147,-0.03426,12.63522,2.36821
2,35,0.07502,1.19973,0.83232,-0.23445,10.62878,3.25471
2,35,-0.14903,1.19977,0.79723,0.00959,12.55116,1.95424
2,35,0.04808,1.0776,0.58702,0.00999,10.65874,2.43531
2,35,-0.07923,1.16685,0.64256,0.001,12.81292,2.52437
2,35,-0.11669,1.19234,0.76831,-0.07725,14.70294,2.16489
2,35,0.01906,0.93098,0.60043,-0.11726,15.24359,3.09237
2,35,-0.05936,1.25269,0.8673,-0.08479,11.20616,2.91787
2,35,-0.00805,1.18415,0.77068,-0.04716,12.37307,3.44661
3,29,0.03987,1.06296,0.78441,-0.06874,18.96243,2.06117
3,29,0.28926,1.12532,0.63431,-0.09801,15.0364,1.23405
3,29,0.26471,1.06816,0.89579,-0.0594,7.5464,2.4495
3,29,-0.19712,1.34893,0.69886,-0.00864,11.05429,2.95269
3,29,-0.01598,1.21139,0.80485,0.07188,8.46204,2.50661
3,29,-0.06572,1.03638,1.11562,-0.0398,18.91785,1.49262
3,29,-0.14372,1.24081,0.78552,0.06361,6.92618,2.50402
3,29,0.13201,1.11876,0.53285,-0.02313,8.8067,3.3613
3,29,-0.16864,1.09635,0.96857,0.05844,13.34767,2.96434
3,29,0.2456,1.17704,0.83181,0.05649,7.848,2.65176
3,29,-0.01373,1.18008,0.95915,-0.10915,18.21208,3.04185
3,29,-0.2254,1.01103,0.92435,0.09463,11.24943,1.97066
3,29,0.02173,1.3682,1.07267,-0.00881,8.67297,2.07397
3,29,-0.05013,1.05436,0.81115,-0.05936,9.30401,3.49553
3,29,0.0776,0.98643,0.91709,0.14522,9.99548,3.14981
3,29,-0.02539,1.15211,1.08466,-0.07693,17.98042,3.52644
3,29,0.10924,1.2846,0.77303,0.02394,10.43155,2.47045
3,29,-0.16342,1.06756,0.78587,-0.07164,12.42188,1.72771
3,29,-0.07137,1.00451,0.74594,-0.0941,16.07749,1.95449
3,29,0.11214,1.2347,0.82704,-0.01564,14.41848,1.4803
3,29,0.04868,1.09548,0.94526,0.06073,10.23826,1.12823
3,29,0.00828,1.12767,0.7445,0.17859,14.24643,2.84832
3,29,0.07734,1.23315,0.9251,0.02607,12.11783,2.36029
3,29,0.13705,1.22396,0.62504,0.06257,12.86171,2.06801
3,29,-0.2498,1.18826,0.58284,0.04318,14.55137,1.80273
3,29,-0.17166,1.05929,0.68178,-0.09664,8.87219,3.18634
3,29,-0.3564,1.10078,0.91128,0.03027,12.31515,2.38568
3,29,-0.01766,1.0124,0.81806,-0.0313,14.82827,2.38476
3,29,-0.02616,1.22776,1.06929,0.12388,12.80814,3.97518
4,19,0.04366,1.08273,0.77586,0.04428,14.31322,3.25534
4,19,-0.2568,1.33523,0.66844,0.05024,13.50237,2.09235
4,19,-0.09079,1.0105,1.00264,-0.24428,12.92385,2.2445
4,19,-0.08426,1.05904,1.19537,-0.08809,13.29062,1.7719
4,19,-0.0834,1.15774,0.93032,-0.04785,13.66921,3.27205
4,19,0.12786,1.00395,0.8631,0.10035,9.66102,2.89302
4,19,0.11387,1.22125,0.50484,0.02582,8.36424,2.51464
4,19,-0.08443,1.01133,1.08393,-0.08122,10.83524,1.72448
4,19,-0.05991,1.11767,0.86015,-0.1093,16.1272,2.70643
4,19,0.01971,1.05353,0.75391,0.21422,13.81851,2.53295
4,19,0.09847,1.24666,0.75532,-0.07939,14.17521,2.54084
4,19,-0.02716,1.18455,0.86683,0.01614,10.24545,1.61626
4,19,0.16399,0.85804,0.89358,-0.1472,16.80805,2.57951
4,19,0.09291,1.24807,0.74555,-0.09708,9.90318,2.24446
4,19,-0.01905,1.3929,0.8573,-0.05943,10.56008,2.60746
4,19,0.0684,1.13222,0.79565,0.0725,10.30551,2.37183
4,19,-0.02348,1.16451,0.93095,-0.03145,13.69943,1.85171
4,19,0.10978,1.19614,0.75121,0.08705,17.5688,3.6666
4,19,0.04746,1.06083,1.07264,-0.06938,11.34879,1.45758
5,18,-0.03745,1.31517,0.60032,0.00922,12.65192,2.2964
5,18,-0.07077,1.1392,1.03004,0.0203,13.76427,2.20005
5,18,-0.03414,0.99462,0.81998,-0.00076,9.98904,3.92883
5,18,-0.06736,1.13574,0.75245,-0.02724,8.83268,1.83523
5,18,0.00591,1.11237,0.86625,-0.01782,15.14606,2.70209
5,18,0.12112,1.03642,0.86239,0.05701,14.46867,3.22074
5,18,-0.13312,1.21079,0.67749,-0.04566,10.8338,2.50674
5,18,0.04468,1.14172,0.77011,0.02404,10.96175,2.40472
5,18,-0.03028,1.16188,0.88667,0.04984,15.13019,2.08472
5,18,0.08463,1.25786,0.71334,-0.08632,12.53692,1.95398
5,18,0.14256,1.09557,0.9362,-0.01916,12.78703,3.59305
5,18,0.1512,1.0752,0.80306,0.02477,9.74401,2.58561
5,18,-0.04568,1.21974,0.64603,0.10008,17.21505,2.62974
5,18,-0.07575,1.22877,0.74794,-0.00904,10.36719,3.01784
5,18,0.12213,1.18326,0.98029,-0.12011,14.51682,1.31136
5,18,0.01065,1.2624,0.95081,-0.00024,15.74509,2.30003
5,18,0.11387,1.29312,0.80103,-0.14573,13.84793,2.47676
5,18,0.00606,1.05833,0.82163,-0.01041,14.164,2.91643
6,14,-0.18149,1.10993,1.02787,-0.18355,14.60178,2.52674
6,14,0.13903,1.00524,0.7824,-0.05071,17.80588,2.62316
6,14,0.18512,1.18124,0.91731,-0.01011,10.12601,2.7367
6,14,-0.22403,1.27006,0.76795,0.12069,14.37818,3.03317
6,14,-0.00161,1.10918,0.93186,0.02207,15.67231,2.4305
6,14,-0.0945,1.12595,0.83077,0.11767,10.89668,2.32961
6,14,0.02891,1.34642,0.71755,-0.06953,14.29438,3.08964
6,14,-0.28024,1.09339,0.85694,0.03531,15.15404,2.38119
6,14,0.07281,1.12561,0.71571,0.09761,14.68727,3.13121
6,14,-0.02602,1.03591,0.97124,-0.09723,14.47023,1.39272
6,14,-0.09417,1.13796,0.99873,-0.06809,9.48971,1.1018
6,14,0.00987,1.17304,0.90919,-0.02205,11.90121,3.14947
6,14,-0.06482,1.17497,0.69727,-0.09997,17.07872,1.32653
6,14,-0.07348,1.27912,0.57406,-0.06666,16.17673,1.89478
7,19,-0.126,1.0796,0.64878,0.0378,14.22074,2.03405
7,19,0.10144,1.25988,0.96232,0.06706,13.64459,2.68062
7,19,0.08056,1.20215,0.74845,0.00076,12.79955,3.3521
7,19,-0.10307,1.13482,0.84188,-0.04942,11.46931,2.63875
7,19,0.02423,1.16994,0.824,-0.00815,15.99399,3.22321
7,19,0.03572,1.11863,1.02302,0.0996,11.13489,2.17631
7,19,0.03267,1.31608,1.09709,-1e-05,11.36949,3.1325
7,19,-0.12354,1.069,0.78303,0.08892,9.02127,2.52828
7,19,0.06824,0.88188,0.91666,0.09086,7.24991,3.26645
7,19,0.10012,1.08894,0.77917,0.16609,14.29713,2.43376
7,19,-0.09042,1.0261,0.64793,-0.00172,18.06857,1.09315
7,19,-0.01681,1.05322,0.81839,0.07187,14.06392,1.69015
7,19,0.04207,1.00433,0.94205,0.1365,17.6197,2.82498
7,19,0.28425,1.1669,0.83851,0.07683,15.24668,3.27661
7,19,0.06262,1.23086,0.98773,-0.07164,15.40978,3.20308
7,19,-0.01481,1.178,1.0378,-0.02098,14.91043,2.2684
7,19,-0.22092,1.08238,0.68007,0.05192,15.60843,2.54016
7,19,0.09546,1.34276,0.99687,0.09659,14.22915,4.0697
7,19,0.12673,1.13912,0.90014,0.01569,12.04686,3.58059
8,26,-0.16196,1.13273,0.9641,0.08307,12.26788,3.05599
8,26,0.06153,1.21776,0.94863,-0.01359,13.8162,2.02619
8,26,0.06894,1.24452,0.83204,-0.22907,13.05628,1.91985
8,26,-0.20197,1.21035,0.92425,0.04024,6.07494,2.18039
8,26,4e-05,1.24653,0.75246,-0.15373,17.514,2.74926
8,26,0.07655,1.28953,0.81284,0.04202,12.83706,2.3494
8,26,-0.11399,1.1636,0.99202,-0.10998,12.52948,2.97347
8,26,-0.23416,0.85594,0.68897,0.06501,10.3915,3.0855
8,26,0.26371,1.01352,0.92667,0.04577,9.98898,2.27571
8,26,-0.1379,1.12816,0.9717,-0.13429,14.95041,2.75862
8,26,-0.0722,1.19675,0.68475,-0.0329,11.60917,2.50214
8,26,0.03521,1.1193,0.88368,0.01841,11.36837,2.0685
8,26,0.05363,1.31136,0.79943,-0.04057,14.64846,3.33927
8,26,-0.00495,1.36541,0.85691,-0.02742,15.78578,2.52411
8,26,0.07973,1.16383,0.90177,-0.05515,16.22266,2.31573
8,26,-0.18887,1.00224,0.63515,-0.15259,10.03342,2.58264
8,26,0.32842,1.06146,0.64538,-0.03927,18.56348,2.32393
8,26,0.20825,0.94333,0.68357,0.01751,16.99327,2.28949
8,26,0.0308,1.1574,0.71795,-0.13582,15.82837,3.54283
8,26,0.00214,1.34902,0.88794,-0.01417,16.39536,2.30005
8,26,-0.06038,0.98685,0.85348,-0.01734,14.52535,2.41607
8,26,0.01977,1.37628,0.86465,0.05864,13.83024,2.92713
8,26,-0.0366,1.17971,0.71355,0.06698,14.50542,1.87614
8,26,-0.08513,1.01832,0.88486,-0.05536,14.17009,2.7565
8,26,0.00139,1.04297,0.68018,0.08475,15.78623,1.42369
8,26,-0.12443,1.33454,0.84003,0.05658,16.98604,2.70759
9,34,-0.1171,1.28027,0.83937,0.09434,11.37639,3.22143
9,34,-0.26101,1.25097,0.69628,0.05521,19.8563,2.82407
9,34,0.01477,1.07967,0.97743,-0.11335,8.97652,2.86842
9,34,0.1313,1.11028,0.98368,0.21272,13.30268,2.70339
9,34,-0.04441,1.25341,0.92135,0.0248,12.45659,1.45159
9,34,-0.1189,1.10097,0.96317,-0.06856,13.45293,2.24213
9,34,0.16072,1.10104,0.73139,-0.02431,12.13579,2.15426
9,34,0.03375,1.10813,0.89742,-0.0868,9.97574,2.25871
9,34,-0.05701,1.25332,0.8179,-0.06934,7.56389,2.6983
9,34,-0.09227,1.1591,0.96238,-0.05817,16.63042,2.53607
9,34,0.07244,1.00419,0.64358,-0.08674,15.93468,2.45358
9,34,0.03384,1.16644,0.83898,-0.03564,15.33932,1.99423
9,34,-0.09812,1.19407,0.93065,0.05864,13.75837,1.23777
9,34,-0.1398,1.09843,0.60264,0.00746,12.97782,2.54639
9,34,-0.01043,0.999,1.02961,-0.0558,13.7143,2.82637
9,34,0.01402,1.02548,0.82774,-0.06598,12.72808,1.22435
9,34,0.04275,1.07586,0.62908,0.01849,4.82736,2.39513
9,34,0.15755,1.13153,0.70378,-0.03767,13.03808,2.28915
9,34,0.04169,1.18619,1.2012,0.169,12.81758,3.39118
9,34,-0.10432,1.2068,0.93928,0.04741,11.22046,2.55486
9,34,-0.05633,1.22322,0.79731,-0.02453,14.82439,2.30161
9,34,-0.05357,1.06095,1.00359,-0.15409,10.72505,2.98554
9,34,-0.0808,0.93112,0.72551,-0.03761,14.62961,3.36362
9,34,0.01355,1.33718,0.93431,0.00312,12.8823,3.63823
9,34,-0.15323,1.24934,0.94469,-0.03687,10.99348,3.32698
9,34,-0.04717,1.30732,0.69496,-0.04941,15.66685,1.99715
9,34,0.21774,1.08866,0.64185,0.06421,10.71134,1.85772
9,34,0.07189,1.18617,0.78362,0.00985,17.97381,1.67608
9,34,-0.07322,1.09485,0.70114,0.07991,12.76442,2.85419
9,34,0.02452,1.05607,0.84881,0.06056,9.94302,2.28154
9,34,-0.09294,0.99797,0.90288,0.01839,13.15375,2.8015
9,34,-0.03252,1.13444,0.9853,-0.02656,3.65958,2.67687
9,34,0.00121,1.23909,0.78078,0.04814,11.55874,2.55253
9,34,0.00494,1.21659,0.8303,-0.0973,10.67454,1.59799
10,21,-0.11029,1.08756,0.80263,0.05611,10.87766,2.48517
10,21,-0.10676,1.12077,0.96867,-0.00964,19.41888,3.51214
10,21,-0.03377,1.09549,0.91435,0.01467,15.65873,2.15368
10,21,-0.0423,1.30709,0.84218,-0.02514,10.67959,3.33783
10,21,0.11724,1.02435,0.80282,-0.0872,11.9296,2.00429
10,21,0.05635,1.28251,0.49259,0.03694,11.02466,2.49919
10,21,-0.24187,1.18481,0.80298,-0.06791,8.26226,2.53879
10,21,-0.12457,1.01538,0.85981,0.06081,10.01737,2.5415
10,21,0.18206,1.07596,0.95335,0.04073,16.27516,3.22791
10,21,0.00748,1.11041,0.88079,0.06528,12.36623,3.2663
10,21,-0.1238,1.1353,0.85267,0.05418,12.89839,3.02355
10,21,-0.10244,1.11295,0.84074,-0.04215,13.40527,3.91182
10,21,-0.03689,1.06808,1.04486,-0.0451,18.54637,2.20868
10,21,-0.11192,0.96821,1.20744,-0.02044,14.60966,2.64133
10,21,0.09987,1.06487,0.84602,-0.01,9.59129,2.11875
10,21,0.00439,1.09696,0.66388,-0.07142,9.96926,2.29062
10,21,-0.18446,1.3296,0.69465,0.12349,12.8383,1.5988
10,21,0.05581,1.14782,1.08563,-0.04582,11.2292,2.31438
10,21,-0.034,1.12206,0.81165,-0.0012,15.57214,2.53629
