frame,DetObj#,x,y,z,v,snr,noise
0,29,0.00757,1.5693,0.62939,-0.01577,11.6604,2.2116
0,29,0.01642,1.48523,0.50382,-0.06031,9.05877,2.27019
0,29,-0.11976,1.48865,0.71802,0.02199,7.9193,2.27702
0,29,-0.08741,1.40634,0.92323,-0.03481,17.06637,3.05732
0,29,-0.00341,1.62021,0.86461,-0.0112,10.38735,2.73653
0,29,0.01071,1.46567,0.91008,0.01176,14.55196,1.6053
0,29,0.18523,1.39962,1.0808,0.03305,12.1908,2.60713
0,29,-0.03555,1.45278,0.85299,-0.10339,10.64239,2.70228
0,29,-0.02663,1.33095,0.58929,0.01602,11.10939,2.02283
0,29,0.19439,1.36546,0.93181,-0.02714,11.20713,2.80944
0,29,0.08642,1.72845,0.85309,0.00278,8.42527,3.38946
0,29,-0.08398,1.46954,0.6977,0.10946,11.53847,2.07949
0,29,-0.01147,1.53262,0.96935,-0.07155,17.75097,2.83006
0,29,0.03773,1.54574,0.83265,0.05457,12.3014,1.36862
0,29,-0.03233,1.46774,0.59167,0.19252,9.72274,1.76533
0,29,-0.14988,1.41457,0.73548,0.04984,12.69482,2.38579
0,29,0.01662,1.42651,0.68961,-0.10054,11.0761,2.02279
0,29,-0.12808,1.47026,0.79844,-0.07387,9.69559,3.96262
0,29,-0.05174,1.89236,0.57166,-0.0056,15.15799,2.69146
0,29,-0.23671,1.50509,0.69623,-0.1067,11.80053,3.25409
0,29,-0.12233,1.56597,0.98974,-0.05188,9.38954,2.46744
0,29,0.06557,1.46825,0.75689,-0.18928,7.36371,1.76623
0,29,-0.18161,1.49437,0.96304,-0.14333,15.27428,2.64166
0,29,-0.13067,1.50466,0.74519,0.07942,20.88804,2.93013
0,29,-0.03026,1.34289,0.44003,-0.06619,10.58073,2.27077
0,29,-0.01646,1.46803,0.87485,-0.00312,11.38622,2.42583
0,29,0.06019,1.60363,0.75247,-0.01546,12.41678,1.98381
0,29,0.01068,1.65506,0.68224,-0.14204,16.94931,3.07737
0,29,-0.02459,1.52321,0.78698,-0.01911,12.92446,2.186
1,25,0.12028,1.67151,0.88658,-0.08185,18.69989,2.29225
1,25,-0.11412,1.44212,0.71603,-0.10754,4.02362,2.8738
1,25,-0.12327,1.37505,0.6543,-0.04955,18.77663,3.56809
1,25,0.21019,1.54413,0.67553,-0.08949,12.68472,2.31467
1,25,-0.06406,1.39289,0.62525,-0.00038,9.61337,3.52345
1,25,-0.00485,1.62524,0.85818,0.04615,11.42299,2.61526
1,25,-0.09427,1.35759,1.00959,0.16308,14.86319,1.44931
1,25,-0.14248,1.37144,0.83054,0.00235,9.31245,2.49153
1,25,-0.26495,1.53794,0.62212,-0.01424,12.25379,2.10004
1,25,0.22812,1.62909,0.61305,0.01504,10.75992,1.92139
1,25,0.01561,1.57625,0.53723,0.01219,13.16869,2.40719
1,25,-0.14111,1.44183,0.8126,-0.09615,14.3222,3.07914
1,25,0.05008,1.4719,0.73517,-0.0791,12.16765,1.23605
1,25,-0.31982,1.52708,0.74598,-0.04045,15.52393,2.62284
1,25,0.01221,1.5709,1.08057,-0.09231,10.90908,3.10407
1,25,-0.04907,1.5598,0.80414,-0.16928,16.70319,2.26942
1,25,0.09516,1.50703,0.81984,-0.01905,14.52048,2.45159
1,25,0.15891,1.59362,0.85728,-0.07328,8.46698,3.0964
1,25,0.10013,1.60996,0.80907,0.10547,16.77097,2.19013
1,25,-0.03052,1.3529,0.87324,-0.02256,11.60086,2.17147
1,25,-0.14853,1.33404,0.84018,-0.05534,16.8176,2.72116
1,25,-0.09837,1.41609,0.88044,-0.05204,14.43166,3.03653
1,25,0.07109,1.73154,0.79995,-0.05928,13.65247,2.69743
1,25,-0.00903,1.47529,0.83507,0.02297,17.19155,2.58134
1,25,0.02529,1.47345,0.73122,0.08015,14.45361,2.59177
2,12,0.08366,1.34979,0.90918,-0.08226,11.8796,2.09289
2,12,-0.08739,1.28875,1.02529,0.15717,22.01803,3.13194
2,12,0.13095,1.35895,0.88006,-0.05255,12.72461,2.36891
2,12,-0.18088,1.40123,0.64333,0.09237,11.84169,2.20391
2,12,-0.04442,1.62412,0.84209,0.05745,15.5067,1.75682
2,12,-0.23295,1.68633,0.83272,-0.03911,11.59283,3.51711
2,12,-0.12786,1.39194,0.6922,-0.07507,9.38475,2.25045
2,12,-0.00603,1.5277,0.91175,-0.0735,11.63442,2.57894
2,12,-0.07176,1.4712,0.73496,0.03959,12.97231,2.8778
2,12,0.06676,1.46612,0.74802,-0.08109,13.61227,2.5051
2,12,-0.11611,1.55225,0.51341,0.00895,15.26916,2.83385
2,12,0.00439,1.47234,0.77591,0.0654,13.31821,2.7573
3,32,-0.05289,1.40287,0.71241,0.14156,13.03618,1.74657
3,32,-0.18244,1.59126,0.74098,-0.01136,12.55049,3.00009
3,32,-0.16623,1.61173,0.72173,0.08807,9.82409,1.35151
3,32,-0.30526,1.52759,0.95142,-0.00634,11.05177,1.69649
3,32,0.01237,1.36425,0.85148,0.02097,11.9631,2.36142
3,32,-0.17644,1.55878,0.56953,0.01639,10.07288,2.12614
3,32,0.16788,1.39671,0.81618,-0.00415,13.82969,1.80301
3,32,-0.00713,1.61374,0.68944,0.00813,12.35879,2.272
3,32,0.02476,1.6511,0.92644,0.1305,18.46772,2.2653
3,32,0.11273,1.63904,0.97397,-0.14845,6.64842,2.96547
3,32,-0.01562,1.50433,0.74787,-0.0686,12.03884,3.0415
3,32,-0.09864,1.69222,1.00205,0.12425,11.07435,0.90721
3,32,-0.12979,1.55404,0.93027,0.04054,12.52036,4.34414
3,32,0.13175,1.58976,0.69866,-0.0032,6.98268,3.47034
3,32,0.08647,1.57992,0.77344,-0.06047,13.69959,2.98023
3,32,0.00868,1.42987,0.79029,0.05342,10.5644,1.44264
3,32,-0.24487,1.55981,0.92623,0.21949,15.02503,2.32079
3,32,0.00061,1.71572,0.89465,0.04264,18.70771,2.46969
3,32,0.16965,1.46219,0.74576,-0.00397,8.84538,2.74995
3,32,0.12218,1.41816,0.78474,-0.08487,9.40471,3.05205
3,32,-0.23499,1.50217,0.7819,0.01906,13.86849,1.24026
3,32,0.02365,1.61311,0.72385,-0.05654,6.81745,3.20613
3,32,-0.17999,1.49121,0.77822,0.23973,14.21649,1.95146
3,32,0.15663,1.31708,0.83342,0.0075,11.273,1.93842
3,32,0.13706,1.44201,0.75897,-0.02043,8.43224,3.03495
3,32,-0.12995,1.68237,0.68862,-0.043,14.42068,1.31705
3,32,0.04498,1.44035,0.75029,0.09565,16.32712,3.15833
3,32,-0.03656,1.59107,0.78867,0.08962,8.08748,3.11872
3,32,-0.24405,1.52687,0.56475,0.19145,10.21116,2.38506
3,32,-0.01788,1.2795,0.72236,0.04808,11.41052,1.45892
3,32,-0.3307,1.35033,0.70676,0.04956,13.6568,2.66769
3,32,-0.05836,1.46649,0.95501,0.16289,14.33404,2.51109
4,13,0.00667,1.41397,0.78057,0.03386,7.28809,2.1168
4,13,0.01288,1.53288,0.91498,0.05334,9.55051,2.90435
4,13,-0.15471,1.59286,0.78415,0.07832,13.02931,2.93621
4,13,-0.07784,1.48603,0.62902,0.00605,14.15913,1.48146
4,13,-0.0608,1.34757,0.60493,0.06423,14.61007,2.53206
4,13,0.18297,1.43235,0.7568,-0.05042,16.48556,2.56278
4,13,0.01517,1.38616,0.77284,0.01873,12.31431,2.89639
4,13,-0.0623,1.39944,0.85363,0.03583,19.06666,3.36971
4,13,0.04585,1.35711,0.8834,-0.01044,13.25984,3.36955
4,13,-0.0801,1.49652,0.58793,-0.02987,12.77751,2.84717
4,13,0.09754,1.43782,0.95594,0.01828,13.11071,2.12127
4,13,-0.16806,1.6448,0.74018,-0.03108,12.05947,1.68173
4,13,-0.00391,1.57534,0.80917,-0.1697,10.25384,2.52476
5,19,-0.15369,1.35582,0.67239,-0.05129,11.18058,2.00844
5,19,-0.19043,1.29891,0.60362,-0.08505,10.85879,2.87026
5,19,0.18925,1.34213,0.86451,0.03515,8.46108,1.6231
5,19,-0.02296,1.37874,0.88975,-0.14583,15.57477,2.73013
5,19,-0.09928,1.45156,0.66809,-0.10717,6.97554,2.24135
5,19,0.05544,1.69718,0.96936,0.09855,9.58411,2.43975
5,19,-0.19014,1.2917,0.78157,-0.03992,16.39699,2.65836
5,19,-0.06776,1.55998,0.82446,0.10107,13.6412,2.18606
5,19,-0.00016,1.57071,0.8758,-0.04689,10.20032,2.52848
5,19,0.27166,1.24896,0.62639,0.01028,17.71756,2.10297
5,19,-0.11078,1.67172,0.90741,-0.27358,13.85021,2.35537
5,19,0.10869,1.59836,0.93338,-0.04352,11.86327,2.39094
5,19,-0.20596,1.5004,0.777,0.04577,14.7931,1.61116
5,19,0.15408,1.49708,0.49757,-0.04311,13.59224,2.28787
5,19,0.31144,1.51985,0.69581,-0.2235,11.51056,2.05759
5,19,-0.09797,1.51402,0.86714,-0.00858,6.05822,2.44939
5,19,-0.1715,1.43137,0.82351,0.00522,14.12686,2.69344
5,19,-0.05055,1.50142,0.68895,-0.10426,17.20498,2.95239
5,19,-0.08531,1.45451,0.69442,0.03738,17.37331,3.59722
6,34,-0.01831,1.53172,0.70885,-0.15747,11.70562,1.81718
6,34,-0.23035,1.46938,1.08433,-0.05359,11.31492,3.8091
6,34,-0.08789,1.30739,0.86768,0.10492,14.51691,2.47739
6,34,-0.2684,1.56948,0.88425,-0.08284,16.59395,2.97936
6,34,0.01302,1.48057,1.16516,0.11524,19.12785,2.33001
6,34,-0.10535,1.49665,0.64162,0.06728,11.70229,2.4982
