frame,DetObj#,x,y,z,v,snr,noise
0,32,-0.06785,1.61247,1.25088,0.03818,13.50546,3.53929
0,32,0.06342,1.38726,1.17369,-0.0627,10.51657,0.82117
0,32,0.13357,1.52361,1.23982,-0.04698,11.80176,2.53151
0,32,0.18153,1.30141,1.03555,-0.02618,10.71556,2.40864
0,32,0.15842,1.57137,1.66216,0.00287,9.35888,2.53966
0,32,0.08935,1.45921,1.20788,0.03582,10.61564,1.14072
0,32,0.14029,1.44138,1.11785,0.02732,13.97744,1.62429
0,32,0.02997,1.42597,1.25844,0.09005,11.11649,2.2389
0,32,0.03272,1.20462,1.14769,0.06754,14.79985,3.81012
0,32,-0.02439,1.46502,1.12907,-0.02446,12.34846,1.77734
0,32,-0.01667,1.24935,1.26303,0.1852,13.38135,1.76222
0,32,-0.05811,1.36427,1.13129,0.02033,15.17716,1.93264
0,32,0.02804,1.41522,1.21528,-0.06339,10.99804,1.78043
0,32,0.01822,1.5293,1.05924,0.14222,14.59975,3.08139
0,32,-0.24944,1.41143,1.3546,-0.02945,13.46343,2.4503
0,32,-0.03863,1.28717,1.19634,-0.1023,11.26506,3.53551
0,32,0.12222,1.37202,1.21899,-0.08877,8.74879,2.9013
0,32,-0.08371,1.45733,1.16787,-0.0277,11.29573,2.57503
0,32,0.21422,1.43594,1.10463,-0.00847,7.45654,2.24943
0,32,-0.0082,1.56055,1.2493,-0.13088,13.53202,3.05508
0,32,-0.22385,1.42098,0.93964,-0.1023,12.08938,2.82004
0,32,-0.16068,1.38547,1.01152,-0.02118,10.18367,2.57801
0,32,-0.05831,1.30908,0.87711,0.04123,13.82186,2.70763
0,32,-0.08308,1.49267,1.26855,-0.08609,9.35824,1.93422
0,32,0.05289,1.42504,1.0036,-0.03044,10.77455,2.58688
0,32,0.10225,1.55693,1.04069,-0.11639,13.10876,2.14
0,32,0.07752,1.42146,1.37474,0.12544,9.67873,2.5262
0,32,0.03017,1.26675,1.15178,0.09815,8.87326,1.98937
0,32,0.20591,1.47587,1.22502,-0.1724,12.0704,3.19335
0,32,0.28363,1.48682,0.99272,0.02767,15.04077,2.21859
0,32,-0.20286,1.40913,0.86004,0.07489,14.70469,3.51547
0,32,-0.10346,1.48297,1.27375,0.04303,10.85151,2.35179
1,18,-0.05092,1.57503,1.17994,0.07555,9.19202,2.07799
1,18,0.11269,1.48528,1.3322,-0.10859,10.17521,2.80342
1,18,-0.06641,1.45982,1.34218,0.00053,11.73699,2.58115
1,18,0.05056,1.57731,1.30858,0.01156,12.678,2.23117
1,18,0.07964,1.5006,1.16665,-0.02474,16.80815,3.30079
1,18,-0.01419,1.35618,1.29271,0.13502,14.92967,2.32514
1,18,-0.00194,1.36199,1.13103,-0.05664,6.20078,2.43565
1,18,0.00701,1.36438,1.22508,-0.02302,9.36419,1.81462
1,18,0.06675,1.50107,1.2204,0.01837,11.86094,2.75696
1,18,0.0445,1.46274,1.21742,-0.11502,10.87343,2.27371
1,18,0.08179,1.35167,1.14219,-0.00972,13.02345,2.66978
1,18,-0.08674,1.42431,1.14396,-0.15481,13.93184,1.52136
1,18,-0.08405,1.3334,1.11996,-0.10848,10.5286,1.98272
1,18,0.07192,1.36086,1.3024,0.07361,15.32977,2.87128
1,18,-0.12281,1.38931,1.20247,0.1728,18.42944,2.79966
1,18,0.03575,1.57948,1.12686,-0.03624,14.86911,2.80919
1,18,-0.02229,1.2652,1.20738,-0.02549,8.50983,2.75441
1,18,0.0236,1.22997,1.0721,-0.02645,15.57315,2.17791
2,28,0.03706,1.38505,1.10647,0.07286,15.31444,2.02047
2,28,-0.11122,1.40747,1.63483,-0.04578,13.44053,2.37375
2,28,-0.18089,1.49092,0.78835,0.05347,16.32896,2.61304
2,28,-0.02904,1.50089,0.92502,0.04072,9.34109,1.28979
2,28,0.16353,1.33575,1.22635,-0.05776,14.09054,2.93915
2,28,0.09806,1.4762,1.03218,0.00304,18.41778,2.54994
2,28,0.19598,1.42637,1.26795,-0.06063,15.6466,3.46761
2,28,-0.09179,1.24264,1.48321,-0.03133,17.63135,3.1151
2,28,-0.09695,1.52426,1.05613,0.07283,18.33443,2.18371
2,28,0.09384,1.36209,1.33754,0.12793,12.64214,2.3907
2,28,-0.04439,1.56175,1.17266,-0.05939,13.01117,2.62717
2,28,-0.03662,1.67349,1.11005,0.05402,10.35848,2.26858
2,28,0.00616,1.48692,1.08591,-0.10988,14.75239,2.82274
2,28,0.00431,1.54103,1.2483,0.03281,17.20389,2.78771
2,28,0.36728,1.27591,1.00157,-0.06536,14.81499,3.01013
2,28,-0.13667,1.36349,1.41499,0.01356,11.13985,3.31037
2,28,0.18406,1.26184,1.24377,-0.00646,16.15944,3.72598
2,28,0.14262,1.5201,1.01994,0.04145,9.99218,2.124
2,28,0.03835,1.51449,1.13656,0.02845,9.00473,2.25168
2,28,0.32766,1.38453,1.25999,0.12064,12.47575,2.94764
2,28,0.11242,1.43672,0.93457,-0.05982,5.99127,2.83464
2,28,0.0241,1.14425,1.07204,0.08566,11.73364,2.15542
2,28,-0.03294,1.48224,1.12186,0.1028,9.44725,2.63291
2,28,0.05838,1.24863,1.10742,0.06147,12.17996,2.41949
2,28,0.05362,1.44737,1.11579,0.10598,13.67133,2.3181
2,28,0.09391,1.6106,1.33605,0.12999,14.74713,1.96249
2,28,-0.15716,1.26485,1.01658,-0.05646,12.5761,1.98544
2,28,0.09101,1.61529,1.27321,-0.1772,17.35969,2.66818
3,20,0.10016,1.43382,1.16855,0.05888,14.83452,2.89311
3,20,0.00168,1.36156,0.98028,0.08221,9.27993,2.04773
3,20,0.18753,1.56716,1.08602,-0.0698,12.09843,1.45612
3,20,-0.00153,1.4495,1.26915,-0.02554,13.2174,2.71361
3,20,-0.02763,1.24668,1.32442,-0.22298,10.81426,2.56376
3,20,-0.18769,1.51618,1.08064,-0.09917,11.69749,2.11468
3,20,-0.06524,1.5025,1.07385,0.03953,7.21619,1.88658
3,20,0.07611,1.32634,1.15732,0.00335,9.05859,3.03014
3,20,0.2277,1.40474,1.15942,0.07698,14.40721,4.01462
3,20,-0.04069,1.59973,1.08987,0.0024,11.95745,1.73777
3,20,-0.16368,1.27518,1.23882,0.05579,10.26167,1.78602
3,20,0.1796,1.41106,1.23274,-0.05753,12.82655,2.54604
3,20,0.33481,1.22755,1.20595,0.05645,11.49025,2.15
3,20,-0.11245,1.31412,1.3358,0.01812,5.52909,2.23438
3,20,0.09555,1.40943,1.33967,0.01271,12.76747,1.6339
3,20,0.0363,1.48528,1.47755,0.09653,13.54707,2.29005
3,20,0.06014,1.368,1.34138,0.22317,16.31081,2.08009
3,20,0.03643,1.42741,1.04339,0.09943,13.33719,1.47888
3,20,-0.27313,1.44355,1.1298,-0.06842,9.70596,3.07836
3,20,0.05048,1.41237,1.03618,-0.09507,13.11985,2.2293
4,22,-0.05055,1.40358,1.30695,-0.00157,10.89432,3.57349
4,22,0.04353,1.57323,1.21959,0.02276,13.4995,1.97837
4,22,-0.18571,1.34886,1.16079,0.03742,16.84034,2.76732
4,22,-0.08362,1.38127,1.12476,-0.00923,9.00773,1.99512
4,22,0.05772,1.36187,1.0139,-0.12387,13.95437,2.32892
4,22,0.01713,1.51586,1.21855,0.03621,7.16562,3.09988
4,22,-0.05898,1.38527,1.12222,-0.15992,11.20656,2.59274
4,22,0.15988,1.3934,1.36633,0.09147,17.66127,2.07422
4,22,-0.03894,1.35379,1.32495,0.01821,15.26818,2.77611
4,22,0.20344,1.52319,1.24859,-0.03674,20.07935,3.90942
4,22,-0.02873,1.27514,1.31477,0.13436,14.68248,2.92921
4,22,-0.17535,1.42459,1.1588,0.0823,14.74978,1.72112
4,22,0.1642,1.15258,1.18137,-0.15011,15.79932,3.01866
4,22,-0.02006,1.55087,1.15485,0.1776,10.5359,1.97975
4,22,0.06882,1.37859,1.0801,-0.0601,16.337,1.83673
4,22,0.01302,1.16596,0.92775,-0.07409,8.80268,2.6875
4,22,0.04195,1.45622,1.39713,-0.03625,14.88644,3.14033
4,22,0.10153,1.37114,1.25831,-0.05679,15.80341,2.9398
4,22,0.05506,1.46637,1.2968,-0.00896,12.95791,1.66227
4,22,-0.02476,1.52542,1.01887,-0.06863,16.33261,1.90433
4,22,-0.01095,1.50027,1.11235,0.06099,12.92434,1.78993
4,22,-0.03555,1.60342,1.16395,-0.0496,13.86987,2.01703
5,17,0.2032,1.52055,1.2906,-0.10281,15.78755,1.31939
5,17,0.06214,1.43043,1.09304,0.0306,16.18324,3.23672
5,17,-0.04388,1.34826,1.06689,-0.00419,13.28564,2.78577
5,17,0.07958,1.39947,1.34132,-0.06559,14.82125,2.66792
5,17,-0.02793,1.26844,1.24965,0.04685,15.90041,2.34091
5,17,0.00554,1.33713,1.0564,0.05736,6.25516,1.14126
5,17,-0.02967,1.43709,1.40824,0.15479,9.30504,2.86035
5,17,0.0525,1.40482,1.25528,0.05547,14.88944,3.67211
5,17,-0.00182,1.43184,1.29367,0.14696,14.72181,3.62758
5,17,-0.07513,1.44022,1.2722,0.07159,11.33005,2.67964
5,17,0.20286,1.42475,1.14906,0.198,12.48759,3.20708
5,17,0.08613,1.35618,1.46976,-0.13042,11.23097,2.1504
5,17,-0.09841,1.48112,1.08119,-0.06308,13.11219,2.26582
5,17,0.13883,1.48899,1.18993,0.1132,9.35027,2.38144
5,17,0.06607,1.36508,1.22559,0.04934,11.10217,2.9878
