frame,DetObj#,x,y,z,v,snr,noise
0,17,-0.32557,1.40362,0.39683,-0.0181,10.61859,1.97765
0,17,0.09717,1.28351,0.44705,-0.00695,12.29857,2.24994
0,17,0.00735,1.77945,0.32513,0.01783,16.57319,2.53575
0,17,-0.19655,1.15099,0.47756,-0.0331,9.93417,1.33596
0,17,-0.14594,1.56162,0.5361,-0.10602,14.47753,2.09283
0,17,0.23232,1.70979,0.4107,0.14401,15.1714,2.39111
0,17,-0.0012,1.67214,0.56937,-0.003,12.98429,2.56245
0,17,-0.07277,1.62927,0.4339,-0.11649,15.39642,2.5018
0,17,-0.12636,1.65415,0.28797,0.02619,16.89162,2.95049
0,17,0.09751,1.825,0.48012,0.01008,11.32461,2.43646
0,17,0.4744,1.79229,0.39798,-0.17584,11.64541,3.19895
0,17,-0.3642,1.63273,0.38774,-0.13973,17.22757,2.54824
0,17,-0.31646,1.46553,0.36029,-0.10781,18.7698,2.06373
0,17,0.33433,1.51705,0.49344,0.04964,11.22305,2.03236
0,17,0.23039,1.47477,0.30762,0.12277,13.23456,1.97093
0,17,0.01657,1.64405,0.50991,0.02368,13.6134,2.32103
0,17,0.13262,1.41115,0.3151,-0.00943,7.62782,2.09152
1,19,0.39066,1.63561,0.44258,-0.10215,11.75963,2.71621
1,19,-0.30553,1.62958,0.44761,-0.04705,14.75503,2.79953
1,19,0.08595,1.57201,0.31022,-0.12357,13.09248,2.83501
1,19,0.04237,1.46912,0.44879,-0.0948,12.27837,2.41312
1,19,-0.42718,1.54281,0.55063,-0.10497,13.49308,2.41471
1,19,-0.00963,1.66946,0.44063,-0.15245,14.74225,2.09341
1,19,-0.13379,1.9645,0.36279,0.0224,9.83548,2.11741
1,19,0.07856,1.35817,0.38794,0.0606,13.81567,3.089
1,19,-0.20477,1.34959,0.40328,-0.01083,15.53706,2.66915
1,19,-0.04548,1.73545,0.51371,-0.05525,9.65034,1.40582
1,19,0.06633,1.77886,0.41842,0.10712,16.85361,3.24085
1,19,0.31273,1.49858,0.36383,-0.03638,13.09947,2.83636
1,19,0.10057,1.7943,0.42373,-0.09998,15.82519,2.20069
1,19,-0.02466,1.53358,0.54492,0.21636,10.58709,2.79152
1,19,-0.07487,1.64192,0.39486,0.0314,10.02866,2.19615
1,19,0.23485,1.73274,0.49333,-0.0527,18.74984,3.27365
1,19,0.07534,1.93227,0.32271,0.04418,13.53009,2.18625
1,19,0.08043,1.60399,0.57679,0.09008,12.55438,3.09245
1,19,-0.13827,1.68151,0.48964,0.05788,13.64334,2.89285
2,15,-0.08181,1.59582,0.48606,0.21404,11.41414,3.03939
2,15,-0.13225,1.58977,0.37374,-0.0998,7.45378,2.39201
2,15,0.03605,1.72798,0.48418,0.01696,11.03273,2.74437
2,15,0.16559,1.58691,0.49859,0.1041,12.32617,2.9979
2,15,-0.10389,1.54031,0.61747,0.02663,17.72901,2.28126
2,15,-0.06092,1.51991,0.30729,0.11379,9.79996,3.38931
2,15,0.23254,1.42315,0.36275,0.04505,11.81568,3.52888
2,15,-0.07048,1.52861,0.36978,-0.08554,16.29196,2.99911
2,15,-0.12341,1.38627,0.55967,-0.11494,17.36998,2.84634
2,15,-0.49555,1.43154,0.30435,-0.09902,17.99852,3.73279
2,15,0.2515,1.56745,0.61516,0.05383,13.64241,3.49164
2,15,-0.01114,1.60603,0.33396,0.06915,12.02374,2.52782
2,15,-0.03158,1.63849,0.45717,0.00602,15.0,2.25307
2,15,0.10742,1.42003,0.38149,-0.03371,18.03814,2.03507
2,15,0.41346,1.68632,0.39052,-0.16255,17.63289,2.48803
3,30,-0.4688,1.75459,0.41977,0.01191,13.25863,1.72244
3,30,-0.18098,1.59189,0.35648,0.07526,13.18288,2.89042
3,30,0.0146,1.46585,0.56321,-0.09854,18.66358,2.84911
3,30,-0.20794,1.37617,0.44409,0.0727,12.31164,1.75037
3,30,-0.23359,1.41468,0.53009,0.09316,10.57907,3.19948
3,30,-0.20306,1.75164,0.59529,0.03979,10.00173,1.87137
3,30,-0.03558,1.68644,0.46051,0.17522,15.14866,2.93699
3,30,-0.14929,1.61814,0.40019,0.06907,14.59593,2.52259
3,30,-0.01869,1.70692,0.57423,0.01464,16.50747,1.99271
3,30,-0.37178,1.56177,0.42817,0.03381,11.67067,2.68366
3,30,0.11012,1.47311,0.50222,-0.03169,8.67655,2.36271
3,30,0.20267,1.80887,0.45328,-0.08721,18.30114,2.84708
3,30,0.11535,1.47007,0.56736,0.00154,20.24116,3.08479
3,30,0.16332,1.47527,0.46268,-0.02422,16.37201,3.07828
3,30,0.10206,1.45652,0.41904,-0.03197,8.29928,1.86173
3,30,0.4214,1.76097,0.39129,-0.0304,13.64717,2.59079
3,30,-0.24626,1.5285,0.35905,0.09896,9.19985,3.08874
3,30,0.09211,1.71933,0.37612,0.03616,14.47444,2.47281
3,30,-0.24177,1.75582,0.36607,0.03674,20.25672,2.40863
3,30,0.07567,1.46194,0.3947,0.03031,11.67507,3.17176
3,30,-0.04266,1.67146,0.3218,0.05163,14.83193,2.58117
3,30,-0.01044,1.59768,0.35726,-0.07376,12.69149,3.52165
3,30,0.27885,1.64698,0.37807,-0.07106,11.92921,1.8827
3,30,-0.2292,1.79481,0.26097,-0.14484,13.81768,1.39571
3,30,0.33191,1.39086,0.3853,0.06414,12.33233,1.91406
3,30,-0.02959,1.7379,0.66818,0.05272,17.31156,2.8164
3,30,0.0945,1.76632,0.51718,-0.17943,8.16105,3.2676
3,30,0.07935,1.40853,0.5129,-0.20696,10.727,2.63662
3,30,-0.26182,1.41578,0.45571,0.00988,13.15078,2.33662
3,30,-0.06244,1.61871,0.53653,-0.05016,17.24733,2.34773
4,23,0.08902,1.73119,0.28351,0.03282,13.96494,2.1006
4,23,-0.08751,1.82344,0.35025,0.10514,13.73565,2.3313
4,23,0.01032,1.34832,0.32791,-0.06807,15.64515,2.58382
4,23,0.19433,1.60321,0.29215,-0.03881,15.39346,1.86345
4,23,-0.11711,1.64614,0.48537,0.13005,14.06945,3.43761
4,23,0.15053,1.65009,0.28172,0.01133,17.14147,1.46024
4,23,-0.38622,1.35452,0.45707,-0.00202,9.41889,2.71717
4,23,0.07561,1.60824,0.4761,0.03626,15.70601,1.99118
4,23,0.35146,1.49531,0.41911,-0.01798,8.46508,1.89541
4,23,-0.09385,1.43414,0.40774,0.0387,14.96971,3.54122
4,23,-0.10952,1.75149,0.48742,0.10003,16.41693,3.02422
4,23,-0.0671,1.49061,0.55459,-0.18033,10.27516,2.8176
4,23,0.14507,1.50654,0.47758,-0.06683,8.81045,3.27299
4,23,0.13327,1.72562,0.3115,0.00647,15.2559,2.62045
4,23,0.26633,1.62311,0.45501,0.15426,16.3776,2.98634
4,23,0.13095,1.53931,0.3755,0.03673,8.95361,1.88729
