frame,DetObj#,x,y,z,v,snr,noise
0,18,-0.11748,1.47834,1.18137,-0.01671,17.63713,2.52332
0,18,-0.0422,1.07281,1.3325,-0.05572,15.88439,2.23234
0,18,0.07331,1.30182,1.28065,-0.02244,14.21782,2.92672
0,18,-0.0769,1.17741,1.1627,-0.07625,14.7949,2.32664
0,18,0.04386,1.32481,1.13463,0.03014,15.31714,2.33992
0,18,0.00084,1.4658,1.20329,-0.209,9.60944,2.96688
0,18,0.10341,1.24042,1.30591,0.17214,13.78924,3.56234
0,18,-0.16736,1.33569,1.12596,-0.18813,10.34288,2.56948
0,18,-0.15057,1.22133,1.26139,0.10902,9.87953,2.66294
0,18,0.07116,1.44855,1.49413,0.02731,5.57632,1.95461
0,18,-0.06995,1.31448,1.0338,-0.00199,8.76307,1.19416
0,18,-0.07887,1.28791,1.28778,-0.04296,10.86454,2.52605
0,18,-0.17362,1.28194,1.2487,0.01601,13.11963,2.47285
0,18,0.08167,1.29257,1.17004,0.04138,11.027,3.12074
0,18,0.24351,1.5074,1.40473,0.04327,15.15148,2.01319
0,18,0.02807,1.19864,1.16325,0.0252,11.63847,3.54727
0,18,-0.08543,1.54726,1.29865,0.0026,12.43899,2.26831
0,18,-0.00012,1.44709,1.38909,-0.09821,13.53003,4.31156
1,25,-0.12803,1.28177,1.23488,0.12259,16.0471,3.28043
1,25,-0.09432,1.3569,1.3827,0.00329,12.01702,2.87648
1,25,-0.00366,1.46776,1.32812,0.17471,7.73491,2.18579
1,25,-0.13213,1.25703,1.26908,0.02056,19.11829,2.26627
1,25,-0.1687,1.40721,0.94669,-0.16335,13.21762,3.24271
1,25,-0.11018,1.41381,1.45607,-0.11807,11.72586,2.19763
1,25,-0.07885,1.33945,1.22315,0.04623,8.91073,3.59169
1,25,-0.11481,1.2802,1.47139,-0.06519,15.06318,2.59148
1,25,-0.0704,1.14778,1.32851,0.02374,13.11983,2.55508
1,25,0.24406,1.30617,1.1178,0.17895,15.53322,2.90286
1,25,0.05904,1.11746,1.10522,0.0263,17.08383,2.5596
1,25,-0.12891,1.42117,1.52335,0.05423,5.95535,3.7482
1,25,-0.12414,1.2823,1.03208,-0.0319,10.90087,2.61888
1,25,0.01392,1.56458,1.4667,-0.02667,18.36096,2.20329
1,25,-0.05423,1.52807,1.24959,0.13623,12.92624,3.29205
1,25,-0.1297,1.43488,1.45107,-0.08096,22.38825,2.2007
1,25,0.01093,1.28558,1.42787,0.046,11.72702,2.83423
1,25,0.13359,1.13917,1.27199,-0.19382,16.48714,1.87395
1,25,-0.22908,1.26232,1.19236,-0.02749,15.51999,2.27523
1,25,-0.22054,1.23063,1.07317,0.12972,13.54918,2.23797
1,25,0.02885,1.33337,1.2714,-0.0301,17.12187,2.25842
1,25,-0.05575,1.47916,1.25334,0.03809,12.17458,3.50821
1,25,-0.03138,1.44889,1.39791,0.01675,12.78803,3.06509
1,25,0.19434,1.40851,1.18054,-0.0284,14.70088,4.07601
1,25,0.01023,1.33989,1.21537,0.13596,7.99007,1.31402
2,21,0.10055,1.28669,1.38937,0.04948,13.54479,2.40414
2,21,-0.20213,1.39786,1.1739,-0.03517,12.52652,1.69105
2,21,-0.01791,1.33877,1.45545,0.07559,16.11205,3.2877
2,21,0.05789,1.26002,1.59913,0.08824,8.14378,2.37719
2,21,0.11399,1.4902,1.40288,-0.13781,12.20442,2.79214
2,21,0.00785,1.40742,1.1754,0.01775,11.30351,1.58265
2,21,0.00047,1.34527,1.33782,-0.06678,10.08728,1.78045
2,21,-0.01438,1.36623,1.07599,-0.07961,11.3325,2.81063
2,21,-0.01107,1.25495,1.44598,-0.07282,12.32609,1.77024
2,21,0.15484,1.32857,1.03514,-0.15023,12.89159,3.5914
2,21,-0.07403,1.2802,1.22728,0.08511,11.01015,1.4117
2,21,-0.28641,1.32602,1.33861,0.03912,11.66697,3.48538
2,21,-0.02667,1.27257,1.1731,0.19213,14.01756,3.0183
2,21,-0.12001,1.61676,0.96735,0.03614,9.6617,3.13945
2,21,0.13628,1.2129,1.21172,-0.03455,4.0283,3.68375
2,21,0.09171,1.43004,1.30608,0.01883,11.59213,0.8345
2,21,-0.0657,1.29191,1.39433,-0.04476,13.98525,2.58148
2,21,0.10291,1.25205,1.35822,0.03349,14.35455,1.29574
2,21,-0.17448,1.46219,1.29312,-0.06455,13.33797,2.33014
2,21,0.20659,1.53567,1.33337,-0.02164,14.76734,2.13802
2,21,0.0413,1.18987,1.1131,-0.0248,15.31132,2.5405
3,26,-0.01537,1.18065,1.2659,-0.04757,17.44569,2.7354
3,26,-0.16814,1.19146,1.21553,0.10785,15.35042,2.65287
3,26,-0.20956,1.48252,1.24473,-0.02341,12.21742,1.38851
3,26,-0.165,1.27067,1.19053,0.02249,12.50225,2.09834
3,26,0.0372,1.33681,0.99253,0.09539,12.10627,1.66964
3,26,-0.00707,1.30099,1.25039,0.0159,13.57202,2.33932
3,26,0.05299,1.48153,1.15558,0.19168,16.43552,2.00135
3,26,-0.06735,1.46374,1.48061,0.11959,10.2217,1.88606
3,26,0.05369,1.51678,1.24465,0.06398,12.73839,0.98164
3,26,-0.19265,1.44626,1.19242,-0.02046,17.56062,2.06791
3,26,-0.14651,1.53553,1.05971,-0.15784,16.32508,2.51664
3,26,-0.03421,1.28859,1.27999,0.07339,12.58212,2.17772
3,26,0.15374,1.22502,1.35272,-0.04569,14.63665,2.43599
3,26,-0.05486,1.34925,1.31673,-0.03495,10.87611,2.72397
3,26,0.11748,1.18235,1.30201,-0.11939,13.70434,2.15764
3,26,0.08106,1.14673,1.43189,-0.01288,14.98014,3.30185
3,26,0.08068,1.28253,0.98247,0.1062,12.66131,2.04314
3,26,-0.14678,1.18061,1.36402,0.07254,9.61417,2.79521
